as_of_date,symbol,field,value
2015-03-31,MOCK1,pe,10.872127819238795
2015-03-31,MOCK2,pe,16.554652081330676
2015-03-31,MOCK3,pe,48.855586603775066
2015-06-30,MOCK1,pe,18.224619350208407
2015-06-30,MOCK2,pe,32.551233596541856
2015-06-30,MOCK3,pe,21.242079510346365
2015-09-30,MOCK1,pe,18.964217722294656
2015-09-30,MOCK2,pe,38.08461395725614
2015-09-30,MOCK3,pe,39.234521956234644
2015-12-31,MOCK1,pe,17.69911339395131
2015-12-31,MOCK2,pe,22.533577045491697
2015-12-31,MOCK3,pe,49.060343625477415
2016-03-31,MOCK1,pe,29.037716177670486
2016-03-31,MOCK2,pe,33.702012843166756
2016-03-31,MOCK3,pe,12.837552279248502
2016-06-30,MOCK1,pe,44.345033388051796
2016-06-30,MOCK2,pe,47.05689640665032
2016-06-30,MOCK3,pe,40.71974246866695
2016-09-30,MOCK1,pe,17.281838411655052
2016-09-30,MOCK2,pe,28.364937133208677
2016-09-30,MOCK3,pe,46.068148030572665
2016-12-31,MOCK1,pe,24.0780718062522
2016-12-31,MOCK2,pe,29.330652441008276
2016-12-31,MOCK3,pe,34.77822864278055
2017-03-31,MOCK1,pe,18.000897200792757
2017-03-31,MOCK2,pe,43.83703455064317
2017-03-31,MOCK3,pe,30.415408135949118
2017-06-30,MOCK1,pe,21.55688184952838
2017-06-30,MOCK2,pe,45.48244891849389
2017-06-30,MOCK3,pe,44.846872918604376
2017-09-30,MOCK1,pe,35.62584062253852
2017-09-30,MOCK2,pe,18.239545548996603
2017-09-30,MOCK3,pe,22.777774043928638
2017-12-31,MOCK1,pe,49.834596591389776
2017-12-31,MOCK2,pe,24.314855008448678
2017-12-31,MOCK3,pe,48.52914215242375
2018-03-31,MOCK1,pe,10.430739122395662
2018-03-31,MOCK2,pe,29.859041373929234
2018-03-31,MOCK3,pe,42.30504627842036
2018-06-30,MOCK1,pe,25.235669618833615
2018-06-30,MOCK2,pe,13.68552290046297
2018-06-30,MOCK3,pe,12.390480485060685
