date,symbol,dividend,split
1998-04-27,IDBI,2.8125,0.0
1999-05-27,IDBI,2.8125,0.0
2000-03-31,IDBI,2.8125,0.0
2001-02-12,IDBI,0.0,1.6
2001-05-21,IDBI,4.5,0.0
2002-06-19,IDBI,1.5,0.0
2003-08-14,IDBI,1.5,0.0
2005-02-21,IDBI,1.5,0.0
2005-08-11,IDBI,0.75,0.0
2006-07-13,IDBI,1.5,0.0
2007-06-14,IDBI,1.5,0.0
2008-07-16,IDBI,2.0,0.0
2009-07-09,IDBI,2.5,0.0
2010-07-16,IDBI,3.0,0.0
2011-09-02,IDBI,3.5,0.0
2012-02-09,IDBI,2.0,0.0
2012-08-31,IDBI,1.5,0.0
2013-08-29,IDBI,3.5,0.0
2014-01-23,IDBI,0.725,0.0
2014-06-26,IDBI,0.27,0.0
2015-08-04,IDBI,0.75,0.0
2023-07-06,IDBI,1.0,0.0
2024-07-16,IDBI,1.5,0.0
2025-07-15,IDBI,2.1,0.0
2003-07-02,MPHASIS,0.0,2.0
2004-05-26,MPHASIS,0.0,2.0
2005-09-22,MPHASIS,1.5,0.0
2005-11-11,MPHASIS,0.0,2.0
2006-08-24,MPHASIS,3.0,0.0
2007-09-07,MPHASIS,3.0,0.0
2008-07-16,MPHASIS,3.3,0.0
2009-01-22,MPHASIS,2.0,0.0
2010-02-10,MPHASIS,3.5,0.0
2011-02-10,MPHASIS,4.0,0.0
2012-02-15,MPHASIS,6.5,0.0
2012-02-16,MPHASIS,6.5,0.0
2013-01-17,MPHASIS,17.0,0.0
2014-01-22,MPHASIS,17.0,0.0
2014-07-16,MPHASIS,7.0,0.0
2015-08-25,MPHASIS,16.0,0.0
2016-10-19,MPHASIS,20.0,0.0
2017-07-13,MPHASIS,17.0,0.0
2018-07-26,MPHASIS,20.0,0.0
2019-07-11,MPHASIS,27.0,0.0
2020-07-02,MPHASIS,35.0,0.0
2021-09-13,MPHASIS,65.0,0.0
2022-07-05,MPHASIS,46.0,0.0
2023-07-05,MPHASIS,50.0,0.0
2024-07-10,MPHASIS,55.0,0.0
2025-07-09,MPHASIS,57.0,0.0
2026-07-08,MPHASIS,62.0,0.0
2000-04-28,JINDALSTEL,0.066667,0.0
2001-09-03,JINDALSTEL,0.083333,0.0
2002-08-29,JINDALSTEL,0.116667,0.0
2003-06-13,JINDALSTEL,0.208333,0.0
2003-11-13,JINDALSTEL,0.125,0.0
2003-12-22,JINDALSTEL,0.0,2.0
2004-06-23,JINDALSTEL,0.208333,0.0
2004-11-04,JINDALSTEL,0.166667,0.0
2005-07-07,JINDALSTEL,0.333333,0.0
2005-11-02,JINDALSTEL,0.166667,0.0
2006-09-14,JINDALSTEL,0.333333,0.0
2007-02-05,JINDALSTEL,0.2,0.0
2007-09-06,JINDALSTEL,0.4,0.0
2008-01-21,JINDALSTEL,0.0,5.0
2008-02-27,JINDALSTEL,0.25,0.0
2008-09-12,JINDALSTEL,0.416667,0.0
2009-09-14,JINDALSTEL,0.916667,6.0
2010-09-13,JINDALSTEL,1.25,0.0
2011-09-12,JINDALSTEL,1.5,0.0
2012-09-10,JINDALSTEL,1.6,0.0
2013-09-13,JINDALSTEL,1.6,0.0
2014-07-11,JINDALSTEL,1.5,0.0
2022-03-16,JINDALSTEL,1.0,0.0
2022-09-20,JINDALSTEL,2.0,0.0
2023-08-18,JINDALSTEL,2.0,0.0
2024-08-22,JINDALSTEL,2.0,0.0
2025-08-22,JINDALSTEL,2.0,0.0
2026-08-21,JINDALSTEL,2.0,0.0
2007-09-18,DLF,2.0,
2007-11-05,DLF,2.0,
2008-09-19,DLF,2.0,
2009-09-22,DLF,2.0,
2010-09-17,DLF,2.0,
2011-07-27,DLF,2.0,
2012-08-24,DLF,2.0,
2013-07-30,DLF,2.0,
2014-08-19,DLF,2.0,
2015-08-17,DLF,2.0,
2016-03-28,DLF,2.0,
2017-09-19,DLF,2.0,
2018-03-27,DLF,1.2,
2018-09-12,DLF,0.8,
2019-07-22,DLF,2.0,
2020-02-12,DLF,1.2,
2020-09-15,DLF,0.8,
2021-08-23,DLF,2.0,
2022-08-02,DLF,3.0,
2023-07-28,DLF,4.0,
2024-07-31,DLF,5.0,
2025-07-28,DLF,6.0,
2026-07-27,DLF,8.0,
2008-05-30,RPOWER,0.0,1.6
2015-11-19,RPOWER,1.0,0.0
2003-06-06,UNIONBANK,2.1,
2004-01-30,UNIONBANK,2.0,
2004-06-07,UNIONBANK,1.5,
2005-02-18,UNIONBANK,2.0,
2005-06-07,UNIONBANK,1.5,
2006-06-08,UNIONBANK,3.5,
2007-01-11,UNIONBANK,1.5,
2007-06-14,UNIONBANK,2.0,
