date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,315.40,319.40,311.00,311.70,7027599,EQ,56220792,25,140551
2024-09-02,312.90,321.10,307.50,319.80,9214644,EQ,73717152,25,184292
2024-09-03,321.45,324.10,315.25,315.80,5356077,EQ,42848616,25,107121
2024-09-04,313.90,318.70,309.00,310.45,3168705,EQ,25349640,25,63374
2024-09-05,312.45,316.85,311.95,315.30,1651388,EQ,13211104,25,33027
2024-09-06,315.00,315.00,307.00,309.15,2426890,EQ,19415120,25,48537
2024-09-09,309.25,314.50,303.00,313.30,3013692,EQ,24109536,25,60273
2024-09-10,314.90,318.50,312.25,317.05,3612342,EQ,28898736,25,72246
2024-09-11,317.10,321.10,314.10,317.35,4200765,EQ,33606120,25,84015
2024-09-12,316.80,327.40,315.65,326.40,7988611,EQ,63908888,25,159772
2024-09-13,326.40,330.20,323.60,328.55,6515288,EQ,52122304,25,130305
2024-09-16,329.10,337.45,328.00,331.15,7188891,EQ,57511128,25,143777
2024-09-17,330.90,333.20,327.40,328.10,1978901,EQ,15831208,25,39578
2024-09-18,327.80,335.75,326.60,334.65,4583701,EQ,36669608,25,91674
2024-09-19,336.80,337.85,324.70,336.55,5549562,EQ,44396496,25,110991
2024-09-20,336.00,337.80,324.25,327.75,5778454,EQ,46227632,25,115569
2024-09-23,330.00,351.45,327.70,344.50,12342152,EQ,98737216,25,246843
2024-09-24,343.00,354.00,342.25,348.10,6539028,EQ,52312224,25,130780
2024-09-25,348.45,349.00,339.20,343.40,5546400,EQ,44371200,25,110928
2024-09-26,342.85,349.60,336.60,342.05,11031669,EQ,88253352,25,220633
2024-09-27,344.65,364.40,343.45,352.10,21237721,EQ,169901768,25,424754
2024-09-30,353.00,354.75,346.85,349.20,4079383,EQ,32635064,25,81587
2024-10-01,348.95,354.85,344.75,352.35,3501076,EQ,28008608,25,70021
2024-10-03,348.90,357.90,343.40,344.35,8996434,EQ,71971472,25,179928
2024-10-04,345.00,345.75,330.60,333.00,4922873,EQ,39382984,25,98457
2024-10-07,334.45,335.00,321.00,322.90,3432287,EQ,27458296,25,68645
2024-10-08,323.30,334.85,318.80,333.65,3054925,EQ,24439400,25,61098
2024-10-09,333.65,346.80,331.95,341.20,3739230,EQ,29913840,25,74784
2024-10-10,343.00,343.75,337.00,337.40,1462013,EQ,11696104,25,29240
2024-10-11,339.50,344.70,339.00,340.25,2719292,EQ,21754336,25,54385
2024-10-14,341.40,350.80,338.15,346.45,3450507,EQ,27604056,25,69010
2024-10-15,347.05,353.55,343.05,348.70,3754037,EQ,30032296,25,75080
2024-10-16,348.30,351.50,342.45,343.45,1523954,EQ,12191632,25,30479
2024-10-17,345.70,345.70,330.00,330.70,2633321,EQ,21066568,25,52666
2024-10-18,330.90,335.85,323.05,334.05,1398496,EQ,11187968,25,27969
2024-10-21,335.10,335.75,323.00,324.20,1662083,EQ,13296664,25,33241
2024-10-22,324.95,327.00,306.50,307.65,3753780,EQ,30030240,25,75075
2024-10-23,310.80,317.60,305.55,312.60,3295506,EQ,26364048,25,65910
2024-10-24,312.10,316.20,307.25,308.00,1498891,EQ,11991128,25,29977
2024-10-25,309.00,309.90,294.15,300.30,4079477,EQ,32635816,25,81589
2024-10-28,300.30,308.00,296.95,305.40,2181823,EQ,17454584,25,43636
2024-10-29,305.40,307.75,298.75,306.05,1194299,EQ,9554392,25,23885
2024-10-30,306.05,312.50,302.10,306.65,2733312,EQ,21866496,25,54666
2024-10-31,306.10,309.90,303.00,308.15,2634924,EQ,21079392,25,52698
2024-11-01,310.00,317.90,310.00,314.05,2017724,EQ,16141792,25,40354
2024-11-04,316.00,316.20,297.15,300.15,4512769,EQ,36102152,25,90255
2024-11-05,300.20,303.50,298.20,302.30,2235586,EQ,17884688,25,44711
2024-11-06,304.10,305.80,297.55,300.20,6245130,EQ,49961040,25,124902
2024-11-07,301.35,305.95,291.35,296.75,10722617,EQ,85780936,25,214452
2024-11-08,301.00,308.80,293.85,297.15,11617622,EQ,92940976,25,232352
2024-11-11,295.65,305.35,294.50,298.20,3216586,EQ,25732688,25,64331
2024-11-12,299.10,300.80,292.65,293.85,1667511,EQ,13340088,25,33350
2024-11-13,293.00,294.30,287.00,290.10,2647938,EQ,21183504,25,52958
2024-11-14,290.50,295.65,287.15,288.70,1511988,EQ,12095904,25,30239
2024-11-18,288.65,294.00,284.70,291.55,1508717,EQ,12069736,25,30174
2024-11-19,292.00,298.00,288.25,289.20,1793244,EQ,14345952,25,35864
2024-11-21,286.95,290.00,283.75,284.40,1840073,EQ,14720584,25,36801
2024-11-22,285.50,291.20,284.75,288.55,3286903,EQ,26295224,25,65738
2024-11-25,294.00,304.00,293.15,298.65,6635749,EQ,53085992,25,132714
2024-11-26,300.00,308.45,300.00,307.45,5398481,EQ,43187848,25,107969
2024-11-27,307.50,312.25,306.50,308.90,4607455,EQ,36859640,25,92149
2024-11-28,308.60,319.50,308.60,315.70,7378380,EQ,59027040,25,147567
2024-11-29,315.80,316.90,311.25,313.75,1876468,EQ,15011744,25,37529
2024-12-02,312.85,325.30,310.05,322.20,5734832,EQ,45878656,25,114696
2024-12-03,319.00,320.90,314.20,316.30,3145815,EQ,25166520,25,62916
2024-12-04,319.95,321.75,311.40,312.25,2505941,EQ,20047528,25,50118
2024-12-05,314.00,314.35,305.20,307.45,3932804,EQ,31462432,25,78656
2024-12-06,308.80,309.00,302.70,307.20,4393562,EQ,35148496,25,87871
2024-12-09,308.50,312.05,305.75,308.30,5006645,EQ,40053160,25,100132
2024-12-10,309.60,313.70,306.40,310.10,2459206,EQ,19673648,25,49184
2024-12-11,311.70,313.50,308.60,309.55,1056114,EQ,8448912,25,21122
2024-12-12,309.55,310.15,303.50,304.30,1331989,EQ,10655912,25,26639
2024-12-13,304.00,304.00,295.85,301.35,1886725,EQ,15093800,25,37734
2024-12-16,301.75,303.15,298.80,300.20,1010318,EQ,8082544,25,20206
2024-12-17,300.10,302.95,294.00,295.15,2384614,EQ,19076912,25,47692
2024-12-18,295.40,295.70,291.40,292.70,1813609,EQ,14508872,25,36272
2024-12-19,288.90,292.40,282.00,290.30,1104827,EQ,8838616,25,22096
2024-12-20,291.00,293.75,281.15,282.20,1778327,EQ,14226616,25,35566
2024-12-23,283.50,284.90,279.45,282.20,1753501,EQ,14028008,25,35070
2024-12-24,282.65,284.90,279.60,282.85,1087794,EQ,8702352,25,21755
2024-12-26,282.85,283.90,278.50,282.30,1572442,EQ,12579536,25,31448
2024-12-27,282.50,285.40,280.60,282.00,1658385,EQ,13267080,25,33167
2024-12-30,280.05,281.75,276.00,277.90,3928790,EQ,31430320,25,78575
2024-12-31,277.10,280.65,274.25,279.95,1054753,EQ,8438024,25,21095
2025-01-01,279.10,283.45,278.55,281.85,727350,EQ,5818800,25,14547
2025-01-02,282.70,284.00,278.70,282.60,1000719,EQ,8005752,25,20014
2025-01-03,284.80,286.50,277.70,280.75,2528527,EQ,20228216,25,50570
2025-01-06,281.90,281.90,263.70,265.55,2807459,EQ,22459672,25,56149
2025-01-07,266.25,271.70,266.00,270.55,1154333,EQ,9234664,25,23086
2025-01-08,269.65,269.70,263.50,267.35,1057802,EQ,8462416,25,21156
2025-01-09,266.10,278.50,265.30,276.55,3896302,EQ,31170416,25,77926
2025-01-10,277.45,279.70,266.70,274.10,5736918,EQ,45895344,25,114738
2025-01-13,272.95,273.35,258.95,260.40,3857845,EQ,30862760,25,77156
2025-01-14,263.00,272.00,263.00,270.10,2405933,EQ,19247464,25,48118
2025-01-15,272.25,275.85,263.25,265.60,9871585,EQ,78972680,25,197431
2025-01-16,270.00,277.00,267.45,276.45,3649711,EQ,29197688,25,72994
2025-01-17,275.90,279.40,271.90,274.70,2592495,EQ,20739960,25,51849
2025-01-20,275.00,283.90,273.85,282.65,3789531,EQ,30316248,25,75790
2025-01-21,282.65,285.15,276.15,277.15,2286924,EQ,18295392,25,45738
2025-01-22,278.60,283.50,272.70,279.05,3537854,EQ,28302832,25,70757
2025-01-23,278.90,283.80,275.10,282.70,1012419,EQ,8099352,25,20248
2025-01-24,282.50,284.20,266.45,271.90,7751636,EQ,62013088,25,155032
2025-01-27,268.60,275.75,263.60,268.75,4793064,EQ,38344512,25,95861
2025-01-28,268.70,273.45,259.00,265.25,5122451,EQ,40979608,25,102449
2025-01-29,267.15,273.25,263.45,267.40,2526914,EQ,20215312,25,50538
2025-01-30,268.05,269.00,262.90,265.70,1719199,EQ,13753592,25,34383
2025-01-31,266.00,274.75,266.00,273.85,1874407,EQ,14995256,25,37488
2025-02-01,273.95,289.00,267.65,283.25,4005870,EQ,32046960,25,80117
2025-02-03,280.35,290.90,279.05,286.00,3010930,EQ,24087440,25,60218
2025-02-04,286.65,289.65,281.20,285.65,1365443,EQ,10923544,25,27308
2025-02-05,283.05,290.55,283.00,283.75,1271639,EQ,10173112,25,25432
2025-02-06,284.35,284.75,277.70,278.65,1050234,EQ,8401872,25,21004
2025-02-07,281.00,281.40,273.50,275.60,823885,EQ,6591080,25,16477
2025-02-10,275.00,276.00,262.65,263.45,1474692,EQ,11797536,25,29493
2025-02-11,264.00,264.90,250.45,254.95,5622740,EQ,44981920,25,112454
2025-02-12,251.05,264.35,246.65,258.00,2844132,EQ,22753056,25,56882
2025-02-13,258.65,262.50,253.20,258.90,2229574,EQ,17836592,25,44591
2025-02-14,258.60,260.70,246.00,247.60,4848054,EQ,38784432,25,96961
2025-02-17,249.50,256.30,236.70,255.55,5012749,EQ,40101992,25,100254
2025-02-18,255.55,259.25,246.05,250.50,1777879,EQ,14223032,25,35557
2025-02-19,249.85,255.45,247.55,251.55,1266920,EQ,10135360,25,25338
2025-02-20,251.55,256.85,248.65,255.60,997692,EQ,7981536,25,19953
2025-02-21,254.60,257.45,249.00,250.60,1028619,EQ,8228952,25,20572
2025-02-24,248.90,254.55,245.60,252.65,1169460,EQ,9355680,25,23389
2025-02-25,250.00,255.00,247.65,248.55,898864,EQ,7190912,25,17977
