date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,3027.15,3035.69,3000.47,3016.51,3509174,EQ,28073392,25,70183
2024-09-02,3018.25,3056.27,2994.78,3039.28,1842658,EQ,14741264,25,36853
2024-09-03,3034.14,3050.17,3020.95,3033.24,1371577,EQ,10972616,25,27431
2024-09-04,3007.16,3022.15,2952.42,3009.51,1212270,EQ,9698160,25,24245
2024-09-05,3022.15,3035.04,2999.17,3012.51,734273,EQ,5874184,25,14685
2024-09-06,3016.16,3022.15,2965.20,2972.65,1251165,EQ,10009320,25,25023
2024-09-09,2969.30,2969.70,2924.54,2961.36,1523581,EQ,12188648,25,30471
2024-09-10,2968.80,3004.57,2944.82,2983.59,803782,EQ,6430256,25,16075
2024-09-11,2982.19,2990.13,2925.24,2935.08,888628,EQ,7109024,25,17772
2024-09-12,2947.22,2997.17,2914.40,2988.18,1314173,EQ,10513384,25,26283
2024-09-13,2969.20,2999.12,2953.26,2965.55,815948,EQ,6527584,25,16318
2024-09-16,2969.20,3023.55,2969.20,2982.09,695162,EQ,5561296,25,13903
2024-09-17,2987.23,2993.08,2949.72,2972.40,698700,EQ,5589600,25,13974
2024-09-18,2973.20,2981.94,2932.23,2953.51,831891,EQ,6655128,25,16637
2024-09-19,2972.25,2972.45,2887.63,2940.38,1655401,EQ,13243208,25,33108
2024-09-20,2945.37,3022.15,2939.28,3005.67,1787210,EQ,14297680,25,35744
2024-09-23,3017.15,3067.11,3012.41,3041.08,897314,EQ,7178512,25,17946
2024-09-24,3052.12,3098.08,3037.39,3090.98,1021918,EQ,8175344,25,20438
2024-09-25,3105.07,3120.96,3077.30,3102.17,913008,EQ,7304064,25,18260
2024-09-26,3082.09,3145.03,3082.09,3119.71,1548019,EQ,12384152,25,30960
2024-09-27,3119.06,3176.00,3113.06,3127.35,2297441,EQ,18379528,25,45948
2024-09-30,3126.05,3206.88,3117.46,3132.90,1607429,EQ,12859432,25,32148
2024-10-01,3133.35,3188.99,3104.07,3183.10,1367116,EQ,10936928,25,27342
2024-10-03,3147.03,3193.34,3081.19,3113.06,1309703,EQ,10477624,25,26194
2024-10-04,3116.96,3146.53,3067.11,3107.72,987583,EQ,7900664,25,19751
2024-10-07,3107.72,3125.55,2977.64,3015.16,1743454,EQ,13947632,25,34869
2024-10-08,3015.66,3167.01,2992.03,3157.72,1776511,EQ,14212088,25,35530
2024-10-09,3172.01,3176.95,3131.45,3150.78,897335,EQ,7178680,25,17946
2024-10-10,3137.04,3207.97,3053.22,3171.21,2905725,EQ,23245800,25,58114
2024-10-11,3171.21,3186.99,3113.06,3134.24,1035260,EQ,8282080,25,20705
2024-10-14,3142.04,3147.13,3089.94,3098.18,437728,EQ,3501824,25,8754
2024-10-15,3121.06,3125.05,3088.59,3101.77,371613,EQ,2972904,25,7432
2024-10-16,3095.08,3112.46,3058.12,3082.99,543476,EQ,4347808,25,10869
2024-10-17,3087.04,3097.08,2990.18,3010.91,2655289,EQ,21242312,25,53105
2024-10-18,2987.18,3028.84,2965.30,2999.17,796339,EQ,6370712,25,15926
2024-10-21,3002.32,3012.11,2914.20,2934.88,1051690,EQ,8413520,25,21033
2024-10-22,2935.23,2952.22,2815.35,2821.14,1209732,EQ,9677856,25,24194
