date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,6829.51,6953.87,6815.59,6891.69,499581,EQ,3996648,25,9991
2024-09-02,6952.87,6962.82,6829.56,6844.48,248292,EQ,1986336,25,4965
2024-09-03,6855.33,6890.00,6799.12,6809.47,361990,EQ,2895920,25,7239
2024-09-04,6802.65,6902.14,6754.95,6895.07,389768,EQ,3118144,25,7795
2024-09-05,6895.07,7007.59,6864.53,6898.45,387284,EQ,3098272,25,7745
2024-09-06,6898.45,6926.46,6822.45,6871.10,185503,EQ,1484024,25,3710
2024-09-09,6871.10,6892.19,6785.19,6825.24,304409,EQ,2435272,25,6088
2024-09-10,6864.33,6939.79,6825.23,6885.77,354522,EQ,2836176,25,7090
2024-09-11,6864.33,6918.00,6837.92,6864.58,223028,EQ,1784224,25,4460
2024-09-12,6907.11,7059.77,6879.25,7025.29,831152,EQ,6649216,25,16623
2024-09-13,7059.52,7063.25,6971.82,6982.87,238034,EQ,1904272,25,4760
2024-09-16,6988.69,7026.44,6974.26,6995.00,226343,EQ,1810744,25,4526
2024-09-17,6995.05,7115.48,6963.71,6971.82,266003,EQ,2128024,25,5320
2024-09-18,6993.56,7031.46,6924.77,6999.53,251334,EQ,2010672,25,5026
2024-09-19,7031.46,7087.82,6975.21,6993.91,407897,EQ,3263176,25,8157
2024-09-20,7003.51,7083.19,6981.62,7046.04,493357,EQ,3946856,25,9867
2024-09-23,7053.75,7144.87,7053.75,7115.83,254282,EQ,2034256,25,5085
2024-09-24,7039.62,7162.78,7039.62,7085.18,333949,EQ,2671592,25,6678
2024-09-25,7056.09,7108.02,7037.58,7096.58,236185,EQ,1889480,25,4723
2024-09-26,7071.26,7156.76,7057.73,7130.80,405696,EQ,3245568,25,8113
2024-09-27,7122.29,7242.27,7073.25,7196.60,772592,EQ,6180736,25,15451
2024-09-30,7123.48,7279.13,7123.48,7161.94,442794,EQ,3542352,25,8855
2024-10-01,7164.27,7206.50,7098.12,7116.37,310719,EQ,2485752,25,6214
2024-10-03,7056.68,7162.78,6820.51,6870.25,655420,EQ,5243360,25,13108
