date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,3064.71,3100.65,3045.77,3061.53,1567031,EQ,12536248,25,31340
2024-09-02,3082.29,3117.54,3074.07,3085.18,702358,EQ,5618864,25,14047
2024-09-03,3098.89,3108.29,3081.80,3089.00,577471,EQ,4619768,25,11549
2024-09-04,3089.63,3184.12,3089.63,3164.19,2379110,EQ,19032880,25,47582
2024-09-05,3172.37,3189.01,3149.85,3170.66,1482119,EQ,11856952,25,29642
2024-09-06,3170.41,3217.31,3158.03,3205.37,2131256,EQ,17050048,25,42625
2024-09-09,3205.37,3244.82,3189.99,3212.27,1272289,EQ,10178312,25,25445
2024-09-10,3221.33,3240.91,3202.62,3226.27,928920,EQ,7431360,25,18578
2024-09-11,3245.80,3312.34,3245.80,3297.16,2561892,EQ,20495136,25,51237
2024-09-12,3299.66,3322.18,3270.58,3312.63,1643536,EQ,13148288,25,32870
2024-09-13,3285.51,3299.36,3251.58,3287.96,1029400,EQ,8235200,25,20588
2024-09-16,3289.86,3324.04,3261.08,3266.17,1019280,EQ,8154240,25,20385
2024-09-17,3266.17,3279.98,3232.88,3243.65,586834,EQ,4694672,25,11736
2024-09-18,3243.65,3255.45,3183.68,3206.30,410510,EQ,3284080,25,8210
2024-09-19,3225.24,3250.70,3206.64,3225.10,963456,EQ,7707648,25,19269
2024-09-20,3235.03,3255.40,3197.88,3237.92,1504277,EQ,12034216,25,30085
2024-09-23,3247.71,3255.50,3204.88,3209.04,522775,EQ,4182200,25,10455
2024-09-24,3209.04,3228.91,3173.45,3180.59,1057933,EQ,8463464,25,21158
2024-09-25,3184.12,3184.12,3139.81,3177.02,740636,EQ,5925088,25,14812
2024-09-26,3182.16,3217.26,3159.74,3208.65,951080,EQ,7608640,25,19021
2024-09-27,3222.26,3268.28,3208.65,3241.64,1315996,EQ,10527968,25,26319
2024-09-30,3241.64,3287.91,3236.16,3259.61,1088162,EQ,8705296,25,21763
2024-10-01,3247.76,3259.46,3176.34,3208.94,968660,EQ,7749280,25,19373
2024-10-03,3125.67,3158.56,3061.24,3083.56,1741363,EQ,13930904,25,34827
2024-10-04,3069.56,3090.86,2990.79,3008.37,1551818,EQ,12414544,25,31036
2024-10-07,3010.81,3033.87,2974.59,2998.33,909812,EQ,7278496,25,18196
2024-10-08,2994.17,3034.31,2982.08,3023.59,817718,EQ,6541744,25,16354
2024-10-09,3030.93,3081.02,3007.63,3014.58,1225598,EQ,9804784,25,24511
2024-10-10,3025.55,3030.40,2979.48,2995.25,1161933,EQ,9295464,25,23238
2024-10-11,2995.34,3000.04,2962.84,2973.80,976017,EQ,7808136,25,19520
2024-10-14,2973.61,2991.23,2954.22,2975.71,716011,EQ,5728088,25,14320
2024-10-15,3010.81,3032.16,2984.03,3003.08,1242322,EQ,9938576,25,24846
2024-10-16,3023.54,3038.77,3002.10,3017.77,764001,EQ,6112008,25,15280
2024-10-17,3018.55,3020.60,2973.61,2992.06,674481,EQ,5395848,25,13489
2024-10-18,2993.19,3004.94,2918.38,2929.69,899318,EQ,7194544,25,17986
2024-10-21,2944.28,2993.19,2937.92,2985.55,806970,EQ,6455760,25,16139
2024-10-22,2990.25,2994.12,2932.73,2944.09,541838,EQ,4334704,25,10836
2024-10-23,2937.33,2963.33,2910.01,2927.29,624689,EQ,4997512,25,12493
2024-10-24,2927.29,2939.63,2889.40,2909.96,571259,EQ,4570072,25,11425
2024-10-25,2913.39,2952.60,2890.38,2896.26,1047769,EQ,8382152,25,20955
2024-10-28,2925.53,2958.63,2901.20,2939.19,504961,EQ,4039688,25,10099
2024-10-29,2956.96,2964.79,2879.71,2930.38,613459,EQ,4907672,25,12269
2024-10-30,2943.25,2943.25,2901.69,2934.10,812725,EQ,6501800,25,16254
2024-10-31,2931.70,2933.95,2858.07,2874.37,1031171,EQ,8249368,25,20623
2024-11-01,2896.26,2903.84,2868.84,2878.48,112249,EQ,897992,25,2244
2024-11-04,2900.32,2900.32,2825.27,2854.45,1146008,EQ,9168064,25,22920
2024-11-05,2834.57,2857.87,2812.74,2827.03,935417,EQ,7483336,25,18708
2024-11-06,2830.16,2847.15,2800.30,2836.82,1817087,EQ,14536696,25,36341
2024-11-07,2839.47,2844.31,2766.03,2783.51,1112489,EQ,8899912,25,22249
2024-11-08,2783.51,2787.57,2704.74,2711.64,2060410,EQ,16483280,25,41208
2024-11-11,2511.51,2544.50,2453.69,2490.02,8854840,EQ,70838720,25,177096
2024-11-12,2482.09,2482.09,2418.44,2423.19,3445898,EQ,27567184,25,68917
2024-11-13,2418.44,2445.86,2399.94,2418.93,1803766,EQ,14430128,25,36075
2024-11-14,2430.98,2449.53,2414.72,2431.32,1206967,EQ,9655736,25,24139
2024-11-18,2467.40,2467.40,2419.23,2431.86,945471,EQ,7563768,25,18909
2024-11-19,2440.24,2455.15,2424.89,2436.02,941508,EQ,7532064,25,18830
2024-11-21,2407.58,2418.62,2378.45,2381.54,1377572,EQ,11020576,25,27551
2024-11-22,2383.36,2446.08,2376.44,2424.75,3805843,EQ,30446744,25,76116
2024-11-25,2456.92,2459.81,2403.02,2412.49,1857124,EQ,14856992,25,37142
2024-11-26,2412.68,2469.67,2410.43,2456.92,1152258,EQ,9218064,25,23045
2024-11-27,2469.18,2469.32,2432.40,2444.07,864653,EQ,6917224,25,17293
2024-11-28,2452.01,2457.90,2406.21,2410.87,1506133,EQ,12049064,25,30122
2024-11-29,2410.87,2443.67,2407.92,2432.00,1030854,EQ,8246832,25,20617
2024-12-02,2432.00,2438.28,2414.10,2431.46,914624,EQ,7316992,25,18292
2024-12-03,2446.13,2446.13,2416.21,2422.00,1341985,EQ,10735880,25,26839
2024-12-04,2431.32,2431.51,2406.11,2412.24,1005012,EQ,8040096,25,20100
2024-12-05,2417.68,2419.55,2377.37,2405.13,3190834,EQ,25526672,25,63816
2024-12-06,2420.63,2420.63,2380.41,2383.06,1735948,EQ,13887584,25,34718
2024-12-09,2391.35,2392.18,2341.18,2345.94,2301281,EQ,18410248,25,46025
2024-12-10,2353.83,2358.49,2339.27,2343.04,1657888,EQ,13263104,25,33157
2024-12-11,2353.69,2381.39,2346.72,2370.90,1337700,EQ,10701600,25,26754
2024-12-12,2366.68,2368.64,2335.00,2343.68,1089028,EQ,8712224,25,21780
2024-12-13,2343.68,2365.70,2308.81,2361.43,1150861,EQ,9206888,25,23017
2024-12-16,2373.50,2373.50,2340.35,2356.14,987775,EQ,7902200,25,19755
2024-12-17,2342.16,2353.83,2305.38,2310.78,1258218,EQ,10065744,25,25164
2024-12-18,2311.56,2327.16,2296.06,2300.43,855682,EQ,6845456,25,17113
2024-12-19,2280.37,2280.37,2221.87,2247.86,2784409,EQ,22275272,25,55688
2024-12-20,2252.91,2273.51,2232.31,2238.54,1719502,EQ,13756016,25,34390
2024-12-23,2255.85,2258.35,2222.55,2235.45,855647,EQ,6845176,25,17112
2024-12-24,2238.29,2250.95,2233.44,2240.16,601558,EQ,4812464,25,12031
2024-12-26,2240.16,2243.54,2213.19,2218.97,1267334,EQ,10138672,25,25346
2024-12-27,2226.67,2246.83,2216.67,2227.80,821790,EQ,6574320,25,16435
2024-12-30,2236.48,2254.67,2213.48,2244.33,1076940,EQ,8615520,25,21538
2024-12-31,2236.23,2253.55,2229.37,2237.56,685486,EQ,5483888,25,13709
2025-01-01,2236.23,2278.61,2236.23,2260.41,1067328,EQ,8538624,25,21346
2025-01-02,2269.58,2302.88,2249.97,2298.27,1342922,EQ,10743376,25,26858
2025-01-03,2299.01,2303.86,2277.58,2291.11,1355319,EQ,10842552,25,27106
2025-01-06,2291.11,2295.08,2213.38,2223.63,1190987,EQ,9527896,25,23819
2025-01-07,2228.39,2271.54,2228.39,2248.59,740798,EQ,5926384,25,14815
2025-01-08,2243.15,2293.12,2229.07,2289.54,1439632,EQ,11517056,25,28792
2025-01-09,2296.95,2316.07,2276.74,2305.09,1362304,EQ,10898432,25,27246
2025-01-10,2290.77,2303.81,2271.54,2276.20,1214334,EQ,9714672,25,24286
2025-01-13,2247.76,2257.71,2203.28,2209.41,1181928,EQ,9455424,25,23638
2025-01-14,2225.45,2242.46,2194.06,2196.95,1316807,EQ,10534456,25,26336
2025-01-15,2205.83,2210.49,2177.39,2186.90,1308999,EQ,10471992,25,26179
2025-01-16,2196.02,2196.86,2165.42,2173.07,1936087,EQ,15488696,25,38721
2025-01-17,2182.93,2225.49,2170.03,2217.60,878848,EQ,7030784,25,17576
2025-01-20,2228.63,2243.00,2207.79,2236.77,555716,EQ,4445728,25,11114
2025-01-21,2236.77,2270.56,2211.71,2216.96,1410294,EQ,11282352,25,28205
2025-01-22,2226.43,2226.43,2201.81,2218.68,835523,EQ,6684184,25,16710
2025-01-23,2218.68,2257.62,2203.08,2232.65,1142465,EQ,9139720,25,22849
2025-01-24,2239.18,2252.47,2211.76,2218.97,543202,EQ,4345616,25,10864
2025-01-27,2212.01,2234.03,2203.08,2208.28,1097939,EQ,8783512,25,21958
2025-01-28,2216.62,2223.53,2191.22,2198.77,897501,EQ,7180008,25,17950
2025-01-29,2198.77,2203.67,2169.59,2180.48,1281088,EQ,10248704,25,25621
2025-01-30,2180.48,2215.88,2172.48,2206.66,1155718,EQ,9245744,25,23114
2025-01-31,2211.71,2260.75,2191.95,2256.64,1292909,EQ,10343272,25,25858
2025-02-01,2267.62,2343.14,2241.43,2306.02,1318619,EQ,10548952,25,26372
2025-02-03,2306.02,2319.06,2233.98,2248.25,1070382,EQ,8563056,25,21407
2025-02-04,2260.41,2372.17,2220.30,2309.16,5373733,EQ,42989864,25,107474
2025-02-05,2225.45,2251.49,2194.31,2231.53,3474642,EQ,27797136,25,69492
2025-02-06,2243.30,2254.77,2216.86,2219.95,1285954,EQ,10287632,25,25719
2025-02-07,2222.50,2232.61,2200.14,2227.41,1336756,EQ,10694048,25,26735
2025-02-10,2227.46,2234.27,2210.73,2226.57,1181565,EQ,9452520,25,23631
