date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,1175.09,1181.03,1169.95,1173.34,10190506,EQ,81524048,25,203810
2024-09-02,1174.09,1192.06,1172.19,1186.87,6432362,EQ,51458896,25,128647
2024-09-03,1186.07,1191.61,1174.79,1189.66,7920246,EQ,63361968,25,158404
2024-09-04,1180.78,1187.72,1171.39,1175.79,6527941,EQ,52223528,25,130558
2024-09-05,1180.08,1180.93,1171.54,1178.63,4234766,EQ,33878128,25,84695
2024-09-06,1174.09,1179.43,1148.93,1156.87,9874576,EQ,78996608,25,197491
2024-09-09,1156.12,1173.69,1143.14,1168.95,7700940,EQ,61607520,25,154018
2024-09-10,1176.99,1188.92,1171.44,1185.27,8723854,EQ,69790832,25,174477
2024-09-11,1185.27,1192.91,1179.08,1184.17,6000329,EQ,48002632,25,120006
2024-09-12,1188.17,1203.74,1174.84,1201.40,7592871,EQ,60742968,25,151857
2024-09-13,1207.94,1217.57,1199.05,1215.47,6762566,EQ,54100528,25,135251
2024-09-16,1220.02,1232.00,1213.03,1229.05,4039284,EQ,32314272,25,80785
2024-09-17,1233.19,1238.59,1225.61,1230.10,8030427,EQ,64243416,25,160608
2024-09-18,1229.90,1248.37,1223.01,1238.44,8210034,EQ,65680272,25,164200
2024-09-19,1246.42,1259.65,1236.99,1240.68,8449864,EQ,67598912,25,168997
2024-09-20,1241.98,1247.97,1227.90,1242.98,15009629,EQ,120077032,25,300192
2024-09-23,1249.47,1250.42,1238.54,1244.78,5462814,EQ,43702512,25,109256
2024-09-24,1239.08,1245.07,1233.34,1237.54,9225946,EQ,73807568,25,184518
2024-09-25,1235.99,1268.94,1229.10,1266.04,6853324,EQ,54826592,25,137066
2024-09-26,1265.49,1279.57,1260.20,1275.03,7270078,EQ,58160624,25,145401
2024-09-27,1270.93,1279.47,1255.21,1271.08,13372027,EQ,106976216,25,267440
2024-09-30,1261.45,1272.93,1227.35,1230.20,8466919,EQ,67735352,25,169338
2024-10-01,1226.11,1240.93,1222.66,1224.66,11164280,EQ,89314240,25,223285
2024-10-03,1205.54,1217.17,1171.20,1173.79,17300892,EQ,138407136,25,346017
