date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,10420.54,10503.58,10295.51,10474.92,498560,EQ,3988480,25,9971
2024-09-02,10508.05,10727.43,10494.73,10700.50,787108,EQ,6296864,25,15742
2024-09-03,10681.12,10693.38,10593.65,10621.20,217394,EQ,1739152,25,4347
2024-09-04,10590.76,10607.93,10491.61,10544.31,324246,EQ,2593968,25,6484
2024-09-05,10544.60,10594.47,10411.45,10440.49,297298,EQ,2378384,25,5945
2024-09-06,10440.49,10496.46,10383.27,10415.82,216847,EQ,1734776,25,4336
2024-09-09,10415.82,10485.36,10367.64,10432.65,193055,EQ,1544440,25,3861
2024-09-10,10380.53,10613.56,10367.69,10567.44,466892,EQ,3735136,25,9337
2024-09-11,10644.38,11061.35,10566.33,10983.88,1283385,EQ,10267080,25,25667
2024-09-12,11041.58,11328.67,11005.61,11275.05,1409151,EQ,11273208,25,28183
2024-09-13,11275.05,11438.98,11241.29,11288.18,417878,EQ,3343024,25,8357
2024-09-16,11285.15,11302.26,11194.79,11241.24,172602,EQ,1380816,25,3452
2024-09-17,11233.21,11514.86,11197.72,11493.17,444755,EQ,3558040,25,8895
2024-09-18,11387.57,11592.91,11290.92,11314.62,446416,EQ,3571328,25,8928
2024-09-19,11359.39,11579.68,11359.39,11414.02,500633,EQ,4005064,25,10012
2024-09-20,11468.84,11555.40,11414.26,11484.90,772831,EQ,6182648,25,15456
2024-09-23,11540.97,11906.43,11540.97,11866.95,735579,EQ,5884632,25,14711
2024-09-24,11762.70,12000.21,11762.70,11967.65,503848,EQ,4030784,25,10076
2024-09-25,11916.05,11955.20,11839.11,11923.02,262012,EQ,2096096,25,5240
2024-09-26,11983.37,12191.59,11917.06,12138.84,641805,EQ,5134440,25,12836
2024-09-27,12138.84,12285.36,12071.47,12181.88,480852,EQ,3846816,25,9617
2024-09-30,12073.39,12167.21,11811.85,11873.69,479000,EQ,3832000,25,9580
2024-10-01,11939.38,12021.84,11648.78,11692.40,670828,EQ,5366624,25,13416
2024-10-03,11283.22,11559.10,11252.45,11354.82,670365,EQ,5362920,25,13407
2024-10-04,11215.13,11491.25,11193.78,11324.00,650553,EQ,5204424,25,13011
