date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,1767.58,1791.10,1747.71,1780.66,3865499,EQ,30923992,25,77309
2024-09-02,1793.99,1859.51,1785.41,1838.09,5442576,EQ,43540608,25,108851
2024-09-03,1847.52,1868.44,1809.52,1863.10,4429269,EQ,35434152,25,88585
2024-09-04,1837.74,1877.18,1830.60,1869.39,2634954,EQ,21079632,25,52699
2024-09-05,1865.50,1872.19,1847.52,1862.45,1441842,EQ,11534736,25,28836
2024-09-06,1861.50,1895.46,1833.54,1854.66,2970645,EQ,23765160,25,59412
2024-09-09,1857.51,1871.24,1836.59,1857.96,1576721,EQ,12613768,25,31534
2024-09-10,1872.29,1872.29,1812.82,1822.06,2155688,EQ,17245504,25,43113
2024-09-11,1826.55,1851.32,1811.82,1830.70,1492450,EQ,11939600,25,29849
2024-09-12,1848.22,1857.51,1814.37,1852.37,2040386,EQ,16323088,25,40807
2024-09-13,1872.29,1904.35,1844.03,1891.91,3078216,EQ,24625728,25,61564
2024-09-16,1899.45,1918.43,1835.59,1855.11,3180768,EQ,25446144,25,63615
2024-09-17,1856.51,1874.34,1836.09,1846.22,1920113,EQ,15360904,25,38402
2024-09-18,1846.22,1894.46,1840.73,1885.67,2960854,EQ,23686832,25,59217
2024-09-19,1887.47,1899.45,1873.49,1887.87,1821882,EQ,14575056,25,36437
2024-09-20,1889.57,1921.92,1881.83,1914.23,4225587,EQ,33804696,25,84511
2024-09-23,1927.27,1931.41,1912.04,1917.38,1118846,EQ,8950768,25,22376
2024-09-24,1917.43,1921.02,1895.81,1902.10,1461016,EQ,11688128,25,29220
2024-09-25,1902.45,1936.20,1893.51,1925.92,901659,EQ,7213272,25,18033
2024-09-26,1937.40,1985.59,1927.57,1980.14,2541200,EQ,20329600,25,50824
2024-09-27,1974.20,2027.18,1963.67,2008.01,3718693,EQ,29749544,25,74373
2024-09-30,2008.01,2016.25,1965.66,1970.76,1859917,EQ,14879336,25,37198
2024-10-01,1970.36,2004.41,1966.41,1972.60,1326900,EQ,10615200,25,26538
2024-10-03,1958.37,1967.41,1893.96,1910.84,1702709,EQ,13621672,25,34054
2024-10-04,1910.74,1932.41,1862.75,1882.03,2423416,EQ,19387328,25,48468
2024-10-07,1882.03,1899.05,1866.30,1876.78,1423722,EQ,11389776,25,28474
2024-10-08,1870.69,1891.41,1830.65,1835.69,1423384,EQ,11387072,25,28467
2024-10-09,1846.52,1878.68,1833.09,1864.45,1411255,EQ,11290040,25,28225
2024-10-10,1872.29,1885.32,1857.51,1873.19,1209065,EQ,9672520,25,24181
2024-10-11,1873.44,1881.28,1852.62,1873.89,516757,EQ,4134056,25,10335
2024-10-14,1882.58,1882.58,1860.06,1864.70,809881,EQ,6479048,25,16197
2024-10-15,1871.09,1893.21,1839.53,1851.47,2072690,EQ,16581520,25,41453
2024-10-16,1852.52,1868.49,1844.78,1859.56,850008,EQ,6800064,25,17000
2024-10-17,1865.50,1866.95,1806.68,1813.37,1115879,EQ,8927032,25,22317
2024-10-18,1812.57,1830.84,1790.60,1817.46,990257,EQ,7922056,25,19805
2024-10-21,1819.56,1821.46,1751.60,1756.05,1663903,EQ,13311224,25,33278
2024-10-22,1756.20,1768.58,1713.85,1720.29,3142294,EQ,25138352,25,62845
2024-10-23,1725.24,1777.12,1725.24,1737.37,2585058,EQ,20680464,25,51701
2024-10-24,1737.72,1761.64,1716.35,1739.77,1502718,EQ,12021744,25,30054
2024-10-25,1739.77,1749.55,1695.83,1705.11,875973,EQ,7007784,25,17519
2024-10-28,1708.46,1735.52,1699.67,1728.13,653158,EQ,5225264,25,13063
2024-10-29,1722.84,1773.12,1700.72,1764.33,1561586,EQ,12492688,25,31231
2024-10-30,1764.33,1775.07,1737.87,1750.10,826677,EQ,6613416,25,16533
2024-10-31,1742.86,1752.65,1722.74,1748.41,869480,EQ,6955840,25,17389
2024-11-01,1759.64,1769.78,1743.96,1752.35,134827,EQ,1078616,25,2696
2024-11-04,1752.35,1755.65,1691.78,1710.21,1294236,EQ,10353888,25,25884
2024-11-05,1711.80,1741.96,1683.74,1733.33,1646381,EQ,13171048,25,32927
2024-11-06,1729.78,1757.34,1729.78,1746.36,926170,EQ,7409360,25,18523
2024-11-07,1742.66,1754.65,1702.77,1727.38,855044,EQ,6840352,25,17100
2024-11-08,1736.67,1741.17,1714.70,1737.42,869560,EQ,6956480,25,17391
2024-11-11,1725.24,1749.60,1710.76,1715.15,696798,EQ,5574384,25,13935
2024-11-12,1722.69,1730.63,1686.49,1689.48,903492,EQ,7227936,25,18069
2024-11-13,1687.74,1693.68,1655.23,1662.22,668302,EQ,5346416,25,13366
2024-11-14,1662.77,1671.31,1631.36,1637.60,744472,EQ,5955776,25,14889
2024-11-18,1631.81,1639.75,1607.84,1613.84,1618700,EQ,12949600,25,32374
2024-11-19,1620.78,1623.77,1578.43,1594.21,2569730,EQ,20557840,25,51394
2024-11-21,1593.86,1593.86,1563.15,1567.15,984265,EQ,7874120,25,19685
2024-11-22,1567.85,1603.85,1559.96,1598.71,2082813,EQ,16662504,25,41656
2024-11-25,1615.83,1636.61,1597.86,1602.75,2191916,EQ,17535328,25,43838
2024-11-26,1612.74,1612.74,1579.88,1592.27,2483861,EQ,19870888,25,49677
