date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,698.47,712.70,698.47,711.23,20443670,EQ,163549360,25,408873
2024-09-02,718.52,735.91,714.08,734.92,22963780,EQ,183710240,25,459275
2024-09-03,736.90,736.90,711.82,726.40,18986560,EQ,151892480,25,379731
2024-09-04,716.64,728.70,715.68,721.04,8867460,EQ,70939680,25,177349
2024-09-05,723.07,723.72,710.52,715.65,6734470,EQ,53875760,25,134689
2024-09-06,716.70,730.47,716.70,722.78,18428270,EQ,147426160,25,368565
2024-09-09,723.46,728.79,717.42,725.78,8789380,EQ,70315040,25,175787
2024-09-10,728.00,728.00,710.52,715.35,13089320,EQ,104714560,25,261786
2024-09-11,716.15,734.13,711.83,725.59,11048900,EQ,88391200,25,220978
2024-09-12,732.94,734.92,720.75,733.76,14467640,EQ,115741120,25,289352
2024-09-13,733.76,756.65,726.23,750.58,22084380,EQ,176675040,25,441687
2024-09-16,758.63,758.63,723.26,725.61,26795550,EQ,214364400,25,535911
2024-09-17,724.79,736.40,719.72,727.56,15677860,EQ,125422880,25,313557
2024-09-18,729.71,757.89,728.84,753.80,29749930,EQ,237999440,25,594998
2024-09-19,758.13,765.34,746.77,749.77,17206440,EQ,137651520,25,344128
2024-09-20,754.18,756.16,739.59,748.99,16450040,EQ,131600320,25,329000
2024-09-23,753.27,754.28,743.98,750.24,5734970,EQ,45879760,25,114699
2024-09-24,750.43,751.07,739.26,746.20,10695400,EQ,85563200,25,213908
2024-09-25,745.29,754.68,740.65,753.09,12720380,EQ,101763040,25,254407
2024-09-26,754.68,768.45,749.49,767.36,16681650,EQ,133453200,25,333633
2024-09-27,768.50,771.47,761.69,766.13,11781310,EQ,94250480,25,235626
2024-09-30,765.15,772.85,758.25,760.90,9619520,EQ,76956160,25,192390
2024-10-01,756.66,771.93,755.76,760.90,7882880,EQ,63063040,25,157657
2024-10-03,751.71,760.60,729.09,734.31,10406620,EQ,83252960,25,208132
2024-10-04,732.94,733.93,706.77,712.33,17681110,EQ,141448880,25,353622
2024-10-07,712.33,723.46,710.25,718.07,9362270,EQ,74898160,25,187245
2024-10-08,717.62,720.64,707.27,709.92,9038050,EQ,72304400,25,180761
2024-10-09,712.79,733.62,711.82,721.13,10543750,EQ,84350000,25,210875
2024-10-10,723.07,727.81,718.42,723.04,5594270,EQ,44754160,25,111885
2024-10-11,723.56,724.05,713.79,721.29,3615870,EQ,28926960,25,72317
2024-10-14,720.37,722.46,711.21,712.08,4451810,EQ,35614480,25,89036
2024-10-15,715.65,716.76,689.38,693.13,14855670,EQ,118845360,25,297113
2024-10-16,692.44,697.32,683.55,687.14,11256980,EQ,90055840,25,225139
2024-10-17,689.57,691.34,678.71,681.53,6897550,EQ,55180400,25,137951
2024-10-18,680.89,685.40,673.75,681.53,7449290,EQ,59594320,25,148985
2024-10-21,682.47,686.59,663.53,669.81,22099660,EQ,176797280,25,441993
2024-10-22,671.70,674.96,656.26,659.64,17006190,EQ,136049520,25,340123
2024-10-23,652.51,701.22,652.04,691.04,26373910,EQ,210991280,25,527478
2024-10-24,692.69,703.59,690.53,695.50,8951250,EQ,71610000,25,179025
2024-10-25,695.50,697.38,680.92,682.58,10223240,EQ,81785920,25,204464
2024-10-28,683.55,695.90,679.11,682.70,7149810,EQ,57198480,25,142996
2024-10-29,682.48,697.38,671.92,693.68,14097500,EQ,112780000,25,281950
2024-10-30,691.36,693.48,684.74,687.01,5660440,EQ,45283520,25,113208
2024-10-31,686.42,688.57,679.58,680.57,7301530,EQ,58412240,25,146030
2024-11-01,684.54,685.98,681.78,683.91,450110,EQ,3600880,25,9002
2024-11-04,688.99,688.99,667.05,676.02,7162390,EQ,57299120,25,143247
2024-11-05,676.15,692.93,663.01,684.58,12234300,EQ,97874400,25,244686
2024-11-06,685.04,693.84,680.82,692.07,6962620,EQ,55700960,25,139252
2024-11-07,692.07,695.30,678.62,682.02,4590470,EQ,36723760,25,91809
2024-11-08,682.02,686.67,675.75,681.18,4248400,EQ,33987200,25,84968
2024-11-11,677.63,681.99,666.97,669.61,7623160,EQ,60985280,25,152463
2024-11-12,673.58,675.34,653.43,655.72,10572330,EQ,84578640,25,211446
2024-11-13,655.40,662.04,644.69,648.59,8673470,EQ,69387760,25,173469
2024-11-14,649.21,655.84,645.03,646.92,5277030,EQ,42216240,25,105540
2024-11-18,655.20,657.58,647.50,648.78,5965350,EQ,47722800,25,119307
