date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,234.52,237.70,233.77,234.19,12909590,EQ,103276720,25,258191
2024-09-02,235.04,239.67,232.32,237.75,17493446,EQ,139947568,25,349868
2024-09-03,237.56,238.45,234.43,234.76,9389384,EQ,75115072,25,187787
2024-09-04,232.18,233.58,226.94,228.01,17943213,EQ,143545704,25,358864
2024-09-05,229.42,229.51,225.53,228.34,14160225,EQ,113281800,25,283204
2024-09-06,228.01,228.67,220.10,220.85,21276104,EQ,170208832,25,425522
2024-09-09,220.85,222.11,216.78,220.57,15982999,EQ,127863992,25,319659
2024-09-10,222.21,222.35,220.05,220.71,10135668,EQ,81085344,25,202713
2024-09-11,220.99,222.11,217.01,217.99,11565080,EQ,92520640,25,231301
2024-09-12,220.05,222.77,218.37,222.02,8287067,EQ,66296536,25,165741
2024-09-13,223.61,225.81,221.65,224.22,15452772,EQ,123622176,25,309055
2024-09-16,225.16,226.56,223.38,223.94,6992312,EQ,55938496,25,139846
2024-09-17,224.74,225.34,223.05,224.27,6653415,EQ,53227320,25,133068
2024-09-18,223.80,225.58,222.02,222.77,10071196,EQ,80569568,25,201423
2024-09-19,223.61,226.23,216.31,220.85,15897092,EQ,127176736,25,317941
2024-09-20,222.77,224.27,220.05,220.52,17417523,EQ,139340184,25,348350
2024-09-23,222.21,229.79,220.99,228.95,16696706,EQ,133573648,25,333934
2024-09-24,228.76,231.38,226.51,228.11,10357559,EQ,82860472,25,207151
2024-09-25,228.11,229.56,225.25,227.73,9323772,EQ,74590176,25,186475
2024-09-26,228.48,230.31,226.33,229.56,7377443,EQ,59019544,25,147548
2024-09-27,229.60,234.10,229.04,233.73,21539028,EQ,172312224,25,430780
2024-09-30,231.76,235.60,230.49,232.04,12929732,EQ,103437856,25,258594
2024-10-01,234.10,235.41,232.32,233.08,8742175,EQ,69937400,25,174843
2024-10-03,230.16,233.88,228.01,229.47,13127876,EQ,105023008,25,262557
2024-10-04,231.97,239.44,228.80,234.65,41064802,EQ,328518416,25,821296
2024-10-07,235.97,237.17,223.84,227.24,18620251,EQ,148962008,25,372405
2024-10-08,227.54,232.87,225.53,231.52,14466416,EQ,115731328,25,289328
2024-10-09,232.78,234.57,228.72,230.65,19792122,EQ,158336976,25,395842
2024-10-10,231.37,236.06,229.31,230.40,17374776,EQ,138998208,25,347495
2024-10-11,231.11,232.41,226.73,227.00,9419288,EQ,75354304,25,188385
2024-10-14,228.29,230.12,227.17,229.00,6326914,EQ,50615312,25,126538
2024-10-15,229.47,232.36,226.78,228.30,10652623,EQ,85220984,25,213052
2024-10-16,228.28,229.97,227.26,228.62,5229639,EQ,41837112,25,104592
2024-10-17,228.62,229.60,224.48,226.57,10781332,EQ,86250656,25,215626
2024-10-18,225.34,232.93,222.72,232.20,10982434,EQ,87859472,25,219648
2024-10-21,232.23,235.22,229.27,230.14,7677386,EQ,61419088,25,153547
2024-10-22,229.42,229.89,218.27,218.79,10255996,EQ,82047968,25,205119
2024-10-23,218.79,224.59,214.68,222.83,16390552,EQ,131124416,25,327811
2024-10-24,221.67,230.07,221.27,229.20,11899296,EQ,95194368,25,237985
2024-10-25,228.48,230.26,219.35,224.29,13124438,EQ,104995504,25,262488
2024-10-28,224.74,237.45,224.64,234.02,34626442,EQ,277011536,25,692528
2024-10-29,234.01,238.78,231.77,238.37,15007577,EQ,120060616,25,300151
2024-10-30,238.50,240.08,234.67,235.49,13781718,EQ,110253744,25,275634
2024-10-31,235.46,238.01,232.41,235.00,7738588,EQ,61908704,25,154771
2024-11-01,236.07,238.03,235.97,237.56,1782431,EQ,14259448,25,35648
2024-11-04,237.38,239.34,231.81,236.58,15810287,EQ,126482296,25,316205
2024-11-05,237.56,243.46,235.46,241.50,16900651,EQ,135205208,25,338013
2024-11-06,243.51,247.21,242.62,245.85,21915311,EQ,175322488,25,438306
2024-11-07,246.27,249.46,244.40,246.04,11833629,EQ,94669032,25,236672
2024-11-08,245.99,245.99,237.99,240.28,13569792,EQ,108558336,25,271395
2024-11-11,239.72,243.04,236.72,241.92,9319722,EQ,74557776,25,186394
2024-11-12,242.53,243.93,235.97,236.63,6461353,EQ,51690824,25,129227
2024-11-13,234.24,236.77,226.51,227.83,15240064,EQ,121920512,25,304801
2024-11-14,227.97,231.20,225.53,226.14,6939685,EQ,55517480,25,138793
2024-11-18,226.14,228.34,221.13,226.05,15402466,EQ,123219728,25,308049
2024-11-19,227.08,230.35,221.22,222.11,12811548,EQ,102492384,25,256230
2024-11-21,222.11,222.30,205.87,213.97,32722184,EQ,261777472,25,654443
2024-11-22,214.44,222.86,214.44,220.99,16249864,EQ,129998912,25,324997
2024-11-25,226.61,232.51,225.48,231.38,18985964,EQ,151887712,25,379719
2024-11-26,231.38,234.10,229.79,231.76,5822108,EQ,46576864,25,116442
2024-11-27,231.76,233.96,229.09,230.78,9255064,EQ,74040512,25,185101
2024-11-28,231.71,235.97,229.98,233.16,12657927,EQ,101263416,25,253158
2024-11-29,233.58,234.52,228.72,230.73,9029433,EQ,72235464,25,180588
2024-12-02,230.35,231.76,228.76,230.74,7689533,EQ,61516264,25,153790
2024-12-03,231.95,238.78,231.46,238.36,15697277,EQ,125578216,25,313945
2024-12-04,238.78,245.06,238.05,244.00,16236326,EQ,129890608,25,324726
2024-12-05,244.35,245.69,242.11,243.44,12264971,EQ,98119768,25,245299
2024-12-06,244.68,249.97,241.59,247.77,18607200,EQ,148857600,25,372144
2024-12-09,246.27,247.96,244.70,246.21,9706145,EQ,77649160,25,194122
2024-12-10,246.83,247.63,244.40,246.21,10964378,EQ,87715024,25,219287
2024-12-11,246.21,248.15,243.45,244.18,9109708,EQ,72877664,25,182194
2024-12-12,242.76,244.59,241.59,242.71,8971686,EQ,71773488,25,179433
2024-12-13,241.59,242.43,235.14,241.58,12263775,EQ,98110200,25,245275
2024-12-16,240.32,243.09,240.22,242.60,5025258,EQ,40202064,25,100505
2024-12-17,241.13,242.81,237.47,239.71,8889901,EQ,71119208,25,177798
2024-12-18,238.08,239.53,233.85,234.73,9707392,EQ,77659136,25,194147
2024-12-19,230.35,235.04,229.28,232.52,6211727,EQ,49693816,25,124234
2024-12-20,232.23,234.09,222.65,225.29,10949542,EQ,87596336,25,218990
2024-12-23,225.73,231.57,223.85,230.59,11064641,EQ,88517128,25,221292
