date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,292.84,298.11,290.42,295.30,28684991,EQ,229479928,25,573699
2024-09-02,297.92,297.92,291.11,292.93,11713172,EQ,93705376,25,234263
2024-09-03,295.99,297.33,292.79,293.18,13971488,EQ,111771904,25,279429
2024-09-04,293.18,297.87,291.36,294.96,17937646,EQ,143501168,25,358752
2024-09-05,295.01,295.50,286.13,286.72,26342723,EQ,210741784,25,526854
2024-09-06,286.47,286.47,278.28,279.81,30062372,EQ,240498976,25,601247
2024-09-09,278.23,280.70,272.07,277.79,29170063,EQ,233360504,25,583401
2024-09-10,278.73,284.50,278.53,281.93,19982334,EQ,159858672,25,399646
2024-09-11,282.62,286.57,280.55,284.20,21650737,EQ,173205896,25,433014
2024-09-12,287.01,288.59,285.14,287.80,16102095,EQ,128816760,25,322041
2024-09-13,289.09,290.07,285.73,286.08,12330463,EQ,98643704,25,246609
2024-09-16,287.01,288.30,284.55,286.52,9184637,EQ,73477096,25,183692
2024-09-17,286.62,286.97,280.11,280.50,15946216,EQ,127569728,25,318924
2024-09-18,281.10,282.18,276.66,279.07,10450571,EQ,83604568,25,209011
2024-09-19,280.21,281.05,263.53,269.06,44560220,EQ,356481760,25,891204
2024-09-20,270.34,275.67,269.21,273.65,38501362,EQ,308010896,25,770027
2024-09-23,276.26,282.87,274.93,282.48,19445968,EQ,155567744,25,388919
2024-09-24,282.48,289.48,280.75,287.90,25346532,EQ,202772256,25,506930
2024-09-25,290.07,291.06,283.81,285.98,19263084,EQ,154104672,25,385261
2024-09-26,286.72,288.00,285.19,286.62,18343882,EQ,146751056,25,366877
2024-09-27,288.45,290.91,285.34,289.53,208588855,EQ,1668710840,25,4171777
2024-09-30,289.53,290.67,279.81,281.29,32695169,EQ,261561352,25,653903
2024-10-01,281.29,282.77,278.78,280.16,13883476,EQ,111067808,25,277669
2024-10-03,271.38,282.48,271.38,274.98,27321529,EQ,218572232,25,546430
2024-10-04,274.98,278.14,269.90,273.50,17451235,EQ,139609880,25,349024
2024-10-07,273.70,275.18,261.46,263.78,21704629,EQ,173637032,25,434092
2024-10-08,263.43,277.74,262.00,276.51,29190708,EQ,233525664,25,583814
2024-10-09,278.23,282.77,274.78,278.63,18984175,EQ,151873400,25,379683
2024-10-10,280.16,285.73,279.62,283.07,19155691,EQ,153245528,25,383113
2024-10-11,283.36,284.80,280.36,282.08,9677338,EQ,77418704,25,193546
2024-10-14,282.28,285.34,280.85,281.88,11386559,EQ,91092472,25,227731
2024-10-15,283.32,285.58,281.93,284.99,14701531,EQ,117612248,25,294030
2024-10-16,284.30,287.16,280.95,281.88,11835439,EQ,94683512,25,236708
2024-10-17,282.23,284.06,277.94,280.75,11695551,EQ,93564408,25,233911
2024-10-18,279.12,283.96,274.09,283.32,10095514,EQ,80764112,25,201910
2024-10-21,282.48,283.61,277.35,278.53,8393942,EQ,67151536,25,167878
2024-10-22,278.23,278.38,267.04,268.02,15240897,EQ,121927176,25,304817
2024-10-23,267.38,271.03,262.74,265.06,13503954,EQ,108031632,25,270079
2024-10-24,265.41,269.50,264.77,267.73,10700271,EQ,85602168,25,214005
2024-10-25,267.38,272.31,254.01,268.71,40406841,EQ,323254728,25,808136
2024-10-28,273.00,274.24,263.83,266.44,24479817,EQ,195838536,25,489596
2024-10-29,267.58,280.70,267.23,279.86,34271117,EQ,274168936,25,685422
2024-10-30,279.66,290.81,278.28,284.70,40787587,EQ,326300696,25,815751
2024-10-31,284.10,284.60,279.96,281.10,18720310,EQ,149762480,25,374406
2024-11-01,282.82,286.37,282.18,284.80,5265231,EQ,42121848,25,105304
2024-11-04,285.14,285.14,276.56,280.36,15157659,EQ,121261272,25,303153
2024-11-05,278.73,283.36,273.45,282.53,18761867,EQ,150094936,25,375237
2024-11-06,283.66,300.24,283.36,297.82,52804364,EQ,422434912,25,1056087
2024-11-07,296.98,297.97,292.15,296.34,24357284,EQ,194858272,25,487145
2024-11-08,296.34,300.43,291.80,293.77,22935845,EQ,183486760,25,458716
2024-11-11,293.53,299.74,290.47,295.75,20155408,EQ,161243264,25,403108
2024-11-12,295.99,296.83,283.46,286.27,14292965,EQ,114343720,25,285859
2024-11-13,284.15,284.99,275.72,277.79,20001842,EQ,160014736,25,400036
2024-11-14,278.23,280.65,271.82,277.20,20541591,EQ,164332728,25,410831
2024-11-18,279.22,282.87,273.55,274.34,12999925,EQ,103999400,25,259998
2024-11-19,276.26,281.39,273.30,275.27,13160982,EQ,105287856,25,263219
2024-11-21,274.73,274.73,266.64,271.77,14858108,EQ,118864864,25,297162
2024-11-22,272.31,279.71,271.82,277.10,13268900,EQ,106151200,25,265378
2024-11-25,286.13,295.01,284.10,288.45,49366681,EQ,394933448,25,987333
2024-11-26,290.07,296.98,289.23,293.92,27347402,EQ,218779216,25,546948
2024-11-27,294.86,303.84,293.48,303.25,39464505,EQ,315716040,25,789290
2024-11-28,303.89,305.37,300.29,301.67,27772319,EQ,222178552,25,555446
2024-11-29,301.62,306.45,300.93,303.89,23241947,EQ,185935576,25,464838
2024-12-02,303.69,305.27,299.25,302.80,15549685,EQ,124397480,25,310993
2024-12-03,304.87,308.57,303.69,307.93,21405136,EQ,171241088,25,428102
2024-12-04,311.78,316.57,307.04,308.67,41441172,EQ,331529376,25,828823
2024-12-05,309.81,311.19,306.45,310.30,17911694,EQ,143293552,25,358233
2024-12-06,310.30,311.63,308.92,309.56,8359798,EQ,66878384,25,167195
2024-12-09,309.41,312.87,309.07,310.40,11830104,EQ,94640832,25,236602
2024-12-10,313.31,314.05,309.81,310.65,15811501,EQ,126492008,25,316230
2024-12-11,310.69,312.27,308.82,309.91,9281006,EQ,74248048,25,185620
