date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,563.98,568.86,562.11,562.99,354394,EQ,2835152,25,7087
2024-09-02,566.00,571.08,562.11,567.97,655142,EQ,5241136,25,13102
2024-09-03,567.97,572.80,566.94,568.66,471349,EQ,3770792,25,9426
2024-09-04,568.27,591.04,566.59,589.27,5339588,EQ,42716704,25,106791
2024-09-05,590.55,595.97,584.68,587.10,2116046,EQ,16928368,25,42320
2024-09-06,584.63,592.52,577.98,587.89,1767040,EQ,14136320,25,35340
2024-09-09,589.56,596.46,585.27,593.85,1339041,EQ,10712328,25,26780
2024-09-10,592.52,600.70,591.83,593.26,1156637,EQ,9253096,25,23132
2024-09-11,599.42,613.52,595.97,609.28,5029471,EQ,40235768,25,100589
2024-09-12,612.24,618.05,606.57,612.09,1923351,EQ,15386808,25,38467
2024-09-13,608.29,615.64,602.13,613.86,1082762,EQ,8662096,25,21655
2024-09-16,612.34,617.86,609.72,616.33,846694,EQ,6773552,25,16933
2024-09-17,613.32,620.62,607.31,613.77,904631,EQ,7237048,25,18092
2024-09-18,610.36,612.78,604.89,611.45,1302741,EQ,10421928,25,26054
2024-09-19,610.27,617.76,608.24,611.74,691021,EQ,5528168,25,13820
2024-09-20,613.22,617.12,606.42,614.06,932381,EQ,7459048,25,18647
2024-09-23,614.46,615.20,602.38,606.17,1379254,EQ,11034032,25,27585
2024-09-24,606.32,611.25,601.84,603.36,763937,EQ,6111496,25,15278
2024-09-25,600.41,609.28,591.73,607.26,959982,EQ,7679856,25,19199
2024-09-26,606.52,607.21,597.60,605.24,1803592,EQ,14428736,25,36071
2024-09-27,608.29,620.27,605.14,608.84,8924066,EQ,71392528,25,178481
2024-09-30,607.80,616.18,604.35,613.52,1430522,EQ,11444176,25,28610
2024-10-01,613.12,615.20,599.08,610.91,1098938,EQ,8791504,25,21978
2024-10-03,596.46,605.43,581.87,588.63,1567171,EQ,12537368,25,31343
2024-10-04,579.80,584.58,566.15,568.81,1777023,EQ,14216184,25,35540
2024-10-07,568.76,573.44,553.97,559.84,1238244,EQ,9905952,25,24764
2024-10-08,553.28,568.46,553.28,565.01,886312,EQ,7090496,25,17726
2024-10-09,567.97,576.75,564.08,567.68,895473,EQ,7163784,25,17909
2024-10-10,568.32,573.79,563.73,565.21,699203,EQ,5593624,25,13984
2024-10-11,564.72,566.64,557.87,563.49,657654,EQ,5261232,25,13153
2024-10-14,562.94,567.97,557.03,560.43,726045,EQ,5808360,25,14520
2024-10-15,564.08,580.29,564.08,573.05,2560859,EQ,20486872,25,51217
2024-10-16,573.34,575.46,559.49,561.66,491083,EQ,3928664,25,9821
2024-10-17,563.93,564.62,548.70,550.27,504715,EQ,4037720,25,10094
2024-10-18,550.27,550.47,541.30,548.50,818515,EQ,6548120,25,16370
2024-10-21,549.34,557.47,546.53,548.80,775279,EQ,6202232,25,15505
2024-10-22,548.65,551.70,528.49,530.85,622476,EQ,4979808,25,12449
2024-10-23,529.47,532.92,522.92,527.06,517436,EQ,4139488,25,10348
2024-10-24,530.85,543.72,528.09,536.32,1003315,EQ,8026520,25,20066
2024-10-25,540.27,545.00,526.42,529.37,1092908,EQ,8743264,25,21858
2024-10-28,533.51,540.61,527.30,531.59,427883,EQ,3423064,25,8557
2024-10-29,535.34,541.20,523.56,537.80,585566,EQ,4684528,25,11711
2024-10-30,535.09,542.58,531.94,539.18,976488,EQ,7811904,25,19529
2024-10-31,538.59,540.02,520.80,529.23,1514198,EQ,12113584,25,30283
2024-11-01,531.39,535.09,521.63,524.25,229817,EQ,1838536,25,4596
2024-11-04,524.25,526.22,512.66,517.10,603925,EQ,4831400,25,12078
2024-11-05,517.10,519.86,502.80,506.16,1320133,EQ,10561064,25,26402
2024-11-06,503.30,521.04,500.83,517.74,2276886,EQ,18215088,25,45537
2024-11-07,519.47,519.56,506.70,508.97,755213,EQ,6041704,25,15104
