date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,1543.51,1575.24,1529.41,1556.29,37820442,EQ,302563536,25,756408
2024-09-02,1571.91,1571.91,1533.22,1538.95,4890314,EQ,39122512,25,97806
2024-09-03,1546.45,1546.45,1526.47,1528.43,4546295,EQ,36370360,25,90925
2024-09-04,1525.88,1533.71,1510.21,1529.70,5213811,EQ,41710488,25,104276
2024-09-05,1526.86,1530.78,1509.72,1515.30,5652812,EQ,45222496,25,113056
2024-09-06,1520.79,1523.53,1498.65,1507.52,5497805,EQ,43982440,25,109956
2024-09-09,1491.85,1514.86,1491.85,1510.85,3912508,EQ,31300064,25,78250
2024-09-10,1513.29,1553.30,1513.29,1545.32,6163457,EQ,49307656,25,123269
2024-09-11,1545.91,1565.94,1541.99,1545.27,5994914,EQ,47959312,25,119898
2024-09-12,1563.24,1618.73,1557.32,1612.80,12204496,EQ,97635968,25,244089
2024-09-13,1616.96,1620.78,1597.42,1600.75,5609618,EQ,44876944,25,112192
2024-09-16,1600.75,1618.87,1596.49,1601.73,3762063,EQ,30096504,25,75241
2024-09-17,1615.98,1631.70,1604.72,1627.49,4223072,EQ,33784576,25,84461
2024-09-18,1621.08,1636.50,1613.88,1620.78,3171195,EQ,25369560,25,63423
2024-09-19,1613.73,1676.41,1613.73,1630.53,8498240,EQ,67985920,25,169964
2024-09-20,1636.55,1687.87,1631.65,1676.46,21646275,EQ,173170200,25,432925
2024-09-23,1683.56,1718.08,1683.56,1714.36,5001827,EQ,40014616,25,100036
2024-09-24,1715.88,1731.11,1710.10,1720.43,7579205,EQ,60633640,25,151584
2024-09-25,1719.36,1730.47,1709.02,1724.11,4017103,EQ,32136824,25,80342
2024-09-26,1733.51,1742.32,1710.15,1734.59,7417423,EQ,59339384,25,148348
2024-09-27,1719.01,1727.09,1686.99,1698.84,7116861,EQ,56934888,25,142337
2024-09-30,1678.66,1697.27,1669.07,1674.31,6907288,EQ,55258304,25,138145
2024-10-01,1669.85,1687.33,1661.03,1663.68,3649090,EQ,29192720,25,72981
2024-10-03,1630.67,1660.06,1630.67,1638.95,7200276,EQ,57602208,25,144005
2024-10-04,1635.62,1651.93,1596.54,1607.07,8576527,EQ,68612216,25,171530
2024-10-07,1616.96,1635.57,1608.59,1627.78,5387707,EQ,43101656,25,107754
2024-10-08,1628.32,1644.87,1617.94,1623.28,5224335,EQ,41794680,25,104486
2024-10-09,1632.39,1669.46,1626.81,1643.50,3414614,EQ,27316912,25,68292
2024-10-10,1651.83,1663.92,1630.67,1643.50,5047657,EQ,40381256,25,100953
2024-10-11,1643.50,1655.40,1624.45,1652.61,2367678,EQ,18941424,25,47353
2024-10-14,1651.24,1674.80,1644.73,1660.64,2069815,EQ,16558520,25,41396
2024-10-15,1672.79,1697.03,1664.90,1681.85,5891334,EQ,47130672,25,117826
2024-10-16,1684.54,1706.33,1681.70,1698.20,3299887,EQ,26399096,25,65997
2024-10-17,1700.94,1702.12,1659.47,1666.08,4373392,EQ,34987136,25,87467
2024-10-18,1674.75,1680.72,1650.46,1672.64,4154915,EQ,33239320,25,83098
2024-10-21,1670.39,1673.72,1627.74,1657.66,3836168,EQ,30689344,25,76723
2024-10-22,1657.12,1677.59,1652.56,1657.36,3070057,EQ,24560456,25,61401
2024-10-23,1655.16,1666.27,1645.46,1651.04,2764757,EQ,22118056,25,55295
2024-10-24,1652.22,1658.10,1623.23,1643.85,3669575,EQ,29356600,25,73391
2024-10-25,1646.44,1650.02,1621.71,1631.65,3434386,EQ,27475088,25,68687
2024-10-28,1623.96,1643.26,1611.72,1629.06,2811651,EQ,22493208,25,56233
2024-10-29,1616.47,1633.56,1576.81,1603.35,6990747,EQ,55925976,25,139814
2024-10-30,1594.24,1616.96,1584.45,1599.68,4622628,EQ,36981024,25,92452
2024-10-31,1600.31,1605.01,1569.12,1579.35,4921681,EQ,39373448,25,98433
2024-11-01,1586.60,1592.82,1572.25,1583.12,279441,EQ,2235528,25,5588
2024-11-04,1585.77,1590.37,1540.62,1558.44,6094029,EQ,48752232,25,121880
2024-11-05,1550.61,1561.04,1533.71,1545.86,6473278,EQ,51786224,25,129465
2024-11-06,1550.36,1577.54,1534.20,1565.84,6631728,EQ,53053824,25,132634
2024-11-07,1563.05,1575.39,1537.29,1543.31,5160994,EQ,41287952,25,103219
2024-11-08,1538.61,1546.94,1526.71,1537.53,3096384,EQ,24771072,25,61927
2024-11-11,1528.82,1548.99,1519.81,1528.38,3664301,EQ,29314408,25,73286
2024-11-12,1536.46,1562.12,1518.14,1523.58,4479934,EQ,35839472,25,89598
2024-11-13,1527.74,1540.08,1514.47,1518.49,5816699,EQ,46533592,25,116333
2024-11-14,1518.04,1535.67,1504.87,1518.53,5139154,EQ,41113232,25,102783
2024-11-18,1536.60,1536.60,1497.92,1505.31,4816078,EQ,38528624,25,96321
2024-11-19,1505.31,1525.88,1487.98,1494.05,6238241,EQ,49905928,25,124764
2024-11-21,1506.29,1510.26,1479.85,1493.71,7356679,EQ,58853432,25,147133
2024-11-22,1501.40,1542.53,1488.86,1536.95,7640321,EQ,61122568,25,152806
2024-11-25,1549.34,1576.07,1530.34,1546.20,12155641,EQ,97245128,25,243112
2024-11-26,1557.22,1571.76,1533.71,1544.73,4030593,EQ,32244744,25,80611
2024-11-27,1536.80,1551.10,1522.11,1545.12,4982785,EQ,39862280,25,99655
2024-11-28,1538.61,1555.75,1524.85,1528.23,6714728,EQ,53717824,25,134294
2024-11-29,1519.17,1614.91,1519.17,1593.60,10775801,EQ,86206408,25,215516
2024-12-02,1593.60,1612.26,1583.86,1609.71,3790108,EQ,30320864,25,75802
2024-12-03,1618.82,1618.82,1579.89,1587.14,9131055,EQ,73048440,25,182621
2024-12-04,1596.15,1596.88,1549.78,1551.44,8772014,EQ,70176112,25,175440
2024-12-05,1567.01,1588.61,1552.67,1582.05,10324005,EQ,82592040,25,206480
2024-12-06,1584.64,1591.16,1561.92,1564.91,4296866,EQ,34374928,25,85937
2024-12-09,1563.00,1572.79,1556.29,1569.51,4264409,EQ,34115272,25,85288
2024-12-10,1577.35,1578.62,1537.68,1546.10,14645786,EQ,117166288,25,292915
2024-12-11,1555.26,1555.26,1538.81,1553.30,3853182,EQ,30825456,25,77063
2024-12-12,1545.96,1584.54,1545.96,1577.35,13120939,EQ,104967512,25,262418
2024-12-13,1584.64,1650.26,1573.67,1647.08,12900707,EQ,103205656,25,258014
2024-12-16,1647.08,1652.22,1625.92,1628.27,4375126,EQ,35001008,25,87502
2024-12-17,1616.47,1624.45,1575.34,1582.00,6182486,EQ,49459888,25,123649
2024-12-18,1587.97,1589.54,1563.19,1568.87,3905144,EQ,31241152,25,78102
2024-12-19,1553.69,1576.56,1552.76,1567.31,5865855,EQ,46926840,25,117317
2024-12-20,1576.81,1588.85,1540.96,1545.57,9738879,EQ,77911032,25,194777
2024-12-23,1553.30,1574.31,1545.81,1554.18,4363599,EQ,34908792,25,87271
2024-12-24,1557.22,1565.84,1542.53,1551.25,3610076,EQ,28880608,25,72201
2024-12-26,1551.25,1573.72,1548.50,1566.52,3400479,EQ,27203832,25,68009
2024-12-27,1566.52,1594.88,1563.39,1566.87,2559578,EQ,20476624,25,51191
2024-12-30,1571.91,1579.79,1548.50,1554.18,4438130,EQ,35505040,25,88762
2024-12-31,1550.36,1564.27,1531.12,1555.02,2249626,EQ,17997008,25,44992
2025-01-01,1560.16,1573.43,1551.39,1562.80,1405565,EQ,11244520,25,28111
2025-01-02,1566.92,1586.21,1555.65,1576.51,3728040,EQ,29824320,25,74560
2025-01-03,1581.70,1583.66,1560.45,1565.89,3669685,EQ,29357480,25,73393
2025-01-06,1563.24,1576.66,1534.79,1555.70,4584188,EQ,36673504,25,91683
2025-01-07,1561.14,1569.95,1551.39,1558.05,2830856,EQ,22646848,25,56617
2025-01-08,1565.79,1580.19,1545.32,1566.23,3674564,EQ,29396512,25,73491
2025-01-09,1567.01,1586.80,1559.57,1573.92,4684859,EQ,37478872,25,93697
2025-01-10,1574.85,1591.50,1558.98,1582.59,4145892,EQ,33167136,25,82917
2025-01-13,1547.43,1581.41,1545.57,1564.27,3705039,EQ,29640312,25,74100
2025-01-14,1571.62,1599.73,1545.96,1567.11,7284572,EQ,58276576,25,145691
2025-01-15,1574.90,1580.58,1560.16,1574.31,2960985,EQ,23687880,25,59219
2025-01-16,1585.67,1601.29,1567.55,1596.59,5299325,EQ,42394600,25,105986
2025-01-17,1596.49,1605.21,1589.54,1593.95,2678801,EQ,21430408,25,53576
2025-01-20,1604.23,1611.09,1584.74,1607.32,3933044,EQ,31464352,25,78660
2025-01-21,1619.90,1622.54,1586.90,1592.62,7958844,EQ,63670752,25,159176
2025-01-22,1593.95,1607.17,1589.10,1598.11,3262136,EQ,26097088,25,65242
2025-01-23,1591.01,1611.48,1583.86,1602.27,2457080,EQ,19656640,25,49141
2025-01-24,1600.36,1627.64,1600.36,1610.89,3620058,EQ,28960464,25,72401
2025-01-27,1605.16,1613.24,1560.84,1569.56,6622807,EQ,52982456,25,132456
2025-01-28,1574.51,1596.69,1564.08,1584.99,5216471,EQ,41731768,25,104329
2025-01-29,1586.60,1593.36,1560.31,1567.45,5009227,EQ,40073816,25,100184
2025-01-30,1573.58,1611.04,1562.31,1606.92,4283637,EQ,34269096,25,85672
2025-01-31,1605.31,1605.31,1541.79,1592.77,8340866,EQ,66726928,25,166817
2025-02-01,1593.46,1610.11,1576.02,1589.78,2741589,EQ,21932712,25,54831
2025-02-03,1586.50,1626.76,1574.95,1618.28,4146970,EQ,33175760,25,82939
2025-02-04,1627.88,1633.91,1595.46,1627.20,6385876,EQ,51087008,25,127717
2025-02-05,1635.57,1640.66,1615.10,1626.22,3920893,EQ,31367144,25,78417
2025-02-06,1631.56,1632.93,1579.99,1586.36,5229162,EQ,41833296,25,104583
2025-02-07,1601.34,1672.35,1601.29,1642.18,14873255,EQ,118986040,25,297465
2025-02-10,1663.83,1664.95,1643.45,1658.15,6782878,EQ,54263024,25,135657
2025-02-11,1670.83,1671.47,1651.44,1661.77,8965266,EQ,71722128,25,179305
2025-02-12,1668.87,1678.37,1649.77,1676.26,7148192,EQ,57185536,25,142963
2025-02-13,1674.75,1692.77,1668.77,1679.25,5356002,EQ,42848016,25,107120
2025-02-14,1678.66,1688.56,1670.09,1681.65,5125863,EQ,41006904,25,102517
2025-02-17,1676.46,1681.50,1631.90,1641.01,4906462,EQ,39251696,25,98129
2025-02-18,1657.12,1660.99,1621.66,1634.49,7529598,EQ,60236784,25,150591
2025-02-19,1635.57,1638.95,1604.67,1611.28,7776555,EQ,62212440,25,155531
2025-02-20,1606.04,1615.79,1593.70,1609.62,5524503,EQ,44196024,25,110490
2025-02-21,1609.62,1624.50,1595.61,1605.45,5447583,EQ,43580664,25,108951
2025-02-24,1593.46,1603.79,1565.05,1568.29,4673190,EQ,37385520,25,93463
2025-02-25,1564.08,1615.15,1564.08,1607.56,6286808,EQ,50294464,25,125736
2025-02-27,1609.52,1621.86,1604.87,1616.37,7568745,EQ,60549960,25,151374
2025-02-28,1608.10,1614.47,1527.35,1537.83,13640211,EQ,109121688,25,272804
2025-03-03,1546.45,1569.71,1540.33,1562.90,6993525,EQ,55948200,25,139870
2025-03-04,1556.24,1557.71,1535.67,1542.87,5219668,EQ,41757344,25,104393
2025-03-05,1545.47,1592.58,1544.59,1584.89,6295425,EQ,50363400,25,125908
2025-03-06,1584.64,1598.11,1557.66,1593.36,5174009,EQ,41392072,25,103480
2025-03-07,1595.42,1608.54,1582.29,1597.08,3035558,EQ,24284464,25,60711
2025-03-10,1606.19,1620.78,1593.07,1597.33,3778450,EQ,30227600,25,75569
2025-03-11,1596.40,1641.84,1590.57,1628.67,6078564,EQ,48628512,25,121571
2025-03-12,1655.16,1681.26,1600.31,1608.98,9907628,EQ,79261024,25,198152
2025-03-13,1616.77,1622.74,1596.00,1598.84,8317331,EQ,66538648,25,166346
2025-03-17,1578.96,1614.42,1578.96,1605.36,6405522,EQ,51244176,25,128110
2025-03-18,1605.36,1605.36,1605.36,1605.36,0,EQ,0,25,0
2025-03-19,1601.29,1608.20,1593.95,1603.40,6283464,EQ,50267712,25,125669
2025-03-20,1625.78,1674.40,1612.16,1670.09,12074465,EQ,96595720,25,241489
2025-03-21,1674.40,1695.70,1657.12,1690.22,14715349,EQ,117722792,25,294306
2025-03-24,1704.13,1704.13,1679.50,1683.36,4120999,EQ,32967992,25,82419
2025-03-25,1689.44,1704.62,1670.93,1694.82,4857399,EQ,38859192,25,97147
2025-03-26,1703.30,1728.61,1690.56,1702.71,7142394,EQ,57139152,25,142847
2025-03-27,1704.08,1710.40,1677.93,1689.14,6222339,EQ,49778712,25,124446
2025-03-28,1697.57,1709.76,1625.78,1697.66,4133264,EQ,33066112,25,82665
2025-04-01,1679.64,1728.61,1673.23,1688.60,6773056,EQ,54184448,25,135461
2025-04-02,1684.54,1724.11,1681.55,1718.43,6431226,EQ,51449808,25,128624
2025-04-03,1711.96,1718.77,1699.67,1710.00,2341989,EQ,18735912,25,46839
2025-04-04,1718.33,1734.29,1704.13,1707.51,7817334,EQ,62538672,25,156346
2025-04-07,1694.33,1738.16,1634.98,1651.88,14870388,EQ,118963104,25,297407
2025-04-08,1685.23,1706.38,1671.61,1684.93,7206935,EQ,57655480,25,144138
2025-04-09,1684.20,1691.25,1676.31,1680.18,5600666,EQ,44805328,25,112013
2025-04-11,1723.72,1730.57,1696.64,1720.39,8340002,EQ,66720016,25,166800
2025-04-15,1770.92,1782.48,1744.38,1761.72,10313411,EQ,82507288,25,206268
2025-04-16,1765.24,1788.84,1757.11,1785.02,6180958,EQ,49447664,25,123619
2025-04-17,1796.19,1858.58,1788.06,1850.15,10894325,EQ,87154600,25,217886
2025-04-21,1859.26,1865.04,1830.08,1844.57,3501123,EQ,28008984,25,70022
2025-04-22,1849.08,1849.08,1798.93,1814.01,6155127,EQ,49241016,25,123102
2025-04-23,1828.51,1847.02,1798.25,1842.81,6855027,EQ,54840216,25,137100
2025-04-24,1835.85,1839.09,1801.58,1807.55,5180688,EQ,41445504,25,103613
2025-04-25,1808.63,1823.32,1768.77,1779.74,4570083,EQ,36560664,25,91401
2025-04-28,1798.15,1800.99,1776.01,1784.24,3301891,EQ,26415128,25,66037
2025-04-29,1786.10,1809.71,1780.13,1786.20,4684155,EQ,37473240,25,93683
2025-04-30,1799.13,1838.21,1789.33,1826.06,9139821,EQ,73118568,25,182796
2025-05-02,1813.82,1844.77,1794.33,1810.10,3866806,EQ,30934448,25,77336
2025-05-05,1829.49,1834.88,1811.08,1827.53,3548839,EQ,28390712,25,70976
2025-05-06,1849.37,1872.58,1843.79,1861.81,8597920,EQ,68783360,25,171958
2025-05-07,1861.81,1877.48,1846.63,1857.69,5554616,EQ,44436928,25,111092
2025-05-08,1857.89,1866.51,1824.00,1836.25,5500724,EQ,44005792,25,110014
2025-05-09,1816.76,1832.52,1798.64,1810.29,3686209,EQ,29489672,25,73724
2025-05-12,1830.37,1844.57,1815.78,1832.23,3936019,EQ,31488152,25,78720
2025-05-13,1831.45,1844.86,1779.15,1783.07,8817763,EQ,70542104,25,176355
2025-05-14,1792.27,1832.13,1782.67,1796.39,7401614,EQ,59212912,25,148032
2025-05-15,1811.76,1831.35,1787.38,1828.71,8788351,EQ,70306808,25,175767
2025-05-16,1796.19,1796.19,1772.78,1776.60,100662047,EQ,805296376,25,2013240
2025-05-19,1784.44,1791.00,1771.70,1780.81,5799804,EQ,46398432,25,115996
2025-05-20,1772.49,1787.28,1762.40,1771.61,12512596,EQ,100100768,25,250251
2025-05-21,1775.62,1788.84,1768.08,1784.93,6849562,EQ,54796496,25,136991
2025-05-22,1782.38,1798.83,1778.85,1793.64,6496923,EQ,51975384,25,129938
2025-05-23,1787.38,1803.83,1783.95,1793.94,3460945,EQ,27687560,25,69218
2025-05-26,1796.19,1811.86,1793.15,1809.31,3254715,EQ,26037720,25,65094
2025-05-27,1805.98,1819.30,1795.90,1805.79,5847725,EQ,46781800,25,116954
2025-05-28,1809.90,1828.51,1807.06,1817.83,3713699,EQ,29709592,25,74273
2025-05-29,1819.69,1828.51,1812.35,1825.18,5786774,EQ,46294192,25,115735
2025-05-30,1815.78,1828.51,1805.00,1817.93,16712960,EQ,133703680,25,334259
2025-06-02,1805.98,1820.67,1793.74,1815.88,3199499,EQ,25595992,25,63989
2025-06-03,1828.51,1830.96,1794.23,1803.34,5596977,EQ,44775816,25,111939
2025-06-04,1816.76,1845.75,1811.86,1836.74,5892170,EQ,47137360,25,117843
2025-06-05,1845.16,1850.06,1830.08,1840.07,8999675,EQ,71997400,25,179993
2025-06-06,1833.50,1843.10,1828.80,1831.64,4644174,EQ,37153392,25,92883
2025-06-09,1835.36,1836.34,1810.59,1826.65,3649505,EQ,29196040,25,72990
2025-06-10,1828.12,1836.93,1812.15,1818.81,7925901,EQ,63407208,25,158518
2025-06-11,1819.60,1828.02,1809.71,1821.85,8907265,EQ,71258120,25,178145
2025-06-12,1833.31,1844.18,1793.84,1806.18,7346031,EQ,58768248,25,146920
2025-06-13,1777.58,1806.57,1777.58,1802.46,4613000,EQ,36904000,25,92260
2025-06-16,1804.12,1831.45,1800.89,1822.93,5722187,EQ,45777496,25,114443
2025-06-17,1840.26,1840.26,1809.51,1816.56,6561555,EQ,52492440,25,131231
2025-06-18,1809.51,1832.43,1805.10,1827.43,5069427,EQ,40555416,25,101388
2025-06-19,1833.41,1840.26,1825.67,1838.30,4712312,EQ,37698496,25,94246
2025-06-20,1841.24,1908.82,1835.36,1896.77,16228526,EQ,129828208,25,324570
2025-06-23,1890.21,1908.82,1887.37,1896.38,2946463,EQ,23571704,25,58929
2025-06-24,1910.68,1922.53,1889.33,1893.74,6837210,EQ,54697680,25,136744
2025-06-25,1901.96,1929.39,1898.05,1925.08,4152765,EQ,33222120,25,83055
2025-06-26,1929.39,1976.79,1925.76,1972.77,9413241,EQ,75305928,25,188264
2025-06-27,1968.56,1996.96,1967.19,1985.31,6405854,EQ,51246832,25,128117
2025-06-30,1976.40,1982.17,1958.96,1968.17,5597484,EQ,44779872,25,111949
2025-07-01,1967.58,1988.93,1965.53,1977.77,3769165,EQ,30153320,25,75383
2025-07-02,1995.00,2003.62,1976.69,1991.38,6513288,EQ,52106304,25,130265
2025-07-03,1999.71,2002.74,1971.40,1977.67,5558647,EQ,44469176,25,111172
2025-07-04,1985.21,1994.51,1963.76,1975.61,2178315,EQ,17426520,25,43566
2025-07-07,1976.40,1994.03,1969.15,1991.97,4165432,EQ,33323456,25,83308
2025-07-08,1984.23,1993.05,1973.26,1988.15,3624619,EQ,28996952,25,72492
2025-07-09,1993.05,1998.63,1957.30,1978.06,2937734,EQ,23501872,25,58754
2025-07-10,1986.78,1986.78,1921.84,1924.00,5695845,EQ,45566760,25,113916
2025-07-11,1901.96,1918.71,1874.74,1882.28,13103980,EQ,104831840,25,262079
2025-07-14,1875.52,1887.76,1861.02,1881.30,5269381,EQ,42155048,25,105387
2025-07-15,1885.12,1902.94,1883.55,1894.32,4163140,EQ,33305120,25,83262
2025-07-16,1903.92,1903.92,1889.04,1896.67,4211258,EQ,33690064,25,84225
2025-07-17,1903.63,1904.80,1887.86,1890.11,6256455,EQ,50051640,25,125129
2025-07-18,1891.30,1892.19,1868.29,1877.37,4643961,EQ,37151688,25,92879
2025-07-21,1871.25,1896.04,1869.08,1885.47,5109654,EQ,40877232,25,102193
2025-07-22,1885.47,1887.54,1859.60,1883.10,4513541,EQ,36108328,25,90270
2025-07-23,1896.14,1924.78,1883.59,1919.64,5194282,EQ,41554256,25,103885
2025-07-24,1919.64,1945.91,1909.67,1912.04,4150685,EQ,33205480,25,83013
2025-07-25,1912.04,1928.43,1901.07,1913.81,3896884,EQ,31175072,25,77937
2025-07-28,1906.01,1906.01,1861.57,1866.81,3575044,EQ,28600352,25,71500
2025-07-29,1856.63,1899.69,1856.63,1894.46,3748040,EQ,29984320,25,74960
2025-07-30,1909.96,1915.10,1898.21,1908.58,5044683,EQ,40357464,25,100893
2025-07-31,1889.22,1902.56,1872.04,1890.51,4674966,EQ,37399728,25,93499
2025-08-01,1890.21,1895.84,1854.66,1860.98,5192594,EQ,41540752,25,103851
2025-08-04,1868.48,1896.04,1855.15,1890.80,3074380,EQ,24595040,25,61487
