date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,290.15,291.89,288.21,289.01,9721851,EQ,77774808,25,194437
2024-09-02,289.46,290.45,283.54,285.28,6500598,EQ,52004784,25,130011
2024-09-03,285.68,288.66,284.33,284.83,5677328,EQ,45418624,25,113546
2024-09-04,282.00,283.29,275.33,277.22,14798436,EQ,118387488,25,295968
2024-09-05,277.52,278.96,268.82,272.10,18037015,EQ,144296120,25,360740
2024-09-06,270.61,271.75,261.75,262.40,20003822,EQ,160030576,25,400076
2024-09-09,262.30,264.39,256.83,260.66,17426762,EQ,139414096,25,348535
2024-09-10,261.75,266.28,260.46,263.10,11350960,EQ,90807680,25,227019
2024-09-11,263.64,265.78,255.98,257.38,10164459,EQ,81315672,25,203289
2024-09-12,258.77,265.09,258.27,264.59,12118164,EQ,96945312,25,242363
2024-09-13,265.58,266.03,261.85,262.90,7917998,EQ,63343984,25,158359
2024-09-16,262.90,269.26,262.35,268.07,10495634,EQ,83965072,25,209912
2024-09-17,268.32,268.42,262.85,263.44,7503456,EQ,60027648,25,150069
2024-09-18,263.54,266.58,261.36,263.89,8732556,EQ,69860448,25,174651
2024-09-19,265.19,266.33,248.13,255.79,17353175,EQ,138825400,25,347063
2024-09-20,257.08,265.38,256.48,264.74,13916388,EQ,111331104,25,278327
2024-09-23,272.55,274.14,267.77,272.75,21859230,EQ,174873840,25,437184
2024-09-24,273.54,281.95,270.86,280.75,21252167,EQ,170017336,25,425043
2024-09-25,281.30,283.19,277.32,280.65,12868230,EQ,102945840,25,257364
2024-09-26,280.65,281.80,276.43,279.16,8488686,EQ,67909488,25,169773
2024-09-27,283.54,289.56,281.70,286.02,45809973,EQ,366479784,25,916199
2024-09-30,283.29,283.39,273.19,278.22,22843205,EQ,182745640,25,456864
2024-10-01,278.91,283.99,277.52,278.96,13449947,EQ,107599576,25,268998
2024-10-03,272.75,276.38,264.94,267.52,15222490,EQ,121779920,25,304449
2024-10-04,267.52,271.30,260.86,266.18,11763747,EQ,94109976,25,235274
2024-10-07,268.07,268.52,252.80,255.29,11421742,EQ,91373936,25,228434
2024-10-08,254.64,266.08,253.55,264.09,16215450,EQ,129723600,25,324309
2024-10-09,263.94,267.87,261.11,262.90,8894689,EQ,71157512,25,177893
2024-10-10,263.89,271.70,263.74,269.91,12825979,EQ,102607832,25,256519
2024-10-11,269.81,272.45,267.08,268.57,6125003,EQ,49000024,25,122500
2024-10-14,269.21,271.80,265.88,267.32,5634973,EQ,45079784,25,112699
2024-10-15,268.57,271.15,266.33,270.16,5601497,EQ,44811976,25,112029
2024-10-16,270.21,274.09,267.42,268.17,5147947,EQ,41183576,25,102958
2024-10-17,268.37,269.06,251.61,252.85,20613475,EQ,164907800,25,412269
2024-10-18,252.45,254.44,245.19,252.50,18204264,EQ,145634112,25,364085
2024-10-21,254.14,256.58,243.70,246.34,12966258,EQ,103730064,25,259325
