date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,331.31,336.41,326.52,329.19,20312502,EQ,162500016,25,406250
2024-09-02,332.27,337.98,329.05,329.92,14344785,EQ,114758280,25,286895
2024-09-03,330.89,331.08,325.37,327.12,9289259,EQ,74314072,25,185785
2024-09-04,327.12,334.99,326.43,328.82,19416507,EQ,155332056,25,388330
2024-09-05,330.89,335.36,327.44,332.00,15927510,EQ,127420080,25,318550
2024-09-06,333.51,336.18,323.11,324.13,19044553,EQ,152356424,25,380891
2024-09-09,324.08,325.41,319.48,320.12,9200270,EQ,73602160,25,184005
2024-09-10,321.23,323.53,317.22,318.42,8137710,EQ,65101680,25,162754
2024-09-11,322.10,324.72,311.61,313.17,12194591,EQ,97556728,25,243891
2024-09-12,316.12,318.65,313.31,316.90,15970391,EQ,127763128,25,319407
2024-09-13,318.47,321.92,314.46,315.06,11006109,EQ,88048872,25,220122
2024-09-16,317.45,317.45,312.94,313.54,4850244,EQ,38801952,25,97004
2024-09-17,312.90,313.73,308.39,311.47,7237522,EQ,57900176,25,144750
2024-09-18,312.02,312.85,307.83,309.35,4111826,EQ,32894608,25,82236
2024-09-19,311.06,311.06,297.25,298.63,12549677,EQ,100397416,25,250993
2024-09-20,300.47,306.59,298.63,304.84,14642546,EQ,117140368,25,292850
2024-09-23,306.50,312.48,304.94,311.19,6110287,EQ,48882296,25,122205
2024-09-24,311.61,315.89,309.91,312.16,7068491,EQ,56547928,25,141369
2024-09-25,313.86,314.60,308.48,312.76,6087353,EQ,48698824,25,121747
2024-09-26,312.94,319.34,308.48,317.64,9517367,EQ,76138936,25,190347
2024-09-27,319.39,341.02,318.79,338.07,40756678,EQ,326053424,25,815133
2024-09-30,337.93,346.08,331.49,340.51,23860696,EQ,190885568,25,477213
2024-10-01,340.56,343.64,335.17,338.95,9440793,EQ,75526344,25,188815
2024-10-03,325.60,332.82,319.39,321.09,20754875,EQ,166039000,25,415097
2024-10-04,315.24,320.26,307.74,313.17,18185208,EQ,145481664,25,363704
2024-10-07,314.78,315.98,306.32,308.34,7847806,EQ,62782448,25,156956
2024-10-08,305.12,312.44,302.13,311.10,9565667,EQ,76525336,25,191313
2024-10-09,317.55,322.15,310.87,311.88,13523561,EQ,108188488,25,270471
2024-10-10,314.78,315.98,307.93,308.76,5706365,EQ,45650920,25,114127
2024-10-11,308.76,312.39,307.42,310.78,4046559,EQ,32372472,25,80931
2024-10-14,312.94,317.18,310.41,313.63,7967181,EQ,63737448,25,159343
2024-10-15,316.81,323.53,316.53,321.00,17183945,EQ,137471560,25,343678
2024-10-16,323.99,327.58,320.35,322.84,17073700,EQ,136589600,25,341474
2024-10-17,321.37,322.70,314.65,315.43,11023063,EQ,88184504,25,220461
2024-10-18,315.43,316.53,307.70,315.24,7328694,EQ,58629552,25,146573
2024-10-21,315.29,318.01,303.92,305.26,8609636,EQ,68877088,25,172192
2024-10-22,305.58,306.09,296.38,297.20,6372285,EQ,50978280,25,127445
2024-10-23,296.38,299.92,291.36,297.34,6639274,EQ,53114192,25,132785
2024-10-24,297.30,299.51,294.53,295.87,5706821,EQ,45654568,25,114136
2024-10-25,297.71,297.85,278.98,281.92,11583887,EQ,92671096,25,231677
2024-10-28,282.85,290.39,281.00,285.70,13299872,EQ,106398976,25,265997
2024-10-29,287.17,288.05,278.20,286.67,8437903,EQ,67503224,25,168758
2024-10-30,284.41,289.84,282.89,286.53,6248318,EQ,49986544,25,124966
2024-10-31,285.79,291.04,283.31,286.02,11375689,EQ,91005512,25,227513
2024-11-01,287.13,288.87,286.99,288.09,710149,EQ,5681192,25,14202
2024-11-04,288.09,288.55,274.38,279.30,14063318,EQ,112506544,25,281266
2024-11-05,277.05,284.46,276.31,283.44,9542018,EQ,76336144,25,190840
2024-11-06,286.99,293.61,282.80,291.77,10787602,EQ,86300816,25,215752
2024-11-07,291.18,292.42,286.34,289.93,7387875,EQ,59103000,25,147757
2024-11-08,289.93,290.02,282.39,285.74,9304376,EQ,74435008,25,186087
2024-11-11,283.49,289.01,279.85,287.68,5277147,EQ,42217176,25,105542
