date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,5672.89,5736.92,5624.64,5684.83,519387,EQ,4155096,25,10387
2024-09-02,5710.85,5761.24,5694.30,5749.78,307023,EQ,2456184,25,6140
2024-09-03,5760.32,5771.00,5699.15,5743.86,258133,EQ,2065064,25,5162
2024-09-04,5679.69,5762.60,5658.38,5754.06,219283,EQ,1754264,25,4385
2024-09-05,5739.69,5747.70,5663.52,5679.73,170014,EQ,1360112,25,3400
2024-09-06,5676.53,5713.52,5657.50,5673.47,213556,EQ,1708448,25,4271
2024-09-09,5689.39,5787.70,5676.05,5766.58,321187,EQ,2569496,25,6423
2024-09-10,5806.00,5835.08,5757.45,5796.15,337831,EQ,2702648,25,6756
2024-09-11,5779.79,5871.05,5774.15,5833.77,437060,EQ,3496480,25,8741
2024-09-12,5843.48,5950.32,5829.93,5931.44,548745,EQ,4389960,25,10974
2024-09-13,5959.35,5969.84,5881.05,5954.60,274846,EQ,2198768,25,5496
2024-09-16,5825.37,5951.59,5764.01,5886.54,352336,EQ,2818688,25,7046
2024-09-17,5896.68,6024.06,5892.51,5933.19,527917,EQ,4223336,25,10558
2024-09-18,5956.44,5987.07,5883.67,5945.03,218424,EQ,1747392,25,4368
2024-09-19,5950.52,6043.82,5935.71,5955.95,362388,EQ,2899104,25,7247
2024-09-20,5985.91,6076.49,5947.56,6029.79,663556,EQ,5308448,25,13271
2024-09-23,6053.77,6068.09,6010.62,6030.42,312563,EQ,2500504,25,6251
2024-09-24,6020.28,6064.11,6005.03,6022.61,234706,EQ,1877648,25,4694
2024-09-25,6022.46,6022.46,5923.96,6000.42,357145,EQ,2857160,25,7142
2024-09-26,6019.55,6087.90,5975.23,6072.07,327297,EQ,2618376,25,6545
2024-09-27,6056.15,6148.63,6000.91,6086.35,400543,EQ,3204344,25,8010
2024-09-30,6070.67,6177.71,6059.45,6153.68,442617,EQ,3540936,25,8852
2024-10-01,6123.34,6275.48,6123.34,6258.44,416639,EQ,3333112,25,8332
2024-10-03,6256.64,6281.59,6106.93,6147.46,495791,EQ,3966328,25,9915
2024-10-04,6095.52,6155.42,5999.98,6025.37,395753,EQ,3166024,25,7915
2024-10-07,6041.54,6053.53,5927.31,5942.17,374593,EQ,2996744,25,7491
2024-10-08,5959.06,6053.33,5875.90,6023.82,708471,EQ,5667768,25,14169
2024-10-09,5979.40,6004.98,5893.38,5919.79,551094,EQ,4408752,25,11021
2024-10-10,5948.67,5980.57,5806.00,5827.46,287475,EQ,2299800,25,5749
2024-10-11,5855.03,5863.72,5787.60,5804.49,94953,EQ,759624,25,1899
2024-10-14,5830.32,5848.96,5728.28,5804.06,219597,EQ,1756776,25,4391
2024-10-15,5841.24,5905.90,5812.70,5892.07,426219,EQ,3409752,25,8524
2024-10-16,5888.48,5936.05,5845.90,5912.85,276677,EQ,2213416,25,5533
2024-10-17,5912.85,5918.48,5792.60,5814.20,188121,EQ,1504968,25,3762
2024-10-18,5810.76,5823.43,5699.15,5715.85,354901,EQ,2839208,25,7098
2024-10-21,5715.85,5723.91,5594.88,5610.12,296733,EQ,2373864,25,5934
2024-10-22,5618.96,5635.07,5545.56,5560.31,320607,EQ,2564856,25,6412
2024-10-23,5532.74,5628.86,5524.44,5581.53,123095,EQ,984760,25,2461
2024-10-24,5583.47,5612.26,5438.56,5449.05,269803,EQ,2158424,25,5396
2024-10-25,5449.05,5540.36,5446.72,5504.39,176680,EQ,1413440,25,3533
2024-10-28,5511.77,5610.80,5504.39,5555.75,131887,EQ,1055096,25,2637
2024-10-29,5564.00,5592.26,5447.74,5502.55,204751,EQ,1638008,25,4095
2024-10-30,5501.67,5630.22,5477.40,5614.20,218180,EQ,1745440,25,4363
2024-10-31,5610.80,5612.74,5541.87,5560.22,208893,EQ,1671144,25,4177
2024-11-01,5600.66,5600.66,5487.55,5527.35,31706,EQ,253648,25,634
2024-11-04,5519.54,5533.08,5380.55,5461.48,249780,EQ,1998240,25,4995
2024-11-05,5470.17,5504.00,5422.01,5441.96,185870,EQ,1486960,25,3717
2024-11-06,5472.25,5552.55,5444.83,5529.15,233799,EQ,1870392,25,4675
2024-11-07,5543.81,5547.40,5442.84,5523.32,284538,EQ,2276304,25,5690
2024-11-08,5516.82,5624.25,5477.35,5579.88,306281,EQ,2450248,25,6125
2024-11-11,5632.79,5730.37,5243.95,5276.47,804824,EQ,6438592,25,16096
2024-11-12,5262.25,5268.95,4859.33,4881.22,2441209,EQ,19529672,25,48824
2024-11-13,4863.21,4939.52,4794.72,4899.62,928244,EQ,7425952,25,18564
2024-11-14,4899.62,4903.50,4758.36,4772.53,479979,EQ,3839832,25,9599
2024-11-18,4825.35,4825.35,4652.19,4768.40,439087,EQ,3512696,25,8781
2024-11-19,4781.61,4807.24,4736.61,4750.30,436205,EQ,3489640,25,8724
2024-11-21,4733.11,4742.82,4608.74,4663.55,1036549,EQ,8292392,25,20730
2024-11-22,4649.66,4729.23,4626.90,4707.24,410476,EQ,3283808,25,8209
2024-11-25,4762.24,4835.06,4732.14,4761.22,722912,EQ,5783296,25,14458
2024-11-26,4761.22,4883.89,4750.54,4867.68,314200,EQ,2513600,25,6284
2024-11-27,4867.68,4878.75,4797.19,4839.09,255840,EQ,2046720,25,5116
2024-11-28,4841.46,4866.66,4748.79,4780.35,321308,EQ,2570464,25,6426
2024-11-29,4737.97,4811.71,4737.97,4797.34,212644,EQ,1701152,25,4252
2024-12-02,4787.00,4814.67,4724.57,4764.42,314800,EQ,2518400,25,6296
2024-12-03,4756.95,4776.61,4733.94,4766.71,289449,EQ,2315592,25,5788
2024-12-04,4773.36,4829.13,4700.10,4710.34,392107,EQ,3136856,25,7842
2024-12-05,4718.55,4750.59,4665.73,4730.20,526114,EQ,4208912,25,10522
2024-12-06,4730.20,4763.89,4699.13,4729.08,236965,EQ,1895720,25,4739
2024-12-09,4703.94,4714.57,4611.80,4653.50,467154,EQ,3737232,25,9343
2024-12-10,4660.15,4689.37,4643.84,4647.92,264213,EQ,2113704,25,5284
2024-12-11,4668.06,4771.95,4653.74,4747.19,358246,EQ,2865968,25,7164
2024-12-12,4757.38,4766.07,4670.00,4687.82,406271,EQ,3250168,25,8125
2024-12-13,4683.60,4721.56,4634.08,4708.94,284721,EQ,2277768,25,5694
2024-12-16,4727.29,4727.29,4650.59,4705.44,208757,EQ,1670056,25,4175
2024-12-17,4676.32,4699.03,4626.46,4637.72,312523,EQ,2500184,25,6250
2024-12-18,4636.02,4659.23,4614.23,4643.45,228821,EQ,1830568,25,4576
2024-12-19,4611.75,4663.98,4588.11,4646.46,247805,EQ,1982440,25,4956
2024-12-20,4650.59,4667.58,4544.27,4561.36,363168,EQ,2905344,25,7263
2024-12-23,4568.06,4597.19,4528.06,4567.43,332554,EQ,2660432,25,6651
2024-12-24,4565.20,4627.82,4553.55,4606.02,227672,EQ,1821376,25,4553
2024-12-26,4616.51,4657.48,4570.97,4623.06,398117,EQ,3184936,25,7962
2024-12-27,4636.99,4667.43,4600.54,4630.49,131505,EQ,1052040,25,2630
2024-12-30,4621.17,4677.77,4600.10,4659.76,271403,EQ,2171224,25,5428
2024-12-31,4655.44,4655.44,4603.21,4624.13,255918,EQ,2047344,25,5118
2025-01-01,4613.89,4679.42,4613.89,4655.20,87260,EQ,698080,25,1745
2025-01-02,4650.63,4667.04,4585.63,4648.45,402766,EQ,3222128,25,8055
2025-01-03,4660.30,4718.02,4646.46,4693.40,341848,EQ,2734784,25,6836
2025-01-06,4731.66,4731.66,4634.37,4651.80,619930,EQ,4959440,25,12398
2025-01-07,4665.10,4743.60,4665.10,4691.61,450200,EQ,3601600,25,9004
2025-01-08,4708.84,4730.10,4621.60,4718.45,371105,EQ,2968840,25,7422
2025-01-09,4719.08,4903.02,4699.18,4782.92,832814,EQ,6662512,25,16656
2025-01-10,4785.06,4814.08,4739.57,4795.44,305669,EQ,2445352,25,6113
2025-01-13,4778.94,4852.43,4763.21,4783.65,448698,EQ,3589584,25,8973
2025-01-14,4804.91,4805.93,4708.94,4720.88,283367,EQ,2266936,25,5667
2025-01-15,4729.23,4793.50,4664.28,4735.05,242422,EQ,1939376,25,4848
2025-01-16,4743.84,4757.38,4605.05,4703.55,454269,EQ,3634152,25,9085
2025-01-17,4705.05,4780.20,4675.54,4713.11,492847,EQ,3942776,25,9856
2025-01-20,4718.55,4765.15,4695.88,4743.21,155962,EQ,1247696,25,3119
2025-01-21,4743.21,4800.25,4708.94,4761.12,377457,EQ,3019656,25,7549
2025-01-22,4786.51,4830.40,4741.07,4812.43,460132,EQ,3681056,25,9202
2025-01-23,4800.25,4896.17,4741.07,4866.71,361082,EQ,2888656,25,7221
2025-01-24,4891.08,4959.33,4867.24,4953.07,509954,EQ,4079632,25,10199
2025-01-27,4955.11,5063.22,4954.52,5025.59,937878,EQ,7503024,25,18757
