date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,103.32,105.05,103.31,104.23,21379047,EQ,171032376,25,427580
2024-09-02,104.54,105.93,102.81,105.39,28495435,EQ,227963480,25,569908
2024-09-03,105.70,106.04,103.93,104.13,16764307,EQ,134114456,25,335286
2024-09-04,100.98,102.48,100.84,101.50,28544684,EQ,228357472,25,570893
2024-09-05,102.20,102.20,100.70,101.12,28593475,EQ,228747800,25,571869
2024-09-06,100.93,100.93,96.22,96.62,60221990,EQ,481775920,25,1204439
2024-09-09,96.82,97.51,94.10,97.22,45565580,EQ,364524640,25,911311
2024-09-10,97.94,98.04,96.67,96.83,22295664,EQ,178365312,25,445913
2024-09-11,96.83,97.29,94.49,95.09,20777048,EQ,166216384,25,415540
2024-09-12,95.98,97.48,95.25,97.19,23673743,EQ,189389944,25,473474
2024-09-13,97.62,100.23,97.29,99.43,30088081,EQ,240704648,25,601761
2024-09-16,99.91,101.10,99.49,99.71,18598510,EQ,148788080,25,371970
2024-09-17,99.74,99.79,98.45,98.64,10915215,EQ,87321720,25,218304
2024-09-18,98.22,99.62,98.14,98.55,17234512,EQ,137876096,25,344690
2024-09-19,99.07,99.86,96.00,97.86,19006150,EQ,152049200,25,380123
2024-09-20,98.23,99.35,97.85,98.09,20245750,EQ,161966000,25,404915
2024-09-23,98.88,102.62,98.18,102.15,44004939,EQ,352039512,25,880098
2024-09-24,102.15,103.27,101.54,102.14,28379404,EQ,227035232,25,567588
2024-09-25,101.79,102.20,100.28,101.31,16444233,EQ,131553864,25,328884
2024-09-26,101.64,103.46,100.19,102.96,33028089,EQ,264224712,25,660561
2024-09-27,103.48,105.89,102.86,105.70,118637751,EQ,949102008,25,2372755
2024-09-30,105.61,106.07,103.56,104.05,20409076,EQ,163272608,25,408181
2024-10-01,103.79,105.10,102.79,103.26,17636415,EQ,141091320,25,352728
2024-10-03,100.93,103.26,100.19,100.90,26156379,EQ,209251032,25,523127
2024-10-04,100.93,103.13,99.54,100.58,22926805,EQ,183414440,25,458536
2024-10-07,101.16,101.92,95.64,96.72,39225162,EQ,313801296,25,784503
2024-10-08,96.92,98.41,95.98,98.08,16673844,EQ,133390752,25,333476
2024-10-09,99.02,99.35,96.76,97.57,28593344,EQ,228746752,25,571866
2024-10-10,98.24,99.62,97.10,97.32,12428432,EQ,99427456,25,248568
2024-10-11,97.76,97.90,96.87,97.25,11563438,EQ,92507504,25,231268
2024-10-14,97.66,98.54,97.13,97.65,11440300,EQ,91522400,25,228806
2024-10-15,98.13,98.41,97.20,97.60,8407143,EQ,67257144,25,168142
2024-10-16,97.60,98.06,96.84,97.54,11037275,EQ,88298200,25,220745
2024-10-17,97.77,98.07,95.52,95.79,14889333,EQ,119114664,25,297786
2024-10-18,95.42,98.12,94.18,97.82,19968661,EQ,159749288,25,399373
2024-10-21,98.04,98.69,95.98,96.13,13874672,EQ,110997376,25,277493
2024-10-22,96.13,96.13,90.01,90.46,30808126,EQ,246465008,25,616162
2024-10-23,90.65,92.01,88.26,91.30,31433274,EQ,251466192,25,628665
2024-10-24,91.59,93.13,91.14,91.77,16182512,EQ,129460096,25,323650
2024-10-25,92.01,92.69,86.90,88.07,30977098,EQ,247816784,25,619541
2024-10-28,89.16,94.86,88.55,94.10,55924681,EQ,447397448,25,1118493
2024-10-29,94.86,97.33,93.27,96.97,55169329,EQ,441354632,25,1103386
2024-10-30,96.73,98.08,96.19,96.60,29812887,EQ,238503096,25,596257
2024-10-31,96.26,97.34,95.47,95.93,15415779,EQ,123326232,25,308315
2024-11-01,97.01,97.65,96.50,97.16,4211783,EQ,33694264,25,84235
2024-11-04,97.66,97.66,92.99,95.24,32237064,EQ,257896512,25,644741
2024-11-05,94.96,97.12,94.67,96.89,22694396,EQ,181555168,25,453887
2024-11-06,98.11,99.07,96.69,98.36,30178638,EQ,241429104,25,603572
2024-11-07,98.60,99.52,97.97,98.20,17438397,EQ,139507176,25,348767
2024-11-08,98.17,98.22,96.43,96.91,19031613,EQ,152252904,25,380632
2024-11-11,96.26,98.26,95.05,97.09,16982584,EQ,135860672,25,339651
2024-11-12,97.34,97.94,94.50,94.86,14401385,EQ,115211080,25,288027
2024-11-13,94.39,95.33,91.16,91.90,29270560,EQ,234164480,25,585411
2024-11-14,92.52,93.89,90.86,91.11,17064169,EQ,136513352,25,341283
2024-11-18,91.12,92.34,89.46,91.76,17115166,EQ,136921328,25,342303
2024-11-19,92.74,94.64,90.75,91.41,21458767,EQ,171670136,25,429175
2024-11-21,91.54,91.54,86.47,88.28,40836258,EQ,326690064,25,816725
2024-11-22,88.87,91.38,88.74,90.66,26716825,EQ,213734600,25,534336
2024-11-25,93.46,94.79,92.88,94.37,40537064,EQ,324296512,25,810741
2024-11-26,94.84,95.86,94.02,95.13,16210652,EQ,129685216,25,324213
2024-11-27,95.33,95.98,94.21,94.92,17400124,EQ,139200992,25,348002
2024-11-28,95.84,96.65,95.20,96.17,21562794,EQ,172502352,25,431255
2024-11-29,96.58,96.96,94.16,95.34,21218297,EQ,169746376,25,424365
