date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,1458.80,1459.20,1422.69,1451.92,1764924,EQ,14119392,25,35298
2024-09-02,1456.31,1490.22,1448.88,1482.54,1830962,EQ,14647696,25,36619
2024-09-03,1491.27,1502.64,1461.40,1496.21,1947168,EQ,15577344,25,38943
2024-09-04,1459.30,1498.15,1459.30,1483.54,1194449,EQ,9555592,25,23888
2024-09-05,1515.21,1545.08,1502.09,1529.72,3481685,EQ,27853480,25,69633
2024-09-06,1539.10,1552.86,1502.29,1507.53,2754275,EQ,22034200,25,55085
2024-09-09,1507.53,1538.80,1507.53,1534.36,1682896,EQ,13463168,25,33657
2024-09-10,1541.09,1545.53,1496.81,1503.79,1198527,EQ,9588216,25,23970
2024-09-11,1506.18,1530.02,1499.60,1517.60,653307,EQ,5226456,25,13066
2024-09-12,1546.03,1575.01,1537.70,1571.57,2689481,EQ,21515848,25,53789
2024-09-13,1576.01,1589.97,1564.83,1570.52,1115661,EQ,8925288,25,22313
2024-09-16,1576.85,1585.93,1555.06,1560.79,1112875,EQ,8903000,25,22257
2024-09-17,1560.79,1580.99,1553.46,1569.97,2133543,EQ,17068344,25,42670
2024-09-18,1570.02,1598.80,1569.07,1586.13,1305843,EQ,10446744,25,26116
2024-09-19,1594.96,1609.92,1570.02,1592.26,776010,EQ,6208080,25,15520
2024-09-20,1596.95,1609.12,1578.00,1600.24,1168486,EQ,9347888,25,23369
2024-09-23,1615.90,1645.63,1608.92,1629.72,1129202,EQ,9033616,25,22584
2024-09-24,1635.80,1647.82,1599.00,1610.22,1041776,EQ,8334208,25,20835
2024-09-25,1610.22,1620.19,1588.82,1614.21,893217,EQ,7145736,25,17864
2024-09-26,1621.04,1640.79,1607.92,1637.60,1063773,EQ,8510184,25,21275
2024-09-27,1627.67,1633.86,1586.48,1604.93,1852921,EQ,14823368,25,37058
2024-09-30,1604.93,1619.74,1595.01,1603.93,917971,EQ,7343768,25,18359
2024-10-01,1607.03,1618.90,1572.12,1577.85,924366,EQ,7394928,25,18487
2024-10-03,1561.04,1571.37,1503.79,1512.42,1278465,EQ,10227720,25,25569
2024-10-04,1512.42,1522.39,1485.39,1493.61,600340,EQ,4802720,25,12006
2024-10-07,1501.00,1510.52,1458.30,1474.71,759332,EQ,6074656,25,15186
2024-10-08,1466.28,1533.11,1465.83,1527.08,2220536,EQ,17764288,25,44410
2024-10-09,1535.11,1582.94,1534.11,1557.60,1777352,EQ,14218816,25,35547
2024-10-10,1565.88,1583.44,1507.48,1513.26,1081043,EQ,8648344,25,21620
2024-10-11,1513.26,1513.26,1475.26,1497.26,1050785,EQ,8406280,25,21015
2024-10-14,1521.14,1529.67,1499.20,1509.08,507730,EQ,4061840,25,10154
2024-10-15,1520.15,1520.85,1487.38,1499.25,1372341,EQ,10978728,25,27446
2024-10-16,1498.15,1505.83,1470.72,1481.44,942953,EQ,7543624,25,18859
2024-10-17,1481.49,1491.72,1444.69,1452.87,1585872,EQ,12686976,25,31717
2024-10-18,1439.45,1464.54,1423.89,1456.61,847463,EQ,6779704,25,16949
2024-10-21,1457.31,1472.97,1431.22,1435.06,547781,EQ,4382248,25,10955
2024-10-22,1441.15,1454.26,1402.05,1407.63,1288147,EQ,10305176,25,25762
2024-10-23,1407.43,1426.53,1382.50,1403.14,1310995,EQ,10487960,25,26219
2024-10-24,1411.42,1413.42,1347.24,1382.65,825792,EQ,6606336,25,16515
2024-10-25,1391.47,1429.23,1338.66,1368.73,1708841,EQ,13670728,25,34176
2024-10-28,1380.45,1380.45,1267.79,1277.11,5699062,EQ,45592496,25,113981
2024-10-29,1286.64,1293.52,1261.45,1289.13,5601418,EQ,44811344,25,112028
2024-10-30,1276.96,1292.42,1261.95,1271.28,1458435,EQ,11667480,25,29168
2024-10-31,1278.56,1286.74,1248.34,1269.53,1297605,EQ,10380840,25,25952
2024-11-01,1287.29,1287.29,1275.77,1279.96,98256,EQ,786048,25,1965
2024-11-04,1287.74,1287.74,1245.14,1248.09,1323470,EQ,10587760,25,26469
2024-11-05,1239.01,1287.64,1218.01,1279.76,2322459,EQ,18579672,25,46449
2024-11-06,1281.75,1304.39,1272.18,1301.25,1220646,EQ,9765168,25,24412
2024-11-07,1303.70,1316.66,1263.80,1279.76,882788,EQ,7062304,25,17655
2024-11-08,1277.76,1289.73,1252.13,1257.51,989468,EQ,7915744,25,19789
2024-11-11,1259.81,1269.78,1241.70,1259.36,527465,EQ,4219720,25,10549
2024-11-12,1265.79,1275.12,1232.63,1236.62,1006239,EQ,8049912,25,20124
2024-11-13,1222.35,1246.84,1191.98,1202.00,1989571,EQ,15916568,25,39791
2024-11-14,1197.96,1211.93,1178.16,1202.65,1443941,EQ,11551528,25,28878
2024-11-18,1208.69,1250.63,1204.25,1239.66,1661116,EQ,13288928,25,33222
2024-11-19,1240.61,1251.08,1217.96,1232.88,1793763,EQ,14350104,25,35875
2024-11-21,1227.39,1232.88,1199.46,1201.85,2224943,EQ,17799544,25,44498
2024-11-22,1182.00,1216.32,1182.00,1205.34,2785943,EQ,22287544,25,55718
2024-11-25,1248.83,1259.91,1227.74,1236.77,2851902,EQ,22815216,25,57038
2024-11-26,1236.77,1277.31,1229.73,1262.25,1163794,EQ,9310352,25,23275
2024-11-27,1256.81,1288.73,1255.07,1275.92,766225,EQ,6129800,25,15324
2024-11-28,1266.79,1281.15,1255.32,1265.14,1691315,EQ,13530520,25,33826
2024-11-29,1266.24,1270.73,1225.94,1230.83,2220045,EQ,17760360,25,44400
2024-12-02,1230.88,1256.27,1230.03,1246.04,4211650,EQ,33693200,25,84233
2024-12-03,1253.87,1282.30,1244.20,1250.48,5948984,EQ,47591872,25,118979
2024-12-04,1256.81,1295.02,1253.82,1288.98,1782673,EQ,14261384,25,35653
2024-12-05,1296.71,1299.36,1276.17,1288.18,903593,EQ,7228744,25,18071
2024-12-06,1295.37,1295.37,1264.54,1271.88,952010,EQ,7616080,25,19040
2024-12-09,1271.88,1290.13,1269.43,1279.01,1661864,EQ,13294912,25,33237
2024-12-10,1289.58,1336.61,1281.75,1332.92,3658637,EQ,29269096,25,73172
