date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,1583.08,1630.82,1583.08,1622.19,3296701,EQ,26373608,25,65934
2024-09-02,1636.01,1648.36,1609.55,1614.10,1306971,EQ,10455768,25,26139
2024-09-03,1610.82,1627.04,1610.82,1620.52,1264708,EQ,10117664,25,25294
2024-09-04,1602.73,1625.23,1598.57,1619.25,1019049,EQ,8152392,25,20380
2024-09-05,1618.46,1627.14,1591.31,1595.58,1081756,EQ,8654048,25,21635
2024-09-06,1595.58,1599.69,1576.27,1579.21,913336,EQ,7306688,25,18266
2024-09-09,1579.21,1604.45,1578.18,1588.13,1003511,EQ,8028088,25,20070
2024-09-10,1600.72,1611.85,1592.19,1599.74,1248269,EQ,9986152,25,24965
2024-09-11,1594.94,1619.64,1592.15,1596.16,1243738,EQ,9949904,25,24874
2024-09-12,1602.68,1627.19,1598.32,1624.49,1728200,EQ,13825600,25,34564
2024-09-13,1626.11,1636.21,1611.02,1626.90,747149,EQ,5977192,25,14942
2024-09-16,1628.37,1638.80,1621.45,1626.60,683436,EQ,5467488,25,13668
2024-09-17,1627.19,1649.73,1623.95,1638.76,958137,EQ,7665096,25,19162
2024-09-18,1639.93,1639.93,1605.67,1618.96,1084127,EQ,8673016,25,21682
2024-09-19,1627.19,1635.03,1600.48,1605.33,2048750,EQ,16390000,25,40975
2024-09-20,1613.37,1619.94,1577.98,1606.26,2504382,EQ,20035056,25,50087
2024-09-23,1614.30,1631.94,1605.62,1625.38,1129445,EQ,9035560,25,22588
2024-09-24,1592.88,1626.80,1592.83,1605.18,1476260,EQ,11810080,25,29525
2024-09-25,1605.62,1616.41,1586.26,1610.72,759761,EQ,6078088,25,15195
2024-09-26,1610.72,1619.79,1570.63,1589.74,2613098,EQ,20904784,25,52261
2024-09-27,1597.93,1645.86,1597.78,1639.44,3866952,EQ,30935616,25,77339
2024-09-30,1641.89,1645.72,1613.76,1621.41,1313437,EQ,10507496,25,26268
2024-10-01,1627.19,1634.10,1618.91,1631.94,945740,EQ,7565920,25,18914
2024-10-03,1628.41,1644.83,1607.93,1623.81,1533472,EQ,12267776,25,30669
2024-10-04,1612.58,1623.66,1546.12,1591.21,2371220,EQ,18969760,25,47424
2024-10-07,1590.92,1612.34,1580.19,1592.54,1553239,EQ,12425912,25,31064
2024-10-08,1592.54,1620.52,1591.75,1608.27,1239808,EQ,9918464,25,24796
2024-10-09,1598.27,1668.41,1598.27,1647.28,1671718,EQ,13373744,25,33434
2024-10-10,1660.47,1660.52,1582.20,1586.90,2288313,EQ,18306504,25,45766
2024-10-11,1570.43,1581.90,1542.64,1564.21,1894245,EQ,15153960,25,37884
2024-10-14,1568.38,1574.21,1540.00,1566.86,2301224,EQ,18409792,25,46024
2024-10-15,1570.24,1573.23,1537.01,1540.68,2206500,EQ,17652000,25,44130
2024-10-16,1530.54,1541.91,1519.76,1531.32,2519123,EQ,20152984,25,50382
2024-10-17,1531.32,1547.50,1521.47,1527.89,1498368,EQ,11986944,25,29967
2024-10-18,1518.43,1531.18,1505.98,1521.03,1879293,EQ,15034344,25,37585
2024-10-21,1521.32,1530.39,1487.16,1493.63,1297970,EQ,10383760,25,25959
2024-10-22,1492.90,1496.52,1471.82,1480.50,1757792,EQ,14062336,25,35155
2024-10-23,1475.01,1484.17,1453.00,1456.24,1925211,EQ,15401688,25,38504
2024-10-24,1466.43,1478.19,1452.76,1462.80,1178365,EQ,9426920,25,23567
2024-10-25,1462.80,1476.97,1449.57,1459.47,1175088,EQ,9400704,25,23501
2024-10-28,1467.21,1483.29,1442.61,1473.44,928896,EQ,7431168,25,18577
2024-10-29,1480.15,1487.16,1421.34,1448.35,3475282,EQ,27802256,25,69505
2024-10-30,1411.54,1411.54,1375.27,1390.22,5064434,EQ,40515472,25,101288
2024-10-31,1529.21,1535.00,1488.05,1521.08,17447689,EQ,139581512,25,348953
2024-11-01,1534.16,1542.35,1521.08,1528.72,538362,EQ,4306896,25,10767
2024-11-04,1552.69,1571.27,1532.11,1553.28,4190449,EQ,33523592,25,83808
2024-11-05,1552.30,1578.13,1546.47,1569.55,2238168,EQ,17905344,25,44763
2024-11-06,1578.37,1580.48,1549.75,1562.54,2074821,EQ,16598568,25,41496
