date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,464.44,470.58,457.43,460.02,30921282,EQ,247370256,25,618425
2024-09-02,461.81,463.57,453.62,456.42,6370038,EQ,50960304,25,127400
2024-09-03,456.56,458.83,454.15,455.33,5526155,EQ,44209240,25,110523
2024-09-04,452.92,452.92,438.63,441.35,16783593,EQ,134268744,25,335671
2024-09-05,444.73,444.73,433.90,435.52,10830621,EQ,86644968,25,216612
2024-09-06,437.28,437.28,421.55,428.12,13110103,EQ,104880824,25,262202
2024-09-09,427.64,428.08,418.92,424.53,10189742,EQ,81517936,25,203794
2024-09-10,427.02,431.14,422.20,430.35,9809547,EQ,78476376,25,196190
2024-09-11,431.89,432.50,422.34,424.09,8134497,EQ,65075976,25,162689
2024-09-12,426.76,435.74,422.60,434.34,12058489,EQ,96467912,25,241169
2024-09-13,435.52,436.27,428.95,429.61,8093877,EQ,64751016,25,161877
2024-09-16,431.58,433.68,427.07,432.24,5244657,EQ,41957256,25,104893
2024-09-17,432.24,433.60,427.33,428.08,5063902,EQ,40511216,25,101278
2024-09-18,429.21,432.54,426.02,426.85,6527832,EQ,52222656,25,130556
2024-09-19,428.51,430.79,417.34,418.83,10014450,EQ,80115600,25,200289
2024-09-20,421.46,436.40,420.89,430.22,12982128,EQ,103857024,25,259642
2024-09-23,432.46,440.34,429.83,438.68,6123879,EQ,48991032,25,122477
2024-09-24,442.53,443.98,439.51,441.92,7306001,EQ,58448008,25,146120
2024-09-25,443.85,444.29,439.91,442.80,5059851,EQ,40478808,25,101197
2024-09-26,443.41,444.68,438.20,443.89,6877039,EQ,55016312,25,137540
2024-09-27,443.89,453.79,442.45,452.26,15443031,EQ,123544248,25,308860
2024-09-30,449.54,449.94,440.34,447.05,8881502,EQ,71052016,25,177630
2024-10-01,448.67,452.17,443.54,445.60,4743517,EQ,37948136,25,94870
2024-10-03,437.71,446.83,437.71,440.21,11285134,EQ,90281072,25,225702
2024-10-04,437.80,442.23,432.94,435.70,7170285,EQ,57362280,25,143405
2024-10-07,436.49,438.63,416.55,421.02,8940891,EQ,71527128,25,178817
2024-10-08,421.33,431.80,417.52,431.01,6049075,EQ,48392600,25,120981
2024-10-09,431.14,434.65,425.58,426.72,6874313,EQ,54994504,25,137486
2024-10-10,428.25,432.85,425.93,427.72,4700891,EQ,37607128,25,94017
2024-10-11,427.20,432.81,427.16,431.97,4364566,EQ,34916528,25,87291
2024-10-14,433.73,440.30,431.97,436.66,5369297,EQ,42954376,25,107385
2024-10-15,436.66,437.58,429.43,433.29,4279311,EQ,34234488,25,85586
2024-10-16,433.77,437.63,431.93,434.43,8000451,EQ,64003608,25,160009
2024-10-17,434.43,435.74,426.94,429.30,4334990,EQ,34679920,25,86699
2024-10-18,427.64,432.68,423.56,431.32,4573163,EQ,36585304,25,91463
2024-10-21,431.14,433.55,422.69,425.36,4737527,EQ,37900216,25,94750
2024-10-22,425.01,427.20,409.41,410.42,8671135,EQ,69369080,25,173422
2024-10-23,410.42,417.17,402.18,415.46,10686743,EQ,85493944,25,213734
