date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,1938.74,1997.96,1836.07,1862.38,7094311,EQ,56754488,25,141886
2024-09-02,1856.80,1883.46,1796.05,1827.54,2909239,EQ,23273912,25,58184
2024-09-03,1875.56,1922.65,1839.53,1857.00,4852910,EQ,38823280,25,97058
2024-09-04,1860.75,1972.99,1857.25,1904.09,5200139,EQ,41601112,25,104002
2024-09-05,1924.92,1934.79,1871.17,1887.60,2570312,EQ,20562496,25,51406
2024-09-06,1887.60,1890.07,1832.08,1837.41,1288779,EQ,10310232,25,25775
2024-09-09,1837.01,1837.01,1774.87,1797.13,1268809,EQ,10150472,25,25376
2024-09-10,1806.51,1850.68,1797.48,1815.99,1031034,EQ,8248272,25,20620
2024-09-11,1815.34,1820.87,1776.85,1780.70,695951,EQ,5567608,25,13919
2024-09-12,1796.59,1800.24,1762.04,1789.33,1228858,EQ,9830864,25,24577
2024-09-13,1789.33,1835.98,1770.97,1793.43,1026595,EQ,8212760,25,20531
2024-09-16,1801.52,1804.49,1754.29,1771.22,980967,EQ,7847736,25,19619
2024-09-17,1771.12,1801.52,1737.36,1739.83,1106981,EQ,8855848,25,22139
2024-09-18,1739.83,1774.87,1696.25,1703.50,1347819,EQ,10782552,25,26956
2024-09-19,1726.50,1728.72,1616.93,1656.66,2302100,EQ,18416800,25,46042
2024-09-20,1666.29,1822.30,1660.51,1822.30,5800913,EQ,46407304,25,116018
2024-09-23,1864.95,1912.44,1642.62,1759.25,3796861,EQ,30374888,25,75937
2024-09-24,1773.73,1792.80,1740.47,1775.70,883255,EQ,7066040,25,17665
2024-09-25,1761.67,1788.90,1719.71,1724.75,300727,EQ,2405816,25,6014
2024-09-26,1729.60,1738.74,1665.35,1685.02,345668,EQ,2765344,25,6913
2024-09-27,1687.10,1761.08,1650.53,1707.06,1045085,EQ,8360680,25,20901
2024-09-30,1709.83,1729.60,1670.30,1720.06,640493,EQ,5123944,25,12809
2024-10-01,1715.27,1715.27,1677.31,1685.62,299624,EQ,2396992,25,5992
2024-10-03,1659.33,1677.21,1632.74,1651.22,449810,EQ,3598480,25,8996
2024-10-04,1650.97,1665.35,1568.69,1626.32,411572,EQ,3292576,25,8231
2024-10-07,1624.83,1627.80,1545.02,1550.71,616808,EQ,4934464,25,12336
2024-10-08,1539.54,1628.24,1487.45,1623.89,481632,EQ,3853056,25,9632
2024-10-09,1650.53,1650.53,1601.11,1635.51,272935,EQ,2183480,25,5458
2024-10-10,1650.33,1704.59,1620.88,1674.79,743389,EQ,5947112,25,14867
2024-10-11,1676.72,1677.02,1630.76,1641.44,237690,EQ,1901520,25,4753
2024-10-14,1641.54,1669.31,1596.17,1605.46,345447,EQ,2763576,25,6908
2024-10-15,1607.04,1668.32,1586.29,1652.46,396645,EQ,3173160,25,7932
2024-10-16,1586.49,1629.68,1569.83,1570.08,1031697,EQ,8253576,25,20633
2024-10-17,1542.80,1549.62,1532.97,1541.76,1496837,EQ,11974696,25,29936
2024-10-18,1531.88,1564.59,1508.21,1545.81,1065843,EQ,8526744,25,21316
2024-10-21,1548.73,1551.70,1508.21,1512.75,492306,EQ,3938448,25,9846
2024-10-22,1513.10,1521.95,1437.15,1437.15,612006,EQ,4896048,25,12240
2024-10-23,1388.72,1422.22,1365.29,1384.32,1200822,EQ,9606576,25,24016
2024-10-24,1378.74,1421.73,1349.09,1406.31,427454,EQ,3419632,25,8549
2024-10-25,1397.51,1401.47,1335.99,1349.48,744409,EQ,5955272,25,14888
2024-10-28,1358.92,1377.75,1324.38,1345.77,597834,EQ,4782672,25,11956
2024-10-29,1362.92,1402.16,1349.14,1385.65,362390,EQ,2899120,25,7247
2024-10-30,1389.06,1454.94,1389.06,1454.94,391148,EQ,3129184,25,7822
2024-10-31,1469.61,1502.18,1454.94,1479.74,510173,EQ,4081384,25,10203
2024-11-01,1505.24,1512.16,1487.45,1509.44,191904,EQ,1535232,25,3838
2024-11-04,1529.95,1529.95,1444.95,1485.92,389109,EQ,3112872,25,7782
2024-11-05,1477.57,1492.40,1424.20,1478.90,530542,EQ,4244336,25,10610
2024-11-06,1486.46,1528.96,1482.51,1518.98,413151,EQ,3305208,25,8263
2024-11-07,1535.88,1536.87,1494.37,1506.08,328948,EQ,2631584,25,6578
2024-11-08,1470.65,1472.63,1430.77,1431.07,501298,EQ,4010384,25,10025
2024-11-11,1391.68,1414.12,1362.43,1377.06,382705,EQ,3061640,25,7654
2024-11-12,1382.69,1399.94,1344.14,1358.03,301194,EQ,2409552,25,6023
2024-11-13,1349.14,1349.14,1292.75,1301.99,444889,EQ,3559112,25,8897
2024-11-14,1304.61,1328.28,1285.83,1297.10,279812,EQ,2238496,25,5596
2024-11-18,1301.55,1324.08,1275.21,1286.28,304904,EQ,2439232,25,6098
2024-11-19,1308.63,1350.57,1308.63,1348.78,295055,EQ,2360440,25,5901
2024-11-21,1338.37,1338.37,1281.37,1284.24,494851,EQ,3958808,25,9897
2024-11-22,1278.89,1299.71,1254.11,1288.11,348717,EQ,2789736,25,6974
2024-11-25,1346.26,1352.50,1323.11,1352.50,582192,EQ,4657536,25,11643
