date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,3484.28,3545.99,3469.50,3493.63,766656,EQ,6133248,25,15333
2024-09-02,3516.76,3516.76,3461.68,3483.27,121966,EQ,975728,25,2439
2024-09-03,3483.27,3527.37,3479.62,3488.88,279293,EQ,2234344,25,5585
2024-09-04,3483.32,3533.89,3470.12,3523.43,463430,EQ,3707440,25,9268
2024-09-05,3525.93,3529.14,3498.77,3511.63,572579,EQ,4580632,25,11451
2024-09-06,3498.00,3559.47,3495.41,3507.31,470722,EQ,3765776,25,9414
2024-09-09,3508.65,3557.60,3507.36,3533.41,333069,EQ,2664552,25,6661
2024-09-10,3533.61,3553.66,3513.74,3522.81,222381,EQ,1779048,25,4447
2024-09-11,3522.86,3537.73,3498.14,3506.45,291888,EQ,2335104,25,5837
2024-09-12,3513.45,3527.22,3485.86,3496.13,503928,EQ,4031424,25,10078
2024-09-13,3524.01,3524.01,3437.68,3478.66,255447,EQ,2043576,25,5108
2024-09-16,3488.45,3542.87,3469.40,3516.47,330887,EQ,2647096,25,6617
2024-09-17,3521.99,3560.43,3475.35,3502.46,454110,EQ,3632880,25,9082
2024-09-18,3508.32,3519.83,3452.27,3488.31,145497,EQ,1163976,25,2909
2024-09-19,3499.54,3504.33,3441.57,3455.05,436216,EQ,3489728,25,8724
2024-09-20,3464.51,3537.97,3437.40,3512.73,1169327,EQ,9354616,25,23386
2024-09-23,3514.36,3580.58,3504.38,3532.98,632913,EQ,5063304,25,12658
2024-09-24,3522.09,3555.34,3489.51,3533.51,756725,EQ,6053800,25,15134
2024-09-25,3536.44,3556.64,3464.51,3528.71,310534,EQ,2484272,25,6210
2024-09-26,3527.80,3556.54,3504.29,3549.34,428178,EQ,3425424,25,8563
2024-09-27,3550.88,3686.15,3521.23,3612.35,3400300,EQ,27202400,25,68006
2024-09-30,3627.66,3733.22,3611.34,3651.17,989665,EQ,7917320,25,19793
2024-10-01,3649.82,3675.35,3602.13,3666.19,473188,EQ,3785504,25,9463
2024-10-03,3639.03,3717.15,3610.57,3683.41,527905,EQ,4223240,25,10558
2024-10-04,3685.24,3685.24,3574.92,3589.32,399655,EQ,3197240,25,7993
2024-10-07,3612.83,3612.83,3523.48,3546.32,314481,EQ,2515848,25,6289
2024-10-08,3546.32,3598.86,3524.06,3593.01,334258,EQ,2674064,25,6685
2024-10-09,3608.46,3622.81,3553.14,3563.16,193656,EQ,1549248,25,3873
2024-10-10,3586.53,3601.60,3489.51,3494.64,184794,EQ,1478352,25,3695
2024-10-11,3512.40,3546.08,3486.82,3540.95,133862,EQ,1070896,25,2677
2024-10-14,3550.88,3550.88,3358.94,3380.49,754939,EQ,6039512,25,15098
2024-10-15,3381.01,3405.77,3325.35,3351.31,442217,EQ,3537736,25,8844
2024-10-16,3320.55,3365.66,3291.76,3355.39,427908,EQ,3423264,25,8558
2024-10-17,3355.39,3361.39,3218.87,3234.42,694550,EQ,5556400,25,13891
