date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,939.02,945.12,932.91,935.28,1763647,EQ,14109176,25,35272
2024-09-02,939.06,943.09,928.69,932.38,1766518,EQ,14132144,25,35330
2024-09-03,933.73,949.24,931.55,944.78,1371843,EQ,10974744,25,27436
2024-09-04,938.92,943.91,925.69,935.33,2112938,EQ,16903504,25,42258
2024-09-05,938.09,941.15,928.40,930.63,2366186,EQ,18929488,25,47323
2024-09-06,932.52,932.52,910.28,913.53,2648249,EQ,21185992,25,52964
2024-09-09,912.90,921.62,902.77,917.69,2189268,EQ,17514144,25,43785
2024-09-10,924.09,924.09,907.08,910.28,1606961,EQ,12855688,25,32139
2024-09-11,912.12,917.74,902.24,908.10,1634827,EQ,13078616,25,32696
2024-09-12,912.36,924.53,909.12,921.91,1274303,EQ,10194424,25,25486
2024-09-13,925.79,936.74,923.70,931.65,1726021,EQ,13808168,25,34520
2024-09-16,935.19,936.06,920.99,922.10,1006437,EQ,8051496,25,20128
2024-09-17,924.05,927.25,912.93,917.88,779425,EQ,6235400,25,15588
2024-09-18,917.73,920.50,895.25,900.79,950529,EQ,7604232,25,19010
2024-09-19,901.27,908.56,875.54,886.75,2683503,EQ,21468024,25,53670
2024-09-20,879.86,879.86,856.55,867.23,4834345,EQ,38674760,25,96686
2024-09-23,872.09,872.92,851.11,861.84,3669159,EQ,29353272,25,73383
2024-09-24,861.84,874.71,860.10,867.48,1574531,EQ,12596248,25,31490
2024-09-25,867.23,868.16,859.56,863.64,1043855,EQ,8350840,25,20877
2024-09-26,861.84,868.84,860.00,866.21,923418,EQ,7387344,25,18468
2024-09-27,866.26,890.06,866.26,884.96,2453157,EQ,19625256,25,49063
2024-09-30,884.96,897.29,879.86,891.80,2175799,EQ,17406392,25,43515
2024-10-01,896.37,900.20,888.70,895.11,1205512,EQ,9644096,25,24110
2024-10-03,878.65,890.74,859.95,864.81,1296415,EQ,10371320,25,25928
2024-10-04,859.47,866.07,844.90,855.63,2388156,EQ,19105248,25,47763
2024-10-07,860.34,864.08,833.24,843.25,2135446,EQ,17083568,25,42708
2024-10-08,844.90,868.40,842.37,865.97,626929,EQ,5015432,25,12538
2024-10-09,871.07,880.15,863.06,870.49,702284,EQ,5618272,25,14045
2024-10-10,873.94,881.75,860.34,862.48,1131722,EQ,9053776,25,22634
2024-10-11,865.73,873.16,857.18,868.11,839159,EQ,6713272,25,16783
2024-10-14,859.47,863.84,845.38,855.39,1415657,EQ,11325256,25,28313
2024-10-15,858.83,864.22,850.24,863.30,761379,EQ,6091032,25,15227
2024-10-16,859.47,864.27,856.11,860.24,416589,EQ,3332712,25,8331
2024-10-17,863.35,863.35,841.01,843.83,1052737,EQ,8421896,25,21054
2024-10-18,839.12,850.73,829.89,847.42,1432195,EQ,11457560,25,28643
2024-10-21,847.81,850.68,820.72,825.72,1116638,EQ,8933104,25,22332
2024-10-22,826.45,828.34,812.85,820.04,1475743,EQ,11805944,25,29514
2024-10-23,821.54,827.13,793.43,796.24,1729635,EQ,13837080,25,34592
2024-10-24,801.20,807.99,788.33,790.32,921067,EQ,7368536,25,18421
2024-10-25,794.35,796.15,758.03,772.35,1043417,EQ,8347336,25,20868
2024-10-28,775.90,778.03,756.28,758.22,1753958,EQ,14031664,25,35079
2024-10-29,764.20,788.57,759.83,785.66,1141795,EQ,9134360,25,22835
2024-10-30,780.75,819.89,778.18,811.35,2829127,EQ,22633016,25,56582
2024-10-31,811.83,828.39,811.83,822.66,1876152,EQ,15009216,25,37523
2024-11-01,822.66,826.45,815.76,820.81,181775,EQ,1454200,25,3635
2024-11-04,820.81,820.86,806.05,814.06,1332843,EQ,10662744,25,26656
2024-11-05,806.63,815.76,786.68,812.70,2040055,EQ,16320440,25,40801
2024-11-06,814.79,836.01,808.09,833.68,1067959,EQ,8543672,25,21359
2024-11-07,838.73,842.96,822.37,824.26,765172,EQ,6121376,25,15303
2024-11-08,827.90,827.90,798.28,803.53,1154194,EQ,9233552,25,23083
2024-11-11,803.53,807.56,789.59,805.96,743364,EQ,5946912,25,14867
