date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,622.91,624.41,615.27,616.29,3304453,EQ,26435624,25,66089
2024-09-02,616.92,623.54,613.68,615.80,745420,EQ,5963360,25,14908
2024-09-03,615.80,627.27,614.45,617.30,1775357,EQ,14202856,25,35507
2024-09-04,617.16,630.22,613.43,628.76,3104663,EQ,24837304,25,62093
2024-09-05,633.55,633.55,621.61,623.69,2131132,EQ,17049056,25,42622
2024-09-06,622.91,632.29,622.28,623.30,1910995,EQ,15287960,25,38219
2024-09-09,623.88,643.13,622.96,640.66,6213572,EQ,49708576,25,124271
2024-09-10,647.43,647.96,640.66,643.47,4126339,EQ,33010712,25,82526
2024-09-11,646.13,649.51,640.32,642.16,3134456,EQ,25075648,25,62689
2024-09-12,642.21,647.58,641.29,642.98,2222824,EQ,17782592,25,44456
2024-09-13,643.85,645.84,629.93,639.26,2559794,EQ,20478352,25,51195
2024-09-16,638.39,645.98,636.70,639.69,806885,EQ,6455080,25,16137
2024-09-17,639.69,650.00,634.91,638.53,1793296,EQ,14346368,25,35865
2024-09-18,638.39,640.61,629.25,632.97,1465661,EQ,11725288,25,29313
2024-09-19,633.55,644.97,632.97,642.93,1768324,EQ,14146592,25,35366
2024-09-20,647.05,648.01,640.42,645.69,1798471,EQ,14387768,25,35969
2024-09-23,646.13,649.51,634.81,639.40,1684518,EQ,13476144,25,33690
2024-09-24,638.39,644.19,631.04,634.37,1881683,EQ,15053464,25,37633
2024-09-25,629.68,632.54,601.78,606.47,7092888,EQ,56743104,25,141857
2024-09-26,606.52,607.82,600.28,605.26,2581456,EQ,20651648,25,51629
2024-09-27,607.44,614.01,601.63,612.27,4628215,EQ,37025720,25,92564
2024-09-30,612.27,614.98,602.94,604.73,2475507,EQ,19804056,25,49510
2024-10-01,605.50,609.13,593.89,598.73,1095384,EQ,8763072,25,21907
2024-10-03,561.35,576.29,552.30,561.20,18729275,EQ,149834200,25,374585
2024-10-04,565.60,565.84,552.35,553.71,4745480,EQ,37963840,25,94909
2024-10-07,556.17,562.12,543.60,550.76,4723935,EQ,37791480,25,94478
2024-10-08,552.79,553.90,546.21,548.77,3261216,EQ,26089728,25,65224
2024-10-09,549.16,553.22,544.76,546.55,3580212,EQ,28641696,25,71604
2024-10-10,548.43,557.53,545.73,552.98,2379978,EQ,19039824,25,47599
2024-10-11,555.69,556.12,550.56,552.16,1276108,EQ,10208864,25,25522
2024-10-14,552.16,556.32,547.47,548.72,1902352,EQ,15218816,25,38047
2024-10-15,549.40,554.14,548.72,552.30,1687923,EQ,13503384,25,33758
2024-10-16,554.14,560.38,551.82,559.36,2647660,EQ,21181280,25,52953
2024-10-17,559.07,560.14,553.27,553.80,1838328,EQ,14706624,25,36766
2024-10-18,552.79,553.37,546.45,552.69,2159572,EQ,17276576,25,43191
2024-10-21,552.30,556.17,547.56,549.59,1511359,EQ,12090872,25,30227
2024-10-22,547.08,553.03,537.79,540.79,1510177,EQ,12081416,25,30203
2024-10-23,539.73,544.47,537.84,540.41,1233395,EQ,9867160,25,24667
2024-10-24,537.60,539.73,517.72,523.29,3076408,EQ,24611264,25,61528
2024-10-25,527.44,527.44,518.79,521.06,1506493,EQ,12051944,25,30129
2024-10-28,522.32,540.21,519.51,535.57,1750115,EQ,14000920,25,35002
2024-10-29,535.57,535.86,515.40,518.30,5088807,EQ,40710456,25,101776
2024-10-30,521.35,533.83,518.45,528.75,5828617,EQ,46628936,25,116572
2024-10-31,520.43,530.97,515.55,522.32,3001455,EQ,24011640,25,60029
2024-11-01,523.96,527.30,522.66,524.78,159703,EQ,1277624,25,3194
2024-11-04,527.20,527.54,514.24,517.43,2308784,EQ,18470272,25,46175
2024-11-05,517.53,519.27,511.39,517.34,2117262,EQ,16938096,25,42345
2024-11-06,518.45,525.61,517.82,521.93,2368331,EQ,18946648,25,47366
2024-11-07,523.62,526.33,514.87,517.00,1695158,EQ,13561264,25,33903
2024-11-08,517.58,520.16,513.94,516.76,1458407,EQ,11667256,25,29168
2024-11-11,515.30,516.66,505.91,508.25,1589666,EQ,12717328,25,31793
2024-11-12,508.30,509.61,495.37,496.34,4775306,EQ,38202448,25,95506
2024-11-13,497.16,499.93,493.23,496.68,2253481,EQ,18027848,25,45069
2024-11-14,496.68,499.69,488.71,494.00,2083472,EQ,16667776,25,41669
2024-11-18,494.98,495.46,485.16,494.39,3329177,EQ,26633416,25,66583
2024-11-19,496.82,500.23,492.11,494.10,2126926,EQ,17015408,25,42538
2024-11-21,494.39,495.27,488.46,491.72,1771693,EQ,14173544,25,35433
2024-11-22,492.59,500.81,490.41,498.77,1050913,EQ,8407304,25,21018
2024-11-25,502.03,513.50,500.91,507.03,4146364,EQ,33170912,25,82927
2024-11-26,509.46,515.20,504.99,510.78,894410,EQ,7155280,25,17888
2024-11-27,505.53,514.52,505.04,512.87,1722809,EQ,13782472,25,34456
2024-11-28,515.15,519.53,509.46,511.41,1554564,EQ,12436512,25,31091
2024-11-29,503.87,514.96,503.87,512.53,2225080,EQ,17800640,25,44501
2024-12-02,508.00,513.35,506.25,509.37,1510906,EQ,12087248,25,30218
2024-12-03,509.37,514.37,506.55,508.05,3691025,EQ,29528200,25,73820
2024-12-04,509.46,512.62,505.57,508.30,2515588,EQ,20124704,25,50311
2024-12-05,510.44,512.67,502.32,508.64,2760858,EQ,22086864,25,55217
2024-12-06,510.44,511.26,505.82,509.27,1663402,EQ,13307216,25,33268
2024-12-09,504.60,506.30,489.24,492.79,6086175,EQ,48689400,25,121723
2024-12-10,493.86,497.50,490.36,492.89,3425754,EQ,27406032,25,68515
2024-12-11,492.93,497.07,491.09,494.25,3602452,EQ,28819616,25,72049
2024-12-12,495.85,497.80,491.72,492.59,3491848,EQ,27934784,25,69836
2024-12-13,492.59,500.03,485.64,498.57,2205228,EQ,17641824,25,44104
2024-12-16,499.79,501.68,494.93,495.80,1041908,EQ,8335264,25,20838
2024-12-17,494.88,496.14,490.12,491.38,2821249,EQ,22569992,25,56424
2024-12-18,493.86,494.83,488.51,491.38,2300294,EQ,18402352,25,46005
2024-12-19,489.05,491.38,485.64,489.97,1583630,EQ,12669040,25,31672
2024-12-20,490.02,494.20,486.13,488.61,3228278,EQ,25826224,25,64565
2024-12-23,488.75,496.82,487.00,495.37,1777848,EQ,14222784,25,35556
2024-12-24,497.80,501.64,493.66,495.80,3207041,EQ,25656328,25,64140
2024-12-26,496.29,497.31,490.07,491.57,2088931,EQ,16711448,25,41778
2024-12-27,492.45,495.56,490.07,493.08,1299653,EQ,10397224,25,25993
2024-12-30,492.93,495.66,489.14,491.23,4298784,EQ,34390272,25,85975
2024-12-31,491.28,494.88,488.37,492.93,812765,EQ,6502120,25,16255
2025-01-01,492.84,498.28,492.45,496.78,1065540,EQ,8524320,25,21310
2025-01-02,496.78,501.20,493.66,499.11,1720007,EQ,13760056,25,34400
2025-01-03,500.71,514.32,499.79,510.34,3814344,EQ,30514752,25,76286
2025-01-06,507.81,508.00,487.20,490.84,5026479,EQ,40211832,25,100529
2025-01-07,493.91,498.53,489.14,494.73,2248836,EQ,17990688,25,44976
2025-01-08,495.66,500.57,491.28,499.50,1666424,EQ,13331392,25,33328
2025-01-09,499.74,516.17,497.36,506.69,4084746,EQ,32677968,25,81694
2025-01-10,504.60,508.44,499.79,503.53,2316135,EQ,18529080,25,46322
