date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,420.00,423.95,414.00,419.30,1705739,EQ,13645912,25,34114
2024-09-02,423.35,423.95,415.00,416.05,594683,EQ,4757464,25,11893
2024-09-03,418.95,427.70,417.70,425.10,1709216,EQ,13673728,25,34184
2024-09-04,421.60,425.90,418.00,419.35,2522057,EQ,20176456,25,50441
2024-09-05,422.95,422.95,417.00,418.05,2037424,EQ,16299392,25,40748
2024-09-06,418.00,427.60,409.90,411.45,1607893,EQ,12863144,25,32157
2024-09-09,411.45,411.95,398.50,408.85,1654685,EQ,13237480,25,33093
2024-09-10,409.95,417.60,409.90,414.60,883505,EQ,7068040,25,17670
2024-09-11,418.75,418.75,407.05,410.45,860260,EQ,6882080,25,17205
2024-09-12,415.00,419.00,411.70,418.05,1602341,EQ,12818728,25,32046
2024-09-13,418.05,422.75,412.00,413.80,581391,EQ,4651128,25,11627
2024-09-16,414.75,429.90,414.75,421.35,4189673,EQ,33517384,25,83793
2024-09-17,424.90,426.00,419.65,425.40,1342520,EQ,10740160,25,26850
2024-09-18,425.40,427.90,423.05,426.00,2461770,EQ,19694160,25,49235
2024-09-19,426.45,432.35,421.10,426.65,2686431,EQ,21491448,25,53728
2024-09-20,427.50,433.00,425.15,431.85,2696667,EQ,21573336,25,53933
2024-09-23,433.00,436.05,429.25,433.45,1137842,EQ,9102736,25,22756
2024-09-24,435.00,435.60,429.30,431.25,785765,EQ,6286120,25,15715
2024-09-25,434.90,447.65,431.95,437.75,4264856,EQ,34118848,25,85297
2024-09-26,437.50,439.35,424.95,436.75,2131875,EQ,17055000,25,42637
2024-09-27,443.90,443.90,426.00,430.45,2408247,EQ,19265976,25,48164
2024-09-30,432.00,432.00,422.00,425.00,2292692,EQ,18341536,25,45853
2024-10-01,425.00,428.45,418.00,419.35,2232403,EQ,17859224,25,44648
2024-10-03,418.45,427.25,408.65,410.95,1407928,EQ,11263424,25,28158
2024-10-04,411.00,419.50,403.20,408.15,872320,EQ,6978560,25,17446
2024-10-07,410.95,411.95,398.35,404.05,1164276,EQ,9314208,25,23285
2024-10-08,400.00,419.45,393.10,416.90,1131713,EQ,9053704,25,22634
2024-10-09,418.40,427.30,412.40,414.75,3896722,EQ,31173776,25,77934
2024-10-10,418.00,418.00,408.55,411.40,496556,EQ,3972448,25,9931
2024-10-11,412.35,413.50,406.50,411.15,551575,EQ,4412600,25,11031
2024-10-14,410.00,419.60,410.00,418.80,882544,EQ,7060352,25,17650
2024-10-15,418.90,418.90,409.05,410.10,1073085,EQ,8584680,25,21461
2024-10-16,410.05,410.95,401.40,408.55,902995,EQ,7223960,25,18059
2024-10-17,407.00,408.20,398.05,399.45,710661,EQ,5685288,25,14213
2024-10-18,399.25,400.45,394.80,396.70,1073891,EQ,8591128,25,21477
2024-10-21,397.95,400.00,386.70,388.20,1406868,EQ,11254944,25,28137
2024-10-22,388.05,388.40,372.00,378.85,2087760,EQ,16702080,25,41755
2024-10-23,378.85,379.85,368.10,372.05,1251055,EQ,10008440,25,25021
2024-10-24,372.05,375.95,363.55,367.90,802189,EQ,6417512,25,16043
2024-10-25,368.00,371.75,354.90,361.15,3091512,EQ,24732096,25,61830
2024-10-28,361.95,362.95,354.25,355.85,1648555,EQ,13188440,25,32971
2024-10-29,359.00,359.90,350.15,354.00,914077,EQ,7312616,25,18281
2024-10-30,354.05,357.20,348.25,354.35,1126987,EQ,9015896,25,22539
2024-10-31,356.40,358.70,354.05,356.10,681891,EQ,5455128,25,13637
2024-11-01,356.20,367.00,356.20,364.65,195211,EQ,1561688,25,3904
2024-11-04,364.45,364.45,351.50,353.55,1238403,EQ,9907224,25,24768
2024-11-05,355.15,355.50,347.40,353.90,1043677,EQ,8349416,25,20873
2024-11-06,361.90,361.90,353.00,355.05,1090774,EQ,8726192,25,21815
2024-11-07,352.60,357.60,351.85,353.90,889613,EQ,7116904,25,17792
2024-11-08,351.55,353.20,345.70,346.85,686546,EQ,5492368,25,13730
2024-11-11,344.25,345.85,340.15,343.75,643695,EQ,5149560,25,12873
2024-11-12,341.50,348.20,337.05,340.00,1522754,EQ,12182032,25,30455
2024-11-13,337.65,338.70,328.00,330.30,871368,EQ,6970944,25,17427
2024-11-14,328.35,337.40,328.35,330.55,1408544,EQ,11268352,25,28170
2024-11-18,338.95,345.00,325.50,327.30,4113456,EQ,32907648,25,82269
2024-11-19,327.30,352.95,327.30,344.25,7769626,EQ,62157008,25,155392
2024-11-21,344.30,349.75,340.50,346.35,3410004,EQ,27280032,25,68200
2024-11-22,348.00,348.60,341.50,345.85,1614109,EQ,12912872,25,32282
2024-11-25,345.20,353.80,338.15,343.85,4754258,EQ,38034064,25,95085
2024-11-26,340.05,341.95,335.10,336.65,1842942,EQ,14743536,25,36858
2024-11-27,336.00,353.75,335.15,347.10,3005958,EQ,24047664,25,60119
2024-11-28,345.05,349.80,340.30,343.35,1251217,EQ,10009736,25,25024
2024-11-29,340.05,344.35,333.95,335.95,3651373,EQ,29210984,25,73027
2024-12-02,332.55,337.50,330.15,333.30,2574427,EQ,20595416,25,51488
2024-12-03,331.05,342.90,331.05,341.15,4541844,EQ,36334752,25,90836
2024-12-04,338.80,343.45,337.30,340.10,1734947,EQ,13879576,25,34698
2024-12-05,340.00,340.95,332.25,333.30,1496554,EQ,11972432,25,29931
2024-12-06,331.60,359.80,331.60,353.00,9706199,EQ,77649592,25,194123
2024-12-09,352.25,373.10,349.05,371.10,8769393,EQ,70155144,25,175387
2024-12-10,370.55,388.00,370.00,380.60,5127042,EQ,41016336,25,102540
2024-12-11,381.95,381.95,369.00,379.45,3012413,EQ,24099304,25,60248
2024-12-12,385.75,391.30,379.05,382.35,8404063,EQ,67232504,25,168081
2024-12-13,380.00,392.90,376.80,390.60,8140865,EQ,65126920,25,162817
2024-12-16,390.60,395.85,386.50,393.05,2307992,EQ,18463936,25,46159
2024-12-17,396.05,402.85,381.50,383.10,3856758,EQ,30854064,25,77135
2024-12-18,385.60,390.00,369.15,370.40,2440399,EQ,19523192,25,48807
2024-12-19,360.00,367.50,356.00,358.60,2409187,EQ,19273496,25,48183
