date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,177.20,177.94,174.76,175.91,2122411,EQ,16979288,25,42448
2024-09-02,177.39,177.67,174.96,175.89,601517,EQ,4812136,25,12030
2024-09-03,175.90,179.80,175.90,179.06,1105575,EQ,8844600,25,22111
2024-09-04,177.00,182.60,176.50,180.32,1712449,EQ,13699592,25,34248
2024-09-05,181.30,184.40,180.01,182.97,1868090,EQ,14944720,25,37361
2024-09-06,184.00,188.80,182.12,183.48,4210460,EQ,33683680,25,84209
2024-09-09,183.35,183.35,178.99,180.78,1603908,EQ,12831264,25,32078
2024-09-10,181.75,189.45,181.47,188.82,4544961,EQ,36359688,25,90899
2024-09-11,188.00,191.00,187.51,188.94,2620096,EQ,20960768,25,52401
2024-09-12,190.20,190.45,184.27,186.68,2152194,EQ,17217552,25,43043
2024-09-13,187.75,192.00,186.05,189.91,4955345,EQ,39642760,25,99106
2024-09-16,190.50,192.59,187.00,187.55,1293648,EQ,10349184,25,25872
2024-09-17,187.50,191.90,185.32,189.98,1630606,EQ,13044848,25,32612
2024-09-18,191.15,198.85,191.15,197.35,9484316,EQ,75874528,25,189686
2024-09-19,199.00,199.50,191.00,195.99,5316136,EQ,42529088,25,106322
2024-09-20,197.40,211.00,195.45,209.88,20851836,EQ,166814688,25,417036
2024-09-23,209.88,222.74,204.30,221.58,10526950,EQ,84215600,25,210539
2024-09-24,218.19,219.00,214.52,217.31,5949763,EQ,47598104,25,118995
2024-09-25,215.60,215.80,207.13,208.69,2900153,EQ,23201224,25,58003
2024-09-26,208.69,208.69,199.35,201.77,4859105,EQ,38872840,25,97182
2024-09-27,201.85,202.85,194.99,195.60,5025365,EQ,40202920,25,100507
2024-09-30,195.00,197.75,192.35,195.76,1803661,EQ,14429288,25,36073
2024-10-01,196.30,197.99,192.02,192.93,1156194,EQ,9249552,25,23123
2024-10-03,192.64,192.64,183.18,186.74,3301875,EQ,26415000,25,66037
2024-10-04,186.95,187.45,177.16,178.45,4246337,EQ,33970696,25,84926
2024-10-07,179.39,179.85,169.91,173.01,3197418,EQ,25579344,25,63948
2024-10-08,171.00,178.04,170.15,177.50,2908897,EQ,23271176,25,58177
2024-10-09,179.10,183.20,177.55,180.05,2441577,EQ,19532616,25,48831
2024-10-10,181.39,183.58,177.60,180.13,4242219,EQ,33937752,25,84844
2024-10-11,180.20,183.89,179.34,182.01,1093304,EQ,8746432,25,21866
2024-10-14,183.00,183.70,178.55,179.27,800906,EQ,6407248,25,16018
2024-10-15,179.97,181.99,177.50,181.34,2127150,EQ,17017200,25,42543
2024-10-16,181.23,182.59,178.57,182.01,1153019,EQ,9224152,25,23060
2024-10-17,181.98,181.98,175.35,176.48,792980,EQ,6343840,25,15859
2024-10-18,175.81,177.29,173.01,174.98,676020,EQ,5408160,25,13520
2024-10-21,175.99,176.84,171.67,172.88,2156391,EQ,17251128,25,43127
2024-10-22,171.75,172.97,165.77,166.97,1609776,EQ,12878208,25,32195
2024-10-23,167.00,172.60,165.97,169.52,1836874,EQ,14694992,25,36737
2024-10-24,169.90,169.90,165.03,166.10,1257958,EQ,10063664,25,25159
2024-10-25,165.85,166.39,160.31,163.38,1822955,EQ,14583640,25,36459
2024-10-28,163.50,167.00,160.45,164.57,756491,EQ,6051928,25,15129
2024-10-29,165.00,166.90,162.30,163.97,1203111,EQ,9624888,25,24062
2024-10-30,164.40,168.95,163.77,168.20,968075,EQ,7744600,25,19361
2024-10-31,168.20,170.65,167.41,169.57,799912,EQ,6399296,25,15998
2024-11-01,170.00,171.95,170.00,170.97,141799,EQ,1134392,25,2835
2024-11-04,170.97,170.97,167.20,168.14,433556,EQ,3468448,25,8671
2024-11-05,168.92,173.20,167.61,172.10,1150001,EQ,9200008,25,23000
2024-11-06,172.10,174.34,171.80,173.17,629936,EQ,5039488,25,12598
2024-11-07,173.17,174.79,171.40,171.98,387878,EQ,3103024,25,7757
2024-11-08,171.98,172.95,170.05,170.90,1740858,EQ,13926864,25,34817
2024-11-11,170.75,180.70,165.30,174.60,6874885,EQ,54999080,25,137497
2024-11-12,176.40,176.40,170.71,172.26,1401419,EQ,11211352,25,28028
2024-11-13,170.10,172.55,165.02,169.09,2968769,EQ,23750152,25,59375
2024-11-14,167.55,172.03,163.14,163.96,1437981,EQ,11503848,25,28759
2024-11-18,164.53,165.00,160.55,160.97,441990,EQ,3535920,25,8839
2024-11-19,161.59,164.51,160.56,162.58,1366262,EQ,10930096,25,27325
2024-11-21,162.58,163.85,158.50,161.20,858822,EQ,6870576,25,17176
2024-11-22,160.99,169.00,159.00,167.83,1215658,EQ,9725264,25,24313
2024-11-25,171.49,171.49,165.14,168.52,1644583,EQ,13156664,25,32891
2024-11-26,168.00,168.29,165.03,166.00,1062357,EQ,8498856,25,21247
2024-11-27,166.45,166.69,164.71,166.00,1143801,EQ,9150408,25,22876
2024-11-28,166.65,167.38,165.10,165.64,1338679,EQ,10709432,25,26773
2024-11-29,166.90,166.90,164.75,165.23,510873,EQ,4086984,25,10217
2024-12-02,165.49,167.75,164.70,166.78,906803,EQ,7254424,25,18136
2024-12-03,166.95,168.05,164.80,165.03,4014779,EQ,32118232,25,80295
2024-12-04,166.40,167.04,164.10,164.50,1391152,EQ,11129216,25,27823
2024-12-05,165.10,165.39,162.00,162.31,1267458,EQ,10139664,25,25349
2024-12-06,162.65,169.90,161.30,168.96,10025515,EQ,80204120,25,200510
2024-12-09,168.96,175.85,166.90,173.41,3771388,EQ,30171104,25,75427
2024-12-10,173.99,174.09,169.10,170.03,1130598,EQ,9044784,25,22611
2024-12-11,169.78,173.20,169.50,172.25,981461,EQ,7851688,25,19629
2024-12-12,172.29,174.81,169.05,169.60,1066048,EQ,8528384,25,21320
2024-12-13,169.00,170.84,166.78,168.47,992107,EQ,7936856,25,19842
2024-12-16,168.21,168.67,165.00,165.33,731391,EQ,5851128,25,14627
2024-12-17,165.98,173.10,165.65,171.01,2747577,EQ,21980616,25,54951
2024-12-18,171.05,172.04,168.65,170.26,1055345,EQ,8442760,25,21106
2024-12-19,167.50,172.00,166.07,170.89,1582746,EQ,12661968,25,31654
2024-12-20,171.83,174.99,170.81,172.37,2433719,EQ,19469752,25,48674
2024-12-23,172.99,182.70,172.86,177.30,7482209,EQ,59857672,25,149644
2024-12-24,178.00,181.05,177.10,179.59,4622707,EQ,36981656,25,92454
2024-12-26,181.00,184.28,176.50,182.88,3261771,EQ,26094168,25,65235
2024-12-27,183.58,195.00,183.13,192.72,7167386,EQ,57339088,25,143347
2024-12-30,194.00,194.98,182.28,183.70,4596404,EQ,36771232,25,91928
2024-12-31,182.75,186.00,179.28,182.45,1830518,EQ,14644144,25,36610
2025-01-01,182.20,185.00,181.00,183.13,947701,EQ,7581608,25,18954
