date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,4976.23,5088.25,4976.23,5049.99,853203,EQ,6825624,25,17064
2024-09-02,5080.62,5088.70,4979.75,4993.43,196235,EQ,1569880,25,3924
2024-09-03,4993.43,5054.50,4993.13,5022.33,288902,EQ,2311216,25,5778
2024-09-04,5016.87,5065.95,4972.01,5052.66,313543,EQ,2508344,25,6270
2024-09-05,5056.03,5119.93,5043.29,5076.75,491284,EQ,3930272,25,9825
2024-09-06,5082.80,5125.43,5018.71,5093.51,432124,EQ,3456992,25,8642
2024-09-09,5060.99,5149.52,5038.39,5128.90,354291,EQ,2834328,25,7085
2024-09-10,5156.11,5400.39,5153.19,5379.67,1628691,EQ,13029528,25,32573
2024-09-11,5358.40,5422.74,5333.67,5392.41,595689,EQ,4765512,25,11913
2024-09-12,5403.02,5465.47,5349.68,5435.53,763771,EQ,6110168,25,15275
2024-09-13,5417.94,5484.06,5356.47,5451.25,401361,EQ,3210888,25,8027
2024-09-16,5447.63,5472.41,5424.53,5432.11,238494,EQ,1907952,25,4769
2024-09-17,5431.82,5512.07,5389.14,5405.20,529121,EQ,4232968,25,10582
2024-09-18,5404.95,5435.43,5345.57,5422.00,213575,EQ,1708600,25,4271
2024-09-19,5422.00,5465.47,5372.28,5382.40,341889,EQ,2735112,25,6837
2024-09-20,5409.26,5457.54,5380.56,5403.76,630993,EQ,5047944,25,12619
2024-09-23,5442.67,5534.82,5318.25,5326.53,588823,EQ,4710584,25,11776
2024-09-24,5328.66,5372.98,5271.81,5329.46,515534,EQ,4124272,25,10310
2024-09-25,5329.46,5401.53,5308.34,5347.80,693122,EQ,5544976,25,13862
2024-09-26,5363.36,5371.89,5246.63,5332.93,554676,EQ,4437408,25,11093
2024-09-27,5325.39,5475.68,5269.82,5410.85,6886792,EQ,55094336,25,137735
2024-09-30,5425.77,5464.63,5332.18,5396.42,820627,EQ,6565016,25,16412
2024-10-01,5393.65,5416.94,5316.52,5377.04,686142,EQ,5489136,25,13722
2024-10-03,5353.45,5446.34,5196.51,5383.49,602874,EQ,4822992,25,12057
2024-10-04,5361.38,5474.59,5338.82,5378.78,524300,EQ,4194400,25,10486
2024-10-07,5401.03,5473.40,5330.35,5357.76,383652,EQ,3069216,25,7673
2024-10-08,5355.13,5518.51,5352.11,5499.23,396786,EQ,3174288,25,7935
2024-10-09,5607.14,5977.97,5593.41,5938.11,3022787,EQ,24182296,25,60455
2024-10-10,5908.62,5970.09,5869.26,5890.92,640572,EQ,5124576,25,12811
