date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,1370.17,1391.30,1370.17,1388.60,3415210,EQ,27321680,25,68304
2024-09-02,1392.23,1397.21,1348.84,1357.16,2354285,EQ,18834280,25,47085
2024-09-03,1362.66,1365.43,1352.39,1353.55,1246805,EQ,9974440,25,24936
2024-09-04,1352.35,1352.35,1336.40,1340.38,2177470,EQ,17419760,25,43549
2024-09-05,1342.42,1352.55,1320.40,1322.32,2001265,EQ,16010120,25,40025
2024-09-06,1322.95,1327.13,1313.88,1316.68,2074285,EQ,16594280,25,41485
2024-09-09,1319.20,1326.31,1303.95,1314.45,1466880,EQ,11735040,25,29337
2024-09-10,1321.98,1322.73,1306.01,1313.37,2328120,EQ,18624960,25,46562
2024-09-11,1315.44,1332.91,1302.61,1305.88,1833720,EQ,14669760,25,36674
2024-09-12,1323.16,1325.57,1299.52,1319.97,2663355,EQ,21306840,25,53267
2024-09-13,1320.48,1322.98,1312.70,1315.40,1197575,EQ,9580600,25,23951
2024-09-16,1321.17,1321.17,1309.64,1312.72,691625,EQ,5533000,25,13832
2024-09-17,1311.33,1316.40,1304.01,1309.67,911735,EQ,7293880,25,18234
2024-09-18,1312.70,1312.89,1289.79,1297.06,1239415,EQ,9915320,25,24788
2024-09-19,1300.26,1305.88,1280.21,1284.17,4661780,EQ,37294240,25,93235
2024-09-20,1290.54,1303.01,1280.84,1293.77,2823650,EQ,22589200,25,56473
2024-09-23,1303.42,1315.66,1299.47,1314.17,1326620,EQ,10612960,25,26532
2024-09-24,1314.17,1321.17,1299.51,1313.36,1962100,EQ,15696800,25,39242
2024-09-25,1314.52,1324.66,1302.54,1321.48,2388280,EQ,19106240,25,47765
2024-09-26,1326.09,1334.42,1316.11,1331.93,2842130,EQ,22737040,25,56842
2024-09-27,1325.34,1337.46,1316.55,1333.02,2794555,EQ,22356440,25,55891
2024-09-30,1334.03,1341.14,1325.14,1333.35,1827470,EQ,14619760,25,36549
2024-10-01,1333.35,1340.03,1318.83,1332.86,1738090,EQ,13904720,25,34761
2024-10-03,1338.96,1341.93,1321.60,1330.20,2277090,EQ,18216720,25,45541
2024-10-04,1325.73,1329.66,1305.59,1309.98,1742335,EQ,13938680,25,34846
2024-10-07,1319.92,1325.54,1299.68,1305.37,2224190,EQ,17793520,25,44483
2024-10-08,1305.38,1316.84,1298.48,1314.48,1395550,EQ,11164400,25,27911
2024-10-09,1322.37,1334.01,1312.72,1316.22,1680365,EQ,13442920,25,33607
2024-10-10,1322.77,1322.77,1294.27,1300.08,1582735,EQ,12661880,25,31654
2024-10-11,1300.45,1308.29,1292.56,1303.26,1130225,EQ,9041800,25,22604
2024-10-14,1310.52,1321.38,1303.42,1315.24,1117595,EQ,8940760,25,22351
2024-10-15,1320.00,1323.14,1304.44,1305.72,1423265,EQ,11386120,25,28465
2024-10-16,1311.31,1332.24,1309.15,1325.32,1849620,EQ,14796960,25,36992
2024-10-17,1332.01,1337.98,1313.38,1323.96,1819115,EQ,14552920,25,36382
2024-10-18,1323.96,1337.78,1315.74,1331.28,1143115,EQ,9144920,25,22862
2024-10-21,1336.99,1336.99,1320.41,1322.65,1175275,EQ,9402200,25,23505
2024-10-22,1328.50,1334.03,1309.79,1315.74,1904985,EQ,15239880,25,38099
2024-10-23,1315.14,1320.81,1301.44,1304.98,1548860,EQ,12390880,25,30977
2024-10-24,1312.10,1312.10,1297.33,1300.00,1587305,EQ,12698440,25,31746
2024-10-25,1297.49,1299.86,1273.81,1286.57,1285830,EQ,10286640,25,25716
2024-10-28,1303.42,1309.24,1274.04,1295.02,829374,EQ,6634992,25,16587
2024-10-29,1310.33,1318.62,1247.63,1258.68,1443741,EQ,11549928,25,28874
2024-10-30,1257.01,1257.01,1213.36,1234.15,2065575,EQ,16524600,25,41311
2024-10-31,1242.79,1267.52,1232.32,1258.19,1902206,EQ,15217648,25,38044
2024-11-01,1263.92,1272.80,1186.70,1243.77,540201,EQ,4321608,25,10804
2024-11-04,1243.77,1260.86,1234.84,1252.36,1771490,EQ,14171920,25,35429
2024-11-05,1249.21,1262.93,1225.65,1256.22,1603920,EQ,12831360,25,32078
2024-11-06,1257.99,1305.29,1235.87,1285.74,3908554,EQ,31268432,25,78171
2024-11-07,1288.55,1292.55,1264.46,1271.18,1479152,EQ,11833216,25,29583
2024-11-08,1276.56,1276.75,1243.33,1267.52,1328199,EQ,10625592,25,26563
2024-11-11,1267.87,1278.98,1246.29,1271.72,1175591,EQ,9404728,25,23511
2024-11-12,1271.67,1272.21,1242.49,1248.02,1110785,EQ,8886280,25,22215
2024-11-13,1242.19,1249.16,1222.74,1229.36,995217,EQ,7961736,25,19904
2024-11-14,1234.20,1237.26,1206.84,1211.29,1346891,EQ,10775128,25,26937
2024-11-18,1190.95,1204.47,1155.50,1178.55,3367815,EQ,26942520,25,67356
2024-11-19,1178.01,1216.52,1171.35,1198.20,1509716,EQ,12077728,25,30194
2024-11-21,1160.14,1191.54,1157.77,1180.33,2121476,EQ,16971808,25,42429
2024-11-22,1183.94,1207.83,1178.60,1199.19,763755,EQ,6110040,25,15275
2024-11-25,1218.45,1231.33,1190.60,1194.11,3280431,EQ,26243448,25,65608
2024-11-26,1193.81,1203.04,1188.08,1193.46,1190121,EQ,9520968,25,23802
2024-11-27,1196.77,1200.33,1183.00,1184.82,1402977,EQ,11223816,25,28059
2024-11-28,1193.86,1194.70,1173.52,1176.97,2819269,EQ,22554152,25,56385
2024-11-29,1190.85,1204.03,1183.59,1187.19,2535820,EQ,20286560,25,50716
2024-12-02,1198.99,1209.86,1187.19,1206.40,1826479,EQ,14611832,25,36529
2024-12-03,1213.56,1213.56,1202.25,1209.12,2237453,EQ,17899624,25,44749
2024-12-04,1209.12,1213.66,1194.40,1200.28,1435443,EQ,11483544,25,28708
2024-12-05,1201.27,1233.80,1194.90,1224.27,3324867,EQ,26598936,25,66497
2024-12-06,1230.35,1239.38,1220.82,1237.95,1717216,EQ,13737728,25,34344
2024-12-09,1238.89,1245.95,1227.63,1239.38,1269332,EQ,10154656,25,25386
2024-12-10,1234.29,1237.85,1217.51,1224.77,2025890,EQ,16207120,25,40517
2024-12-11,1224.72,1227.78,1211.29,1222.99,1178864,EQ,9430912,25,23577
2024-12-12,1229.16,1234.49,1210.94,1229.75,1648944,EQ,13191552,25,32978
2024-12-13,1224.72,1234.49,1211.04,1230.69,1258819,EQ,10070552,25,25176
2024-12-16,1230.69,1258.14,1229.56,1253.99,1920945,EQ,15367560,25,38418
2024-12-17,1253.06,1254.98,1227.63,1231.97,2706166,EQ,21649328,25,54123
2024-12-18,1236.17,1264.91,1233.85,1259.38,2823838,EQ,22590704,25,56476
2024-12-19,1258.98,1314.62,1255.67,1308.94,7185903,EQ,57487224,25,143718
2024-12-20,1309.34,1351.50,1300.85,1326.77,7499087,EQ,59992696,25,149981
2024-12-23,1344.89,1349.82,1313.59,1324.50,3740109,EQ,29920872,25,74802
2024-12-24,1330.08,1347.85,1319.41,1333.93,2587142,EQ,20697136,25,51742
2024-12-26,1333.93,1343.11,1325.88,1338.12,1531359,EQ,12250872,25,30627
2024-12-27,1345.92,1380.68,1328.59,1371.99,3656253,EQ,29250024,25,73125
2024-12-30,1372.14,1374.51,1354.86,1359.60,2462657,EQ,19701256,25,49253
2024-12-31,1353.08,1377.47,1349.38,1371.05,1892083,EQ,15136664,25,37841
2025-01-01,1371.01,1371.60,1338.32,1351.80,1658723,EQ,13269784,25,33174
2025-01-02,1354.22,1370.51,1352.84,1357.77,1726305,EQ,13810440,25,34526
