date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,4788.17,4864.82,4783.24,4846.25,465200,EQ,3721600,25,9304
2024-09-02,4835.75,4895.59,4775.18,4798.82,310778,EQ,2486224,25,6215
2024-09-03,4810.55,4826.23,4744.21,4753.73,263404,EQ,2107232,25,5268
2024-09-04,4718.76,4765.12,4710.16,4722.23,476838,EQ,3814704,25,9536
2024-09-05,4738.30,4751.10,4676.90,4689.55,398344,EQ,3186752,25,7966
2024-09-06,4684.27,4718.76,4631.03,4643.04,291111,EQ,2328888,25,5822
2024-09-09,4643.04,4669.91,4607.48,4638.01,272444,EQ,2179552,25,5448
2024-09-10,4639.62,4657.70,4581.35,4628.10,404100,EQ,3232800,25,8082
2024-09-11,4621.06,4669.42,4593.71,4617.79,384214,EQ,3073712,25,7684
2024-09-12,4635.62,4782.26,4609.05,4762.72,757317,EQ,6058536,25,15146
2024-09-13,4746.02,4768.98,4716.81,4746.41,315869,EQ,2526952,25,6317
2024-09-16,4772.44,4825.00,4748.07,4786.37,453831,EQ,3630648,25,9076
2024-09-17,4785.68,4785.68,4705.72,4738.49,356442,EQ,2851536,25,7128
2024-09-18,4751.98,4766.34,4701.42,4738.64,295359,EQ,2362872,25,5907
2024-09-19,4762.72,4810.40,4733.51,4752.85,357206,EQ,2857648,25,7144
2024-09-20,4754.71,4945.61,4742.60,4848.84,1332877,EQ,10663016,25,26657
2024-09-23,4875.07,4876.44,4742.84,4767.17,899953,EQ,7199624,25,17999
2024-09-24,4774.93,4782.21,4743.18,4764.58,481696,EQ,3853568,25,9633
2024-09-25,4739.28,4806.69,4739.28,4782.51,665986,EQ,5327888,25,13319
2024-09-26,4801.80,4884.75,4777.38,4879.23,790345,EQ,6322760,25,15806
2024-09-27,4875.07,4987.43,4839.27,4946.00,1040624,EQ,8324992,25,20812
2024-09-30,4945.42,4967.89,4883.38,4910.49,516973,EQ,4135784,25,10339
2024-10-01,4910.54,4929.74,4837.95,4858.12,449002,EQ,3592016,25,8980
2024-10-03,4816.46,4836.00,4602.50,4672.35,1337657,EQ,10701256,25,26753
2024-10-04,4671.86,4692.19,4582.81,4598.40,466001,EQ,3728008,25,9320
2024-10-07,4639.43,4639.43,4542.90,4560.44,447523,EQ,3580184,25,8950
2024-10-08,4542.90,4629.37,4480.57,4585.35,661110,EQ,5288880,25,13222
2024-10-09,4590.68,4628.78,4552.67,4600.45,930717,EQ,7445736,25,18614
2024-10-10,4628.68,4659.16,4581.98,4589.70,305739,EQ,2445912,25,6114
2024-10-11,4595.66,4697.41,4552.67,4619.16,844931,EQ,6759448,25,16898
2024-10-14,4639.62,4699.22,4621.70,4669.72,346430,EQ,2771440,25,6928
2024-10-15,4669.67,4689.35,4587.75,4613.34,370224,EQ,2961792,25,7404
2024-10-16,4615.20,4624.97,4534.11,4570.50,380474,EQ,3043792,25,7609
2024-10-17,4538.02,4547.74,4416.88,4517.36,514244,EQ,4113952,25,10284
2024-10-18,4507.64,4689.35,4505.83,4655.89,778795,EQ,6230360,25,15575
2024-10-21,4655.26,4741.08,4633.76,4699.66,745473,EQ,5963784,25,14909
2024-10-22,4699.66,4715.05,4640.26,4649.44,528037,EQ,4224296,25,10560
2024-10-23,4613.78,4616.62,4545.98,4570.02,655987,EQ,5247896,25,13119
2024-10-24,4557.56,4576.76,4523.51,4560.98,288778,EQ,2310224,25,5775
2024-10-25,4542.90,4565.03,4404.91,4485.85,446738,EQ,3573904,25,8934
2024-10-28,4485.85,4655.26,4429.23,4611.93,989928,EQ,7919424,25,19798
2024-10-29,4580.03,4805.27,4577.54,4785.34,1065819,EQ,8526552,25,21316
2024-10-30,4738.40,4833.80,4738.40,4757.10,842334,EQ,6738672,25,16846
2024-10-31,4756.86,4801.80,4709.67,4781.92,510074,EQ,4080592,25,10201
2024-11-01,4870.04,4875.07,4816.46,4839.51,79729,EQ,637832,25,1594
2024-11-04,4887.24,4899.50,4680.71,4720.57,719165,EQ,5753320,25,14383
2024-11-05,4720.57,4796.92,4697.27,4786.95,499976,EQ,3999808,25,9999
2024-11-06,4797.84,4846.16,4793.94,4803.90,370356,EQ,2962848,25,7407
2024-11-07,4803.90,4807.61,4706.69,4765.65,221554,EQ,1772432,25,4431
2024-11-08,4762.72,4765.60,4645.83,4675.04,194765,EQ,1558120,25,3895
2024-11-11,4652.33,4721.30,4640.89,4683.05,209237,EQ,1673896,25,4184
2024-11-12,4677.73,4696.53,4597.17,4629.07,326018,EQ,2608144,25,6520
2024-11-13,4591.75,4611.24,4431.58,4483.02,656931,EQ,5255448,25,13138
2024-11-14,4616.62,4858.47,4596.93,4771.22,2874648,EQ,22997184,25,57492
2024-11-18,4767.56,4800.82,4751.00,4763.36,494329,EQ,3954632,25,9886
2024-11-19,4767.61,4898.57,4767.61,4851.09,452273,EQ,3618184,25,9045
2024-11-21,4777.67,4843.81,4755.30,4769.66,593722,EQ,4749776,25,11874
2024-11-22,4799.85,4889.73,4769.56,4871.36,339941,EQ,2719528,25,6798
2024-11-25,4883.87,4950.30,4873.12,4887.14,945466,EQ,7563728,25,18909
2024-11-26,4893.64,4898.86,4762.72,4818.17,564637,EQ,4517096,25,11292
2024-11-27,4819.39,4857.39,4777.47,4804.24,189349,EQ,1514792,25,3786
2024-11-28,4806.69,4806.69,4683.39,4704.79,954250,EQ,7634000,25,19085
2024-11-29,4726.57,4752.27,4697.27,4720.57,407774,EQ,3262192,25,8155
2024-12-02,4726.62,4733.90,4585.45,4709.67,250521,EQ,2004168,25,5010
2024-12-03,4709.72,4757.84,4709.72,4732.78,351449,EQ,2811592,25,7028
2024-12-04,4724.67,4766.44,4641.58,4686.57,349544,EQ,2796352,25,6990
2024-12-05,4686.57,4767.61,4650.37,4726.14,525957,EQ,4207656,25,10519
2024-12-06,4739.28,4815.19,4716.37,4764.73,327806,EQ,2622448,25,6556
2024-12-09,4774.06,4775.42,4704.10,4730.58,377043,EQ,3016344,25,7540
2024-12-10,4728.53,4762.62,4687.01,4702.20,342297,EQ,2738376,25,6845
2024-12-11,4710.94,4722.28,4684.66,4691.35,240736,EQ,1925888,25,4814
2024-12-12,4691.36,4708.99,4665.03,4696.92,236847,EQ,1894776,25,4736
2024-12-13,4677.73,4746.55,4644.71,4714.75,404369,EQ,3234952,25,8087
2024-12-16,4708.99,4752.95,4689.45,4727.06,404180,EQ,3233440,25,8083
2024-12-17,4697.36,4718.76,4618.08,4633.42,402231,EQ,3217848,25,8044
2024-12-18,4615.20,4688.82,4607.73,4640.46,331577,EQ,2652616,25,6631
2024-12-19,4601.52,4669.91,4565.96,4662.05,500287,EQ,4002296,25,10005
2024-12-20,4638.65,4711.38,4611.29,4625.46,386086,EQ,3088688,25,7721
2024-12-23,4640.60,4666.20,4589.80,4641.14,371318,EQ,2970544,25,7426
2024-12-24,4641.14,4697.27,4629.51,4682.51,227611,EQ,1820888,25,4552
2024-12-26,4682.51,4713.24,4662.09,4690.77,328172,EQ,2625376,25,6563
2024-12-27,4708.99,4840.83,4679.24,4764.58,408992,EQ,3271936,25,8179
2024-12-30,4777.38,4791.98,4721.01,4743.96,242799,EQ,1942392,25,4855
2024-12-31,4715.83,4760.18,4699.22,4710.85,313948,EQ,2511584,25,6278
2025-01-01,4717.78,4793.45,4633.23,4772.79,290234,EQ,2321872,25,5804
2025-01-02,4772.49,5207.24,4755.15,5185.85,2863478,EQ,22907824,25,57269
2025-01-03,5202.36,5261.66,5149.36,5188.44,836689,EQ,6693512,25,16733
2025-01-06,5188.44,5226.78,5068.95,5129.18,419050,EQ,3352400,25,8381
2025-01-07,5129.18,5170.12,5047.51,5058.06,439721,EQ,3517768,25,8794
2025-01-08,5092.16,5117.22,5016.05,5044.29,343162,EQ,2745296,25,6863
2025-01-09,5066.85,5076.18,4987.43,5021.52,239408,EQ,1915264,25,4788
2025-01-10,5031.39,5043.80,4923.92,4941.95,316803,EQ,2534424,25,6336
2025-01-13,4894.61,4908.49,4812.16,4825.35,213093,EQ,1704744,25,4261
2025-01-14,4836.04,4925.24,4836.04,4913.71,448429,EQ,3587432,25,8968
2025-01-15,4921.87,4976.09,4888.95,4964.86,497259,EQ,3978072,25,9945
2025-01-16,4994.31,5015.86,4918.94,4931.54,435315,EQ,3482520,25,8706
2025-01-17,4889.73,4958.51,4882.94,4896.86,197564,EQ,1580512,25,3951
2025-01-20,4896.91,4922.41,4816.46,4901.21,255315,EQ,2042520,25,5106
2025-01-21,4916.45,4963.00,4845.76,4855.49,416551,EQ,3332408,25,8331
2025-01-22,4865.30,4909.27,4839.12,4894.32,494734,EQ,3957872,25,9894
