date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,216.02,222.36,216.02,220.83,23605945,EQ,188847560,25,472118
2024-09-02,221.73,223.25,216.83,217.46,11344611,EQ,90756888,25,226892
2024-09-03,218.33,219.05,214.76,216.04,11468711,EQ,91749688,25,229374
2024-09-04,212.84,215.03,211.80,213.66,10067531,EQ,80540248,25,201350
2024-09-05,215.27,215.36,210.82,211.94,12026014,EQ,96208112,25,240520
2024-09-06,211.74,212.22,206.21,207.02,12081433,EQ,96651464,25,241628
2024-09-09,206.35,207.19,200.50,202.31,11247785,EQ,89982280,25,224955
2024-09-10,203.84,206.11,202.16,204.33,10945760,EQ,87566080,25,218915
2024-09-11,204.47,205.57,199.75,201.79,12709020,EQ,101672160,25,254180
2024-09-12,202.73,205.30,202.18,204.99,9267929,EQ,74143432,25,185358
2024-09-13,204.99,206.01,202.72,203.35,8023988,EQ,64191904,25,160479
2024-09-16,204.40,204.91,201.61,202.38,6528370,EQ,52226960,25,130567
2024-09-17,203.17,205.75,202.42,204.15,7453731,EQ,59629848,25,149074
2024-09-18,204.14,205.46,200.70,202.48,9639142,EQ,77113136,25,192782
2024-09-19,203.47,203.89,193.83,195.96,22834523,EQ,182676184,25,456690
2024-09-20,196.89,199.05,194.99,197.11,29582243,EQ,236657944,25,591644
2024-09-23,197.89,205.28,196.62,204.70,17538036,EQ,140304288,25,350760
2024-09-24,204.58,207.84,204.02,206.89,13952725,EQ,111621800,25,279054
2024-09-25,206.85,209.97,206.31,209.59,14897710,EQ,119181680,25,297954
2024-09-26,210.86,214.72,208.92,214.22,25633119,EQ,205064952,25,512662
2024-09-27,217.41,221.03,215.55,220.17,31529491,EQ,252235928,25,630589
2024-09-30,217.41,227.63,214.29,223.25,29251437,EQ,234011496,25,585028
2024-10-01,223.17,227.16,222.06,222.76,14256684,EQ,114053472,25,285133
2024-10-03,215.68,226.69,215.68,223.26,22452808,EQ,179622464,25,449056
