date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,386.51,394.86,384.95,387.79,939912,EQ,7519296,25,18798
2024-09-02,390.73,404.11,383.43,400.50,3633746,EQ,29069968,25,72674
2024-09-03,403.16,407.14,395.29,399.98,1541305,EQ,12330440,25,30826
2024-09-04,384.14,386.08,376.93,377.40,7151584,EQ,57212672,25,143031
2024-09-05,376.60,378.40,375.03,377.17,2545936,EQ,20367488,25,50918
2024-09-06,376.17,377.93,361.85,363.74,2285186,EQ,18281488,25,45703
2024-09-09,366.73,386.94,362.46,381.96,6869237,EQ,54953896,25,137384
2024-09-10,382.05,384.14,374.75,376.12,1563849,EQ,12510792,25,31276
2024-09-11,377.58,382.11,373.16,374.71,999957,EQ,7999656,25,19999
2024-09-12,376.61,384.88,375.64,382.35,1199678,EQ,9597424,25,23993
2024-09-13,384.40,384.98,380.70,382.89,743848,EQ,5950784,25,14876
2024-09-16,384.40,386.73,381.18,384.40,738416,EQ,5907328,25,14768
2024-09-17,380.60,385.17,380.55,383.47,714284,EQ,5714272,25,14285
2024-09-18,383.42,386.24,382.06,384.44,962043,EQ,7696344,25,19240
2024-09-19,386.39,386.63,369.12,373.69,1239142,EQ,9913136,25,24782
2024-09-20,375.05,386.24,372.96,383.08,1251238,EQ,10009904,25,25024
2024-09-23,385.37,394.61,383.18,387.27,1846324,EQ,14770592,25,36926
2024-09-24,387.51,388.58,383.62,386.29,568987,EQ,4551896,25,11379
2024-09-25,387.12,390.92,382.45,387.36,2018952,EQ,16151616,25,40379
2024-09-26,383.42,391.55,377.00,389.21,2315019,EQ,18520152,25,46300
2024-09-27,389.21,393.01,384.20,390.53,949022,EQ,7592176,25,18980
2024-09-30,388.29,388.29,380.55,384.98,1118749,EQ,8949992,25,22374
2024-10-01,381.48,388.68,381.48,384.10,638463,EQ,5107704,25,12769
2024-10-03,375.64,382.64,371.16,373.20,506320,EQ,4050560,25,10126
