date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,1424.81,1435.87,1414.34,1429.83,1311589,EQ,10492712,25,26231
2024-09-02,1437.03,1440.11,1413.86,1419.07,295844,EQ,2366752,25,5916
2024-09-03,1419.02,1428.43,1405.70,1410.09,901067,EQ,7208536,25,18021
2024-09-04,1404.54,1427.66,1399.33,1424.14,517446,EQ,4139568,25,10348
2024-09-05,1428.68,1432.49,1402.61,1407.15,533903,EQ,4271224,25,10678
2024-09-06,1403.09,1405.02,1367.96,1393.39,1537112,EQ,12296896,25,30742
2024-09-09,1394.84,1475.25,1375.73,1440.31,2093470,EQ,16747760,25,41869
2024-09-10,1447.98,1459.47,1430.32,1450.93,1399345,EQ,11194760,25,27986
2024-09-11,1452.81,1488.38,1443.35,1447.93,1299900,EQ,10399200,25,25998
2024-09-12,1456.38,1481.77,1449.43,1460.97,1397079,EQ,11176632,25,27941
2024-09-13,1467.29,1467.29,1426.74,1439.58,2359062,EQ,18872496,25,47181
2024-09-16,1424.81,1424.81,1367.09,1405.85,1635007,EQ,13080056,25,32700
2024-09-17,1409.37,1430.32,1398.90,1408.79,1373125,EQ,10985000,25,27462
2024-09-18,1408.79,1413.86,1376.79,1382.48,632328,EQ,5058624,25,12646
2024-09-19,1389.39,1406.33,1379.97,1394.74,736187,EQ,5889496,25,14723
2024-09-20,1403.58,1418.49,1390.50,1406.09,1885327,EQ,15082616,25,37706
2024-09-23,1413.09,1414.15,1392.04,1399.04,518082,EQ,4144656,25,10361
2024-09-24,1396.53,1410.53,1379.78,1396.19,1514391,EQ,12115128,25,30287
2024-09-25,1395.85,1396.77,1359.27,1379.97,1325119,EQ,10600952,25,26502
2024-09-26,1379.93,1382.34,1358.40,1372.98,540524,EQ,4324192,25,10810
2024-09-27,1361.10,1361.10,1296.96,1340.49,5207179,EQ,41657432,25,104143
2024-09-30,1340.59,1358.21,1329.25,1345.08,1190628,EQ,9525024,25,23812
2024-10-01,1346.62,1366.41,1321.57,1340.11,1233644,EQ,9869152,25,24672
2024-10-03,1303.47,1339.87,1291.65,1301.64,2342173,EQ,18737384,25,46843
2024-10-04,1301.25,1310.09,1286.87,1296.67,1760338,EQ,14082704,25,35206
2024-10-07,1296.67,1308.54,1279.05,1286.15,1211273,EQ,9690184,25,24225
2024-10-08,1272.29,1296.52,1255.16,1259.31,2892445,EQ,23139560,25,57848
2024-10-09,1262.64,1303.71,1257.81,1287.16,4702906,EQ,37623248,25,94058
2024-10-10,1298.26,1308.35,1267.66,1271.09,958975,EQ,7671800,25,19179
2024-10-11,1279.05,1279.05,1265.54,1270.07,1260411,EQ,10083288,25,25208
2024-10-14,1276.15,1281.75,1261.34,1267.08,1117318,EQ,8938544,25,22346
2024-10-15,1274.03,1299.47,1268.43,1295.90,1817397,EQ,14539176,25,36347
2024-10-16,1300.43,1319.21,1290.88,1313.80,1104389,EQ,8835112,25,22087
2024-10-17,1313.80,1317.52,1280.98,1300.58,973342,EQ,7786736,25,19466
2024-10-18,1303.18,1311.82,1286.77,1289.81,658127,EQ,5265016,25,13162
2024-10-21,1289.81,1296.14,1263.12,1267.95,413489,EQ,3307912,25,8269
2024-10-22,1275.19,1286.68,1251.10,1254.53,401153,EQ,3209224,25,8023
2024-10-23,1254.92,1260.71,1240.05,1247.53,801772,EQ,6414176,25,16035
2024-10-24,1250.09,1253.32,1195.74,1211.57,2392142,EQ,19137136,25,47842
2024-10-25,1243.33,1282.77,1230.78,1246.47,3223478,EQ,25787824,25,64469
2024-10-28,1245.26,1265.92,1232.23,1251.68,911104,EQ,7288832,25,18222
2024-10-29,1247.05,1253.04,1224.75,1233.97,891549,EQ,7132392,25,17830
2024-10-30,1240.10,1258.78,1223.35,1254.97,790627,EQ,6325016,25,15812
2024-10-31,1268.39,1278.90,1237.67,1243.43,858307,EQ,6866456,25,17166
2024-11-01,1247.89,1253.46,1211.31,1235.63,40519,EQ,324152,25,810
2024-11-04,1235.54,1242.80,1225.89,1232.77,409220,EQ,3273760,25,8184
2024-11-05,1238.44,1240.91,1217.61,1227.06,499852,EQ,3998816,25,9997
2024-11-06,1230.69,1243.05,1226.86,1235.68,518986,EQ,4151888,25,10379
2024-11-07,1235.68,1273.33,1216.64,1219.55,589272,EQ,4714176,25,11785
2024-11-08,1221.05,1223.37,1204.33,1212.33,878571,EQ,7028568,25,17571
2024-11-11,1211.31,1211.31,1174.97,1183.06,555580,EQ,4444640,25,11111
2024-11-12,1183.06,1184.42,1135.87,1139.79,2993508,EQ,23948064,25,59870
2024-11-13,1139.65,1152.63,1130.20,1147.26,1208369,EQ,9666952,25,24167
2024-11-14,1147.69,1157.33,1126.28,1138.73,1131043,EQ,9048344,25,22620
2024-11-18,1138.73,1154.86,1127.39,1145.08,1161297,EQ,9290376,25,23225
2024-11-19,1154.14,1161.74,1140.57,1148.61,983651,EQ,7869208,25,19673
2024-11-21,1148.37,1158.88,1133.35,1142.22,4373152,EQ,34985216,25,87463
2024-11-22,1147.89,1162.76,1137.66,1155.40,719207,EQ,5753656,25,14384
2024-11-25,1158.01,1201.52,1158.01,1180.98,2884421,EQ,23075368,25,57688
2024-11-26,1192.85,1208.02,1181.27,1201.72,603291,EQ,4826328,25,12065
2024-11-27,1211.31,1225.99,1202.64,1222.55,857354,EQ,6858832,25,17147
2024-11-28,1221.24,1242.22,1205.45,1212.52,1901104,EQ,15208832,25,38022
2024-11-29,1201.62,1216.69,1197.74,1206.13,652041,EQ,5216328,25,13040
2024-12-02,1187.08,1205.50,1181.95,1189.17,565888,EQ,4527104,25,11317
2024-12-03,1189.17,1194.84,1177.59,1192.37,859907,EQ,6879256,25,17198
2024-12-04,1192.41,1200.17,1180.25,1190.48,701640,EQ,5613120,25,14032
2024-12-05,1196.44,1211.31,1177.97,1206.22,408507,EQ,3268056,25,8170
2024-12-06,1212.28,1216.16,1192.51,1197.21,842156,EQ,6737248,25,16843
2024-12-09,1133.74,1133.74,1067.55,1092.94,11231379,EQ,89851032,25,224627
2024-12-10,1095.02,1101.52,1088.05,1098.76,2182449,EQ,17459592,25,43648
2024-12-11,1101.71,1106.27,1087.80,1100.16,1927111,EQ,15416888,25,38542
2024-12-12,1104.71,1107.38,1074.67,1076.71,2776408,EQ,22211264,25,55528
2024-12-13,1077.73,1082.72,1063.38,1077.05,2883674,EQ,23069392,25,57673
2024-12-16,1085.33,1093.09,1075.69,1077.92,1658829,EQ,13270632,25,33176
2024-12-17,1078.21,1080.73,1051.42,1055.58,1829849,EQ,14638792,25,36596
2024-12-18,1061.01,1070.51,1055.58,1057.96,885061,EQ,7080488,25,17701
2024-12-19,1046.57,1054.32,1042.36,1045.07,1920445,EQ,15363560,25,38408
2024-12-20,1050.40,1050.40,1033.97,1036.49,1948622,EQ,15588976,25,38972
2024-12-23,1041.53,1045.31,1032.71,1040.52,972130,EQ,7777040,25,19442
