date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,2658.22,2690.70,2658.22,2680.72,994826,EQ,7958608,25,19896
2024-09-02,2688.56,2711.31,2657.57,2672.72,720118,EQ,5760944,25,14402
2024-09-03,2662.09,2691.79,2662.09,2688.66,522391,EQ,4179128,25,10447
2024-09-04,2676.89,2745.38,2669.19,2739.12,1119041,EQ,8952328,25,22380
2024-09-05,2755.36,2755.36,2716.92,2723.18,472385,EQ,3779080,25,9447
2024-09-06,2721.59,2726.16,2656.08,2674.76,555331,EQ,4442648,25,11106
2024-09-09,2671.88,2697.16,2655.93,2692.14,267477,EQ,2139816,25,5349
2024-09-10,2681.86,2696.91,2659.01,2684.39,431289,EQ,3450312,25,8625
2024-09-11,2691.79,2711.16,2656.13,2663.14,347845,EQ,2782760,25,6956
2024-09-12,2672.52,2746.42,2660.75,2738.58,939815,EQ,7518520,25,18796
2024-09-13,2741.56,2780.19,2729.74,2765.64,634726,EQ,5077808,25,12694
2024-09-16,2783.97,2800.11,2738.77,2746.72,431468,EQ,3451744,25,8629
2024-09-17,2750.40,2758.64,2711.66,2736.34,253234,EQ,2025872,25,5064
2024-09-18,2736.34,2758.34,2696.76,2704.41,332947,EQ,2663576,25,6658
2024-09-19,2724.57,2756.35,2704.01,2720.55,452713,EQ,3621704,25,9054
2024-09-20,2726.56,2737.18,2646.30,2660.25,2755774,EQ,22046192,25,55115
2024-09-23,2686.83,2686.83,2647.09,2648.98,678018,EQ,5424144,25,13560
2024-09-24,2658.37,2676.89,2592.46,2601.70,1457923,EQ,11663384,25,29158
2024-09-25,2601.70,2648.09,2566.59,2644.11,883336,EQ,7066688,25,17666
2024-09-26,2656.03,2731.52,2638.35,2727.40,1117471,EQ,8939768,25,22349
2024-09-27,2727.40,2788.14,2727.40,2764.45,1416974,EQ,11335792,25,28339
2024-09-30,2765.29,2805.03,2746.42,2776.77,890000,EQ,7120000,25,17800
2024-10-01,2775.28,2794.75,2736.49,2782.33,442630,EQ,3541040,25,8852
2024-10-03,2770.26,2813.97,2733.61,2747.56,972732,EQ,7781856,25,19454
2024-10-04,2747.56,2770.06,2712.65,2726.66,708378,EQ,5667024,25,14167
2024-10-07,2741.46,2751.34,2681.86,2702.22,689611,EQ,5516888,25,13792
2024-10-08,2697.01,2726.71,2687.02,2719.80,553985,EQ,4431880,25,11079
2024-10-09,2735.50,2735.50,2691.79,2697.50,600020,EQ,4800160,25,12000
2024-10-10,2699.69,2721.04,2692.88,2704.16,387246,EQ,3097968,25,7744
2024-10-11,2704.16,2713.35,2667.46,2707.24,209760,EQ,1678080,25,4195
2024-10-14,2719.16,2719.16,2684.14,2708.58,232099,EQ,1856792,25,4641
2024-10-15,2706.69,2729.49,2682.55,2717.42,491010,EQ,3928080,25,9820
2024-10-16,2706.79,2765.29,2706.69,2745.53,756373,EQ,6050984,25,15127
2024-10-17,2765.29,2771.06,2668.00,2687.67,529505,EQ,4236040,25,10590
2024-10-18,2681.86,2747.42,2656.68,2742.40,345996,EQ,2767968,25,6919
2024-10-21,2741.46,2746.82,2693.78,2699.99,322456,EQ,2579648,25,6449
2024-10-22,2699.84,2727.70,2628.57,2637.51,377094,EQ,3016752,25,7541
2024-10-23,2632.19,2658.72,2608.31,2615.51,944905,EQ,7559240,25,18898
2024-10-24,2627.13,2677.84,2598.52,2648.78,844303,EQ,6754424,25,16886
2024-10-25,2647.19,2657.08,2582.53,2597.63,656546,EQ,5252368,25,13130
2024-10-28,2582.53,2648.04,2576.87,2629.17,763794,EQ,6110352,25,15275
2024-10-29,2642.13,2671.93,2632.19,2667.95,611947,EQ,4895576,25,12238
2024-10-30,2673.56,2690.40,2648.14,2654.59,469403,EQ,3755224,25,9388
2024-10-31,2657.03,2685.83,2626.68,2677.74,321800,EQ,2574400,25,6436
2024-11-01,2700.73,2700.73,2655.04,2680.77,62294,EQ,498352,25,1245
2024-11-04,2678.53,2681.86,2560.73,2573.19,477329,EQ,3818632,25,9546
