date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,4518.66,4605.28,4507.69,4583.25,1630572,EQ,13044576,25,32611
2024-09-02,4601.90,4617.57,4566.45,4591.13,1121937,EQ,8975496,25,22438
2024-09-03,4820.93,4823.23,4702.43,4732.50,3960603,EQ,31684824,25,79212
2024-09-04,4744.89,4847.72,4696.26,4761.39,3164300,EQ,25314400,25,63286
2024-09-05,4770.35,4786.90,4677.36,4693.42,1801363,EQ,14410904,25,36027
2024-09-06,4686.13,4698.37,4597.99,4606.26,1417853,EQ,11342824,25,28357
2024-09-09,4591.23,4595.98,4486.54,4560.62,1571610,EQ,12572880,25,31432
2024-09-10,4583.30,4639.02,4579.38,4588.58,1258288,EQ,10066304,25,25165
2024-09-11,4573.50,4611.11,4490.26,4503.73,1173915,EQ,9391320,25,23478
2024-09-12,4512.73,4557.54,4501.18,4545.79,933061,EQ,7464488,25,18661
2024-09-13,4561.75,4593.09,4536.29,4548.97,867679,EQ,6941432,25,17353
2024-09-16,4558.81,4566.55,4495.20,4502.35,642977,EQ,5143816,25,12859
2024-09-17,4503.97,4504.85,4335.08,4366.37,2413098,EQ,19304784,25,48261
2024-09-18,4361.92,4392.33,4329.65,4345.95,1326709,EQ,10613672,25,26534
2024-09-19,4343.36,4371.86,4085.79,4144.36,4675647,EQ,37405176,25,93512
2024-09-20,4142.55,4302.67,4106.02,4243.81,3502389,EQ,28019112,25,70047
2024-09-23,4279.70,4368.62,4264.03,4346.25,1698571,EQ,13588568,25,33971
2024-09-24,4346.25,4352.17,4271.87,4311.48,1374111,EQ,10992888,25,27482
2024-09-25,4309.03,4348.26,4282.20,4298.55,1032339,EQ,8258712,25,20646
2024-09-26,4300.22,4313.98,4228.78,4279.02,995154,EQ,7961232,25,19903
2024-09-27,4300.32,4391.69,4284.06,4381.70,2193012,EQ,17544096,25,43860
2024-09-30,4367.84,4370.78,4294.39,4329.31,1327395,EQ,10619160,25,26547
2024-10-01,4336.50,4354.13,4307.17,4334.64,841972,EQ,6735776,25,16839
2024-10-03,4255.17,4337.38,4166.10,4179.27,1628669,EQ,13029352,25,32573
2024-10-04,4171.97,4244.79,4113.21,4168.69,1374135,EQ,10993080,25,27482
2024-10-07,4168.69,4229.41,4035.21,4079.82,1656254,EQ,13250032,25,33125
2024-10-08,4074.04,4299.09,4059.35,4278.04,2008330,EQ,16066640,25,40166
2024-10-09,4295.37,4355.94,4277.74,4295.91,1355805,EQ,10846440,25,27116
2024-10-10,4307.12,4444.23,4274.85,4389.63,2294983,EQ,18359864,25,45899
2024-10-11,4393.30,4421.71,4339.78,4354.28,860513,EQ,6884104,25,17210
2024-10-14,4424.94,4450.89,4395.70,4414.41,1482299,EQ,11858392,25,29645
2024-10-15,4430.52,4502.89,4405.50,4480.86,1760628,EQ,14085024,25,35212
2024-10-16,4523.56,4579.97,4504.95,4560.04,2398061,EQ,19184488,25,47961
2024-10-17,4574.48,4574.48,4412.16,4425.23,1346544,EQ,10772352,25,26930
2024-10-18,4400.75,4464.80,4331.85,4431.21,1369365,EQ,10954920,25,27387
2024-10-21,4441.10,4492.02,4397.22,4421.17,1095298,EQ,8762384,25,21905
2024-10-22,4406.97,4414.61,4201.80,4212.81,1544137,EQ,12353096,25,30882
2024-10-23,4193.52,4216.58,4104.84,4146.27,1624578,EQ,12996624,25,32491
