date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,1861.00,1894.02,1861.00,1872.19,1562361,EQ,12498888,25,31247
2024-09-02,1892.54,1892.54,1853.21,1858.44,663594,EQ,5308752,25,13271
2024-09-03,1862.97,1882.68,1855.09,1874.75,593605,EQ,4748840,25,11872
2024-09-04,1870.81,1888.60,1851.64,1874.11,573554,EQ,4588432,25,11471
2024-09-05,1888.60,1888.60,1833.40,1852.57,544961,EQ,4359688,25,10899
2024-09-06,1850.26,1861.44,1833.60,1845.57,788707,EQ,6309656,25,15774
2024-09-09,1845.57,1872.83,1832.46,1865.34,422565,EQ,3380520,25,8451
2024-09-10,1867.01,1914.23,1867.01,1894.96,1335774,EQ,10686192,25,26715
2024-09-11,1897.47,1939.86,1897.42,1929.60,1175514,EQ,9404112,25,23510
2024-09-12,1947.64,1972.33,1942.12,1967.85,1824365,EQ,14594920,25,36487
2024-09-13,1972.38,1994.07,1945.77,1959.62,1147593,EQ,9180744,25,22951
2024-09-16,1959.32,1980.22,1956.12,1961.44,324013,EQ,2592104,25,6480
2024-09-17,1966.47,1981.21,1944.78,1977.85,596475,EQ,4771800,25,11929
2024-09-18,1980.02,1980.02,1948.83,1959.37,427477,EQ,3419816,25,8549
2024-09-19,1959.37,1973.37,1939.46,1970.02,757558,EQ,6060464,25,15151
2024-09-20,1971.40,2029.41,1961.54,2018.81,1360503,EQ,10884024,25,27210
2024-09-23,2027.58,2075.88,2021.67,2052.62,1311899,EQ,10495192,25,26237
2024-09-24,2057.15,2057.15,2024.67,2038.57,1097815,EQ,8782520,25,21956
2024-09-25,2032.51,2043.30,2005.60,2032.12,676261,EQ,5410088,25,13525
2024-09-26,2032.12,2032.12,1963.36,1993.13,1227890,EQ,9823120,25,24557
2024-09-27,2007.87,2007.87,1971.94,2002.25,1325848,EQ,10606784,25,26516
2024-09-30,2005.90,2030.54,1978.74,1984.11,749912,EQ,5999296,25,14998
2024-10-01,1991.11,2035.86,1942.37,1971.20,860908,EQ,6887264,25,17218
2024-10-03,1930.98,1981.21,1892.10,1944.69,1327472,EQ,10619776,25,26549
2024-10-04,1940.79,1955.18,1901.31,1906.79,1379482,EQ,11035856,25,27589
2024-10-07,1916.20,1922.11,1873.76,1887.22,731944,EQ,5855552,25,14638
2024-10-08,1886.63,1926.75,1882.68,1920.58,1086748,EQ,8693984,25,21734
2024-10-09,1906.44,1943.60,1892.84,1901.12,1281595,EQ,10252760,25,25631
2024-10-10,1913.24,1931.33,1902.69,1910.58,517804,EQ,4142432,25,10356
2024-10-11,1916.64,1919.16,1900.92,1910.78,329385,EQ,2635080,25,6587
2024-10-14,1911.42,1931.97,1905.70,1912.50,505739,EQ,4045912,25,10114
2024-10-15,1923.99,1923.99,1894.12,1907.03,484293,EQ,3874344,25,9685
2024-10-16,1906.39,1941.83,1887.56,1911.57,646184,EQ,5169472,25,12923
2024-10-17,1917.18,1918.22,1760.26,1779.73,3142978,EQ,25143824,25,62859
2024-10-18,1779.73,1838.33,1738.43,1823.25,2638593,EQ,21108744,25,52771
2024-10-21,1828.47,1838.33,1775.93,1786.78,920339,EQ,7362712,25,18406
2024-10-22,1786.78,1793.43,1736.31,1745.48,1400528,EQ,11204224,25,28010
2024-10-23,1749.62,1751.34,1721.52,1724.78,1457260,EQ,11658080,25,29145
2024-10-24,1733.65,1733.84,1680.67,1698.66,1229222,EQ,9833776,25,24584
2024-10-25,1698.85,1705.60,1653.12,1670.71,720139,EQ,5761112,25,14402
2024-10-28,1680.62,1685.20,1637.34,1644.54,694254,EQ,5554032,25,13885
2024-10-29,1653.90,1658.98,1622.76,1648.29,1036926,EQ,8295408,25,20738
2024-10-30,1650.06,1660.90,1626.60,1638.72,1154994,EQ,9239952,25,23099
2024-10-31,1638.72,1655.09,1609.25,1614.97,1787940,EQ,14303520,25,35758
2024-11-01,1631.33,1632.81,1619.21,1623.74,64766,EQ,518128,25,1295
2024-11-04,1629.26,1629.26,1583.53,1605.01,854857,EQ,6838856,25,17097
2024-11-05,1601.76,1617.33,1567.26,1610.19,1191485,EQ,9531880,25,23829
2024-11-06,1624.43,1660.80,1611.77,1651.19,980220,EQ,7841760,25,19604
2024-11-07,1675.69,1675.74,1622.02,1642.22,944499,EQ,7555992,25,18889
2024-11-08,1638.23,1647.55,1621.67,1636.90,743428,EQ,5947424,25,14868
2024-11-11,1631.33,1641.73,1608.66,1618.27,511576,EQ,4092608,25,10231
2024-11-12,1620.44,1631.78,1576.48,1580.47,538309,EQ,4306472,25,10766
2024-11-13,1577.12,1598.80,1564.06,1591.02,723526,EQ,5788208,25,14470
