date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,1616.85,1630.19,1607.95,1618.15,4792561,EQ,38340488,25,95851
2024-09-02,1628.25,1672.37,1624.38,1667.43,4445349,EQ,35562792,25,88906
2024-09-03,1666.83,1677.12,1649.34,1652.48,2553290,EQ,20426320,25,51065
2024-09-04,1629.08,1657.28,1628.99,1647.68,2644961,EQ,21159688,25,52899
2024-09-05,1653.91,1659.17,1631.11,1652.57,2878565,EQ,23028520,25,57571
2024-09-06,1650.22,1657.37,1605.96,1620.78,3351716,EQ,26813728,25,67034
2024-09-09,1622.85,1630.19,1606.98,1612.15,1418238,EQ,11345904,25,28364
2024-09-10,1614.64,1651.42,1612.52,1642.00,2307528,EQ,18460224,25,46150
2024-09-11,1641.17,1658.39,1637.02,1641.68,2303930,EQ,18431440,25,46078
2024-09-12,1661.29,1674.40,1640.16,1668.31,3349489,EQ,26795912,25,66989
2024-09-13,1665.91,1679.75,1657.28,1673.11,1599349,EQ,12794792,25,31986
2024-09-16,1678.83,1683.68,1668.86,1672.23,836199,EQ,6689592,25,16723
2024-09-17,1672.32,1687.14,1667.94,1673.98,830317,EQ,6642536,25,16606
2024-09-18,1668.77,1668.77,1606.01,1621.15,2629136,EQ,21033088,25,52582
2024-09-19,1639.14,1639.14,1588.84,1602.69,4167373,EQ,33338984,25,83347
2024-09-20,1613.30,1630.01,1588.75,1624.42,4644317,EQ,37154536,25,92886
2024-09-23,1628.07,1628.07,1599.00,1617.73,1541597,EQ,12332776,25,30831
2024-09-24,1615.15,1646.07,1604.39,1638.77,1907389,EQ,15259112,25,38147
2024-09-25,1641.73,1646.57,1619.76,1645.05,2240579,EQ,17924632,25,44811
2024-09-26,1644.91,1669.05,1641.82,1646.39,4303250,EQ,34426000,25,86065
2024-09-27,1670.52,1687.64,1658.11,1669.05,4099016,EQ,32792128,25,81980
2024-09-30,1668.68,1680.40,1651.28,1657.69,2117894,EQ,16943152,25,42357
2024-10-01,1652.06,1682.01,1652.06,1676.52,1642542,EQ,13140336,25,32850
2024-10-03,1640.99,1669.88,1633.61,1641.50,3552386,EQ,28419088,25,71047
2024-10-04,1640.99,1668.59,1631.07,1639.70,2982759,EQ,23862072,25,59655
2024-10-07,1647.40,1665.17,1631.67,1640.02,3419048,EQ,27352384,25,68380
2024-10-08,1637.30,1655.76,1608.69,1651.56,2353030,EQ,18824240,25,47060
2024-10-09,1654.88,1684.37,1652.20,1670.25,2499596,EQ,19996768,25,49991
2024-10-10,1679.75,1698.17,1658.53,1669.28,3753869,EQ,30030952,25,75077
2024-10-11,1664.99,1710.03,1661.89,1697.89,2977110,EQ,23816880,25,59542
2024-10-14,1703.80,1721.75,1691.20,1712.89,1751092,EQ,14008736,25,35021
2024-10-15,1688.98,1737.67,1688.94,1725.99,5696544,EQ,45572352,25,113930
2024-10-16,1724.98,1739.74,1711.18,1721.52,2144442,EQ,17155536,25,42888
2024-10-17,1725.81,1732.41,1708.78,1723.87,2399099,EQ,19192792,25,47981
2024-10-18,1723.13,1729.50,1700.98,1714.55,2366406,EQ,18931248,25,47328
2024-10-21,1730.79,1742.97,1698.21,1701.53,1284980,EQ,10279840,25,25699
2024-10-22,1699.86,1720.49,1690.29,1693.31,2089660,EQ,16717280,25,41793
2024-10-23,1666.14,1732.56,1666.14,1714.68,2522186,EQ,20177488,25,50443
2024-10-24,1713.98,1730.66,1707.20,1713.89,1621637,EQ,12973096,25,32432
2024-10-25,1727.92,1738.65,1709.52,1720.81,4078295,EQ,32626360,25,81565
2024-10-28,1714.08,1743.52,1714.08,1738.83,2418907,EQ,19351256,25,48378
2024-10-29,1738.83,1742.69,1719.74,1738.83,1719955,EQ,13759640,25,34399
2024-10-30,1728.85,1736.70,1704.97,1708.22,1732047,EQ,13856376,25,34640
2024-10-31,1709.34,1712.96,1631.81,1640.64,3616088,EQ,28928704,25,72321
2024-11-01,1650.81,1654.81,1626.66,1632.60,242223,EQ,1937784,25,4844
2024-11-04,1637.81,1655.55,1621.08,1637.76,2843690,EQ,22749520,25,56873
2024-11-05,1643.38,1656.71,1636.41,1647.61,1818350,EQ,14546800,25,36367
2024-11-06,1663.91,1721.41,1656.39,1707.85,3477029,EQ,27816232,25,69540
2024-11-07,1718.67,1730.29,1685.37,1701.86,2173869,EQ,17390952,25,43477
2024-11-08,1708.36,1722.48,1698.24,1707.02,1521324,EQ,12170592,25,30426
2024-11-11,1715.56,1740.92,1703.76,1734.70,1679869,EQ,13438952,25,33597
2024-11-12,1756.72,1758.53,1732.05,1739.85,2711052,EQ,21688416,25,54221
2024-11-13,1733.49,1746.13,1727.08,1732.33,1254074,EQ,10032592,25,25081
2024-11-14,1739.07,1762.29,1715.24,1726.94,2462563,EQ,19700504,25,49251
2024-11-18,1726.94,1732.61,1686.11,1704.69,2483933,EQ,19871464,25,49678
2024-11-19,1706.55,1732.56,1688.25,1691.27,2354204,EQ,18833632,25,47084
2024-11-21,1704.69,1708.92,1690.94,1705.95,1841245,EQ,14729960,25,36824
2024-11-22,1715.24,1766.93,1706.09,1763.59,2765950,EQ,22127600,25,55319
2024-11-25,1782.73,1783.61,1745.10,1757.37,6531524,EQ,52252192,25,130630
2024-11-26,1755.88,1778.97,1755.00,1764.66,2079873,EQ,16638984,25,41597
2024-11-27,1762.06,1780.87,1753.09,1756.76,1631975,EQ,13055800,25,32639
2024-11-28,1751.23,1765.54,1704.69,1710.17,3631255,EQ,29050040,25,72625
2024-11-29,1711.20,1739.34,1703.72,1716.82,2482280,EQ,19858240,25,49645
2024-12-02,1716.82,1745.15,1705.11,1738.60,2014744,EQ,16117952,25,40294
2024-12-03,1750.21,1761.64,1739.11,1756.48,2954648,EQ,23637184,25,59092
2024-12-04,1748.35,1775.30,1744.27,1762.89,3730643,EQ,29845144,25,74612
2024-12-05,1751.14,1800.47,1750.21,1787.37,3881814,EQ,31054512,25,77636
2024-12-06,1789.23,1801.63,1779.29,1786.16,2250408,EQ,18003264,25,45008
2024-12-09,1779.01,1789.28,1766.01,1774.27,1379520,EQ,11036160,25,27590
2024-12-10,1780.36,1804.84,1776.41,1798.85,2695207,EQ,21561656,25,53904
2024-12-11,1789.46,1797.41,1779.94,1793.78,1387117,EQ,11096936,25,27742
2024-12-12,1788.25,1810.60,1785.05,1798.71,2306173,EQ,18449384,25,46123
2024-12-13,1801.31,1834.75,1776.55,1828.99,2569918,EQ,20559344,25,51398
2024-12-16,1830.90,1839.40,1811.76,1815.61,1371189,EQ,10969512,25,27423
2024-12-17,1807.16,1823.79,1800.38,1812.08,1987909,EQ,15903272,25,39758
2024-12-18,1810.60,1831.92,1808.51,1821.14,3460812,EQ,27686496,25,69216
2024-12-19,1774.37,1808.00,1774.37,1796.89,1916115,EQ,15328920,25,38322
2024-12-20,1815.80,1818.63,1761.73,1775.62,3786921,EQ,30295368,25,75738
2024-12-23,1782.26,1801.68,1764.29,1767.86,2058339,EQ,16466712,25,41166
2024-12-24,1773.07,1787.05,1755.09,1762.24,1310301,EQ,10482408,25,26206
