date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,803.67,806.58,786.75,794.40,445342100,EQ,3562736800,25,8906842
2024-09-02,799.20,799.20,787.75,789.57,34049680,EQ,272397440,25,680993
2024-09-03,792.99,795.88,788.43,794.61,37282860,EQ,298262880,25,745657
2024-09-04,795.41,798.23,792.02,796.77,24682744,EQ,197461952,25,493654
2024-09-05,798.81,800.70,796.87,798.55,22876318,EQ,183010544,25,457526
2024-09-06,795.08,799.66,793.04,794.42,26029602,EQ,208236816,25,520592
2024-09-09,794.93,800.03,791.10,799.05,23792914,EQ,190343312,25,475858
2024-09-10,802.69,802.69,794.93,800.92,26606646,EQ,212853168,25,532132
2024-09-11,800.95,801.97,795.51,797.79,22226684,EQ,177813472,25,444533
2024-09-12,802.69,810.46,799.32,808.81,32424046,EQ,259392368,25,648480
2024-09-13,812.40,812.40,804.17,808.49,23860532,EQ,190884256,25,477210
2024-09-16,809.00,814.24,807.57,810.92,15172820,EQ,121382560,25,303456
2024-09-17,814.34,814.34,807.62,809.88,20127122,EQ,161016976,25,402542
2024-09-18,811.36,824.48,810.99,822.49,40917342,EQ,327338736,25,818346
2024-09-19,824.63,834.24,824.61,829.14,30651776,EQ,245214208,25,613035
2024-09-20,833.03,846.83,828.68,845.01,60623386,EQ,484987088,25,1212467
2024-09-23,848.80,857.22,844.55,854.04,26965350,EQ,215722800,25,539307
2024-09-24,856.56,864.64,851.35,858.04,33039036,EQ,264312288,25,660780
2024-09-25,854.21,867.73,854.21,863.41,31965312,EQ,255722496,25,639306
2024-09-26,860.47,867.73,858.04,865.52,31899644,EQ,255197152,25,637992
2024-09-27,862.39,862.97,849.28,850.57,35613502,EQ,284908016,25,712270
2024-09-30,848.70,849.99,836.86,840.57,26383534,EQ,211068272,25,527670
2024-10-01,836.67,845.40,834.77,837.73,24572284,EQ,196578272,25,491445
2024-10-03,832.61,837.71,812.09,816.28,48473398,EQ,387787184,25,969467
2024-10-04,812.64,820.48,802.21,804.47,48683232,EQ,389465856,25,973664
2024-10-07,801.82,805.12,782.80,785.13,94458296,EQ,755666368,25,1889165
2024-10-08,791.05,804.05,787.16,801.26,29734406,EQ,237875248,25,594688
2024-10-09,800.51,804.03,790.42,792.58,41125642,EQ,329005136,25,822512
2024-10-10,795.41,808.25,792.26,806.77,21754766,EQ,174038128,25,435095
2024-10-11,807.77,807.77,797.48,801.24,23672594,EQ,189380752,25,473451
2024-10-14,803.69,821.16,802.69,819.24,18527508,EQ,148220064,25,370550
2024-10-15,822.11,824.05,813.13,817.30,19651130,EQ,157209040,25,393022
2024-10-16,815.36,828.88,815.36,824.92,20470682,EQ,163765456,25,409413
2024-10-17,822.57,823.88,808.13,811.99,14695732,EQ,117565856,25,293914
2024-10-18,807.11,820.65,802.74,816.21,24809724,EQ,198477792,25,496194
2024-10-21,832.30,848.39,830.38,838.95,46548354,EQ,372386832,25,930967
2024-10-22,839.60,844.43,830.21,832.08,38875280,EQ,311002240,25,777505
2024-10-23,827.47,847.59,827.47,842.39,38036090,EQ,304288720,25,760721
2024-10-24,843.51,858.33,843.51,849.11,30832258,EQ,246658064,25,616645
2024-10-25,851.71,853.09,838.95,846.08,26130478,EQ,209043824,25,522609
2024-10-28,845.40,849.77,839.04,841.62,22012142,EQ,176097136,25,440242
2024-10-29,837.71,856.08,837.20,850.18,35794926,EQ,286359408,25,715898
2024-10-30,845.40,851.59,836.76,841.81,32715724,EQ,261725792,25,654314
2024-10-31,838.61,843.90,834.43,842.34,22895912,EQ,183167296,25,457918
2024-11-01,841.03,846.42,837.68,843.12,1759692,EQ,14077536,25,35193
2024-11-04,846.86,846.86,830.31,831.86,28089248,EQ,224713984,25,561784
2024-11-05,826.47,855.45,824.00,853.09,44232406,EQ,353859248,25,884648
2024-11-06,859.72,859.72,847.03,851.83,27787910,EQ,222303280,25,555758
2024-11-07,846.52,854.60,843.46,847.61,18895456,EQ,151163648,25,377909
2024-11-08,850.25,855.01,847.27,851.44,19902986,EQ,159223888,25,398059
2024-11-11,851.49,865.20,849.87,857.19,24565362,EQ,196522896,25,491307
2024-11-12,859.96,861.42,829.22,833.85,31395406,EQ,251163248,25,627908
2024-11-13,833.15,839.29,811.92,815.97,35728500,EQ,285828000,25,714570
2024-11-14,811.96,827.37,811.48,821.50,27146470,EQ,217171760,25,542929
2024-11-18,825.02,834.19,822.59,827.49,27081968,EQ,216655744,25,541639
2024-11-19,831.81,851.10,826.33,845.52,50981272,EQ,407850176,25,1019625
2024-11-21,848.99,853.65,841.62,845.01,35716512,EQ,285732096,25,714330
2024-11-22,846.15,851.37,839.36,847.15,24773612,EQ,198188896,25,495472
2024-11-25,866.29,875.27,856.51,866.56,427737274,EQ,3421898192,25,8554745
2024-11-26,878.40,878.40,858.89,866.54,30935566,EQ,247484528,25,618711
2024-11-27,868.65,881.97,866.34,879.52,32714976,EQ,261719808,25,654299
2024-11-28,882.77,891.07,867.73,870.22,35722392,EQ,285779136,25,714447
2024-11-29,874.18,875.78,865.25,871.63,27669536,EQ,221356288,25,553390
2024-12-02,875.25,877.50,861.42,875.83,15110876,EQ,120887008,25,302217
2024-12-03,884.57,891.70,881.36,886.31,43410242,EQ,347281936,25,868204
2024-12-04,891.99,905.09,888.67,902.72,44669084,EQ,357352672,25,893381
2024-12-05,902.67,912.35,890.63,905.46,39682714,EQ,317461712,25,793654
2024-12-06,901.21,904.71,894.90,900.65,17783156,EQ,142265248,25,355663
