date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,732.26,738.02,728.88,734.05,6227807,EQ,49822456,25,124556
2024-09-02,738.47,749.25,735.19,740.61,3073926,EQ,24591408,25,61478
2024-09-03,749.25,756.41,736.98,753.97,6268050,EQ,50144400,25,125361
2024-09-04,746.97,754.67,743.69,754.02,3031650,EQ,24253200,25,60633
2024-09-05,753.23,753.87,745.67,747.11,1759438,EQ,14075504,25,35188
2024-09-06,745.28,749.35,731.41,733.75,2765612,EQ,22124896,25,55312
2024-09-09,730.47,744.28,726.64,731.17,2635184,EQ,21081472,25,52703
2024-09-10,725.40,727.54,696.78,698.47,7366304,EQ,58930432,25,147326
2024-09-11,696.58,699.86,691.62,695.74,4604184,EQ,36833472,25,92083
2024-09-12,698.72,711.44,693.90,710.05,3487862,EQ,27902896,25,69757
2024-09-13,707.52,709.25,698.72,700.96,1886832,EQ,15094656,25,37736
2024-09-16,704.39,704.73,693.60,696.93,2754818,EQ,22038544,25,55096
2024-09-17,696.93,698.47,687.19,694.50,2985585,EQ,23884680,25,59711
2024-09-18,694.50,700.76,689.03,694.40,1527865,EQ,12222920,25,30557
2024-09-19,695.94,703.64,693.36,697.08,2202499,EQ,17619992,25,44049
2024-09-20,697.58,716.46,697.58,706.62,7891171,EQ,63129368,25,157823
2024-09-23,714.32,725.40,709.55,722.92,2943802,EQ,23550416,25,58876
2024-09-24,722.92,724.36,710.65,716.16,3212859,EQ,25702872,25,64257
2024-09-25,717.45,718.55,705.63,712.04,1096265,EQ,8770120,25,21925
2024-09-26,712.04,727.39,709.80,724.96,2797065,EQ,22376520,25,55941
2024-09-27,724.86,735.99,721.78,725.60,4567661,EQ,36541288,25,91353
2024-09-30,730.37,731.71,711.49,713.48,2488795,EQ,19910360,25,49775
2024-10-01,711.49,718.79,702.15,705.73,1987048,EQ,15896384,25,39740
2024-10-03,692.16,707.47,692.11,697.83,2542774,EQ,20342192,25,50855
2024-10-04,697.83,709.01,697.13,704.34,2616851,EQ,20934808,25,52337
2024-10-07,707.17,714.77,698.47,701.40,3474485,EQ,27795880,25,69489
2024-10-08,696.09,708.06,695.39,705.63,3767320,EQ,30138560,25,75346
2024-10-09,705.38,720.88,699.32,712.78,1743202,EQ,13945616,25,34864
2024-10-10,716.46,721.63,708.81,719.09,2249443,EQ,17995544,25,44988
2024-10-11,716.96,720.93,712.48,719.29,1984588,EQ,15876704,25,39691
2024-10-14,723.41,736.93,721.73,735.94,3985624,EQ,31884992,25,79712
2024-10-15,738.12,741.75,706.82,709.75,6665822,EQ,53326576,25,133316
2024-10-16,718.89,727.84,710.35,722.22,5375005,EQ,43000040,25,107500
2024-10-17,725.40,726.89,711.44,721.53,4310887,EQ,34487096,25,86217
