date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,5016.36,5125.97,5003.21,5067.82,1569946,EQ,12559568,25,31398
2024-09-02,5141.77,5229.13,5125.05,5181.90,1054947,EQ,8439576,25,21098
2024-09-03,5204.01,5294.12,5155.61,5245.35,805935,EQ,6447480,25,16118
2024-09-04,5206.79,5285.10,5206.79,5279.95,532554,EQ,4260432,25,10651
2024-09-05,5285.75,5387.01,5248.60,5326.81,817503,EQ,6540024,25,16350
2024-09-06,5313.62,5360.35,5248.32,5335.69,683920,EQ,5471360,25,13678
2024-09-09,5335.73,5360.40,5282.18,5337.13,469914,EQ,3759312,25,9398
2024-09-10,5385.15,5447.53,5256.26,5266.90,775935,EQ,6207480,25,15518
2024-09-11,5293.19,5303.13,5204.33,5252.73,592210,EQ,4737680,25,11844
2024-09-12,5295.04,5404.66,5253.24,5390.87,855863,EQ,6846904,25,17117
2024-09-13,5412.93,5431.69,5360.07,5384.04,332581,EQ,2660648,25,6651
2024-09-16,5369.36,5408.84,5320.13,5368.85,333195,EQ,2665560,25,6663
2024-09-17,5387.94,5559.75,5354.13,5537.69,1250736,EQ,10005888,25,25014
2024-09-18,5560.07,5709.31,5506.94,5540.98,1446956,EQ,11575648,25,28939
2024-09-19,5573.73,5629.47,5555.24,5579.35,532623,EQ,4260984,25,10652
2024-09-20,5619.02,5659.19,5560.49,5586.04,993542,EQ,7948336,25,19870
2024-09-23,5620.18,5768.81,5577.73,5750.74,887240,EQ,7097920,25,17744
2024-09-24,5751.16,5802.49,5676.19,5691.06,631130,EQ,5049040,25,12622
2024-09-25,5707.50,5730.17,5605.18,5655.76,341785,EQ,2734280,25,6835
2024-09-26,5578.93,5634.11,5484.64,5621.53,1255943,EQ,10047544,25,25118
2024-09-27,5636.99,5656.69,5518.46,5534.11,718197,EQ,5745576,25,14363
2024-09-30,5471.55,5471.55,5286.22,5306.56,1346723,EQ,10773784,25,26934
2024-10-01,5306.56,5382.37,5262.53,5341.58,742940,EQ,5943520,25,14858
2024-10-03,5326.02,5326.02,5222.59,5260.44,1219791,EQ,9758328,25,24395
2024-10-04,5245.86,5248.55,5094.39,5128.62,943922,EQ,7551376,25,18878
2024-10-07,5174.23,5210.00,5049.89,5110.69,682783,EQ,5462264,25,13655
2024-10-08,5073.95,5151.06,5026.58,5136.98,473756,EQ,3790048,25,9475
2024-10-09,5147.39,5191.00,5137.12,5159.97,439340,EQ,3514720,25,8786
2024-10-10,5191.00,5197.46,5058.16,5068.47,579335,EQ,4634680,25,11586
2024-10-11,5072.56,5098.43,5053.52,5087.24,303034,EQ,2424272,25,6060
2024-10-14,5112.97,5178.92,5109.11,5160.67,407147,EQ,3257176,25,8142
2024-10-15,5169.64,5190.68,5075.81,5114.50,302887,EQ,2423096,25,6057
2024-10-16,5114.50,5126.90,5004.28,5014.69,504211,EQ,4033688,25,10084
2024-10-17,4982.03,4982.03,4737.67,4846.78,1947589,EQ,15580712,25,38951
2024-10-18,4846.78,4912.92,4780.45,4845.62,427617,EQ,3420936,25,8552
2024-10-21,4845.62,4880.59,4723.78,4869.81,740720,EQ,5925760,25,14814
2024-10-22,4889.09,4899.68,4788.76,4808.09,531833,EQ,4254664,25,10636
2024-10-23,4808.09,4904.88,4756.76,4780.12,411524,EQ,3292192,25,8230
2024-10-24,4793.45,4859.55,4731.73,4750.31,349453,EQ,2795624,25,6989
2024-10-25,4756.25,4779.20,4528.66,4619.97,709797,EQ,5678376,25,14195
2024-10-28,4619.97,4659.50,4548.21,4577.71,419927,EQ,3359416,25,8398
2024-10-29,4577.75,4607.57,4407.89,4447.33,953917,EQ,7631336,25,19078
2024-10-30,4407.89,4679.61,4403.34,4560.52,1039340,EQ,8314720,25,20786
2024-10-31,4586.25,4670.32,4570.41,4635.07,897452,EQ,7179616,25,17949
2024-11-01,4681.65,4684.72,4654.20,4663.82,49631,EQ,397048,25,992
2024-11-04,4763.22,4763.22,4390.71,4464.60,1676556,EQ,13412448,25,33531
2024-11-05,4475.71,4531.72,4422.66,4478.21,673746,EQ,5389968,25,13474
2024-11-06,4512.86,4570.46,4497.07,4545.19,602657,EQ,4821256,25,12053
2024-11-07,4567.63,4567.63,4447.88,4473.85,373373,EQ,2986984,25,7467
2024-11-08,4486.85,4488.71,4399.49,4430.09,333494,EQ,2667952,25,6669
2024-11-11,4424.61,4446.12,4382.39,4419.50,424955,EQ,3399640,25,8499
2024-11-12,4419.50,4455.46,4368.69,4388.57,310558,EQ,2484464,25,6211
2024-11-13,4358.33,4363.07,4172.87,4198.51,1304908,EQ,10439264,25,26098
2024-11-14,4198.51,4301.06,4149.64,4276.91,889483,EQ,7115864,25,17789
2024-11-18,4490.71,4496.10,4379.19,4396.75,1783519,EQ,14268152,25,35670
2024-11-19,4421.78,4509.10,4398.14,4436.50,704072,EQ,5632576,25,14081
2024-11-21,4458.94,4477.56,4404.36,4429.12,572418,EQ,4579344,25,11448
2024-11-22,4438.92,4466.79,4405.11,4453.50,394712,EQ,3157696,25,7894
2024-11-25,4505.43,4559.92,4472.92,4513.14,1174601,EQ,9396808,25,23492
2024-11-26,4514.72,4534.46,4459.96,4494.94,384827,EQ,3078616,25,7696
2024-11-27,4498.00,4545.75,4468.83,4525.17,296689,EQ,2373512,25,5933
2024-11-28,4546.31,4561.12,4421.92,4443.66,778790,EQ,6230320,25,15575
2024-11-29,4457.87,4463.12,4395.91,4423.41,462448,EQ,3699584,25,9248
2024-12-02,4397.21,4439.48,4361.07,4411.10,510429,EQ,4083432,25,10208
2024-12-03,4412.54,4444.12,4356.80,4363.30,664696,EQ,5317568,25,13293
2024-12-04,4370.78,4389.31,4287.59,4306.50,586762,EQ,4694096,25,11735
2024-12-05,4325.21,4345.70,4262.42,4314.39,796988,EQ,6375904,25,15939
2024-12-06,4326.10,4384.67,4287.13,4300.69,733835,EQ,5870680,25,14676
2024-12-09,4309.38,4328.56,4263.90,4269.43,329145,EQ,2633160,25,6582
2024-12-10,4273.19,4287.08,4237.61,4262.32,384707,EQ,3077656,25,7694
2024-12-11,4260.42,4323.68,4260.42,4320.06,571443,EQ,4571544,25,11428
2024-12-12,4320.06,4329.07,4219.31,4233.02,821540,EQ,6572320,25,16430
2024-12-13,4233.02,4257.40,4180.30,4250.39,552194,EQ,4417552,25,11043
2024-12-16,4263.90,4263.90,4194.88,4216.53,835965,EQ,6687720,25,16719
2024-12-17,4192.65,4234.69,4083.32,4101.43,778939,EQ,6231512,25,15578
2024-12-18,4085.96,4115.18,4061.58,4077.60,738092,EQ,5904736,25,14761
2024-12-19,4021.96,4141.38,4017.73,4093.86,691740,EQ,5533920,25,13834
2024-12-20,4093.86,4144.58,4017.73,4031.62,800108,EQ,6400864,25,16002
2024-12-23,4054.89,4064.64,3955.82,3969.05,931177,EQ,7449416,25,18623
2024-12-24,3969.05,4008.44,3948.06,3956.51,561434,EQ,4491472,25,11228
2024-12-26,3966.64,4001.80,3953.26,3971.28,375676,EQ,3005408,25,7513
2024-12-27,3976.39,4039.70,3928.13,3936.87,744900,EQ,5959200,25,14898
2024-12-30,3950.61,3970.35,3872.12,3890.09,1819173,EQ,14553384,25,36383
2024-12-31,3866.68,3917.82,3855.16,3865.01,492605,EQ,3940840,25,9852
2025-01-01,3878.20,3898.82,3836.58,3887.07,329310,EQ,2634480,25,6586
2025-01-02,3887.68,4015.08,3851.45,4005.19,1062633,EQ,8501064,25,21252
2025-01-03,3962.41,3994.32,3866.73,3941.65,1269643,EQ,10157144,25,25392
2025-01-06,3956.42,3994.51,3890.23,3904.21,813031,EQ,6504248,25,16260
2025-01-07,3901.70,3924.70,3860.09,3866.36,396158,EQ,3169264,25,7923
2025-01-08,3898.82,3898.82,3808.72,3844.11,438731,EQ,3509848,25,8774
2025-01-09,3854.56,3868.54,3820.19,3847.04,340998,EQ,2727984,25,6819
2025-01-10,3850.52,3868.17,3796.08,3829.34,355269,EQ,2842152,25,7105
2025-01-13,3808.72,3829.11,3713.50,3756.37,801718,EQ,6413744,25,16034
2025-01-14,3778.06,3840.53,3769.47,3811.18,242769,EQ,1942152,25,4855
2025-01-15,3830.27,3861.85,3793.06,3819.77,281045,EQ,2248360,25,5620
2025-01-16,3873.74,3878.39,3769.65,3784.66,349664,EQ,2797312,25,6993
2025-01-17,3786.42,3831.94,3762.27,3806.86,211342,EQ,1690736,25,4226
2025-01-20,3824.97,3824.97,3758.13,3801.38,254936,EQ,2039488,25,5098
2025-01-21,3802.12,3826.37,3725.11,3738.86,287082,EQ,2296656,25,5741
2025-01-22,3740.90,3782.71,3740.90,3767.56,272889,EQ,2183112,25,5457
2025-01-23,3767.56,3822.65,3739.04,3809.04,282745,EQ,2261960,25,5654
2025-01-24,3813.41,3831.94,3754.00,3764.03,216273,EQ,1730184,25,4325
2025-01-27,3757.62,3785.31,3715.82,3730.64,328160,EQ,2625280,25,6563
2025-01-28,3734.40,3773.69,3715.82,3740.30,444089,EQ,3552712,25,8881
2025-01-29,3749.26,3822.46,3746.52,3783.12,479893,EQ,3839144,25,9597
2025-01-30,3789.39,3889.54,3771.60,3880.99,807120,EQ,6456960,25,16142
2025-01-31,3890.46,4062.13,3879.32,4030.88,1056018,EQ,8448144,25,21120
2025-02-01,4022.38,4201.62,3935.10,4089.40,1141242,EQ,9129936,25,22824
2025-02-03,4105.98,4115.27,3927.81,3982.11,846135,EQ,6769080,25,16922
2025-02-04,4016.80,4040.96,3920.19,3936.08,554233,EQ,4433864,25,11084
2025-02-05,3936.91,3985.22,3913.32,3967.01,408928,EQ,3271424,25,8178
2025-02-06,3984.29,4026.70,3917.31,3929.53,576470,EQ,4611760,25,11529
2025-02-07,4013.04,4013.04,3916.10,3970.96,1344288,EQ,10754304,25,26885
2025-02-10,4000.36,4013.97,3873.84,3898.31,779450,EQ,6235600,25,15589
2025-02-11,3901.61,3937.84,3781.78,3795.29,593081,EQ,4744648,25,11861
2025-02-12,3815.72,3872.47,3766.25,3824.05,619474,EQ,4955792,25,12389
2025-02-13,3813.81,3832.95,3756.77,3767.68,557075,EQ,4456600,25,11141
2025-02-14,3771.01,3791.06,3666.21,3678.02,475952,EQ,3807616,25,9519
2025-02-17,3661.50,3700.64,3578.27,3691.40,913565,EQ,7308520,25,18271
2025-02-18,3694.78,3706.11,3628.12,3657.17,482022,EQ,3856176,25,9640
2025-02-19,3657.55,3712.78,3632.88,3693.97,453662,EQ,3629296,25,9073
2025-02-20,3680.02,3750.01,3671.45,3722.49,438563,EQ,3508504,25,8771
2025-02-21,3713.83,3729.87,3645.88,3668.69,426337,EQ,3410696,25,8526
2025-02-24,3656.55,3705.35,3618.70,3699.40,272543,EQ,2180344,25,5450
2025-02-25,3691.92,3697.92,3634.88,3645.50,661184,EQ,5289472,25,13223
2025-02-27,3626.36,3628.41,3547.42,3580.08,877741,EQ,7021928,25,17554
2025-02-28,3566.80,3568.08,3487.33,3505.38,995134,EQ,7961072,25,19902
2025-03-03,3470.09,3537.66,3444.34,3457.43,691809,EQ,5534472,25,13836
2025-03-04,3451.95,3466.14,3328.16,3347.06,946922,EQ,7575376,25,18938
2025-03-05,3347.21,3437.29,3345.78,3417.43,611959,EQ,4895672,25,12239
2025-03-06,3456.24,3483.38,3411.67,3474.57,654829,EQ,5238632,25,13096
2025-03-07,3489.09,3555.47,3451.95,3478.14,621576,EQ,4972608,25,12431
2025-03-10,3478.62,3490.76,3405.01,3411.82,675889,EQ,5407112,25,13517
2025-03-11,3408.15,3488.62,3383.15,3476.38,618870,EQ,4950960,25,12377
2025-03-12,3476.38,3494.28,3425.29,3437.91,385877,EQ,3087016,25,7717
2025-03-13,3451.95,3452.48,3356.11,3360.68,359751,EQ,2878008,25,7195
2025-03-17,3319.59,3379.58,3296.35,3326.35,673556,EQ,5388448,25,13471
2025-03-18,3326.35,3326.35,3326.35,3326.35,0,EQ,0,25,0
2025-03-19,3413.86,3417.53,3346.40,3368.16,674188,EQ,5393504,25,13483
2025-03-20,3408.15,3460.52,3391.25,3425.43,771668,EQ,6173344,25,15433
2025-03-21,3455.76,3534.71,3439.34,3455.76,1195882,EQ,9567056,25,23917
2025-03-24,3483.38,3511.33,3411.82,3453.24,663262,EQ,5306096,25,13265
2025-03-25,3478.14,3500.23,3442.43,3454.76,544164,EQ,4353312,25,10883
2025-03-26,3475.76,3494.14,3433.29,3471.90,755658,EQ,6045264,25,15113
2025-03-27,3460.52,3608.13,3438.00,3591.98,1525094,EQ,12200752,25,30501
2025-03-28,3598.60,3626.93,3530.37,3545.23,509889,EQ,4079112,25,10197
2025-04-01,3530.37,3634.41,3530.37,3582.46,506307,EQ,4050456,25,10126
