date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,690.31,699.69,686.46,692.63,7404373,EQ,59234984,25,148087
2024-09-02,697.91,697.91,674.71,675.40,6186645,EQ,49493160,25,123732
2024-09-03,679.10,684.09,669.13,670.46,4457291,EQ,35658328,25,89145
2024-09-04,658.36,665.42,653.03,658.51,5816848,EQ,46534784,25,116336
2024-09-05,661.67,664.04,658.95,661.62,3749608,EQ,29996864,25,74992
2024-09-06,659.94,668.58,657.18,658.81,6311131,EQ,50489048,25,126222
2024-09-09,655.75,655.75,642.91,650.36,5144488,EQ,41155904,25,102889
2024-09-10,656.63,658.51,645.57,651.30,3304741,EQ,26437928,25,66094
2024-09-11,650.41,650.41,637.38,639.65,3825823,EQ,30606584,25,76516
2024-09-12,649.82,669.47,643.40,667.79,8594764,EQ,68758112,25,171895
2024-09-13,677.47,677.87,662.26,664.88,5977861,EQ,47822888,25,119557
2024-09-16,671.64,679.00,668.14,676.63,4258546,EQ,34068368,25,85170
2024-09-17,680.43,683.40,672.63,674.51,3395470,EQ,27163760,25,67909
2024-09-18,676.48,679.40,664.98,676.73,3404940,EQ,27239520,25,68098
2024-09-19,681.42,682.26,659.89,675.69,5134590,EQ,41076720,25,102691
2024-09-20,683.50,690.11,680.19,685.77,9753966,EQ,78031728,25,195079
2024-09-23,686.85,689.32,679.40,681.97,2808114,EQ,22464912,25,56162
2024-09-24,688.93,710.75,684.38,708.93,15201960,EQ,121615680,25,304039
2024-09-25,715.99,721.81,706.65,709.52,9525319,EQ,76202552,25,190506
2024-09-26,709.52,727.00,701.86,725.52,10573166,EQ,84585328,25,211463
2024-09-27,737.66,748.28,732.87,737.86,12936973,EQ,103495784,25,258739
2024-09-30,740.68,754.95,740.13,746.80,8566640,EQ,68533120,25,171332
2024-10-01,745.61,755.98,735.94,752.08,4402151,EQ,35217208,25,88043
2024-10-03,740.68,763.04,735.44,737.81,5649089,EQ,45192712,25,112981
2024-10-04,733.42,748.13,730.85,738.60,4624509,EQ,36996072,25,92490
2024-10-07,743.64,743.64,713.52,722.21,5862059,EQ,46896472,25,117241
2024-10-08,714.51,722.90,699.20,712.83,5418558,EQ,43348464,25,108371
2024-10-09,701.17,726.60,701.17,718.51,3733320,EQ,29866560,25,74666
2024-10-10,722.80,729.02,717.27,721.07,3890250,EQ,31122000,25,77805
2024-10-11,726.85,740.63,723.94,738.06,5224383,EQ,41795064,25,104487
2024-10-14,736.73,745.61,730.26,733.76,2540789,EQ,20326312,25,50815
2024-10-15,736.73,740.68,711.69,717.91,3056619,EQ,24452952,25,61132
2024-10-16,719.44,729.71,717.02,723.99,3207796,EQ,25662368,25,64155
2024-10-17,731.89,738.01,723.25,725.66,6213860,EQ,49710880,25,124277
2024-10-18,725.66,747.05,716.04,744.13,5474367,EQ,43794936,25,109487
2024-10-21,750.55,755.93,727.84,730.41,2981749,EQ,23853992,25,59634
2024-10-22,723.89,736.53,709.37,711.30,5672302,EQ,45378416,25,113446
2024-10-23,707.10,722.06,704.43,708.18,6522834,EQ,52182672,25,130456
2024-10-24,706.11,706.11,658.46,682.11,14909729,EQ,119277832,25,298194
2024-10-25,685.87,686.26,660.14,670.31,4091651,EQ,32733208,25,81833
2024-10-28,672.53,688.33,672.34,684.29,2587719,EQ,20701752,25,51754
2024-10-29,684.29,687.54,668.04,684.98,4293867,EQ,34350936,25,85877
2024-10-30,682.36,690.11,676.88,679.84,3284187,EQ,26273496,25,65683
2024-10-31,678.31,680.98,670.81,677.52,4478581,EQ,35828648,25,89571
2024-11-01,678.95,685.27,678.66,682.31,472898,EQ,3783184,25,9457
2024-11-04,680.43,681.32,653.37,665.92,5245661,EQ,41965288,25,104913
2024-11-05,667.20,692.73,666.41,688.88,4931994,EQ,39455952,25,98639
2024-11-06,697.22,705.37,679.30,699.40,5500043,EQ,44000344,25,110000
2024-11-07,673.52,679.15,638.27,640.04,26671445,EQ,213371560,25,533428
2024-11-08,646.61,652.24,638.96,642.36,7886228,EQ,63089824,25,157724
2024-11-11,639.40,649.42,630.76,647.20,4933389,EQ,39467112,25,98667
2024-11-12,659.70,665.13,640.09,643.55,12009560,EQ,96076480,25,240191
2024-11-13,639.94,641.82,614.81,618.81,7867492,EQ,62939936,25,157349
2024-11-14,622.17,628.54,617.38,619.55,6937416,EQ,55499328,25,138748
2024-11-18,633.92,654.86,631.94,642.96,13618683,EQ,108949464,25,272373
2024-11-19,643.01,647.40,629.72,632.04,5015887,EQ,40127096,25,100317
2024-11-21,633.03,645.77,626.41,639.99,7910597,EQ,63284776,25,158211
2024-11-22,644.83,649.13,639.35,643.99,3586402,EQ,28691216,25,71728
