date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,386.49,390.02,381.31,384.34,16999644,EQ,135997152,25,339992
2024-09-02,389.79,401.72,386.22,392.41,18305095,EQ,146440760,25,366101
2024-09-03,393.32,395.02,389.56,390.62,5140913,EQ,41127304,25,102818
2024-09-04,397.59,410.52,392.68,408.23,26837682,EQ,214701456,25,536753
2024-09-05,409.33,419.28,407.26,411.35,12007469,EQ,96059752,25,240149
2024-09-06,411.62,414.42,396.85,398.41,8950512,EQ,71604096,25,179010
2024-09-09,398.41,398.46,385.30,386.49,8907889,EQ,71263112,25,178157
2024-09-10,389.24,389.24,382.59,386.44,5944511,EQ,47556088,25,118890
2024-09-11,393.64,399.84,373.79,375.53,12529867,EQ,100238936,25,250597
2024-09-12,380.62,383.05,376.04,379.15,8007169,EQ,64057352,25,160143
2024-09-13,379.20,383.28,373.01,376.86,9258252,EQ,74066016,25,185165
2024-09-16,376.95,379.52,372.18,376.22,4415935,EQ,35327480,25,88318
2024-09-17,376.49,378.33,372.41,374.84,3296568,EQ,26372544,25,65931
2024-09-18,372.87,376.81,371.45,373.70,2255708,EQ,18045664,25,45114
2024-09-19,374.20,374.84,359.53,365.08,4541604,EQ,36332832,25,90832
2024-09-20,365.08,369.89,361.73,365.72,9159103,EQ,73272824,25,183182
2024-09-23,366.40,375.07,363.79,370.03,4899097,EQ,39192776,25,97981
2024-09-24,369.52,384.66,369.29,382.59,9274367,EQ,74194936,25,185487
2024-09-25,382.59,384.34,373.83,382.82,4872324,EQ,38978592,25,97446
2024-09-26,383.56,388.92,374.75,387.00,6065915,EQ,48527320,25,121318
2024-09-27,388.88,403.37,386.31,401.67,12190119,EQ,97520952,25,243802
2024-09-30,399.88,409.92,394.84,404.05,7949959,EQ,63599672,25,158999
2024-10-01,403.55,409.10,402.13,408.04,5525180,EQ,44201440,25,110503
2024-10-03,393.46,396.81,378.79,380.67,14169317,EQ,113354536,25,283386
2024-10-04,373.28,379.47,362.37,373.19,12354340,EQ,98834720,25,247086
2024-10-07,373.47,375.44,358.56,361.04,5679436,EQ,45435488,25,113588
2024-10-08,355.86,362.28,349.90,357.92,12815777,EQ,102526216,25,256315
2024-10-09,366.86,378.79,360.67,362.14,11902837,EQ,95222696,25,238056
2024-10-10,364.57,370.53,359.53,359.98,3363159,EQ,26905272,25,67263
2024-10-11,359.53,364.16,355.31,362.74,2978692,EQ,23829536,25,59573
2024-10-14,364.57,374.11,363.24,372.23,6151692,EQ,49213536,25,123033
2024-10-15,379.70,391.54,378.10,387.87,16856309,EQ,134850472,25,337126
2024-10-16,391.63,402.04,389.93,398.64,16355809,EQ,130846472,25,327116
2024-10-17,396.17,402.63,392.77,397.45,11762175,EQ,94097400,25,235243
2024-10-18,394.75,399.24,387.64,395.85,4941502,EQ,39532016,25,98830
2024-10-21,397.13,400.16,379.57,380.76,9263679,EQ,74109432,25,185273
2024-10-22,379.80,382.09,367.32,368.79,5951071,EQ,47608568,25,119021
2024-10-23,368.79,369.89,361.54,364.89,3779746,EQ,30237968,25,75594
2024-10-24,363.19,371.82,360.86,371.22,7703516,EQ,61628128,25,154070
2024-10-25,372.37,372.37,339.94,341.55,8522829,EQ,68182632,25,170456
2024-10-28,348.52,361.18,347.60,351.55,12990859,EQ,103926872,25,259817
2024-10-29,353.06,357.55,344.39,356.32,5115112,EQ,40920896,25,102302
2024-10-30,356.32,357.19,345.49,346.36,5110158,EQ,40881264,25,102203
2024-10-31,345.77,350.77,343.02,349.35,6864561,EQ,54916488,25,137291
2024-11-01,349.35,351.55,348.52,349.44,505687,EQ,4045496,25,10113
2024-11-04,350.35,350.35,333.52,337.97,8846874,EQ,70774992,25,176937
2024-11-05,334.76,345.31,332.24,343.80,8163853,EQ,65310824,25,163277
2024-11-06,348.38,361.31,345.91,359.16,8284664,EQ,66277312,25,165693
2024-11-07,358.47,366.86,353.43,363.65,5850910,EQ,46807280,25,117018
2024-11-08,363.06,363.06,348.80,351.32,5067482,EQ,40539856,25,101349
2024-11-11,351.27,355.67,344.07,349.39,6123412,EQ,48987296,25,122468
2024-11-12,352.28,357.69,343.06,344.44,6589595,EQ,52716760,25,131791
2024-11-13,343.93,346.59,337.29,340.63,4346895,EQ,34775160,25,86937
2024-11-14,341.64,347.88,335.18,341.55,5809877,EQ,46479016,25,116197
2024-11-18,341.55,344.62,336.05,336.87,5010823,EQ,40086584,25,100216
2024-11-19,335.68,343.75,330.36,332.15,2933169,EQ,23465352,25,58663
2024-11-21,332.15,333.48,325.50,330.27,4403773,EQ,35230184,25,88075
2024-11-22,332.01,335.04,328.89,330.82,2571975,EQ,20575800,25,51439
2024-11-25,338.39,352.79,337.47,345.63,9614696,EQ,76917568,25,192293
2024-11-26,350.45,357.42,346.69,348.15,3574299,EQ,28594392,25,71485
2024-11-27,353.93,354.02,344.67,348.66,6106128,EQ,48849024,25,122122
2024-11-28,350.26,354.25,346.00,348.52,5435933,EQ,43487464,25,108718
2024-11-29,349.85,353.11,345.22,351.36,4384830,EQ,35078640,25,87696
2024-12-02,351.36,352.19,347.79,349.39,2355565,EQ,18844520,25,47111
2024-12-03,353.11,355.49,350.86,352.69,5317630,EQ,42541040,25,106352
2024-12-04,352.19,359.21,351.00,355.54,3476461,EQ,27811688,25,69529
2024-12-05,358.15,360.54,352.65,359.34,3583458,EQ,28667664,25,71669
2024-12-06,361.22,368.93,359.57,366.13,8107943,EQ,64863544,25,162158
2024-12-09,365.99,370.94,364.71,366.59,4763280,EQ,38106240,25,95265
2024-12-10,366.86,372.69,364.34,371.36,6662197,EQ,53297576,25,133243
2024-12-11,371.36,378.19,370.94,376.13,8783167,EQ,70265336,25,175663
2024-12-12,376.04,379.70,372.41,377.59,4832913,EQ,38663304,25,96658
2024-12-13,377.59,383.42,375.53,380.67,7106881,EQ,56855048,25,142137
2024-12-16,380.53,384.29,367.14,373.38,7360302,EQ,58882416,25,147206
2024-12-17,374.20,375.85,371.08,373.38,3735357,EQ,29882856,25,74707
2024-12-18,372.37,375.12,364.07,365.08,4286929,EQ,34295432,25,85738
2024-12-19,359.53,376.95,356.64,373.65,7226543,EQ,57812344,25,144530
2024-12-20,375.12,379.25,364.98,366.40,8035990,EQ,64287920,25,160719
2024-12-23,366.91,377.36,366.22,370.17,3951645,EQ,31613160,25,79032
2024-12-24,370.53,383.33,368.33,378.65,6334203,EQ,50673624,25,126684
2024-12-26,378.65,386.58,374.93,384.56,6201557,EQ,49612456,25,124031
2024-12-27,385.57,385.57,375.21,376.68,3440755,EQ,27526040,25,68815
2024-12-30,375.12,376.40,367.69,372.18,6858610,EQ,54868880,25,137172
2024-12-31,372.18,376.59,369.29,374.89,3103194,EQ,24825552,25,62063
2025-01-01,376.04,379.70,371.17,378.19,2185656,EQ,17485248,25,43713
2025-01-02,378.10,381.35,370.99,378.51,2391474,EQ,19131792,25,47829
2025-01-03,379.25,382.55,373.93,378.83,4037493,EQ,32299944,25,80749
2025-01-06,378.83,379.70,355.86,356.73,5016149,EQ,40129192,25,100322
2025-01-07,359.43,364.66,353.24,354.21,3195402,EQ,25563216,25,63908
2025-01-08,354.48,362.00,350.08,358.93,3631344,EQ,29050752,25,72626
2025-01-09,360.44,360.44,351.68,352.92,2525567,EQ,20204536,25,50511
2025-01-10,355.44,360.26,348.11,356.27,3504508,EQ,28036064,25,70090
2025-01-13,345.36,345.36,330.31,334.21,13439614,EQ,107516912,25,268792
2025-01-14,334.76,344.81,333.71,342.33,3392260,EQ,27138080,25,67845
2025-01-15,346.23,348.02,330.73,333.16,4162695,EQ,33301560,25,83253
2025-01-16,333.85,335.27,327.79,328.53,5072603,EQ,40580824,25,101452
