date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,2686.13,2705.92,2651.93,2669.13,4029712,EQ,32237696,25,80594
2024-09-02,2684.50,2698.82,2670.09,2679.74,957950,EQ,7663600,25,19159
2024-09-03,2671.05,2717.12,2666.24,2684.79,2022116,EQ,16176928,25,40442
2024-09-04,2671.05,2732.40,2663.03,2729.90,1640986,EQ,13127888,25,32819
2024-09-05,2728.74,2743.11,2712.99,2727.21,1945173,EQ,15561384,25,38903
2024-09-06,2717.26,2754.11,2717.26,2727.69,1672730,EQ,13381840,25,33454
2024-09-09,2741.28,2823.05,2731.77,2807.29,3342754,EQ,26742032,25,66855
2024-09-10,2819.01,2822.47,2774.33,2785.00,1536584,EQ,12292672,25,30731
2024-09-11,2797.49,2834.39,2784.52,2790.33,1913665,EQ,15309320,25,38273
2024-09-12,2796.91,2847.26,2780.77,2840.53,2454564,EQ,19636512,25,49091
2024-09-13,2840.53,2840.53,2804.12,2818.00,1902001,EQ,15216008,25,38040
2024-09-16,2795.95,2795.95,2697.37,2754.73,1489057,EQ,11912456,25,29781
2024-09-17,2754.73,2799.70,2748.01,2760.88,1098661,EQ,8789288,25,21973
2024-09-18,2761.36,2780.15,2749.55,2763.14,464796,EQ,3718368,25,9295
2024-09-19,2763.53,2819.30,2760.74,2797.63,1713010,EQ,13704080,25,34260
2024-09-20,2810.17,2872.19,2781.92,2860.90,3641632,EQ,29133056,25,72832
2024-09-23,2863.21,2916.05,2853.55,2909.86,1300470,EQ,10403760,25,26009
2024-09-24,2901.64,2901.64,2830.64,2834.91,1929308,EQ,15434464,25,38586
2024-09-25,2834.91,2844.33,2791.24,2833.38,1055354,EQ,8442832,25,21107
2024-09-26,2835.44,2875.56,2825.93,2869.07,1902889,EQ,15223112,25,38057
2024-09-27,2869.07,2911.25,2837.03,2850.00,2977081,EQ,23816648,25,59541
2024-09-30,2848.03,2880.41,2827.28,2842.36,1627702,EQ,13021616,25,32554
2024-10-01,2846.59,2846.59,2778.08,2809.16,1184642,EQ,9477136,25,23692
2024-10-03,2794.75,2808.54,2748.97,2779.96,1233447,EQ,9867576,25,24668
2024-10-04,2777.70,2799.80,2706.65,2737.10,2456486,EQ,19651888,25,49129
2024-10-07,2733.50,2754.11,2714.33,2722.35,1280975,EQ,10247800,25,25619
2024-10-08,2732.54,2772.89,2689.01,2708.33,1761488,EQ,14091904,25,35229
2024-10-09,2712.75,2715.10,2652.50,2660.43,1476282,EQ,11810256,25,29525
2024-10-10,2661.44,2678.16,2626.08,2646.74,2065078,EQ,16520624,25,41301
2024-10-11,2656.44,2680.66,2629.78,2674.12,679307,EQ,5434456,25,13586
2024-10-14,2682.19,2694.78,2656.64,2679.79,874010,EQ,6992080,25,17480
2024-10-15,2683.63,2689.59,2656.88,2672.44,1082666,EQ,8661328,25,21653
2024-10-16,2679.84,2687.91,2647.60,2672.25,1170797,EQ,9366376,25,23415
2024-10-17,2670.52,2672.97,2616.71,2631.32,1368242,EQ,10945936,25,27364
2024-10-18,2631.32,2632.62,2587.89,2610.61,1137277,EQ,9098216,25,22745
2024-10-21,2608.59,2630.69,2575.40,2587.99,792345,EQ,6338760,25,15846
2024-10-22,2579.87,2603.79,2568.96,2576.60,1272253,EQ,10178024,25,25445
2024-10-23,2518.28,2587.51,2518.28,2555.08,1431962,EQ,11455696,25,28639
2024-10-24,2543.26,2543.26,2356.48,2406.92,9216267,EQ,73730136,25,184325
2024-10-25,2404.23,2440.45,2402.12,2428.97,2761166,EQ,22089328,25,55223
2024-10-28,2444.30,2488.11,2421.33,2474.85,852829,EQ,6822632,25,17056
2024-10-29,2484.36,2484.36,2436.61,2447.80,1695654,EQ,13565232,25,33913
2024-10-30,2456.79,2462.84,2434.11,2454.82,1200637,EQ,9605096,25,24012
2024-10-31,2454.82,2463.03,2425.18,2429.16,1901355,EQ,15210840,25,38027
2024-11-01,2444.25,2446.17,2412.93,2438.05,118532,EQ,948256,25,2370
2024-11-04,2447.18,2447.18,2405.38,2425.85,1097260,EQ,8778080,25,21945
2024-11-05,2421.24,2431.09,2408.75,2422.53,702046,EQ,5616368,25,14040
2024-11-06,2444.74,2451.45,2425.11,2430.65,1219166,EQ,9753328,25,24383
2024-11-07,2430.65,2439.59,2397.02,2406.16,1322446,EQ,10579568,25,26448
