date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,277.15,278.04,258.88,262.29,24250054,EQ,194000432,25,485001
2024-09-02,261.64,263.37,255.33,256.55,9681245,EQ,77449960,25,193624
2024-09-03,256.55,258.70,254.77,255.56,4970658,EQ,39765264,25,99413
2024-09-04,251.41,253.70,247.67,249.07,7348737,EQ,58789896,25,146974
2024-09-05,250.24,251.83,244.21,244.86,6606159,EQ,52849272,25,132123
2024-09-06,244.86,247.15,236.55,237.48,8964703,EQ,71717624,25,179294
2024-09-09,237.34,241.69,230.19,235.42,10430112,EQ,83440896,25,208602
2024-09-10,236.55,239.35,234.35,236.64,7061118,EQ,56488944,25,141222
2024-09-11,237.71,240.47,228.98,229.86,7044646,EQ,56357168,25,140892
2024-09-12,231.17,240.10,229.96,237.48,12471133,EQ,99769064,25,249422
2024-09-13,239.70,241.73,235.35,238.42,6741004,EQ,53928032,25,134820
2024-09-16,239.42,240.55,232.57,233.51,4579642,EQ,36637136,25,91592
2024-09-17,233.75,238.24,229.07,231.48,8323237,EQ,66585896,25,166464
2024-09-18,230.82,234.50,226.71,227.42,5257991,EQ,42063928,25,105159
2024-09-19,228.70,229.97,215.38,217.69,10794462,EQ,86355696,25,215889
2024-09-20,219.35,238.80,218.73,237.10,39836437,EQ,318691496,25,796728
2024-09-23,237.29,238.80,227.61,229.92,11856109,EQ,94848872,25,237122
2024-09-24,230.82,233.09,228.13,228.79,4447954,EQ,35583632,25,88959
2024-09-25,228.55,228.70,222.94,223.79,3634199,EQ,29073592,25,72683
2024-09-26,224.02,228.46,219.25,221.57,5795169,EQ,46361352,25,115903
2024-09-27,221.94,226.67,220.10,225.20,8279160,EQ,66233280,25,165583
2024-09-30,224.78,229.59,221.00,228.37,6274873,EQ,50198984,25,125497
2024-10-01,227.34,227.97,221.00,222.83,4872035,EQ,38976280,25,97440
2024-10-03,217.22,219.99,214.67,215.79,4070807,EQ,32566456,25,81416
2024-10-04,215.33,218.07,207.78,211.87,4954299,EQ,39634392,25,99085
2024-10-07,211.86,212.44,195.08,198.63,10268119,EQ,82144952,25,205362
2024-10-08,198.33,217.79,196.80,216.16,10573811,EQ,84590488,25,211476
2024-10-09,217.27,219.64,212.89,213.87,4619112,EQ,36952896,25,92382
2024-10-10,214.27,216.07,211.89,212.68,2933364,EQ,23466912,25,58667
2024-10-11,210.85,213.44,208.72,210.70,3152506,EQ,25220048,25,63050
2024-10-14,210.70,214.37,209.71,211.55,2928109,EQ,23424872,25,58562
2024-10-15,211.84,215.05,210.58,212.13,2912901,EQ,23303208,25,58258
2024-10-16,211.37,215.82,210.66,211.14,2123389,EQ,16987112,25,42467
2024-10-17,210.80,213.16,204.47,205.06,2123323,EQ,16986584,25,42466
2024-10-18,204.28,204.30,198.24,203.11,2960108,EQ,23680864,25,59202
2024-10-21,204.14,205.46,196.02,197.03,2496700,EQ,19973600,25,49934
2024-10-22,196.54,198.99,187.00,188.01,7033623,EQ,56268984,25,140672
2024-10-23,187.99,194.37,183.22,189.29,5688379,EQ,45507032,25,113767
2024-10-24,190.77,197.25,187.32,193.01,5572035,EQ,44576280,25,111440
2024-10-25,193.01,193.61,182.28,183.21,5587616,EQ,44700928,25,111752
2024-10-28,184.16,194.36,181.44,192.72,6266692,EQ,50133536,25,125333
2024-10-29,192.84,209.13,190.12,204.41,11164019,EQ,89312152,25,223280
2024-10-30,206.69,211.46,199.84,204.56,11047251,EQ,88378008,25,220945
2024-10-31,204.85,207.14,202.57,205.16,3499425,EQ,27995400,25,69988
2024-11-01,206.25,208.01,206.00,207.15,1258527,EQ,10068216,25,25170
2024-11-04,207.49,209.96,201.86,207.94,5091395,EQ,40731160,25,101827
2024-11-05,206.83,213.29,202.12,210.36,5755183,EQ,46041464,25,115103
2024-11-06,211.55,218.39,209.71,217.05,5210542,EQ,41684336,25,104210
2024-11-07,217.03,218.86,212.97,214.77,3098169,EQ,24785352,25,61963
2024-11-08,215.05,215.52,204.94,206.38,2542899,EQ,20343192,25,50857
2024-11-11,203.98,211.58,200.62,202.76,3579905,EQ,28639240,25,71598
2024-11-12,204.47,207.30,197.53,198.55,2048294,EQ,16386352,25,40965
2024-11-13,196.92,199.60,188.89,190.66,3583467,EQ,28667736,25,71669
2024-11-14,190.66,197.19,189.27,190.82,3222372,EQ,25778976,25,64447
2024-11-18,191.72,195.25,187.01,192.34,3238799,EQ,25910392,25,64775
2024-11-19,196.26,202.55,193.82,195.22,3556608,EQ,28452864,25,71132
2024-11-21,194.07,194.13,188.04,190.01,2890805,EQ,23126440,25,57816
2024-11-22,190.01,195.35,188.48,194.54,2725901,EQ,21807208,25,54518
2024-11-25,203.06,211.08,201.73,204.98,10285522,EQ,82284176,25,205710
2024-11-26,205.60,206.83,200.19,201.06,3370034,EQ,26960272,25,67400
2024-11-27,201.35,210.51,199.14,208.17,6589461,EQ,52715688,25,131789
2024-11-28,210.71,227.21,210.52,215.04,21532055,EQ,172256440,25,430641
2024-11-29,215.31,229.03,209.67,225.35,23595944,EQ,188767552,25,471918
2024-12-02,226.67,233.56,223.83,224.77,16028816,EQ,128230528,25,320576
2024-12-03,225.63,227.52,221.19,222.45,5280126,EQ,42241008,25,105602
2024-12-04,223.22,229.63,222.42,228.61,8611430,EQ,68891440,25,172228
2024-12-05,229.47,232.33,224.53,230.30,7615951,EQ,60927608,25,152319
2024-12-06,230.44,236.02,227.86,234.00,10399529,EQ,83196232,25,207990
2024-12-09,234.22,237.40,230.93,233.83,4470542,EQ,35764336,25,89410
2024-12-10,234.13,241.59,230.82,240.13,10174546,EQ,81396368,25,203490
2024-12-11,241.45,241.78,238.00,238.86,5410626,EQ,43285008,25,108212
2024-12-12,239.42,239.65,231.39,233.85,5623117,EQ,44984936,25,112462
2024-12-13,231.39,232.27,224.78,231.34,4712524,EQ,37700192,25,94250
2024-12-16,231.20,244.89,230.63,244.02,13019323,EQ,104154584,25,260386
2024-12-17,245.55,248.10,241.16,242.45,11026450,EQ,88211600,25,220529
2024-12-18,241.78,242.26,232.38,234.44,4462061,EQ,35696488,25,89241
2024-12-19,227.70,234.66,226.25,231.27,4093954,EQ,32751632,25,81879
2024-12-20,230.82,235.61,227.47,228.66,6139389,EQ,49115112,25,122787
2024-12-23,229.50,230.53,222.98,223.73,3858458,EQ,30867664,25,77169
2024-12-24,223.36,224.68,218.40,219.33,2493576,EQ,19948608,25,49871
2024-12-26,219.33,221.64,213.08,214.94,3727689,EQ,29821512,25,74553
2024-12-27,216.84,220.36,213.92,214.33,2423706,EQ,19389648,25,48474
2024-12-30,213.44,217.93,212.03,213.07,4788427,EQ,38307416,25,95768
2024-12-31,214.29,223.28,212.18,221.67,8758607,EQ,70068856,25,175172
2025-01-01,221.75,226.19,221.14,224.59,4659981,EQ,37279848,25,93199
2025-01-02,224.78,230.21,224.78,228.77,7276943,EQ,58215544,25,145538
2025-01-03,229.36,240.16,228.79,232.25,11584499,EQ,92675992,25,231689
2025-01-06,233.94,239.23,223.60,225.97,13295309,EQ,106362472,25,265906
2025-01-07,226.57,230.44,223.83,226.25,6897016,EQ,55176128,25,137940
2025-01-08,227.33,227.75,218.71,225.19,6057138,EQ,48457104,25,121142
2025-01-09,224.59,224.59,213.76,214.52,4545864,EQ,36366912,25,90917
2025-01-10,213.45,214.18,201.41,202.29,7397017,EQ,59176136,25,147940
2025-01-13,202.74,202.87,189.69,192.03,6576366,EQ,52610928,25,131527
2025-01-14,195.95,203.05,194.19,202.38,6062370,EQ,48498960,25,121247
2025-01-15,204.94,206.83,199.32,203.03,6249573,EQ,49996584,25,124991
2025-01-16,205.89,214.94,204.94,212.48,5841539,EQ,46732312,25,116830
2025-01-17,211.55,223.02,209.19,221.75,7359131,EQ,58873048,25,147182
2025-01-20,222.37,225.24,218.84,221.49,5881560,EQ,47052480,25,117631
2025-01-21,222.42,224.49,215.63,216.68,5550987,EQ,44407896,25,111019
2025-01-22,217.03,220.67,205.09,214.82,16924922,EQ,135399376,25,338498
2025-01-23,215.99,217.89,204.08,209.17,28145348,EQ,225162784,25,562906
2025-01-24,209.90,212.72,205.70,207.63,10379337,EQ,83034696,25,207586
2025-01-27,205.89,205.98,193.79,198.07,11651831,EQ,93214648,25,233036
2025-01-28,198.33,202.87,191.34,197.17,10735733,EQ,85885864,25,214714
2025-01-29,198.34,204.47,197.36,203.15,5372911,EQ,42983288,25,107458
