date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,1210.38,1215.84,1199.45,1209.59,21211148,EQ,169689184,25,424222
2024-09-02,1219.23,1219.43,1203.00,1210.33,12516759,EQ,100134072,25,250335
2024-09-03,1207.62,1230.99,1200.93,1227.80,19114907,EQ,152919256,25,382298
2024-09-04,1220.07,1223.86,1213.13,1216.63,13505843,EQ,108046744,25,270116
2024-09-05,1218.25,1224.99,1211.66,1216.23,9142811,EQ,73142488,25,182856
2024-09-06,1206.39,1214.22,1185.78,1188.88,10170479,EQ,81363832,25,203409
2024-09-09,1183.71,1218.55,1181.30,1215.30,13863250,EQ,110906000,25,277265
2024-09-10,1217.22,1221.55,1207.43,1217.56,15545130,EQ,124361040,25,310902
2024-09-11,1211.85,1219.53,1206.84,1216.63,11993242,EQ,95945936,25,239864
2024-09-12,1218.25,1236.95,1206.79,1232.17,15376442,EQ,123011536,25,307528
2024-09-13,1232.03,1235.91,1222.24,1230.40,9877288,EQ,79018304,25,197545
2024-09-16,1231.04,1245.41,1224.84,1242.70,8973335,EQ,71786680,25,179466
2024-09-17,1239.85,1251.95,1238.32,1247.87,11513121,EQ,92104968,25,230262
2024-09-18,1241.87,1274.69,1241.87,1267.80,12466597,EQ,99732776,25,249331
2024-09-19,1267.80,1279.26,1264.84,1271.39,13172268,EQ,105378144,25,263445
2024-09-20,1274.34,1340.62,1270.95,1317.10,73257767,EQ,586062136,25,1465155
2024-09-23,1309.77,1310.55,1287.63,1300.81,11380409,EQ,91043272,25,227608
2024-09-24,1299.93,1310.16,1294.46,1297.56,13886037,EQ,111088296,25,277720
2024-09-25,1289.84,1306.57,1289.20,1302.73,8728019,EQ,69824152,25,174560
2024-09-26,1298.94,1312.08,1295.89,1307.85,11100869,EQ,88806952,25,222017
2024-09-27,1311.73,1311.73,1283.05,1285.76,17117379,EQ,136939032,25,342347
2024-09-30,1271.49,1276.11,1250.63,1252.69,12622212,EQ,100977696,25,252444
2024-10-01,1249.54,1259.83,1247.38,1254.07,10972413,EQ,87779304,25,219448
2024-10-03,1233.60,1245.56,1228.24,1236.31,17648551,EQ,141188408,25,352971
2024-10-04,1227.20,1244.23,1216.48,1219.97,13488887,EQ,107911096,25,269777
2024-10-07,1221.74,1242.80,1205.46,1214.22,20667247,EQ,165337976,25,413344
2024-10-08,1221.20,1227.89,1210.13,1216.87,12219259,EQ,97754072,25,244385
2024-10-09,1223.22,1244.92,1212.99,1224.30,14765997,EQ,118127976,25,295319
2024-10-10,1226.86,1234.68,1218.25,1223.66,9118195,EQ,72945560,25,182363
2024-10-11,1217.27,1221.01,1202.51,1203.49,8472512,EQ,67780096,25,169450
2024-10-14,1201.52,1218.15,1197.98,1212.10,11833929,EQ,94671432,25,236678
2024-10-15,1219.19,1238.23,1215.69,1235.47,11657338,EQ,93258704,25,233146
2024-10-16,1228.58,1234.93,1221.79,1223.32,7869727,EQ,62957816,25,157394
2024-10-17,1229.52,1236.90,1204.87,1211.61,8459497,EQ,67675976,25,169189
2024-10-18,1208.36,1248.66,1205.70,1244.33,11018126,EQ,88145008,25,220362
