date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,72.90,74.43,72.90,73.38,29308288,EQ,234466304,25,586165
2024-09-02,73.19,75.07,72.87,74.55,38246700,EQ,305973600,25,764934
2024-09-03,75.23,75.23,74.54,74.61,20215749,EQ,161725992,25,404314
2024-09-04,72.55,74.38,72.55,74.19,25293580,EQ,202348640,25,505871
2024-09-05,74.77,75.06,74.21,74.58,16002781,EQ,128022248,25,320055
2024-09-06,74.55,74.77,72.96,73.20,26014662,EQ,208117296,25,520293
2024-09-09,73.14,73.72,71.65,72.17,49362433,EQ,394899464,25,987248
2024-09-10,72.41,72.95,71.55,72.14,25488563,EQ,203908504,25,509771
2024-09-11,72.14,72.29,70.92,71.08,33391591,EQ,267132728,25,667831
2024-09-12,71.39,72.42,71.39,72.32,18753243,EQ,150025944,25,375064
2024-09-13,72.55,73.59,72.32,72.97,20106335,EQ,160850680,25,402126
2024-09-16,73.18,74.07,72.91,73.28,20414424,EQ,163315392,25,408288
2024-09-17,73.34,73.39,72.56,72.83,14295708,EQ,114365664,25,285914
2024-09-18,72.83,73.29,71.63,72.34,56372959,EQ,450983672,25,1127459
2024-09-19,72.56,73.79,70.72,73.36,41634848,EQ,333078784,25,832696
2024-09-20,74.09,74.17,72.11,72.38,42448766,EQ,339590128,25,848975
2024-09-23,72.75,73.69,72.38,73.56,29453200,EQ,235625600,25,589064
2024-09-24,73.79,73.98,73.05,73.22,20250872,EQ,162006976,25,405017
2024-09-25,73.17,73.49,72.11,72.57,19453333,EQ,155626664,25,389066
2024-09-26,73.34,74.44,71.91,73.57,43007644,EQ,344061152,25,860152
2024-09-27,73.56,74.43,73.34,73.73,34152920,EQ,273223360,25,683058
2024-09-30,74.54,75.60,73.63,73.89,54887845,EQ,439102760,25,1097756
2024-10-01,74.09,74.64,72.80,72.99,20008192,EQ,160065536,25,400163
2024-10-03,72.25,72.68,70.98,71.54,28487090,EQ,227896720,25,569741
2024-10-04,71.55,72.39,70.81,71.39,23631085,EQ,189048680,25,472621
2024-10-07,72.00,72.36,69.97,71.77,33502798,EQ,268022384,25,670055
2024-10-08,71.70,72.80,71.31,72.68,28603943,EQ,228831544,25,572078
2024-10-09,72.93,73.28,71.36,71.94,120779369,EQ,966234952,25,2415587
2024-10-10,71.79,73.20,71.79,72.69,25885296,EQ,207082368,25,517705
2024-10-11,72.56,72.68,71.44,71.92,18820393,EQ,150563144,25,376407
2024-10-14,72.23,72.75,71.93,72.49,21893396,EQ,175147168,25,437867
2024-10-15,72.45,72.63,72.06,72.29,10389342,EQ,83114736,25,207786
2024-10-16,72.05,72.63,71.55,71.77,16787404,EQ,134299232,25,335748
2024-10-17,71.77,72.12,71.16,71.30,11642217,EQ,93137736,25,232844
2024-10-18,71.16,71.62,70.56,71.13,17860612,EQ,142884896,25,357212
2024-10-21,71.12,71.58,69.63,69.96,27168829,EQ,217350632,25,543376
2024-10-22,69.86,70.56,67.63,67.90,31369822,EQ,250958576,25,627396
2024-10-23,67.88,68.27,65.39,66.17,52678039,EQ,421424312,25,1053560
2024-10-24,66.17,68.64,66.14,67.63,35558564,EQ,284468512,25,711171
2024-10-25,67.48,67.48,64.71,65.10,64232367,EQ,513858936,25,1284647
2024-10-28,60.63,67.28,58.93,66.72,195250197,EQ,1562001576,25,3905003
2024-10-29,65.78,67.57,65.30,67.18,52058227,EQ,416465816,25,1041164
2024-10-30,66.96,69.12,66.88,68.36,56784457,EQ,454275656,25,1135689
2024-10-31,68.57,70.15,65.11,65.52,123750951,EQ,990007608,25,2475019
2024-11-01,66.29,67.20,66.09,66.73,15377877,EQ,123023016,25,307557
2024-11-04,67.07,67.07,65.00,65.42,52901289,EQ,423210312,25,1058025
2024-11-05,65.11,66.09,64.92,65.90,28723426,EQ,229787408,25,574468
2024-11-06,66.19,66.72,65.74,66.48,31126506,EQ,249012048,25,622530
2024-11-07,66.92,67.70,65.91,66.11,29672215,EQ,237377720,25,593444
2024-11-08,66.11,66.27,64.91,65.22,24563138,EQ,196505104,25,491262
2024-11-11,65.42,66.59,65.11,66.15,40876112,EQ,327008896,25,817522
2024-11-12,66.58,66.77,65.59,65.83,19572073,EQ,156576584,25,391441
2024-11-13,65.59,65.73,62.71,63.23,45002825,EQ,360022600,25,900056
2024-11-14,63.61,64.45,62.62,63.02,28532246,EQ,228257968,25,570644
2024-11-18,63.58,65.39,62.73,65.12,35353480,EQ,282827840,25,707069
2024-11-19,65.13,66.09,63.78,64.22,21394881,EQ,171159048,25,427897
2024-11-21,64.20,64.20,62.01,62.55,26554050,EQ,212432400,25,531081
2024-11-22,62.61,64.41,62.61,63.75,18942154,EQ,151537232,25,378843
2024-11-25,65.51,65.73,64.04,64.25,33418900,EQ,267351200,25,668378
2024-11-26,64.50,64.96,64.00,64.74,16318615,EQ,130548920,25,326372
2024-11-27,64.60,64.62,63.47,63.75,25860956,EQ,206887648,25,517219
2024-11-28,63.81,64.55,63.75,63.86,21353214,EQ,170825712,25,427064
2024-11-29,63.86,64.35,63.41,63.68,19663862,EQ,157310896,25,393277
2024-12-02,63.68,64.76,63.43,63.99,14907199,EQ,119257592,25,298143
2024-12-03,64.10,65.00,64.00,64.80,20416363,EQ,163330904,25,408327
2024-12-04,65.09,65.96,64.60,65.80,23553655,EQ,188429240,25,471073
2024-12-05,66.15,66.18,65.26,65.55,15409325,EQ,123274600,25,308186
2024-12-06,65.67,65.99,65.14,65.49,18003859,EQ,144030872,25,360077
2024-12-09,65.73,65.95,64.73,64.82,16659369,EQ,133274952,25,333187
2024-12-10,64.82,65.68,64.60,65.46,25327118,EQ,202616944,25,506542
2024-12-11,65.44,65.57,64.72,64.80,15825445,EQ,126603560,25,316508
2024-12-12,64.80,65.08,63.77,63.93,15101389,EQ,120811112,25,302027
2024-12-13,63.93,64.19,62.68,63.83,17510959,EQ,140087672,25,350219
2024-12-16,63.97,64.24,63.50,63.94,17026109,EQ,136208872,25,340522
2024-12-17,63.90,64.16,62.86,63.22,24846934,EQ,198775472,25,496938
2024-12-18,63.21,65.28,63.03,64.26,39542300,EQ,316338400,25,790846
2024-12-19,63.31,64.95,62.86,64.67,29266252,EQ,234130016,25,585325
2024-12-20,64.62,64.93,60.82,61.30,40780592,EQ,326244736,25,815611
2024-12-23,62.31,62.31,61.36,61.57,19227136,EQ,153817088,25,384542
2024-12-24,61.61,62.24,61.31,61.90,26296040,EQ,210368320,25,525920
2024-12-26,62.02,62.77,61.19,61.37,17750958,EQ,142007664,25,355019
2024-12-27,61.52,62.65,61.47,62.13,16810315,EQ,134482520,25,336206
2024-12-30,62.35,63.70,61.71,63.43,46044781,EQ,368358248,25,920895
2024-12-31,63.11,63.21,62.06,62.75,16044545,EQ,128356360,25,320890
2025-01-01,62.90,64.16,62.37,63.79,26552067,EQ,212416536,25,531041
2025-01-02,63.90,64.41,63.50,64.28,19616031,EQ,156928248,25,392320
