date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,1419.85,1427.69,1413.26,1422.95,2792988,EQ,22343904,25,55859
2024-09-02,1422.95,1448.90,1422.95,1446.71,4024426,EQ,32195408,25,80488
2024-09-03,1447.66,1449.55,1431.58,1434.38,2351018,EQ,18808144,25,47020
2024-09-04,1414.71,1436.92,1414.71,1432.08,2919356,EQ,23354848,25,58387
2024-09-05,1440.67,1441.66,1416.61,1420.60,3427784,EQ,27422272,25,68555
2024-09-06,1424.14,1435.87,1399.23,1407.07,2608515,EQ,20868120,25,52170
2024-09-09,1407.07,1428.69,1397.84,1425.79,1802343,EQ,14418744,25,36046
2024-09-10,1426.59,1436.17,1418.30,1433.23,2414043,EQ,19312344,25,48280
2024-09-11,1433.08,1436.62,1415.51,1418.90,2622902,EQ,20983216,25,52458
2024-09-12,1422.85,1444.16,1417.85,1441.02,2437399,EQ,19499192,25,48747
2024-09-13,1447.66,1468.57,1440.02,1461.68,2999055,EQ,23992440,25,59981
2024-09-16,1467.57,1471.57,1458.74,1467.82,1495683,EQ,11965464,25,29913
2024-09-17,1475.61,1481.10,1459.89,1463.98,1866702,EQ,14933616,25,37334
2024-09-18,1467.62,1486.34,1458.79,1477.86,3966006,EQ,31728048,25,79320
2024-09-19,1492.53,1495.58,1472.51,1482.35,3861906,EQ,30895248,25,77238
2024-09-20,1485.59,1489.54,1470.82,1477.81,5335400,EQ,42683200,25,106708
2024-09-23,1487.79,1488.44,1450.70,1462.73,4610747,EQ,36885976,25,92214
2024-09-24,1467.72,1471.72,1443.66,1445.96,3893140,EQ,31145120,25,77862
2024-09-25,1447.66,1453.65,1429.93,1437.17,3012173,EQ,24097384,25,60243
2024-09-26,1442.66,1454.94,1434.98,1450.35,3388674,EQ,27109392,25,67773
2024-09-27,1454.64,1478.61,1451.65,1460.33,4708951,EQ,37671608,25,94179
2024-09-30,1464.63,1472.42,1434.68,1445.26,2888962,EQ,23111696,25,57779
2024-10-01,1447.66,1447.95,1402.38,1407.42,3377999,EQ,27023992,25,67559
2024-10-03,1401.73,1410.42,1379.82,1385.51,2081630,EQ,16653040,25,41632
2024-10-04,1381.81,1408.67,1378.62,1380.61,2178195,EQ,17425560,25,43563
2024-10-07,1385.76,1391.80,1336.04,1348.67,3878973,EQ,31031784,25,77579
2024-10-08,1355.65,1368.78,1341.38,1357.35,2429248,EQ,19433984,25,48584
2024-10-09,1366.79,1369.28,1333.39,1339.38,5269772,EQ,42158176,25,105395
2024-10-10,1347.82,1359.80,1342.13,1354.21,1673393,EQ,13387144,25,33467
2024-10-11,1357.90,1369.08,1336.83,1345.42,2755874,EQ,22046992,25,55117
2024-10-14,1352.41,1369.28,1346.12,1368.23,1381439,EQ,11051512,25,27628
2024-10-15,1368.78,1372.23,1347.27,1358.70,2775029,EQ,22200232,25,55500
2024-10-16,1352.81,1356.15,1338.93,1344.12,2126519,EQ,17012152,25,42530
2024-10-17,1345.82,1352.06,1334.84,1345.17,1353852,EQ,10830816,25,27077
2024-10-18,1342.83,1352.76,1328.85,1345.07,3676670,EQ,29413360,25,73533
2024-10-21,1349.86,1351.76,1297.50,1306.13,5862686,EQ,46901488,25,117253
2024-10-22,1306.98,1310.08,1269.19,1272.29,4183194,EQ,33465552,25,83663
2024-10-23,1272.29,1282.82,1264.45,1272.24,4860497,EQ,38883976,25,97209
2024-10-24,1273.94,1283.87,1256.12,1277.98,2441333,EQ,19530664,25,48826
