date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-09-02,1943.35,1975.75,1942.80,1964.50,5573739,EQ,44589912,25,111474
2024-09-03,1967.00,1967.00,1936.45,1941.25,4694322,EQ,37554576,25,93886
2024-09-04,1921.10,1927.20,1900.05,1922.45,4778310,EQ,38226480,25,95566
2024-09-05,1926.25,1940.00,1909.60,1933.15,4081810,EQ,32654480,25,81636
2024-09-06,1922.00,1936.50,1896.85,1901.85,5848106,EQ,46784848,25,116962
2024-09-09,1890.00,1920.85,1889.00,1894.65,4772612,EQ,38180896,25,95452
2024-09-10,1904.90,1935.00,1896.00,1912.30,6909600,EQ,55276800,25,138192
2024-09-11,1914.70,1926.00,1905.00,1910.15,5312946,EQ,42503568,25,106258
2024-09-12,1925.00,1956.40,1910.80,1950.45,8555092,EQ,68440736,25,171101
2024-09-13,1950.45,1958.60,1935.65,1944.10,3843127,EQ,30745016,25,76862
2024-09-16,1945.75,1952.00,1933.05,1950.25,1570181,EQ,12561448,25,31403
2024-09-17,1947.75,1958.45,1942.15,1952.55,2793127,EQ,22345016,25,55862
2024-09-18,1938.75,1938.75,1881.30,1892.15,6385468,EQ,51083744,25,127709
2024-09-19,1910.60,1924.90,1878.80,1894.20,7976570,EQ,63812560,25,159531
2024-09-20,1905.00,1915.00,1867.40,1905.75,15242974,EQ,121943792,25,304859
2024-09-23,1909.00,1918.90,1878.45,1896.45,3636672,EQ,29093376,25,72733
2024-09-24,1888.00,1910.90,1871.40,1898.60,7277616,EQ,58220928,25,145552
2024-09-25,1886.35,1901.60,1876.80,1895.30,4268341,EQ,34146728,25,85366
2024-09-26,1897.80,1917.95,1893.00,1900.25,8952803,EQ,71622424,25,179056
2024-09-27,1932.10,1974.60,1903.30,1906.75,14908931,EQ,119271448,25,298178
2024-09-30,1880.00,1901.25,1870.50,1875.60,6986955,EQ,55895640,25,139739
2024-10-01,1875.00,1908.95,1875.00,1904.35,4029072,EQ,32232576,25,80581
2024-10-03,1889.50,1911.85,1881.00,1893.40,7503887,EQ,60031096,25,150077
2024-10-04,1889.55,1954.10,1886.00,1918.15,10001483,EQ,80011864,25,200029
2024-10-07,1923.20,1942.00,1916.05,1934.30,6112575,EQ,48900600,25,122251
2024-10-08,1937.90,1957.95,1906.35,1948.55,5637391,EQ,45099128,25,112747
2024-10-09,1952.55,1977.00,1945.10,1952.75,4857163,EQ,38857304,25,97143
2024-10-10,1957.90,1964.00,1914.10,1919.00,4782119,EQ,38256952,25,95642
2024-10-11,1918.00,1947.00,1910.10,1935.10,4709431,EQ,37675448,25,94188
2024-10-14,1932.15,1969.50,1931.10,1958.90,3751378,EQ,30011024,25,75027
2024-10-15,1960.00,1991.45,1951.75,1959.30,5353705,EQ,42829640,25,107074
2024-10-16,1955.00,1959.55,1916.35,1920.10,3111512,EQ,24892096,25,62230
2024-10-17,1935.20,1978.00,1930.15,1968.10,8162822,EQ,65302576,25,163256
2024-10-18,1893.80,1936.85,1869.25,1879.60,10526196,EQ,84209568,25,210523
2024-10-21,1891.10,1898.80,1838.00,1852.75,4654601,EQ,37236808,25,93092
2024-10-22,1858.20,1877.80,1846.95,1851.60,4125240,EQ,33001920,25,82504
2024-10-23,1845.25,1886.00,1844.00,1873.40,4311910,EQ,34495280,25,86238
2024-10-24,1861.40,1884.00,1860.00,1863.35,2906475,EQ,23251800,25,58129
2024-10-25,1863.45,1876.35,1846.40,1862.05,4689120,EQ,37512960,25,93782
2024-10-28,1859.70,1881.90,1857.00,1865.35,7018940,EQ,56151520,25,140378
2024-10-29,1846.00,1851.60,1829.00,1839.30,4621252,EQ,36970016,25,92425
2024-10-30,1832.00,1839.00,1796.35,1802.10,5919715,EQ,47357720,25,118394
2024-10-31,1787.90,1787.90,1746.50,1757.25,7395236,EQ,59161888,25,147904
2024-11-01,1764.50,1766.00,1752.05,1760.85,371966,EQ,2975728,25,7439
2024-11-04,1724.50,1767.00,1718.00,1763.65,7336722,EQ,58693776,25,146734
2024-11-05,1760.00,1768.45,1745.00,1754.20,3160880,EQ,25287040,25,63217
2024-11-06,1764.00,1827.20,1762.65,1823.70,10421494,EQ,83371952,25,208429
2024-11-07,1812.95,1825.70,1787.00,1803.05,4550965,EQ,36407720,25,91019
2024-11-08,1818.00,1840.60,1813.15,1829.95,4210960,EQ,33687680,25,84219
2024-11-11,1829.00,1868.00,1822.55,1860.10,3804234,EQ,30433872,25,76084
2024-11-12,1871.10,1881.00,1861.00,1868.80,5012450,EQ,40099600,25,100249
2024-11-13,1861.10,1873.20,1856.30,1868.40,4257495,EQ,34059960,25,85149
2024-11-14,1865.60,1876.00,1856.00,1864.55,4311431,EQ,34491448,25,86228
2024-11-18,1849.20,1849.20,1795.00,1811.45,4839244,EQ,38713952,25,96784
2024-11-19,1825.50,1859.70,1820.55,1824.75,4669769,EQ,37358152,25,93395
2024-11-21,1842.00,1867.00,1820.60,1834.05,5436504,EQ,43492032,25,108730
2024-11-22,1854.10,1914.05,1834.00,1902.25,6301486,EQ,50411888,25,126029
2024-11-25,1916.00,1919.30,1882.00,1889.70,12764638,EQ,102117104,25,255292
2024-11-26,1904.95,1938.60,1897.30,1924.15,6850495,EQ,54803960,25,137009
2024-11-27,1930.10,1941.40,1911.75,1924.50,4447143,EQ,35577144,25,88942
2024-11-28,1914.90,1914.90,1851.65,1856.65,8468790,EQ,67750320,25,169375
2024-11-29,1851.10,1877.00,1845.00,1857.85,5244346,EQ,41954768,25,104886
2024-12-02,1859.00,1882.80,1835.20,1879.80,2868263,EQ,22946104,25,57365
2024-12-03,1887.00,1899.75,1871.15,1892.10,4715792,EQ,37726336,25,94315
2024-12-04,1884.00,1913.95,1875.00,1889.25,4705573,EQ,37644584,25,94111
2024-12-05,1900.00,1949.90,1888.95,1934.85,9050038,EQ,72400304,25,181000
2024-12-06,1932.80,1937.95,1912.40,1922.40,3573331,EQ,28586648,25,71466
2024-12-09,1924.20,1930.20,1897.20,1923.65,4274645,EQ,34197160,25,85492
2024-12-10,1939.00,1965.60,1932.00,1948.55,6174921,EQ,49399368,25,123498
2024-12-11,1955.00,1978.00,1952.00,1974.15,5025612,EQ,40204896,25,100512
2024-12-12,1975.20,1998.80,1970.55,1987.00,6462130,EQ,51697040,25,129242
2024-12-13,1969.75,2006.45,1953.80,1999.70,5362693,EQ,42901544,25,107253
2024-12-16,1995.45,1999.60,1977.60,1980.05,3119221,EQ,24953768,25,62384
2024-12-17,1968.00,1982.00,1958.00,1976.60,5811050,EQ,46488400,25,116221
2024-12-18,1966.80,1984.95,1961.60,1979.15,3064095,EQ,24512760,25,61281
2024-12-19,1934.00,1959.75,1920.00,1946.20,5323592,EQ,42588736,25,106471
2024-12-20,1975.15,1979.95,1911.25,1922.15,11056720,EQ,88453760,25,221134
2024-12-23,1930.05,1940.00,1909.00,1924.30,2781793,EQ,22254344,25,55635
2024-12-24,1927.05,1942.00,1840.00,1909.05,2360544,EQ,18884352,25,47210
2024-12-26,1909.05,1919.75,1902.30,1907.40,3623321,EQ,28986568,25,72466
2024-12-27,1909.40,1924.15,1903.90,1916.75,3937500,EQ,31500000,25,78750
2024-12-30,1915.70,1916.00,1886.50,1906.00,7789055,EQ,62312440,25,155781
2024-12-31,1892.30,1897.00,1845.05,1880.00,3613063,EQ,28904504,25,72261
2025-01-01,1874.00,1892.95,1874.00,1882.50,1838368,EQ,14706944,25,36767
2025-01-02,1887.00,1962.65,1885.30,1957.85,7083645,EQ,56669160,25,141672
2025-01-03,1952.95,1952.95,1922.00,1938.75,6218003,EQ,49744024,25,124360
2025-01-06,1952.00,1973.00,1928.00,1937.85,7164403,EQ,57315224,25,143288
2025-01-07,1945.00,1958.55,1923.65,1930.85,4294832,EQ,34358656,25,85896
2025-01-08,1930.00,1938.60,1888.75,1933.15,5482050,EQ,43856400,25,109641
2025-01-09,1934.05,1951.85,1910.55,1917.30,6833503,EQ,54668024,25,136670
2025-01-10,1937.00,1977.80,1932.25,1966.95,8036913,EQ,64295304,25,160738
2025-01-13,1956.00,1982.80,1949.00,1962.20,5804152,EQ,46433216,25,116083
2025-01-14,1968.85,1971.80,1931.10,1940.05,5792162,EQ,46337296,25,115843
2025-01-15,1947.00,1958.05,1937.10,1949.65,2985439,EQ,23883512,25,59708
2025-01-16,1965.95,1966.95,1916.85,1928.45,7533579,EQ,60268632,25,150671
2025-01-17,1851.00,1858.00,1812.00,1815.45,16409953,EQ,131279624,25,328199
2025-01-20,1822.95,1827.95,1793.15,1813.30,4333011,EQ,34664088,25,86660
2025-01-21,1819.05,1831.65,1793.05,1800.70,7169109,EQ,57352872,25,143382
2025-01-22,1807.40,1865.80,1805.15,1856.45,8373913,EQ,66991304,25,167478
2025-01-23,1858.00,1879.55,1852.70,1865.45,5907471,EQ,47259768,25,118149
2025-01-24,1865.50,1894.90,1864.25,1875.45,4887027,EQ,39096216,25,97740
2025-01-27,1848.75,1863.00,1812.00,1822.00,7652371,EQ,61218968,25,153047
2025-01-28,1830.00,1863.50,1824.90,1829.75,6999495,EQ,55995960,25,139989
2025-01-29,1845.00,1888.65,1840.50,1881.25,5145155,EQ,41161240,25,102903
2025-01-30,1873.15,1887.20,1844.00,1859.95,7336056,EQ,58688448,25,146721
2025-01-31,1871.00,1897.45,1871.00,1879.80,5820470,EQ,46563760,25,116409
2025-02-01,1880.30,1890.60,1846.00,1863.00,1686785,EQ,13494280,25,33735
2025-02-03,1836.00,1876.55,1832.40,1863.30,4823228,EQ,38585824,25,96464
2025-02-04,1889.00,1911.20,1875.00,1898.80,7334787,EQ,58678296,25,146695
2025-02-05,1906.00,1919.70,1894.30,1897.05,4996744,EQ,39973952,25,99934
2025-02-06,1917.00,1924.00,1900.00,1915.65,4765255,EQ,38122040,25,95305
2025-02-07,1919.30,1923.70,1889.45,1903.65,4126260,EQ,33010080,25,82525
2025-02-10,1905.00,1905.00,1878.60,1880.30,3828734,EQ,30629872,25,76574
2025-02-11,1883.10,1903.00,1870.00,1875.65,4411601,EQ,35292808,25,88232
2025-02-12,1885.00,1894.60,1847.00,1863.15,5633947,EQ,45071576,25,112678
2025-02-13,1868.50,1873.50,1835.65,1843.25,5237744,EQ,41901952,25,104754
2025-02-14,1854.00,1859.30,1828.35,1856.40,5292961,EQ,42343688,25,105859
2025-02-17,1838.55,1852.75,1822.15,1842.30,4428956,EQ,35431648,25,88579
2025-02-18,1842.30,1861.65,1837.60,1851.95,4365260,EQ,34922080,25,87305
2025-02-19,1847.40,1849.20,1805.90,1810.80,4611411,EQ,36891288,25,92228
2025-02-20,1805.55,1831.00,1805.55,1825.15,2218020,EQ,17744160,25,44360
2025-02-21,1821.80,1829.85,1806.20,1815.00,3379879,EQ,27039032,25,67597
2025-02-24,1800.05,1808.00,1750.25,1764.10,7594720,EQ,60757760,25,151894
2025-02-25,1745.15,1778.45,1745.15,1767.70,5092963,EQ,40743704,25,101859
2025-02-27,1755.20,1775.85,1751.10,1764.30,5757079,EQ,46056632,25,115141
2025-02-28,1755.05,1755.10,1682.45,1687.70,12182167,EQ,97457336,25,243643
2025-03-03,1692.30,1728.60,1692.30,1708.60,7504969,EQ,60039752,25,150099
2025-03-04,1695.00,1699.00,1670.00,1688.30,6759673,EQ,54077384,25,135193
2025-03-05,1692.45,1732.95,1692.45,1711.50,8180782,EQ,65446256,25,163615
2025-03-06,1715.00,1722.30,1691.10,1715.85,10610547,EQ,84884376,25,212210
2025-03-07,1703.10,1705.00,1675.50,1686.00,8019331,EQ,64154648,25,160386
2025-03-10,1686.00,1719.00,1676.20,1701.45,7558981,EQ,60471848,25,151179
2025-03-11,1680.00,1680.00,1637.05,1661.60,12671234,EQ,101369872,25,253424
2025-03-12,1636.90,1636.90,1563.80,1590.85,14870008,EQ,118960064,25,297400
2025-03-13,1599.25,1606.05,1570.30,1579.85,7822888,EQ,62583104,25,156457
2025-03-17,1545.15,1594.00,1545.15,1590.05,7526032,EQ,60208256,25,150520
2025-03-18,1597.65,1612.90,1582.35,1609.35,6298054,EQ,50384432,25,125961
2025-03-19,1603.00,1603.00,1572.80,1586.55,7387068,EQ,59096544,25,147741
2025-03-20,1592.00,1631.90,1592.00,1615.55,7186750,EQ,57494000,25,143735
2025-03-21,1577.95,1603.90,1563.65,1592.55,10074677,EQ,80597416,25,201493
2025-03-24,1597.95,1607.10,1572.70,1592.75,8857726,EQ,70861808,25,177154
2025-03-25,1605.00,1636.15,1605.00,1628.45,9890140,EQ,79121120,25,197802
2025-03-26,1626.00,1637.75,1595.00,1599.45,6651302,EQ,53210416,25,133026
2025-03-27,1595.55,1619.95,1586.00,1603.55,9426573,EQ,75412584,25,188531
2025-03-28,1590.00,1598.45,1560.00,1570.65,6799047,EQ,54392376,25,135980
2025-04-01,1539.25,1547.40,1517.85,1526.50,12680733,EQ,101445864,25,253614
2025-04-02,1535.20,1555.65,1535.20,1550.15,6193478,EQ,49547824,25,123869
2025-04-03,1534.65,1534.65,1485.05,1496.50,10459504,EQ,83676032,25,209190
2025-04-04,1460.50,1472.00,1448.00,1451.65,9590254,EQ,76722032,25,191805
2025-04-07,1352.00,1405.90,1307.00,1396.75,21715252,EQ,173722016,25,434305
2025-04-08,1431.00,1456.50,1415.00,1428.80,12805001,EQ,102440008,25,256100
2025-04-09,1405.05,1409.45,1381.90,1403.70,8546854,EQ,68374832,25,170937
2025-04-11,1411.25,1438.80,1397.05,1409.45,12567440,EQ,100539520,25,251348
2025-04-15,1445.60,1447.70,1409.00,1426.00,10178530,EQ,81428240,25,203570
2025-04-16,1425.00,1427.50,1396.80,1413.10,12022740,EQ,96181920,25,240454
2025-04-17,1398.00,1429.80,1378.30,1419.50,14264227,EQ,114113816,25,285284
2025-04-21,1410.00,1471.80,1410.00,1451.00,15648970,EQ,125191760,25,312979
2025-04-22,1440.00,1440.00,1419.30,1422.80,9399738,EQ,75197904,25,187994
2025-04-23,1446.00,1487.80,1439.60,1474.90,11136642,EQ,89093136,25,222732
2025-04-24,1469.90,1482.90,1461.50,1471.40,7114292,EQ,56914336,25,142285
2025-04-25,1475.50,1501.70,1463.50,1480.20,8329979,EQ,66639832,25,166599
2025-04-28,1480.20,1489.60,1465.30,1482.10,5886253,EQ,47090024,25,117725
2025-04-29,1482.00,1509.80,1474.10,1497.50,8056743,EQ,64453944,25,161134
2025-04-30,1496.80,1508.80,1482.60,1500.10,7704183,EQ,61633464,25,154083
2025-05-02,1499.70,1523.20,1496.20,1506.80,8733014,EQ,69864112,25,174660
2025-05-05,1515.00,1523.00,1502.80,1508.60,4282493,EQ,34259944,25,85649
2025-05-06,1506.00,1515.60,1499.10,1511.50,4270530,EQ,34164240,25,85410
2025-05-07,1500.00,1518.80,1496.60,1508.30,5691799,EQ,45534392,25,113835
2025-05-08,1508.00,1516.50,1501.20,1511.40,8424409,EQ,67395272,25,168488
2025-05-09,1500.70,1511.40,1494.10,1507.60,4478653,EQ,35829224,25,89573
2025-05-12,1537.00,1632.00,1532.00,1626.90,11372857,EQ,90982856,25,227457
2025-05-13,1609.00,1612.20,1564.60,1568.60,12846210,EQ,102769680,25,256924
2025-05-14,1574.00,1595.00,1569.50,1592.40,4870057,EQ,38960456,25,97401
2025-05-15,1589.80,1618.60,1571.00,1613.00,11151167,EQ,89209336,25,223023
2025-05-16,1612.60,1612.60,1581.50,1589.90,4576751,EQ,36614008,25,91535
2025-05-19,1576.50,1585.00,1555.70,1559.80,8855798,EQ,70846384,25,177115
2025-05-20,1570.00,1583.50,1558.00,1560.60,7143998,EQ,57151984,25,142879
2025-05-21,1567.90,1571.00,1552.10,1568.50,4157309,EQ,33258472,25,83146
2025-05-22,1555.50,1560.80,1540.00,1547.50,6158990,EQ,49271920,25,123179
2025-05-23,1550.00,1587.20,1550.00,1564.80,5038421,EQ,40307368,25,100768
2025-05-26,1566.60,1583.80,1562.70,1580.50,3170102,EQ,25360816,25,63402
2025-05-27,1579.90,1582.90,1556.40,1570.10,7775714,EQ,62205712,25,155514
2025-05-28,1581.00,1587.70,1570.00,1571.80,3623370,EQ,28986960,25,72467
2025-05-29,1589.00,1608.90,1576.60,1585.60,8609500,EQ,68876000,25,172190
2025-05-30,1571.00,1572.00,1555.10,1562.70,13148092,EQ,105184736,25,262961
2025-06-02,1560.00,1560.00,1539.00,1553.80,4374509,EQ,34996072,25,87490
2025-06-03,1559.00,1567.30,1535.60,1543.00,6853403,EQ,54827224,25,137068
2025-06-04,1543.00,1557.30,1541.40,1551.20,4548307,EQ,36386456,25,90966
2025-06-05,1547.90,1567.70,1541.60,1554.30,6948539,EQ,55588312,25,138970
2025-06-06,1554.70,1568.90,1543.10,1563.80,3960020,EQ,31680160,25,79200
2025-06-09,1578.00,1588.00,1571.00,1572.90,2903202,EQ,23225616,25,58064
2025-06-10,1584.00,1607.50,1577.50,1596.00,8591925,EQ,68735400,25,171838
2025-06-11,1590.10,1634.60,1590.10,1631.10,10597410,EQ,84779280,25,211948
2025-06-12,1617.00,1628.00,1598.10,1608.60,10483574,EQ,83868592,25,209671
2025-06-13,1576.00,1609.00,1570.20,1602.00,6968315,EQ,55746520,25,139366
2025-06-16,1600.00,1634.80,1597.10,1623.80,5591842,EQ,44734736,25,111836
2025-06-17,1620.70,1647.40,1615.60,1639.90,7622083,EQ,60976664,25,152441
2025-06-18,1621.00,1644.70,1621.00,1632.90,5629707,EQ,45037656,25,112594
2025-06-19,1623.90,1630.00,1611.50,1618.40,5147760,EQ,41182080,25,102955
2025-06-20,1619.00,1630.70,1608.90,1622.90,9202821,EQ,73622568,25,184056
2025-06-23,1601.00,1601.00,1575.40,1584.00,7943676,EQ,63549408,25,158873
2025-06-24,1601.00,1609.00,1576.60,1581.60,8083992,EQ,64671936,25,161679
2025-06-25,1590.00,1619.90,1585.10,1614.90,7813533,EQ,62508264,25,156270
2025-06-26,1608.80,1624.00,1606.60,1616.00,6519233,EQ,52153864,25,130384
