date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,165.47,166.20,163.72,164.51,22288432,EQ,178307456,25,445768
2024-09-02,166.63,168.45,164.55,166.15,26940504,EQ,215524032,25,538810
2024-09-03,166.03,166.32,163.24,163.73,11874065,EQ,94992520,25,237481
2024-09-04,164.54,167.05,163.71,164.57,23923887,EQ,191391096,25,478477
2024-09-05,166.07,171.05,165.39,168.58,46162315,EQ,369298520,25,923246
2024-09-06,168.34,168.53,162.40,164.21,31875186,EQ,255001488,25,637503
2024-09-09,163.15,164.74,161.43,163.00,15121584,EQ,120972672,25,302431
2024-09-10,163.71,164.30,162.26,163.19,14875095,EQ,119000760,25,297501
2024-09-11,164.53,165.37,157.19,157.79,29731172,EQ,237849376,25,594623
2024-09-12,159.42,161.47,158.10,161.06,18368650,EQ,146949200,25,367373
2024-09-13,161.05,163.61,160.31,161.00,15061240,EQ,120489920,25,301224
2024-09-16,161.57,161.85,159.51,159.73,8492383,EQ,67939064,25,169847
2024-09-17,159.26,159.85,158.08,158.51,6417946,EQ,51343568,25,128358
2024-09-18,158.59,159.02,155.80,156.59,10726650,EQ,85813200,25,214533
2024-09-19,157.00,157.98,150.77,153.42,19197503,EQ,153580024,25,383950
2024-09-20,153.76,155.94,153.39,155.29,20652037,EQ,165216296,25,413040
2024-09-23,155.76,158.22,155.24,157.78,9393577,EQ,75148616,25,187871
2024-09-24,157.26,158.92,156.92,157.93,10027795,EQ,80222360,25,200555
2024-09-25,157.66,158.91,156.64,157.87,8749024,EQ,69992192,25,174980
2024-09-26,158.23,159.80,156.74,159.30,11349547,EQ,90796376,25,226990
2024-09-27,159.52,168.03,159.43,167.34,52095985,EQ,416767880,25,1041919
2024-09-30,167.06,169.62,163.77,167.47,33375167,EQ,267001336,25,667503
2024-10-01,167.33,168.58,164.79,166.46,17390545,EQ,139124360,25,347810
2024-10-03,161.03,163.80,158.71,159.27,25392543,EQ,203140344,25,507850
2024-10-04,157.57,158.49,153.94,156.78,25223563,EQ,201788504,25,504471
2024-10-07,158.77,158.77,150.69,151.28,19798152,EQ,158385216,25,395963
2024-10-08,150.64,153.39,149.44,152.68,14948163,EQ,119585304,25,298963
2024-10-09,155.98,157.33,152.88,153.14,20278252,EQ,162226016,25,405565
2024-10-10,153.54,155.43,152.47,152.82,10145184,EQ,81161472,25,202903
2024-10-11,152.82,153.14,151.15,151.67,8750905,EQ,70007240,25,175018
2024-10-14,152.60,154.32,151.39,153.82,14345120,EQ,114760960,25,286902
2024-10-15,156.17,157.71,154.78,156.11,22551022,EQ,180408176,25,451020
2024-10-16,156.41,159.57,155.81,156.54,21433632,EQ,171469056,25,428672
2024-10-17,156.17,156.73,152.46,152.72,13215492,EQ,105723936,25,264309
2024-10-18,151.81,154.29,150.36,153.71,11701011,EQ,93608088,25,234020
2024-10-21,153.48,154.95,148.51,148.85,20627025,EQ,165016200,25,412540
2024-10-22,148.74,149.43,143.96,144.38,15190259,EQ,121522072,25,303805
2024-10-23,144.00,144.59,139.58,142.17,16503290,EQ,132026320,25,330065
2024-10-24,142.17,143.48,141.78,142.48,8648491,EQ,69187928,25,172969
2024-10-25,142.70,143.11,135.21,136.01,20505003,EQ,164040024,25,410100
2024-10-28,138.14,139.19,134.79,136.67,21349891,EQ,170799128,25,426997
2024-10-29,131.08,134.89,130.67,133.98,35275184,EQ,282201472,25,705503
2024-10-30,133.49,135.20,132.24,133.31,17388536,EQ,139108288,25,347770
2024-10-31,133.31,134.24,131.63,132.58,18657930,EQ,149263440,25,373158
2024-11-01,134.14,135.26,132.93,134.78,4076745,EQ,32613960,25,81534
2024-11-04,134.40,134.40,126.76,129.15,46651179,EQ,373209432,25,933023
2024-11-05,128.28,131.17,127.98,130.89,18594095,EQ,148752760,25,371881
2024-11-06,131.64,134.92,131.42,134.43,18107864,EQ,144862912,25,362157
2024-11-07,134.48,135.48,133.05,134.00,14637973,EQ,117103784,25,292759
2024-11-08,133.69,134.23,130.15,130.46,15316464,EQ,122531712,25,306329
2024-11-11,129.03,130.80,127.98,129.62,17669364,EQ,141354912,25,353387
2024-11-12,129.77,131.97,128.75,129.02,10561738,EQ,84493904,25,211234
2024-11-13,128.51,129.49,125.96,126.42,12503679,EQ,100029432,25,250073
2024-11-14,125.96,127.21,124.34,125.27,17425507,EQ,139404056,25,348510
2024-11-18,125.62,126.26,123.94,124.70,12693551,EQ,101548408,25,253871
2024-11-19,125.37,127.06,123.31,123.75,12696762,EQ,101574096,25,253935
2024-11-21,123.75,124.01,120.38,121.51,15787410,EQ,126299280,25,315748
2024-11-22,122.23,123.73,121.53,123.28,12070416,EQ,96563328,25,241408
2024-11-25,126.21,128.25,125.66,126.80,22201129,EQ,177609032,25,444022
2024-11-26,127.64,128.05,126.56,127.32,9265539,EQ,74124312,25,185310
2024-11-27,128.42,129.91,125.73,129.22,18242345,EQ,145938760,25,364846
2024-11-28,129.40,131.17,127.59,128.05,17331637,EQ,138653096,25,346632
2024-11-29,127.36,129.46,127.24,128.87,14012364,EQ,112098912,25,280247
2024-12-02,128.49,128.89,127.24,127.96,16069119,EQ,128552952,25,321382
2024-12-03,128.29,129.91,128.21,129.69,13089770,EQ,104718160,25,261795
2024-12-04,129.69,131.17,129.36,130.02,12745610,EQ,101964880,25,254912
2024-12-05,130.51,130.51,128.34,129.62,14056789,EQ,112454312,25,281135
2024-12-06,130.75,133.44,130.42,131.97,20687458,EQ,165499664,25,413749
2024-12-09,131.97,133.07,131.36,132.31,16119047,EQ,128952376,25,322380
2024-12-10,132.10,134.27,131.94,133.44,13694082,EQ,109552656,25,273881
2024-12-11,133.39,134.27,132.88,133.11,9714837,EQ,77718696,25,194296
2024-12-12,132.24,133.11,130.95,131.52,14929334,EQ,119434672,25,298586
2024-12-13,134.55,134.89,130.96,134.09,36825429,EQ,294603432,25,736508
2024-12-16,134.16,134.75,132.19,133.08,12428446,EQ,99427568,25,248568
2024-12-17,132.93,133.12,130.15,130.44,11896291,EQ,95170328,25,237925
2024-12-18,129.36,130.79,126.73,127.09,12013629,EQ,96109032,25,240272
2024-12-19,124.57,130.42,124.14,129.79,18879012,EQ,151032096,25,377580
2024-12-20,129.85,131.68,126.98,127.43,19545043,EQ,156360344,25,390900
2024-12-23,128.36,129.96,127.61,128.08,12517478,EQ,100139824,25,250349
2024-12-24,128.20,129.64,127.74,128.54,7802858,EQ,62422864,25,156057
2024-12-26,128.57,129.79,127.46,128.15,8620779,EQ,68966232,25,172415
2024-12-27,128.33,129.02,126.52,126.66,6146307,EQ,49170456,25,122926
2024-12-30,126.66,127.20,124.66,125.13,29229520,EQ,233836160,25,584590
2024-12-31,125.05,127.58,124.77,126.81,8243910,EQ,65951280,25,164878
2025-01-01,126.24,127.69,126.15,127.39,4144374,EQ,33154992,25,82887
2025-01-02,126.81,128.48,126.10,128.25,10625223,EQ,85001784,25,212504
2025-01-03,128.03,129.99,127.48,128.42,14567050,EQ,116536400,25,291341
2025-01-06,128.42,128.73,122.75,123.53,19711596,EQ,157692768,25,394231
2025-01-07,124.09,126.69,123.82,124.87,13658286,EQ,109266288,25,273165
2025-01-08,124.71,125.96,123.72,125.13,14259056,EQ,114072448,25,285181
2025-01-09,125.16,125.31,122.71,122.89,9734279,EQ,77874232,25,194685
2025-01-10,122.89,123.64,120.62,121.11,12948066,EQ,103584528,25,258961
2025-01-13,119.02,119.35,112.63,113.40,30291583,EQ,242332664,25,605831
2025-01-14,114.34,118.25,114.08,117.72,17430438,EQ,139443504,25,348608
2025-01-15,119.23,119.80,117.34,118.01,11472116,EQ,91776928,25,229442
2025-01-16,118.94,119.24,117.64,118.15,11843193,EQ,94745544,25,236863
2025-01-17,118.06,119.45,117.41,119.06,24617689,EQ,196941512,25,492353
2025-01-20,119.78,121.95,117.88,121.31,8234561,EQ,65876488,25,164691
2025-01-21,122.43,124.25,121.45,121.85,20272605,EQ,162180840,25,405452
2025-01-22,122.89,123.27,119.40,121.33,9202153,EQ,73617224,25,184043
2025-01-23,121.22,121.49,119.77,120.69,7058477,EQ,56467816,25,141169
2025-01-24,121.77,123.41,118.90,119.23,12630632,EQ,101045056,25,252612
2025-01-27,118.96,118.96,113.88,115.43,18934026,EQ,151472208,25,378680
2025-01-28,115.43,116.99,113.26,113.95,19861475,EQ,158891800,25,397229
2025-01-29,114.52,115.63,114.25,114.94,12017314,EQ,96138512,25,240346
2025-01-30,115.64,119.45,115.14,118.17,17776744,EQ,142213952,25,355534
2025-01-31,118.17,119.78,117.27,119.45,9686000,EQ,77488000,25,193720
2025-02-01,119.78,120.62,115.84,116.59,10535114,EQ,84280912,25,210702
2025-02-03,115.37,115.46,111.65,112.45,26047332,EQ,208378656,25,520946
