date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,903.76,926.23,900.64,911.38,2984431,EQ,23875448,25,59688
2024-09-02,917.39,917.39,906.69,915.49,1054893,EQ,8439144,25,21097
2024-09-03,916.42,927.21,916.27,922.47,1573400,EQ,12587200,25,31468
2024-09-04,912.60,919.40,910.80,917.64,1562616,EQ,12500928,25,31252
2024-09-05,918.42,930.68,917.25,923.55,1929930,EQ,15439440,25,38598
2024-09-06,923.89,926.43,904.20,915.00,2639602,EQ,21116816,25,52792
2024-09-09,906.74,911.38,897.85,905.72,1435727,EQ,11485816,25,28714
2024-09-10,905.81,912.26,900.83,908.75,1256105,EQ,10048840,25,25122
2024-09-11,905.72,912.56,898.97,902.05,1272594,EQ,10180752,25,25451
2024-09-12,904.35,911.48,898.88,909.97,943329,EQ,7546632,25,18866
2024-09-13,914.56,935.13,913.53,915.39,2599598,EQ,20796784,25,51991
2024-09-16,915.98,920.32,906.40,914.27,1136823,EQ,9094584,25,22736
2024-09-17,917.98,917.98,907.18,911.68,828569,EQ,6628552,25,16571
2024-09-18,908.65,911.48,880.56,884.76,1847560,EQ,14780480,25,36951
2024-09-19,887.15,893.26,846.17,863.36,3593230,EQ,28745840,25,71864
2024-09-20,867.71,876.41,861.46,873.72,1955170,EQ,15641360,25,39103
2024-09-23,877.63,891.70,874.50,889.30,1325815,EQ,10606520,25,26516
2024-09-24,891.06,898.39,889.11,890.77,1174611,EQ,9396888,25,23492
2024-09-25,893.01,893.01,876.41,880.56,1074569,EQ,8596552,25,21491
2024-09-26,879.34,888.13,873.38,885.93,1365404,EQ,10923232,25,27308
2024-09-27,881.34,906.69,881.34,903.66,2305800,EQ,18446400,25,46116
2024-09-30,898.88,911.29,898.88,907.23,1988164,EQ,15905312,25,39763
2024-10-01,903.76,912.56,899.12,909.77,879838,EQ,7038704,25,17596
2024-10-03,891.06,901.61,860.09,866.05,4255223,EQ,34041784,25,85104
2024-10-04,866.05,873.18,848.12,852.71,2313592,EQ,18508736,25,46271
2024-10-07,857.01,860.53,823.94,838.01,3166651,EQ,25333208,25,63333
2024-10-08,834.39,857.01,832.34,855.01,1054400,EQ,8435200,25,21088
