date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,174.92,175.97,172.62,173.22,15512791,EQ,124102328,25,310255
2024-09-02,173.45,174.80,171.26,172.18,15070147,EQ,120561176,25,301402
2024-09-03,172.62,173.76,171.74,173.07,10416245,EQ,83329960,25,208324
2024-09-04,171.17,172.62,170.29,170.70,12223757,EQ,97790056,25,244475
2024-09-05,171.36,171.51,167.77,168.24,15774279,EQ,126194232,25,315485
2024-09-06,168.24,168.91,163.02,164.72,21770999,EQ,174167992,25,435419
2024-09-09,164.71,164.86,160.12,163.24,20754357,EQ,166034856,25,415087
2024-09-10,163.89,166.65,163.75,164.62,15088916,EQ,120711328,25,301778
2024-09-11,165.30,165.30,160.11,160.87,11765516,EQ,94124128,25,235310
2024-09-12,161.55,163.46,158.58,161.97,19024067,EQ,152192536,25,380481
2024-09-13,162.91,165.50,160.96,162.20,15434229,EQ,123473832,25,308684
2024-09-16,162.20,162.39,158.73,159.01,14572347,EQ,116578776,25,291446
2024-09-17,159.05,159.36,155.36,155.75,20564052,EQ,164512416,25,411281
2024-09-18,156.24,159.51,153.23,153.77,23122350,EQ,184978800,25,462447
2024-09-19,154.63,156.14,147.12,150.56,39913910,EQ,319311280,25,798278
2024-09-20,151.29,158.37,149.91,156.55,51104236,EQ,408833888,25,1022084
2024-09-23,158.08,158.08,153.37,154.74,19794141,EQ,158353128,25,395882
2024-09-24,155.17,155.55,153.23,153.94,14786775,EQ,118294200,25,295735
2024-09-25,153.91,153.91,151.65,152.20,10610463,EQ,84883704,25,212209
2024-09-26,152.16,154.72,150.15,152.11,16974098,EQ,135792784,25,339481
2024-09-27,152.11,154.04,151.44,152.07,13164782,EQ,105318256,25,263295
2024-09-30,151.97,154.49,150.12,153.92,17775338,EQ,142202704,25,355506
2024-10-01,153.91,153.91,150.32,150.65,17263625,EQ,138109000,25,345272
2024-10-03,148.38,148.71,146.44,147.02,18663724,EQ,149309792,25,373274
2024-10-04,147.02,148.80,142.44,147.48,29051138,EQ,232409104,25,581022
2024-10-07,147.48,148.81,138.87,139.99,35658511,EQ,285268088,25,713170
2024-10-08,139.99,147.89,137.23,147.23,43656448,EQ,349251584,25,873128
2024-10-09,149.95,150.99,148.38,148.84,23776424,EQ,190211392,25,475528
2024-10-10,149.54,149.74,146.50,146.85,10797567,EQ,86380536,25,215951
2024-10-11,146.63,150.55,145.86,147.80,16029678,EQ,128237424,25,320593
2024-10-14,148.86,149.49,146.45,146.78,9810920,EQ,78487360,25,196218
2024-10-15,147.28,147.55,145.57,146.53,8339050,EQ,66712400,25,166781
2024-10-16,146.44,148.14,145.95,146.21,12674832,EQ,101398656,25,253496
2024-10-17,146.88,149.83,144.02,144.61,20798933,EQ,166391464,25,415978
2024-10-18,143.53,143.92,140.93,143.22,11316090,EQ,90528720,25,226321
2024-10-21,143.53,144.50,139.65,140.32,10148561,EQ,81188488,25,202971
2024-10-22,139.84,140.32,132.39,133.52,21418863,EQ,171350904,25,428377
2024-10-23,133.82,137.10,129.37,135.21,26287104,EQ,210296832,25,525742
2024-10-24,134.80,136.59,133.31,134.83,12496782,EQ,99974256,25,249935
2024-10-25,134.15,135.07,128.79,130.37,18714548,EQ,149716384,25,374290
2024-10-28,130.37,140.98,130.03,139.15,32085342,EQ,256682736,25,641706
2024-10-29,140.33,140.71,136.48,139.19,17495826,EQ,139966608,25,349916
2024-10-30,139.26,153.23,137.90,150.85,94008988,EQ,752071904,25,1880179
2024-10-31,150.70,155.07,148.10,151.25,55531774,EQ,444254192,25,1110635
2024-11-01,152.40,156.14,151.38,153.33,10418053,EQ,83344424,25,208361
2024-11-04,154.20,154.43,147.13,148.61,31327165,EQ,250617320,25,626543
2024-11-05,148.38,148.49,144.12,146.86,29226153,EQ,233809224,25,584523
2024-11-06,148.38,150.21,147.22,149.36,18123332,EQ,144986656,25,362466
2024-11-07,150.32,152.47,148.24,149.25,19226279,EQ,153810232,25,384525
2024-11-08,147.41,148.14,142.56,144.05,14681163,EQ,117449304,25,293623
2024-11-11,143.05,146.63,140.93,142.95,18847259,EQ,150778072,25,376945
2024-11-12,144.31,146.51,141.01,141.70,13172317,EQ,105378536,25,263446
2024-11-13,141.09,142.26,135.83,136.14,16372099,EQ,130976792,25,327441
2024-11-14,137.48,138.69,136.02,136.18,14794085,EQ,118352680,25,295881
2024-11-18,137.47,137.78,134.37,134.84,13930322,EQ,111442576,25,278606
2024-11-19,136.80,143.30,136.35,141.56,36796687,EQ,294373496,25,735933
2024-11-21,141.59,142.06,137.24,138.14,20058952,EQ,160471616,25,401179
2024-11-22,138.14,139.72,136.16,138.61,13970799,EQ,111766392,25,279415
2024-11-25,145.29,146.94,142.02,142.66,23570160,EQ,188561280,25,471403
2024-11-26,142.66,143.82,141.44,143.03,13248817,EQ,105990536,25,264976
2024-11-27,143.03,147.92,142.21,146.74,22054792,EQ,176438336,25,441095
2024-11-28,147.51,151.77,146.80,149.58,26332388,EQ,210659104,25,526647
2024-11-29,149.18,149.18,145.09,145.62,18576066,EQ,148608528,25,371521
2024-12-02,145.10,146.47,143.35,143.61,16680269,EQ,133442152,25,333605
2024-12-03,144.31,145.54,143.84,144.51,12159196,EQ,97273568,25,243183
2024-12-04,145.29,149.09,145.00,147.29,21984506,EQ,175876048,25,439690
2024-12-05,147.29,148.21,145.98,147.08,11514970,EQ,92119760,25,230299
2024-12-06,147.08,155.66,146.80,154.06,62323577,EQ,498588616,25,1246471
2024-12-09,155.43,156.94,153.82,155.23,29324888,EQ,234599104,25,586497
2024-12-10,155.66,155.94,151.43,152.94,16690253,EQ,133522024,25,333805
2024-12-11,152.94,161.85,152.65,160.80,86849772,EQ,694798176,25,1736995
2024-12-12,160.79,162.74,157.34,158.67,39528508,EQ,316228064,25,790570
