date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,445.49,451.88,443.94,445.44,15523349,EQ,124186792,25,310466
2024-09-02,447.31,455.21,446.69,452.68,16497266,EQ,131978128,25,329945
2024-09-03,452.68,457.91,450.77,452.10,12481552,EQ,99852416,25,249631
2024-09-04,443.76,452.68,443.71,449.39,8739052,EQ,69912416,25,174781
2024-09-05,451.17,454.32,450.02,453.70,11318636,EQ,90549088,25,226372
2024-09-06,454.41,454.41,441.23,445.27,14245025,EQ,113960200,25,284900
2024-09-09,445.53,454.99,444.07,454.19,14265060,EQ,114120480,25,285301
2024-09-10,454.32,457.07,451.52,455.83,11332248,EQ,90657984,25,226644
2024-09-11,455.30,461.06,454.36,456.49,15497555,EQ,123980440,25,309951
2024-09-12,457.16,461.95,451.35,461.06,19085324,EQ,152682592,25,381706
2024-09-13,461.06,461.51,454.41,456.05,9165077,EQ,73320616,25,183301
2024-09-16,457.87,458.85,452.37,453.61,7821668,EQ,62573344,25,156433
2024-09-17,453.57,455.78,449.31,450.64,10889862,EQ,87118896,25,217797
2024-09-18,450.73,454.76,448.28,450.28,5638729,EQ,45109832,25,112774
2024-09-19,452.63,456.89,450.41,451.08,14461616,EQ,115692928,25,289232
2024-09-20,454.41,459.16,450.86,456.54,24725118,EQ,197800944,25,494502
2024-09-23,457.47,461.02,455.83,458.80,8105508,EQ,64844064,25,162110
2024-09-24,458.85,459.56,456.32,457.29,7015487,EQ,56123896,25,140309
2024-09-25,457.51,460.89,454.67,459.33,8802667,EQ,70421336,25,176053
2024-09-26,459.42,464.84,458.85,463.95,16086557,EQ,128692456,25,321731
2024-09-27,461.73,469.05,461.73,463.90,17916386,EQ,143331088,25,358327
2024-09-30,462.04,465.37,456.23,459.87,10936940,EQ,87495520,25,218738
2024-10-01,459.87,461.29,456.18,458.14,5285319,EQ,42282552,25,105706
2024-10-03,451.35,457.69,450.95,455.07,16481353,EQ,131850824,25,329627
2024-10-04,452.63,459.16,445.13,446.91,18930962,EQ,151447696,25,378619
2024-10-07,449.97,457.03,449.75,452.81,17114457,EQ,136915656,25,342289
2024-10-08,452.63,454.90,449.08,450.81,9868331,EQ,78946648,25,197366
2024-10-09,452.46,452.46,435.37,436.39,24874940,EQ,198999520,25,497498
2024-10-10,439.63,439.90,434.39,436.70,13292273,EQ,106338184,25,265845
2024-10-11,437.55,438.39,432.58,433.29,14949380,EQ,119595040,25,298987
2024-10-14,435.77,442.87,433.68,441.05,6970606,EQ,55764848,25,139412
2024-10-15,441.98,443.23,438.88,442.47,8347216,EQ,66777728,25,166944
2024-10-16,440.21,442.74,436.97,437.72,6939430,EQ,55515440,25,138788
2024-10-17,439.32,439.32,433.11,433.91,7669729,EQ,61357832,25,153394
2024-10-18,433.77,436.26,424.59,431.95,22616838,EQ,180934704,25,452336
2024-10-21,431.95,432.75,423.66,429.25,7680088,EQ,61440704,25,153601
2024-10-22,429.25,433.46,426.72,427.61,12772970,EQ,102183760,25,255459
2024-10-23,426.90,428.94,425.56,426.32,10553961,EQ,84431688,25,211079
2024-10-24,427.78,428.14,417.13,418.64,13596626,EQ,108773008,25,271932
2024-10-25,422.28,437.99,420.86,428.05,32154050,EQ,257232400,25,643081
