date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,939.96,946.75,930.78,933.21,2896103,EQ,23168824,25,57922
2024-09-02,933.21,943.48,928.30,932.57,1316611,EQ,10532888,25,26332
2024-09-03,929.25,933.66,922.16,923.15,1116938,EQ,8935504,25,22338
2024-09-04,912.29,926.87,904.36,925.23,3020790,EQ,24166320,25,60415
2024-09-05,926.72,936.63,916.01,917.69,1482001,EQ,11856008,25,29640
2024-09-06,917.69,931.53,904.06,924.98,1984209,EQ,15873672,25,39684
2024-09-09,915.26,928.85,911.35,926.42,1793548,EQ,14348384,25,35870
2024-09-10,926.27,940.55,922.01,930.88,1388455,EQ,11107640,25,27769
2024-09-11,933.16,936.39,916.50,919.97,1087490,EQ,8699920,25,21749
2024-09-12,927.96,949.57,921.21,946.80,3061006,EQ,24488048,25,61220
2024-09-13,949.97,964.30,943.38,946.55,2445329,EQ,19562632,25,48906
2024-09-16,953.34,970.35,949.08,962.86,2186706,EQ,17493648,25,43734
2024-09-17,962.86,966.38,953.64,956.17,543055,EQ,4344440,25,10861
2024-09-18,953.99,962.81,942.04,948.68,644373,EQ,5154984,25,12887
2024-09-19,951.95,957.85,936.09,940.45,1278919,EQ,10231352,25,25578
2024-09-20,961.87,979.72,957.11,973.32,8035572,EQ,64284576,25,160711
2024-09-23,977.74,979.67,968.02,973.87,1714600,EQ,13716800,25,34292
2024-09-24,982.99,1001.34,976.89,981.40,5545642,EQ,44365136,25,110912
2024-09-25,987.65,990.28,964.55,974.41,1309311,EQ,10474488,25,26186
2024-09-26,975.75,999.50,967.27,997.12,2706617,EQ,21652936,25,54132
2024-09-27,999.55,1010.36,989.14,993.16,2757284,EQ,22058272,25,55145
2024-09-30,995.59,1024.24,995.59,1021.42,4250590,EQ,34004720,25,85011
2024-10-01,1020.38,1021.32,1005.90,1018.69,1392457,EQ,11139656,25,27849
2024-10-03,1019.38,1051.12,1016.86,1030.39,6615927,EQ,52927416,25,132318
2024-10-04,1033.27,1054.09,1018.69,1025.09,4855592,EQ,38844736,25,97111
2024-10-07,1031.23,1035.35,1004.01,1010.21,2708970,EQ,21671760,25,54179
2024-10-08,1005.90,1005.90,975.75,989.83,4115797,EQ,32926376,25,82315
2024-10-09,991.52,1003.02,976.74,986.16,2138939,EQ,17111512,25,42778
2024-10-10,990.63,1004.46,988.40,998.96,1368830,EQ,10950640,25,27376
2024-10-11,998.86,1017.35,997.57,1003.57,1957211,EQ,15657688,25,39144
2024-10-14,1008.48,1023.35,1000.94,1004.01,1831080,EQ,14648640,25,36621
2024-10-15,1004.01,1012.05,983.69,992.46,1444250,EQ,11554000,25,28885
2024-10-16,986.66,996.38,973.82,981.06,1248745,EQ,9989960,25,24974
2024-10-17,982.79,986.86,961.62,971.29,1079467,EQ,8635736,25,21589
2024-10-18,970.30,989.88,964.94,984.28,1291683,EQ,10333464,25,25833
2024-10-21,988.64,996.58,971.84,973.22,953143,EQ,7625144,25,19062
2024-10-22,972.78,975.06,952.35,955.57,1318146,EQ,10545168,25,26362
2024-10-23,955.57,962.86,944.17,946.45,1306503,EQ,10452024,25,26130
2024-10-24,946.45,953.99,944.47,950.07,650392,EQ,5203136,25,13007
2024-10-25,950.07,951.90,919.03,935.94,2541293,EQ,20330344,25,50825
2024-10-28,928.16,964.30,901.38,959.14,1737402,EQ,13899216,25,34748
2024-10-29,964.30,964.65,939.06,950.76,1032874,EQ,8262992,25,20657
2024-10-30,958.10,960.43,944.32,949.28,733890,EQ,5871120,25,14677
2024-10-31,949.97,959.74,946.45,955.57,1445602,EQ,11564816,25,28912
2024-11-01,961.77,969.80,956.91,960.18,136508,EQ,1092064,25,2730
2024-11-04,956.96,960.73,933.21,946.90,957723,EQ,7661784,25,19154
2024-11-05,946.90,994.59,944.02,991.12,5177028,EQ,41416224,25,103540
2024-11-06,991.62,1006.54,976.45,1000.20,2761749,EQ,22093992,25,55234
2024-11-07,1005.50,1010.41,977.39,981.50,2477876,EQ,19823008,25,49557
2024-11-08,985.67,993.16,968.32,988.05,3568198,EQ,28545584,25,71363
2024-11-11,979.72,987.11,963.85,970.79,1336153,EQ,10689224,25,26723
2024-11-12,978.73,979.52,945.66,949.23,731821,EQ,5854568,25,14636
2024-11-13,945.51,950.22,920.27,928.11,1167594,EQ,9340752,25,23351
2024-11-14,927.21,941.39,924.63,931.18,1662673,EQ,13301384,25,33253
2024-11-18,927.21,948.04,927.06,941.89,1143965,EQ,9151720,25,22879
2024-11-19,941.89,952.90,937.08,939.36,617409,EQ,4939272,25,12348
2024-11-21,933.11,942.98,928.60,936.24,1669641,EQ,13357128,25,33392
2024-11-22,939.96,973.08,931.18,969.16,1889389,EQ,15115112,25,37787
2024-11-25,966.83,972.23,937.72,945.31,4563438,EQ,36507504,25,91268
2024-11-26,947.00,958.70,942.63,955.52,1184177,EQ,9473416,25,23683
2024-11-27,955.28,963.85,947.24,960.73,1327011,EQ,10616088,25,26540
2024-11-28,960.73,966.78,941.10,946.15,2959350,EQ,23674800,25,59187
2024-11-29,950.96,963.56,945.41,957.90,1326686,EQ,10613488,25,26533
2024-12-02,957.80,983.24,953.69,981.50,1272868,EQ,10182944,25,25457
2024-12-03,986.66,1006.99,982.74,990.43,2118830,EQ,16950640,25,42376
2024-12-04,987.75,994.59,977.09,986.51,1030877,EQ,8247016,25,20617
2024-12-05,982.69,1001.49,968.81,990.83,2221958,EQ,17775664,25,44439
2024-12-06,991.52,999.55,986.31,995.39,1218982,EQ,9751856,25,24379
2024-12-09,997.07,1006.99,985.47,1003.42,1457470,EQ,11659760,25,29149
2024-12-10,1012.44,1014.92,998.21,1004.46,2227505,EQ,17820040,25,44550
2024-12-11,1007.39,1011.95,988.74,991.82,1246315,EQ,9970520,25,24926
2024-12-12,996.58,1004.46,982.69,997.37,1510341,EQ,12082728,25,30206
2024-12-13,986.66,995.09,964.89,991.47,2444182,EQ,19553456,25,48883
2024-12-16,995.59,997.87,975.75,982.05,1220082,EQ,9760656,25,24401
2024-12-17,982.05,982.50,952.95,958.75,1673092,EQ,13384736,25,33461
2024-12-18,958.94,961.37,933.66,938.91,1612799,EQ,12902392,25,32255
2024-12-19,926.22,934.80,913.88,918.19,1926448,EQ,15411584,25,38528
2024-12-20,918.24,933.81,904.41,909.66,29003345,EQ,232026760,25,580066
2024-12-23,928.16,942.98,913.88,929.20,3988457,EQ,31907656,25,79769
2024-12-24,929.20,930.09,910.75,914.12,2048135,EQ,16385080,25,40962
2024-12-26,914.12,921.61,905.45,906.79,2056005,EQ,16448040,25,41120
