date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,647.92,658.72,645.14,647.33,1685369,EQ,13482952,25,33707
2024-09-02,651.01,653.35,639.41,646.48,977624,EQ,7820992,25,19552
2024-09-03,645.78,655.99,645.78,651.21,1003535,EQ,8028280,25,20070
2024-09-04,645.04,652.55,642.00,647.23,595342,EQ,4762736,25,11906
2024-09-05,653.00,653.00,640.36,642.15,1221050,EQ,9768400,25,24421
2024-09-06,641.55,648.92,636.43,644.69,1229658,EQ,9837264,25,24593
2024-09-09,640.06,643.10,631.90,639.46,1822553,EQ,14580424,25,36451
2024-09-10,643.05,668.23,641.11,662.81,3840869,EQ,30726952,25,76817
2024-09-11,662.81,669.77,657.03,660.07,1905249,EQ,15241992,25,38104
2024-09-12,661.01,670.07,654.54,666.44,1303618,EQ,10428944,25,26072
2024-09-13,666.89,681.37,665.05,675.95,1703437,EQ,13627496,25,34068
2024-09-16,678.88,681.87,659.87,661.21,2740694,EQ,21925552,25,54813
2024-09-17,662.96,678.58,659.72,672.36,2173183,EQ,17385464,25,43463
2024-09-18,673.81,677.19,666.99,672.56,869061,EQ,6952488,25,17381
2024-09-19,676.59,693.81,671.32,692.27,2837085,EQ,22696680,25,56741
2024-09-20,692.27,703.82,684.81,700.18,3809291,EQ,30474328,25,76185
2024-09-23,701.93,712.18,696.60,701.63,1973734,EQ,15789872,25,39474
2024-09-24,701.63,709.39,696.75,705.61,1506959,EQ,12055672,25,30139
2024-09-25,705.61,705.76,696.80,701.53,870179,EQ,6961432,25,17403
2024-09-26,701.53,701.53,678.53,684.76,3947078,EQ,31576624,25,78941
2024-09-27,686.90,695.41,681.87,685.10,1486466,EQ,11891728,25,29729
2024-09-30,680.87,688.09,671.96,678.78,1287778,EQ,10302224,25,25755
2024-10-01,681.92,682.81,651.61,655.79,3500039,EQ,28000312,25,70000
2024-10-03,647.03,650.36,624.43,632.25,3816862,EQ,30534896,25,76337
2024-10-04,627.17,636.93,622.04,626.27,1692595,EQ,13540760,25,33851
2024-10-07,626.27,631.70,608.31,615.57,2608804,EQ,20870432,25,52176
2024-10-08,612.44,623.59,609.40,612.59,1253230,EQ,10025840,25,25064
2024-10-09,620.15,629.91,615.27,626.32,1990973,EQ,15927784,25,39819
2024-10-10,631.05,632.05,616.47,620.95,1063332,EQ,8506656,25,21266
2024-10-11,620.15,628.41,612.19,626.82,1237202,EQ,9897616,25,24744
2024-10-14,626.82,629.81,608.56,615.52,2678416,EQ,21427328,25,53568
2024-10-15,621.00,625.08,614.38,623.74,1547265,EQ,12378120,25,30945
2024-10-16,624.58,625.98,615.82,619.26,1772478,EQ,14179824,25,35449
2024-10-17,619.16,622.09,606.32,609.60,1097209,EQ,8777672,25,21944
2024-10-18,604.23,625.68,601.54,622.14,1381352,EQ,11050816,25,27627
2024-10-21,620.60,634.44,612.94,619.70,2317481,EQ,18539848,25,46349
2024-10-22,617.17,622.14,610.45,612.64,777474,EQ,6219792,25,15549
2024-10-23,607.21,613.08,603.08,604.03,961946,EQ,7695568,25,19238
2024-10-24,599.45,605.57,590.64,598.05,1179846,EQ,9438768,25,23596
2024-10-25,598.05,601.04,578.99,582.57,3319865,EQ,26558920,25,66397
2024-10-28,579.44,590.99,573.57,582.82,1439253,EQ,11514024,25,28785
2024-10-29,584.32,586.01,560.53,572.67,1695878,EQ,13567024,25,33917
2024-10-30,572.97,583.57,567.69,575.81,1440434,EQ,11523472,25,28808
2024-10-31,575.81,577.05,567.49,573.37,1832013,EQ,14656104,25,36640
2024-11-01,582.13,582.13,570.08,574.91,160706,EQ,1285648,25,3214
2024-11-04,574.91,574.91,555.70,564.51,2406753,EQ,19254024,25,48135
2024-11-05,564.51,592.78,564.51,589.24,2831538,EQ,22652304,25,56630
2024-11-06,595.12,600.54,587.95,597.71,1366681,EQ,10933448,25,27333
2024-11-07,601.24,602.13,581.63,593.62,1125466,EQ,9003728,25,22509
2024-11-08,593.62,606.12,591.73,604.47,2499471,EQ,19995768,25,49989
2024-11-11,607.21,614.63,591.68,599.25,1462672,EQ,11701376,25,29253
2024-11-12,623.49,652.95,611.59,633.94,18717555,EQ,149740440,25,374351
2024-11-13,632.15,638.72,612.39,622.34,2564649,EQ,20517192,25,51292
2024-11-14,627.12,627.12,603.68,605.37,2007047,EQ,16056376,25,40140
2024-11-18,612.19,614.28,600.89,604.37,1321339,EQ,10570712,25,26426
2024-11-19,604.37,619.60,601.79,610.25,982618,EQ,7860944,25,19652
2024-11-21,607.21,614.68,603.23,607.41,935931,EQ,7487448,25,18718
2024-11-22,609.35,641.70,605.57,634.74,1511063,EQ,12088504,25,30221
2024-11-25,642.90,643.64,628.26,629.86,2528076,EQ,20224608,25,50561
2024-11-26,634.09,650.71,631.50,643.94,2083758,EQ,16670064,25,41675
2024-11-27,648.82,652.06,641.21,648.22,992076,EQ,7936608,25,19841
2024-11-28,650.01,655.44,635.33,639.36,1301635,EQ,10413080,25,26032
2024-11-29,640.56,647.68,636.68,641.60,1321468,EQ,10571744,25,26429
2024-12-02,641.60,651.61,635.98,648.92,670733,EQ,5365864,25,13414
2024-12-03,653.00,655.69,644.14,654.05,945337,EQ,7562696,25,18906
2024-12-04,655.89,661.16,648.72,657.13,1620403,EQ,12963224,25,32408
2024-12-05,660.91,666.49,653.20,659.02,919184,EQ,7353472,25,18383
2024-12-06,659.02,693.96,656.14,691.33,4327937,EQ,34623496,25,86558
2024-12-09,689.83,695.66,679.93,691.52,1399050,EQ,11192400,25,27981
2024-12-10,686.85,700.98,684.56,698.99,1608476,EQ,12867808,25,32169
2024-12-11,700.23,710.64,694.06,704.56,1905715,EQ,15245720,25,38114
2024-12-12,704.56,704.56,667.09,669.03,3314992,EQ,26519936,25,66299
2024-12-13,663.06,687.84,662.56,678.19,3220903,EQ,25767224,25,64418
2024-12-16,678.19,689.04,678.19,683.41,825189,EQ,6601512,25,16503
2024-12-17,683.51,698.19,675.75,679.78,1954432,EQ,15635456,25,39088
2024-12-18,680.52,683.96,664.60,672.71,610647,EQ,4885176,25,12212
2024-12-19,659.97,678.93,658.97,676.24,1084119,EQ,8672952,25,21682
2024-12-20,678.29,682.37,665.84,669.62,897231,EQ,7177848,25,17944
2024-12-23,666.99,693.56,666.39,688.49,1961409,EQ,15691272,25,39228
2024-12-24,693.81,702.77,684.41,700.93,1423441,EQ,11387528,25,28468
2024-12-26,705.56,706.61,688.44,700.68,1622785,EQ,12982280,25,32455
2024-12-27,711.73,721.59,699.19,704.86,5351875,EQ,42815000,25,107037
2024-12-30,705.21,718.70,701.88,715.46,2398008,EQ,19184064,25,47960
2024-12-31,710.29,720.99,705.61,714.82,1642114,EQ,13136912,25,32842
2025-01-01,714.72,737.61,711.73,735.82,2670497,EQ,21363976,25,53409
2025-01-02,735.82,756.43,728.55,752.69,2440864,EQ,19526912,25,48817
2025-01-03,751.50,771.26,749.16,755.63,3052395,EQ,24419160,25,61047
2025-01-06,775.59,793.11,755.88,763.10,9122503,EQ,72980024,25,182450
2025-01-07,764.49,774.99,752.69,755.78,2264155,EQ,18113240,25,45283
2025-01-08,755.73,755.73,735.47,746.97,1563717,EQ,12509736,25,31274
2025-01-09,743.59,752.54,740.65,742.19,699485,EQ,5595880,25,13989
2025-01-10,739.65,742.59,726.71,733.63,1635295,EQ,13082360,25,32705
2025-01-13,724.72,730.20,700.98,703.37,1791853,EQ,14334824,25,35837
2025-01-14,704.96,713.82,700.04,705.66,1873900,EQ,14991200,25,37478
2025-01-15,706.26,709.09,693.61,696.80,2808585,EQ,22468680,25,56171
2025-01-16,702.77,710.19,681.27,686.45,1608620,EQ,12868960,25,32172
2025-01-17,688.84,691.77,680.82,689.53,1887110,EQ,15096880,25,37742
2025-01-20,689.83,697.30,682.62,691.37,2601179,EQ,20809432,25,52023
2025-01-21,694.96,744.53,659.12,670.32,1629983,EQ,13039864,25,32599
2025-01-22,670.32,671.02,653.00,661.61,1473302,EQ,11786416,25,29466
2025-01-23,662.26,688.74,656.68,684.56,1423852,EQ,11390816,25,28477
2025-01-24,683.36,685.70,664.55,667.93,619481,EQ,4955848,25,12389
2025-01-27,665.00,665.00,634.04,635.73,1781772,EQ,14254176,25,35635
2025-01-28,639.02,666.94,631.30,663.20,1540585,EQ,12324680,25,30811
2025-01-29,658.97,689.93,657.53,685.15,1761359,EQ,14090872,25,35227
2025-01-30,683.16,689.83,676.74,685.80,1098817,EQ,8790536,25,21976
2025-01-31,685.80,707.70,684.71,700.68,1323333,EQ,10586664,25,26466
2025-02-01,704.71,750.20,687.84,736.42,3639460,EQ,29115680,25,72789
2025-02-03,731.64,757.02,714.87,726.07,3667288,EQ,29338304,25,73345
2025-02-04,721.69,731.69,704.22,720.99,1642800,EQ,13142400,25,32856
2025-02-05,720.99,735.92,716.76,721.74,1447673,EQ,11581384,25,28953
2025-02-06,722.68,723.08,686.50,690.88,1097015,EQ,8776120,25,21940
2025-02-07,693.56,721.69,678.19,685.25,1273431,EQ,10187448,25,25468
2025-02-10,680.97,689.93,669.23,674.70,638207,EQ,5105656,25,12764
2025-02-11,675.85,682.76,649.52,658.28,1243699,EQ,9949592,25,24873
2025-02-12,661.96,661.96,625.63,638.07,1892628,EQ,15141024,25,37852
2025-02-13,637.07,684.85,637.07,659.07,7791541,EQ,62332328,25,155830
2025-02-14,661.91,673.66,649.57,666.24,4032606,EQ,32260848,25,80652
2025-02-17,662.06,685.70,654.99,678.53,2131381,EQ,17051048,25,42627
2025-02-18,672.41,692.62,668.63,689.88,2261848,EQ,18094784,25,45236
2025-02-19,689.88,708.35,676.89,706.21,2035388,EQ,16283104,25,40707
2025-02-20,703.92,712.68,700.08,710.14,1756107,EQ,14048856,25,35122
2025-02-21,708.45,716.61,683.91,689.18,1342537,EQ,10740296,25,26850
2025-02-24,686.85,688.49,663.30,671.67,3119434,EQ,24955472,25,62388
2025-02-25,674.90,683.66,663.06,677.84,1898688,EQ,15189504,25,37973
2025-02-27,677.69,694.11,663.70,667.83,2820608,EQ,22564864,25,56412
2025-02-28,654.99,656.24,620.15,623.24,4478047,EQ,35824376,25,89560
2025-03-03,624.08,632.30,597.56,630.45,3139394,EQ,25115152,25,62787
2025-03-04,627.17,629.66,605.57,607.46,1677589,EQ,13420712,25,33551
2025-03-05,599.50,623.49,599.50,618.51,2177307,EQ,17418456,25,43546
2025-03-06,624.13,629.91,601.84,606.66,3028625,EQ,24229000,25,60572
2025-03-07,608.21,609.15,591.78,600.04,2449005,EQ,19592040,25,48980
2025-03-10,598.25,604.13,592.08,598.55,1721049,EQ,13768392,25,34420
2025-03-11,592.28,613.73,589.29,610.20,1640788,EQ,13126304,25,32815
2025-03-12,611.54,613.68,592.83,600.19,1020900,EQ,8167200,25,20418
2025-03-13,600.39,607.41,590.19,593.62,982164,EQ,7857312,25,19643
2025-03-17,592.28,617.66,572.42,615.82,1939749,EQ,15517992,25,38794
2025-03-18,615.82,615.82,615.82,615.82,0,EQ,0,25,0
2025-03-19,625.03,646.73,623.19,634.49,2633328,EQ,21066624,25,52666
2025-03-20,622.64,634.54,617.17,624.73,2969859,EQ,23758872,25,59397
2025-03-21,627.12,632.69,621.69,626.17,1318716,EQ,10549728,25,26374
2025-03-24,627.12,662.36,624.63,655.09,2957927,EQ,23663416,25,59158
2025-03-25,657.98,673.66,654.39,665.20,2968535,EQ,23748280,25,59370
2025-03-26,668.93,671.91,655.94,657.83,2152775,EQ,17222200,25,43055
2025-03-27,655.04,674.90,654.05,671.52,2789732,EQ,22317856,25,55794
2025-03-28,675.90,675.90,656.53,661.31,2111563,EQ,16892504,25,42231
2025-04-01,658.97,661.86,643.35,657.83,1185082,EQ,9480656,25,23701
2025-04-02,659.02,682.57,659.02,679.48,3584292,EQ,28674336,25,71685
2025-04-03,673.11,691.28,672.06,689.53,1409878,EQ,11279024,25,28197
2025-04-04,686.40,689.53,667.78,676.49,740290,EQ,5922320,25,14805
2025-04-07,656.98,672.91,645.24,666.59,1690184,EQ,13521472,25,33803
2025-04-08,684.85,686.55,672.51,678.83,2425456,EQ,19403648,25,48509
2025-04-09,681.87,688.34,668.08,681.92,986158,EQ,7889264,25,19723
2025-04-11,683.91,690.28,670.22,682.17,1283823,EQ,10270584,25,25676
2025-04-15,688.84,699.74,685.70,697.80,1553424,EQ,12427392,25,31068
2025-04-16,696.80,703.12,686.90,699.84,1166593,EQ,9332744,25,23331
2025-04-17,700.28,705.46,688.94,694.56,1228882,EQ,9831056,25,24577
2025-04-21,695.80,703.57,690.88,692.57,1553435,EQ,12427480,25,31068
2025-04-22,691.52,707.45,688.04,699.09,1249592,EQ,9996736,25,24991
2025-04-23,699.09,712.78,686.70,710.19,2443177,EQ,19545416,25,48863
2025-04-24,714.67,715.17,699.24,713.22,1337783,EQ,10702264,25,26755
2025-04-25,713.22,716.51,688.39,691.13,1524535,EQ,12196280,25,30490
2025-04-28,689.53,705.91,687.94,701.98,1381701,EQ,11053608,25,27634
2025-04-29,701.98,709.74,698.24,705.06,1235338,EQ,9882704,25,24706
2025-04-30,702.97,722.63,702.52,712.13,1976135,EQ,15809080,25,39522
2025-05-02,711.73,717.55,696.20,697.80,687396,EQ,5499168,25,13747
2025-05-05,696.80,720.09,696.75,717.36,1486713,EQ,11893704,25,29734
2025-05-06,721.69,724.62,698.64,702.82,712690,EQ,5701520,25,14253
2025-05-07,688.84,709.44,688.84,703.77,1204483,EQ,9635864,25,24089
2025-05-08,703.77,706.65,661.96,668.78,1721745,EQ,13773960,25,34434
2025-05-09,649.02,670.87,649.02,667.14,1131188,EQ,9049504,25,22623
2025-05-12,677.69,696.80,673.95,692.92,1059863,EQ,8478904,25,21197
2025-05-13,692.82,704.32,688.89,698.49,1592174,EQ,12737392,25,31843
2025-05-14,695.01,709.09,677.49,690.63,2220144,EQ,17761152,25,44402
2025-05-15,700.78,704.61,669.92,680.62,7700809,EQ,61606472,25,154016
2025-05-16,681.17,683.96,667.39,671.22,2570669,EQ,20565352,25,51413
2025-05-19,671.57,699.79,662.06,691.33,3642232,EQ,29137856,25,72844
2025-05-20,691.33,694.76,671.42,676.24,2021406,EQ,16171248,25,40428
2025-05-21,677.79,680.67,668.03,671.32,904725,EQ,7237800,25,18094
2025-05-22,671.42,674.65,660.17,671.17,1480845,EQ,11846760,25,29616
2025-05-23,671.17,671.47,659.77,661.41,1264576,EQ,10116608,25,25291
2025-05-26,661.41,665.05,655.79,658.53,2357378,EQ,18859024,25,47147
2025-05-27,659.97,665.54,656.19,662.46,1776278,EQ,14210224,25,35525
2025-05-28,666.84,666.84,652.35,656.73,1091201,EQ,8729608,25,21824
2025-05-29,659.02,668.98,656.83,667.29,1689146,EQ,13513168,25,33782
2025-05-30,666.99,667.43,650.06,652.55,1875471,EQ,15003768,25,37509
2025-06-02,652.01,659.12,647.08,657.38,1401512,EQ,11212096,25,28030
2025-06-03,662.76,662.76,650.36,653.20,991111,EQ,7928888,25,19822
2025-06-04,661.66,685.30,658.63,683.06,4691589,EQ,37532712,25,93831
2025-06-05,683.86,689.83,680.28,682.96,1048703,EQ,8389624,25,20974
2025-06-06,682.96,694.71,682.86,692.02,1604498,EQ,12835984,25,32089
2025-06-09,693.81,698.74,689.68,696.05,772762,EQ,6182096,25,15455
2025-06-10,697.80,697.80,688.39,692.02,457279,EQ,3658232,25,9145
2025-06-11,691.82,691.82,679.53,682.47,319802,EQ,2558416,25,6396
2025-06-12,677.44,678.58,662.96,664.80,721016,EQ,5768128,25,14420
2025-06-13,662.36,685.65,658.28,678.33,2773723,EQ,22189784,25,55474
2025-06-16,678.33,694.51,671.32,689.38,972257,EQ,7778056,25,19445
2025-06-17,688.84,689.28,672.91,674.55,1751383,EQ,14011064,25,35027
2025-06-18,672.46,682.32,670.62,678.43,748204,EQ,5985632,25,14964
2025-06-19,677.44,694.21,676.44,680.18,1865206,EQ,14921648,25,37304
2025-06-20,680.87,694.46,678.48,692.62,2661018,EQ,21288144,25,53220
2025-06-23,686.85,697.70,678.04,690.23,1280648,EQ,10245184,25,25612
2025-06-24,697.80,699.59,690.18,692.37,851279,EQ,6810232,25,17025
2025-06-25,691.82,714.92,690.38,709.74,3075488,EQ,24603904,25,61509
2025-06-26,711.73,715.61,703.07,707.90,1303874,EQ,10430992,25,26077
2025-06-27,711.43,713.17,702.87,706.70,2286595,EQ,18292760,25,45731
2025-06-30,706.70,708.25,696.75,698.59,1671587,EQ,13372696,25,33431
2025-07-01,699.84,715.66,699.84,706.51,1295012,EQ,10360096,25,25900
2025-07-02,706.51,708.70,697.35,705.46,682023,EQ,5456184,25,13640
2025-07-03,705.31,708.75,700.78,703.72,661301,EQ,5290408,25,13226
2025-07-04,703.72,707.75,697.60,706.80,554527,EQ,4436216,25,11090
2025-07-07,709.89,711.43,678.14,680.97,3277330,EQ,26218640,25,65546
2025-07-08,677.69,687.49,676.29,685.05,966000,EQ,7728000,25,19320
2025-07-09,688.84,688.84,678.63,679.83,726810,EQ,5814480,25,14536
2025-07-10,679.88,686.05,674.90,684.85,689947,EQ,5519576,25,13798
2025-07-11,681.87,684.26,671.22,675.50,851125,EQ,6809000,25,17022
2025-07-14,679.38,679.88,670.02,676.69,1128532,EQ,9028256,25,22570
2025-07-15,677.39,688.84,676.89,688.09,370386,EQ,2963088,25,7407
2025-07-16,688.84,691.77,682.86,690.78,392874,EQ,3142992,25,7857
2025-07-17,690.93,692.32,683.86,686.35,774894,EQ,6199152,25,15497
2025-07-18,686.25,686.25,676.58,679.87,549392,EQ,4395136,25,10987
2025-07-21,676.18,679.67,673.09,677.42,576701,EQ,4613608,25,11534
2025-07-22,677.42,680.71,658.13,660.22,686128,EQ,5489024,25,13722
