date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,354.44,356.97,353.85,355.14,37290860,EQ,298326880,25,745817
2024-09-02,355.38,357.66,353.52,355.03,20242600,EQ,161940800,25,404852
2024-09-03,354.99,356.26,353.45,355.73,25981365,EQ,207850920,25,519627
2024-09-04,352.98,356.63,351.69,355.73,15962215,EQ,127697720,25,319244
2024-09-05,355.23,356.24,350.99,354.57,17865025,EQ,142920200,25,357300
2024-09-06,352.49,355.37,350.29,351.82,16274400,EQ,130195200,25,325488
2024-09-09,352.52,357.76,350.68,357.00,17182305,EQ,137458440,25,343646
2024-09-10,358.57,358.90,354.59,357.29,17488060,EQ,139904480,25,349761
2024-09-11,357.97,360.05,355.97,356.82,18669360,EQ,149354880,25,373387
2024-09-12,359.74,365.78,358.00,364.44,31827540,EQ,254620320,25,636550
2024-09-13,366.34,366.34,362.31,363.02,10283600,EQ,82268800,25,205672
2024-09-16,365.55,368.08,364.61,365.21,13653170,EQ,109225360,25,273063
2024-09-17,366.82,369.61,365.08,368.27,18374310,EQ,146994480,25,367486
2024-09-18,368.94,370.82,366.07,366.88,34387495,EQ,275099960,25,687749
2024-09-19,368.92,373.92,367.96,373.31,14462150,EQ,115697200,25,289243
2024-09-20,373.72,384.15,372.93,379.81,94247895,EQ,753983160,25,1884957
2024-09-23,381.89,387.28,380.54,385.83,18431360,EQ,147450880,25,368627
2024-09-24,385.89,386.61,380.82,381.84,18546930,EQ,148375440,25,370938
2024-09-25,380.91,383.44,377.77,378.50,16537335,EQ,132298680,25,330746
2024-09-26,377.91,381.56,375.78,379.37,21022565,EQ,168180520,25,420451
2024-09-27,378.91,380.90,372.19,373.41,33215560,EQ,265724480,25,664311
2024-09-30,370.27,375.81,367.56,369.72,16234200,EQ,129873600,25,324684
2024-10-01,368.34,375.87,368.34,374.80,24357630,EQ,194861040,25,487152
2024-10-03,370.51,371.66,362.12,363.51,31816160,EQ,254529280,25,636323
2024-10-04,362.06,368.94,358.64,360.76,18673160,EQ,149385280,25,373463
2024-10-07,360.96,366.22,352.86,357.02,37233165,EQ,297865320,25,744663
2024-10-08,358.97,361.76,355.35,359.64,25485515,EQ,203884120,25,509710
2024-10-09,359.17,362.95,356.95,359.13,35394010,EQ,283152080,25,707880
2024-10-10,360.94,375.72,360.02,374.14,29528990,EQ,236231920,25,590579
2024-10-11,373.36,377.63,371.16,375.40,26057900,EQ,208463200,25,521158
2024-10-14,375.93,382.10,375.41,381.06,21955690,EQ,175645520,25,439113
2024-10-15,381.34,381.97,376.41,377.95,21477465,EQ,171819720,25,429549
2024-10-16,375.72,377.40,372.56,374.19,15727780,EQ,125822240,25,314555
2024-10-17,374.19,374.58,369.20,371.74,17707160,EQ,141657280,25,354143
2024-10-18,372.53,374.62,368.54,373.13,19173835,EQ,153390680,25,383476
2024-10-21,368.94,369.93,346.00,356.81,65890685,EQ,527125480,25,1317813
2024-10-22,357.36,358.07,350.76,351.62,27471910,EQ,219775280,25,549438
2024-10-23,351.22,356.38,350.61,352.54,14180685,EQ,113445480,25,283613
2024-10-24,352.19,353.53,349.05,351.43,11584100,EQ,92672800,25,231682
2024-10-25,351.99,356.27,350.39,352.75,14146135,EQ,113169080,25,282922
2024-10-28,352.58,355.11,348.01,348.96,16510740,EQ,132085920,25,330214
2024-10-29,347.70,352.41,345.15,351.03,20790595,EQ,166324760,25,415811
2024-10-30,344.41,350.99,344.33,345.92,21929745,EQ,175437960,25,438594
2024-10-31,344.48,348.32,343.80,345.23,14723350,EQ,117786800,25,294467
2024-11-01,346.92,349.82,346.27,347.88,912445,EQ,7299560,25,18248
2024-11-04,347.80,347.80,343.86,344.88,14424150,EQ,115393200,25,288483
2024-11-05,343.31,351.09,341.22,350.42,20143075,EQ,161144600,25,402861
2024-11-06,351.01,352.67,348.32,351.51,18261260,EQ,146090080,25,365225
2024-11-07,351.59,351.99,345.60,348.38,15304920,EQ,122439360,25,306098
2024-11-08,348.00,351.81,346.78,348.16,18234125,EQ,145873000,25,364682
2024-11-11,348.00,351.65,346.44,347.80,16025150,EQ,128201200,25,320503
2024-11-12,347.96,348.87,342.05,343.29,16141950,EQ,129135600,25,322839
2024-11-13,341.82,344.64,334.85,336.60,17967450,EQ,143739600,25,359349
2024-11-14,337.03,341.54,336.99,340.60,16638790,EQ,133110320,25,332775
2024-11-18,341.82,344.66,338.96,343.56,10412075,EQ,83296600,25,208241
2024-11-19,344.97,346.96,341.72,344.56,13798315,EQ,110386520,25,275966
2024-11-21,342.03,347.15,339.77,346.42,16470295,EQ,131762360,25,329405
2024-11-22,345.80,353.42,345.58,351.28,17768630,EQ,142149040,25,355372
2024-11-25,355.38,357.89,352.36,357.12,34357160,EQ,274857280,25,687143
2024-11-26,357.97,358.16,353.98,355.70,11563695,EQ,92509560,25,231273
2024-11-27,355.17,360.06,354.80,355.62,16012220,EQ,128097760,25,320244
2024-11-28,355.63,356.75,349.69,350.83,19856975,EQ,158855800,25,397139
2024-11-29,350.39,353.70,350.39,352.04,14939970,EQ,119519760,25,298799
2024-12-02,351.99,353.50,348.20,349.78,21326400,EQ,170611200,25,426528
2024-12-03,350.99,351.23,347.00,348.97,19858250,EQ,158866000,25,397165
2024-12-04,349.39,352.38,348.28,350.49,15933930,EQ,127471440,25,318678
2024-12-05,351.79,356.70,348.60,354.01,28486145,EQ,227889160,25,569722
2024-12-06,353.76,355.98,351.19,354.37,12979410,EQ,103835280,25,259588
2024-12-09,352.60,359.95,352.60,356.22,12770115,EQ,102160920,25,255402
2024-12-10,355.63,359.52,355.63,357.91,9899420,EQ,79195360,25,197988
2024-12-11,358.17,360.32,356.96,357.91,11967140,EQ,95737120,25,239342
2024-12-12,356.97,358.26,352.06,352.72,17441295,EQ,139530360,25,348825
2024-12-13,350.66,360.76,348.61,360.09,19467655,EQ,155741240,25,389353
2024-12-16,359.56,361.56,357.74,359.85,14946965,EQ,119575720,25,298939
2024-12-17,358.19,360.33,353.98,355.78,17964305,EQ,143714440,25,359286
2024-12-18,355.38,356.31,353.05,354.98,17647150,EQ,141177200,25,352943
2024-12-19,351.68,352.58,348.08,351.41,20370400,EQ,162963200,25,407408
2024-12-20,349.99,352.75,345.67,347.71,73428440,EQ,587427520,25,1468568
2024-12-23,348.50,351.83,347.00,348.07,13740180,EQ,109921440,25,274803
2024-12-24,347.51,349.92,346.61,348.80,13563125,EQ,108505000,25,271262
2024-12-26,350.35,352.87,347.41,349.55,5660030,EQ,45280240,25,113200
2024-12-27,350.99,354.42,349.79,350.97,12241355,EQ,97930840,25,244827
2024-12-30,351.99,355.18,345.70,347.14,27513860,EQ,220110880,25,550277
2024-12-31,346.01,358.29,346.01,356.18,23658490,EQ,189267920,25,473169
2025-01-01,354.83,358.32,354.38,356.65,7424140,EQ,59393120,25,148482
2025-01-02,358.97,366.98,358.35,366.37,25484935,EQ,203879480,25,509698
2025-01-03,369.14,369.54,362.38,366.67,21385745,EQ,171085960,25,427714
2025-01-06,363.15,363.95,353.56,354.91,19961975,EQ,159695800,25,399239
2025-01-07,356.37,358.46,352.96,353.39,21999690,EQ,175997520,25,439993
2025-01-08,355.00,355.91,351.48,352.71,21823395,EQ,174587160,25,436467
2025-01-09,353.78,360.70,353.78,357.01,27349135,EQ,218793080,25,546982
2025-01-10,355.81,356.90,349.66,350.23,17513090,EQ,140104720,25,350261
2025-01-13,345.58,347.91,343.76,346.68,15461940,EQ,123695520,25,309238
2025-01-14,348.91,352.75,344.93,349.11,24744805,EQ,197958440,25,494896
2025-01-15,351.01,357.97,351.01,356.89,17549305,EQ,140394440,25,350986
2025-01-16,358.13,361.95,356.04,360.07,22257670,EQ,178061360,25,445153
2025-01-17,358.37,360.06,348.66,350.71,17608640,EQ,140869120,25,352172
2025-01-20,376.91,384.87,372.13,383.00,66621575,EQ,532972600,25,1332431
2025-01-21,383.09,383.09,377.11,377.57,22078315,EQ,176626520,25,441566
2025-01-22,378.71,383.00,376.33,382.40,20883345,EQ,167066760,25,417666
2025-01-23,380.32,383.68,377.33,377.88,15805795,EQ,126446360,25,316115
2025-01-24,377.11,382.60,373.53,376.16,20126830,EQ,161014640,25,402536
2025-01-27,373.92,378.67,371.48,375.20,9642515,EQ,77140120,25,192850
2025-01-28,377.91,379.91,373.09,376.47,25786920,EQ,206295360,25,515738
2025-01-29,376.48,383.83,375.92,382.97,11758155,EQ,94065240,25,235163
2025-01-30,382.97,386.51,374.41,379.21,21195905,EQ,169567240,25,423918
2025-01-31,379.52,380.69,376.83,379.17,11666145,EQ,93329160,25,233322
2025-02-01,378.71,382.33,373.24,379.53,5481785,EQ,43854280,25,109635
2025-02-03,377.63,379.67,375.23,375.82,16599040,EQ,132792320,25,331980
2025-02-04,377.12,387.12,374.36,384.59,26663090,EQ,213304720,25,533261
2025-02-05,386.45,386.68,379.38,381.25,17136925,EQ,137095400,25,342738
2025-02-06,382.30,382.90,378.20,382.09,15969855,EQ,127758840,25,319397
2025-02-07,383.10,390.99,380.48,384.74,22070870,EQ,176566960,25,441417
2025-02-10,385.95,391.87,383.60,390.90,17846865,EQ,142774920,25,356937
2025-02-11,391.79,392.97,380.22,382.62,17533410,EQ,140267280,25,350668
2025-02-12,383.58,388.68,379.90,387.67,16095020,EQ,128760160,25,321900
2025-02-13,391.47,397.41,390.98,393.43,63391865,EQ,507134920,25,1267837
2025-02-14,393.67,393.67,385.56,389.36,13050240,EQ,104401920,25,261004
2025-02-17,389.88,391.66,385.42,387.94,11500595,EQ,92004760,25,230011
2025-02-18,387.29,392.07,386.72,391.54,21720625,EQ,173765000,25,434412
2025-02-19,391.66,397.83,391.27,395.86,19570825,EQ,156566600,25,391416
