date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,652.82,658.60,648.58,649.68,1790107,EQ,14320856,25,35802
2024-09-02,649.88,655.80,645.54,650.84,1104837,EQ,8838696,25,22096
2024-09-03,658.45,669.72,653.15,668.61,3808579,EQ,30468632,25,76171
2024-09-04,664.57,674.06,655.99,665.87,4494906,EQ,35959248,25,89898
2024-09-05,669.53,693.13,669.29,681.48,6112607,EQ,48900856,25,122252
2024-09-06,680.99,689.76,666.21,669.14,2956463,EQ,23651704,25,59129
2024-09-09,669.14,679.93,657.39,674.25,2367930,EQ,18943440,25,47358
2024-09-10,677.24,679.16,658.93,661.49,2357859,EQ,18862872,25,47157
2024-09-11,659.90,670.49,647.37,651.51,2656730,EQ,21253840,25,53134
2024-09-12,657.97,680.70,657.97,677.91,4432592,EQ,35460736,25,88651
2024-09-13,686.34,704.02,677.38,696.79,5263604,EQ,42108832,25,105272
2024-09-16,700.31,708.59,653.15,655.80,11877313,EQ,95018504,25,237546
2024-09-17,655.56,659.75,645.45,650.17,4411019,EQ,35288152,25,88220
2024-09-18,650.17,661.29,647.66,649.88,3120584,EQ,24964672,25,62411
2024-09-19,654.12,657.25,620.40,639.33,5325417,EQ,42603336,25,106508
2024-09-20,640.63,645.20,634.42,643.33,1992776,EQ,15942208,25,39855
2024-09-23,644.58,658.35,642.17,655.80,2433332,EQ,19466656,25,48666
2024-09-24,657.01,664.57,656.57,660.81,2218270,EQ,17746160,25,44365
2024-09-25,660.47,662.21,635.86,640.73,3717511,EQ,29740088,25,74350
2024-09-26,641.54,643.09,632.73,642.03,1965881,EQ,15727048,25,39317
2024-09-27,642.56,646.75,638.75,639.67,1474940,EQ,11799520,25,29498
2024-09-30,639.67,645.98,635.09,638.17,1207831,EQ,9662648,25,24156
2024-10-01,640.05,644.24,633.40,635.09,1014301,EQ,8114408,25,20286
2024-10-03,630.90,631.86,606.96,613.27,2143072,EQ,17144576,25,42861
2024-10-04,610.04,620.16,604.65,611.58,3148592,EQ,25188736,25,62971
2024-10-07,613.66,614.47,578.97,585.24,3979196,EQ,31833568,25,79583
2024-10-08,586.01,595.26,582.68,592.70,1256006,EQ,10048048,25,25120
2024-10-09,599.20,605.18,592.56,594.58,1151776,EQ,9214208,25,23035
2024-10-10,597.37,602.00,591.06,593.52,826195,EQ,6609560,25,16523
2024-10-11,594.44,598.87,591.31,596.80,566594,EQ,4532752,25,11331
2024-10-14,599.69,600.75,591.16,595.11,754905,EQ,6039240,25,15098
2024-10-15,597.28,604.89,595.11,603.01,1311955,EQ,10495640,25,26239
2024-10-16,604.98,610.28,600.41,603.15,884581,EQ,7076648,25,17691
2024-10-17,604.02,605.56,587.74,589.38,1408387,EQ,11267096,25,28167
2024-10-18,589.38,597.18,579.26,595.93,956834,EQ,7654672,25,19136
2024-10-21,597.33,600.99,582.11,585.48,1393400,EQ,11147200,25,27868
2024-10-22,586.68,590.44,563.13,566.02,2188291,EQ,17506328,25,43765
2024-10-23,565.49,587.79,558.89,578.59,3069525,EQ,24556200,25,61390
2024-10-24,578.59,587.50,573.44,578.25,1472019,EQ,11776152,25,29440
2024-10-25,579.46,588.22,566.93,576.33,2102682,EQ,16821456,25,42053
2024-10-28,578.25,604.41,570.30,595.79,3084307,EQ,24674456,25,61686
2024-10-29,602.10,619.29,588.27,614.09,3947335,EQ,31578680,25,78946
2024-10-30,618.86,633.50,607.39,609.80,4990391,EQ,39923128,25,99807
2024-10-31,609.80,612.69,598.68,607.92,1536695,EQ,12293560,25,30733
2024-11-01,606.86,614.09,604.46,610.81,194439,EQ,1555512,25,3888
2024-11-04,614.43,614.43,590.44,600.02,1041101,EQ,8328808,25,20822
2024-11-05,600.02,611.54,585.86,608.93,2571586,EQ,20572688,25,51431
2024-11-06,610.77,615.92,605.80,611.20,956131,EQ,7649048,25,19122
2024-11-07,609.85,620.59,608.21,615.29,1774477,EQ,14195816,25,35489
2024-11-08,617.12,618.42,608.12,611.73,2190023,EQ,17520184,25,43800
2024-11-11,607.78,609.22,597.52,603.01,1469847,EQ,11758776,25,29396
2024-11-12,604.99,615.00,590.10,594.34,2155005,EQ,17240040,25,43100
2024-11-13,593.14,596.65,579.41,584.61,2156821,EQ,17254568,25,43136
2024-11-14,584.61,594.68,582.88,585.86,1130270,EQ,9042160,25,22605
2024-11-18,585.86,595.88,579.94,588.75,1026308,EQ,8210464,25,20526
2024-11-19,591.98,602.48,589.67,593.86,1439885,EQ,11519080,25,28797
2024-11-21,590.68,592.12,578.35,588.85,1113675,EQ,8909400,25,22273
2024-11-22,591.50,595.88,584.08,594.82,1018524,EQ,8148192,25,20370
2024-11-25,606.82,611.15,601.61,604.50,1043306,EQ,8346448,25,20866
2024-11-26,604.50,610.19,597.28,598.72,1951915,EQ,15615320,25,39038
2024-11-27,600.12,605.90,596.89,604.55,910998,EQ,7287984,25,18219
2024-11-28,605.85,616.21,604.02,611.44,1570957,EQ,12567656,25,31419
2024-11-29,614.62,616.50,607.83,615.39,831686,EQ,6653488,25,16633
2024-12-02,615.58,615.58,600.99,603.88,1028942,EQ,8231536,25,20578
2024-12-03,603.88,620.35,603.88,612.07,1006739,EQ,8053912,25,20134
2024-12-04,615.58,621.36,610.86,614.86,1077571,EQ,8620568,25,21551
2024-12-05,618.86,618.86,608.93,615.29,891937,EQ,7135496,25,17838
2024-12-06,616.45,625.12,611.29,617.75,1071453,EQ,8571624,25,21429
2024-12-09,617.75,620.30,605.90,607.06,824080,EQ,6592640,25,16481
