date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,515.91,520.00,511.57,513.13,1867094,EQ,14936752,25,37341
2024-09-02,513.74,516.03,509.03,510.41,1714330,EQ,13714640,25,34286
2024-09-03,513.01,515.33,508.41,512.19,1715226,EQ,13721808,25,34304
2024-09-04,508.72,515.86,506.55,513.37,1956940,EQ,15655520,25,39138
2024-09-05,513.01,520.70,510.26,515.57,2039964,EQ,16319712,25,40799
2024-09-06,513.49,516.87,499.03,500.91,2740568,EQ,21924544,25,54811
2024-09-09,500.91,503.80,491.80,496.28,2867912,EQ,22943296,25,57358
2024-09-10,498.55,503.85,496.62,497.66,1499964,EQ,11999712,25,29999
2024-09-11,498.07,499.92,484.49,488.76,1947518,EQ,15580144,25,38950
2024-09-12,491.75,498.98,491.29,497.39,1673246,EQ,13385968,25,33464
2024-09-13,499.03,504.33,495.99,498.62,1741638,EQ,13933104,25,34832
2024-09-16,500.96,502.24,494.71,495.73,1855454,EQ,14843632,25,37109
2024-09-17,496.60,496.60,491.80,492.38,1005620,EQ,8044960,25,20112
2024-09-18,492.28,498.76,489.87,491.12,1417494,EQ,11339952,25,28349
2024-09-19,493.24,496.40,477.82,482.42,2763228,EQ,22105824,25,55264
2024-09-20,486.01,493.94,483.36,487.14,3095672,EQ,24765376,25,61913
2024-09-23,488.40,500.21,488.01,497.99,2686758,EQ,21494064,25,53735
2024-09-24,497.99,503.10,494.33,495.75,1845454,EQ,14763632,25,36909
2024-09-25,495.15,497.80,488.47,491.32,1959564,EQ,15676512,25,39191
2024-09-26,493.73,505.73,487.22,495.68,5307304,EQ,42458432,25,106146
2024-09-27,498.16,498.16,491.99,493.85,2393744,EQ,19149952,25,47874
2024-09-30,492.76,492.76,483.65,485.51,2868718,EQ,22949744,25,57374
2024-10-01,486.18,488.13,481.67,482.18,2292568,EQ,18340544,25,45851
2024-10-03,477.33,479.67,464.92,466.41,3926920,EQ,31415360,25,78538
2024-10-04,469.14,473.86,460.80,468.24,2690322,EQ,21522576,25,53806
2024-10-07,468.17,471.07,445.58,448.89,6813034,EQ,54504272,25,136260
2024-10-08,448.89,466.46,445.08,464.99,6042288,EQ,48338304,25,120845
2024-10-09,468.17,471.19,464.80,468.15,1715792,EQ,13726336,25,34315
2024-10-10,469.62,472.13,463.86,465.35,1201338,EQ,9610704,25,24026
2024-10-11,466.46,468.61,456.72,457.49,1915798,EQ,15326384,25,38315
2024-10-14,462.05,465.74,460.34,462.63,1311550,EQ,10492400,25,26231
2024-10-15,464.31,465.28,454.82,457.01,2402740,EQ,19221920,25,48054
2024-10-16,457.01,460.46,453.83,454.65,1953132,EQ,15625056,25,39062
2024-10-17,454.65,458.00,448.89,449.90,1463792,EQ,11710336,25,29275
2024-10-18,448.40,454.17,446.14,450.77,1415280,EQ,11322240,25,28305
2024-10-21,455.64,459.45,444.59,446.62,1535032,EQ,12280256,25,30700
2024-10-22,446.48,449.99,438.40,441.41,2794806,EQ,22358448,25,55896
2024-10-23,443.51,445.94,431.60,438.50,2106510,EQ,16852080,25,42130
2024-10-24,436.83,445.51,436.83,439.92,1823176,EQ,14585408,25,36463
2024-10-25,438.81,442.62,428.30,435.70,2537620,EQ,20300960,25,50752
2024-10-28,438.45,445.34,432.32,441.36,2121320,EQ,16970560,25,42426
2024-10-29,443.63,451.85,441.56,450.53,2107442,EQ,16859536,25,42148
2024-10-30,452.19,456.82,448.43,450.79,1366924,EQ,10935392,25,27338
2024-10-31,449.85,452.98,443.58,445.05,1268992,EQ,10151936,25,25379
2024-11-01,446.91,449.37,446.14,448.57,306594,EQ,2452752,25,6131
2024-11-04,450.33,451.49,439.36,445.39,1229720,EQ,9837760,25,24594
2024-11-05,445.99,448.57,441.56,447.75,1669152,EQ,13353216,25,33383
2024-11-06,448.40,456.99,445.58,455.76,2052382,EQ,16419056,25,41047
2024-11-07,455.64,459.98,447.03,448.26,1633984,EQ,13071872,25,32679
2024-11-08,448.89,450.74,439.68,441.00,1435382,EQ,11483056,25,28707
2024-11-11,443.58,450.19,438.28,442.83,2477840,EQ,19822720,25,49556
2024-11-12,448.64,461.90,442.62,444.14,4510618,EQ,36084944,25,90212
2024-11-13,444.55,445.94,429.14,432.93,2653970,EQ,21231760,25,53079
2024-11-14,436.35,445.75,431.82,438.11,2443326,EQ,19546608,25,48866
2024-11-18,438.11,442.11,433.94,434.78,1334772,EQ,10678176,25,26695
2024-11-19,438.76,441.97,431.05,432.32,1556972,EQ,12455776,25,31139
2024-11-21,431.05,433.43,420.44,425.24,3296284,EQ,26370272,25,65925
2024-11-22,426.22,431.53,423.81,428.88,1894336,EQ,15154688,25,37886
