date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,3648.36,3674.51,3597.38,3634.91,2592912,EQ,20743296,25,51858
2024-09-02,3636.24,3651.89,3597.34,3613.77,1277813,EQ,10222504,25,25556
2024-09-03,3624.42,3644.04,3597.88,3620.69,1211993,EQ,9695944,25,24239
2024-09-04,3581.29,3611.71,3562.75,3582.08,1930121,EQ,15440968,25,38602
2024-09-05,3598.95,3598.95,3540.48,3555.93,2958770,EQ,23670160,25,59175
2024-09-06,3547.05,3555.59,3469.64,3507.46,3096557,EQ,24772456,25,61931
2024-09-09,3516.54,3526.35,3486.95,3510.94,1454589,EQ,11636712,25,29091
2024-09-10,3517.52,3556.76,3503.78,3528.46,1203483,EQ,9627864,25,24069
2024-09-11,3527.33,3536.11,3450.21,3470.37,1865165,EQ,14921320,25,37303
2024-09-12,3491.03,3569.57,3467.48,3553.82,3751523,EQ,30012184,25,75030
2024-09-13,3553.82,3566.33,3532.28,3544.99,1752455,EQ,14019640,25,35049
2024-09-16,3551.02,3600.92,3544.99,3593.31,1045964,EQ,8367712,25,20919
2024-09-17,3598.95,3635.26,3590.81,3625.64,1289060,EQ,10312480,25,25781
2024-09-18,3619.56,3687.21,3614.85,3660.23,2249929,EQ,17999432,25,44998
2024-09-19,3679.41,3679.80,3604.84,3614.36,1711564,EQ,13692512,25,34231
2024-09-20,3630.35,3738.18,3610.97,3722.48,5401701,EQ,43213608,25,108034
2024-09-23,3728.47,3766.54,3678.43,3716.40,1937874,EQ,15502992,25,38757
2024-09-24,3716.40,3759.67,3703.94,3720.23,2676546,EQ,21412368,25,53530
2024-09-25,3716.25,3741.42,3706.88,3722.44,2113862,EQ,16910896,25,42277
2024-09-26,3729.45,3731.36,3666.07,3691.33,2750597,EQ,22004776,25,55011
2024-09-27,3667.64,3667.64,3582.27,3635.90,4095425,EQ,32763400,25,81908
2024-09-30,3629.37,3645.71,3596.01,3606.36,1837697,EQ,14701576,25,36753
2024-10-01,3597.97,3653.90,3570.84,3584.73,1674100,EQ,13392800,25,33482
2024-10-03,3515.06,3548.92,3419.79,3431.81,5315877,EQ,42527016,25,106317
2024-10-04,3448.83,3486.66,3403.21,3428.18,3445879,EQ,27567032,25,68917
2024-10-07,3439.02,3446.82,3364.45,3403.06,2304227,EQ,18433816,25,46084
2024-10-08,3427.20,3471.89,3403.70,3465.91,2249452,EQ,17995616,25,44989
2024-10-09,3475.38,3490.73,3415.47,3421.46,1645791,EQ,13166328,25,32915
2024-10-10,3448.84,3487.98,3390.46,3395.21,2686116,EQ,21488928,25,53722
2024-10-11,3404.09,3431.27,3382.11,3417.00,1280465,EQ,10243720,25,25609
2024-10-14,3443.93,3506.58,3435.39,3488.13,1974378,EQ,15795024,25,39487
2024-10-15,3502.80,3502.80,3453.89,3485.04,1231552,EQ,9852416,25,24631
2024-10-16,3483.18,3514.48,3447.41,3466.10,1961835,EQ,15694680,25,39236
2024-10-17,3483.08,3515.55,3455.51,3503.09,2968537,EQ,23748296,25,59370
2024-10-18,3502.75,3524.83,3473.61,3510.45,2102609,EQ,16820872,25,42052
2024-10-21,3512.61,3553.77,3504.08,3518.11,1750549,EQ,14004392,25,35010
2024-10-22,3517.52,3524.04,3434.12,3445.79,1363574,EQ,10908592,25,27271
2024-10-23,3435.15,3447.80,3378.19,3390.36,2125268,EQ,17002144,25,42505
2024-10-24,3379.17,3409.20,3352.43,3377.85,1924421,EQ,15395368,25,38488
2024-10-25,3360.53,3370.34,3252.65,3263.78,3236774,EQ,25894192,25,64735
2024-10-28,3253.58,3309.51,3201.14,3277.91,2991674,EQ,23933392,25,59833
2024-10-29,3253.58,3320.69,3253.58,3317.26,2253467,EQ,18027736,25,45069
2024-10-30,3316.33,3373.68,3289.88,3344.19,1785128,EQ,14281024,25,35702
2024-10-31,3463.55,3586.15,3442.31,3554.12,7637083,EQ,61096664,25,152741
2024-11-01,3556.72,3573.35,3551.86,3558.09,212796,EQ,1702368,25,4255
2024-11-04,3556.72,3556.72,3464.44,3507.17,1724189,EQ,13793512,25,34483
2024-11-05,3489.06,3517.52,3475.23,3507.51,1251506,EQ,10012048,25,25030
2024-11-06,3526.35,3591.01,3490.44,3576.83,1819732,EQ,14557856,25,36394
2024-11-07,3578.69,3594.05,3551.86,3577.91,1581009,EQ,12648072,25,31620
2024-11-08,3571.87,3597.97,3552.50,3591.40,1622142,EQ,12977136,25,32442
2024-11-11,3577.37,3592.09,3538.12,3560.54,926127,EQ,7409016,25,18522
2024-11-12,3581.29,3582.27,3512.61,3523.75,1116206,EQ,8929648,25,22324
2024-11-13,3517.52,3536.99,3469.10,3481.16,1568694,EQ,12549552,25,31373
2024-11-14,3491.03,3498.63,3434.26,3459.87,1291765,EQ,10334120,25,25835
2024-11-18,3454.82,3501.13,3444.76,3475.47,1233217,EQ,9865736,25,24664
2024-11-19,3492.89,3539.10,3429.21,3439.91,1826460,EQ,14611680,25,36529
2024-11-21,3463.55,3464.09,3387.46,3417.93,1510581,EQ,12084648,25,30211
2024-11-22,3434.12,3545.48,3407.72,3535.67,2534018,EQ,20272144,25,50680
2024-11-25,3591.11,3690.20,3585.22,3682.35,4753829,EQ,38030632,25,95076
2024-11-26,3684.22,3684.22,3620.54,3632.90,1141534,EQ,9132272,25,22830
2024-11-27,3634.28,3649.98,3615.63,3629.08,971816,EQ,7774528,25,19436
2024-11-28,3630.35,3650.47,3579.33,3597.04,2124283,EQ,16994264,25,42485
2024-11-29,3566.67,3679.41,3566.67,3654.69,2094305,EQ,16754440,25,41886
2024-12-02,3637.07,3647.87,3603.76,3634.33,1158369,EQ,9266952,25,23167
2024-12-03,3650.96,3727.34,3631.82,3715.76,3252670,EQ,26021360,25,65053
2024-12-04,3703.94,3762.81,3687.31,3718.56,2510166,EQ,20081328,25,50203
2024-12-05,3738.28,3810.89,3689.22,3759.43,2765170,EQ,22121360,25,55303
2024-12-06,3759.87,3810.84,3728.47,3793.91,1856562,EQ,14852496,25,37131
2024-12-09,3794.70,3884.48,3794.70,3873.00,3332753,EQ,26662024,25,66655
2024-12-10,3880.55,3888.89,3827.86,3849.30,2349493,EQ,18795944,25,46989
2024-12-11,3849.30,3873.34,3828.55,3843.02,1237958,EQ,9903664,25,24759
