date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,2729.18,2769.97,2714.46,2754.12,4895220,EQ,39161760,25,97904
2024-09-02,2796.73,2796.73,2706.11,2726.24,2270687,EQ,18165496,25,45413
2024-09-03,2729.18,2746.95,2721.92,2733.94,1592710,EQ,12741680,25,31854
2024-09-04,2710.53,2729.08,2681.18,2699.34,1697000,EQ,13576000,25,33940
2024-09-05,2705.82,2709.55,2662.33,2673.32,2360312,EQ,18882496,25,47206
2024-09-06,2673.22,2688.83,2631.11,2648.78,2835519,EQ,22684152,25,56710
2024-09-09,2639.01,2664.68,2611.43,2659.33,1269082,EQ,10152656,25,25381
2024-09-10,2642.06,2665.37,2628.07,2640.83,2034126,EQ,16273008,25,40682
2024-09-11,2632.48,2658.50,2595.77,2605.73,2034245,EQ,16273960,25,40684
2024-09-12,2616.28,2701.30,2587.42,2690.80,3730285,EQ,29842280,25,74605
2024-09-13,2704.64,2708.12,2662.18,2689.03,2102332,EQ,16818656,25,42046
2024-09-16,2690.11,2733.40,2682.11,2707.00,1234752,EQ,9878016,25,24695
2024-09-17,2714.46,2742.44,2695.12,2736.69,1387175,EQ,11097400,25,27743
2024-09-18,2730.66,2795.94,2726.88,2756.87,2526756,EQ,20214048,25,50535
2024-09-19,2760.60,2799.87,2741.16,2746.36,2807727,EQ,22461816,25,56154
2024-09-20,2747.54,2905.89,2747.34,2896.91,12492909,EQ,99943272,25,249858
2024-09-23,2908.59,3001.02,2902.11,2994.05,3925490,EQ,31403920,25,78509
2024-09-24,2964.80,3041.91,2964.80,3018.10,3697722,EQ,29581776,25,73954
2024-09-25,2989.34,3091.44,2979.08,3034.55,4218815,EQ,33750520,25,84376
2024-09-26,3015.85,3138.76,2989.98,3122.95,4753617,EQ,38028936,25,95072
2024-09-27,3113.04,3163.20,3094.92,3125.45,6803795,EQ,54430360,25,136075
2024-09-30,3105.33,3120.89,3030.57,3038.33,3554400,EQ,28435200,25,71088
2024-10-01,3048.73,3127.22,3039.21,3107.64,4028211,EQ,32225688,25,80564
2024-10-03,3028.61,3113.04,3016.29,3072.64,3237011,EQ,25896088,25,64740
2024-10-04,3069.89,3099.88,2954.49,2962.29,4281562,EQ,34252496,25,85631
2024-10-07,2972.65,3010.89,2928.37,3004.26,2732276,EQ,21858208,25,54645
2024-10-08,3017.81,3118.83,3009.95,3107.98,6060165,EQ,48481320,25,121203
2024-10-09,3106.95,3145.73,3087.51,3095.36,2432656,EQ,19461248,25,48653
2024-10-10,3098.31,3161.43,3097.33,3135.91,2507231,EQ,20057848,25,50144
2024-10-11,3141.51,3151.81,3063.95,3077.06,1652856,EQ,13222848,25,33057
2024-10-14,3093.40,3115.98,3058.06,3097.23,2425178,EQ,19401424,25,48503
2024-10-15,3118.93,3134.58,3030.13,3098.11,2245701,EQ,17965608,25,44914
2024-10-16,3080.64,3090.36,2996.36,3011.92,1972106,EQ,15776848,25,39442
2024-10-17,2999.16,3009.27,2898.23,2910.41,3622197,EQ,28977576,25,72443
2024-10-18,2891.51,2934.22,2861.42,2910.06,3407751,EQ,27262008,25,68155
2024-10-21,2905.65,2946.54,2840.02,2943.39,5059952,EQ,40479616,25,101199
2024-10-22,2950.07,2953.95,2825.59,2834.42,4195638,EQ,33565104,25,83912
2024-10-23,2823.58,2871.43,2730.41,2742.44,7913897,EQ,63311176,25,158277
2024-10-24,2712.49,2790.25,2712.49,2774.69,3992102,EQ,31936816,25,79842
2024-10-25,2773.36,2773.41,2630.32,2671.11,4532596,EQ,36260768,25,90651
2024-10-28,2680.10,2783.08,2664.29,2730.16,2813985,EQ,22511880,25,56279
2024-10-29,2711.51,2746.80,2653.15,2696.69,3156567,EQ,25252536,25,63131
2024-10-30,2640.09,2705.47,2620.26,2658.20,5677865,EQ,45422920,25,113557
2024-10-31,2658.20,2701.69,2622.76,2678.67,3833325,EQ,30666600,25,76666
2024-11-01,2729.18,2788.97,2729.18,2766.14,1061709,EQ,8493672,25,21234
2024-11-04,2753.24,2917.43,2753.24,2831.23,7559263,EQ,60474104,25,151185
2024-11-05,2822.94,2854.84,2770.51,2846.45,3562624,EQ,28500992,25,71252
2024-11-06,2856.81,2899.81,2832.66,2880.91,2902347,EQ,23218776,25,58046
2024-11-07,2917.43,2918.21,2805.71,2838.50,4251557,EQ,34012456,25,85031
2024-11-08,2856.81,2936.28,2799.13,2920.52,4455563,EQ,35644504,25,89111
2024-11-11,2908.20,2954.59,2836.24,2877.03,2628672,EQ,21029376,25,52573
2024-11-12,2877.62,2892.05,2827.35,2845.57,2414528,EQ,19316224,25,48290
2024-11-13,2823.43,2842.08,2732.03,2747.79,3949602,EQ,31596816,25,78992
2024-11-14,2763.54,2790.44,2686.23,2755.89,2478112,EQ,19824896,25,49562
2024-11-18,2792.01,2822.15,2748.87,2794.86,2405351,EQ,19242808,25,48107
2024-11-19,2792.99,2943.20,2792.99,2895.04,5230405,EQ,41843240,25,104608
2024-11-21,2908.35,2919.64,2864.66,2882.58,3821808,EQ,30574464,25,76436
2024-11-22,2890.18,3007.50,2843.75,2957.87,4827125,EQ,38617000,25,96542
2024-11-25,3018.79,3092.08,2967.15,2989.93,6299837,EQ,50398696,25,125996
2024-11-26,2997.68,3012.02,2898.53,2930.63,2144702,EQ,17157616,25,42894
2024-11-27,2970.64,3013.88,2931.47,2949.87,3593911,EQ,28751288,25,71878
2024-11-28,2940.25,2945.11,2839.14,2845.71,4457143,EQ,35657144,25,89142
2024-11-29,2849.93,2936.96,2849.93,2911.88,3542836,EQ,28342688,25,70856
2024-12-02,2929.45,2970.93,2907.76,2961.26,2318823,EQ,18550584,25,46376
2024-12-03,2986.10,2986.10,2933.04,2971.96,2308865,EQ,18470920,25,46177
2024-12-04,2948.11,2996.06,2948.11,2976.33,3364025,EQ,26912200,25,67280
2024-12-05,2994.20,3042.35,2960.92,3015.45,3797063,EQ,30376504,25,75941
2024-12-06,3019.28,3042.35,3009.91,3016.83,2688767,EQ,21510136,25,53775
2024-12-09,3007.40,3016.83,2984.43,2995.47,1879542,EQ,15036336,25,37590
2024-12-10,2992.23,3024.93,2950.36,3010.84,2061909,EQ,16495272,25,41238
2024-12-11,2996.21,3058.06,2992.09,3015.89,2409385,EQ,19275080,25,48187
2024-12-12,3028.41,3029.59,2989.34,3011.38,1958999,EQ,15671992,25,39179
2024-12-13,2995.23,3036.56,2945.16,3025.07,2467964,EQ,19743712,25,49359
2024-12-16,3032.93,3035.63,2984.43,3028.46,2300493,EQ,18403944,25,46009
