date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,213.93,217.05,210.07,210.95,5115706,EQ,40925648,25,102314
2024-09-02,212.96,213.30,206.97,207.60,5443751,EQ,43550008,25,108875
2024-09-03,208.07,211.00,207.41,208.47,3428271,EQ,27426168,25,68565
2024-09-04,207.10,209.70,203.68,204.64,5978776,EQ,47830208,25,119575
2024-09-05,205.32,207.52,204.52,205.39,2497884,EQ,19983072,25,49957
2024-09-06,205.04,205.70,199.46,200.46,3694783,EQ,29558264,25,73895
2024-09-09,200.46,201.18,198.07,199.95,2445801,EQ,19566408,25,48916
2024-09-10,200.40,201.92,198.12,199.97,3229516,EQ,25836128,25,64590
2024-09-11,201.14,201.14,195.89,196.74,2640364,EQ,21122912,25,52807
2024-09-12,197.81,201.53,197.33,200.93,4438776,EQ,35510208,25,88775
2024-09-13,205.73,211.49,203.29,206.44,15503863,EQ,124030904,25,310077
2024-09-16,207.73,210.03,205.50,208.61,5216472,EQ,41731776,25,104329
2024-09-17,208.97,208.97,204.88,205.96,4551884,EQ,36415072,25,91037
2024-09-18,206.12,207.23,203.64,205.33,3224492,EQ,25795936,25,64489
2024-09-19,206.12,208.32,197.34,202.04,5762347,EQ,46098776,25,115246
2024-09-20,194.40,202.81,194.40,200.73,6798006,EQ,54384048,25,135960
2024-09-23,199.53,204.65,198.53,203.72,3988891,EQ,31911128,25,79777
2024-09-24,204.56,205.92,198.79,199.94,4262080,EQ,34096640,25,85241
2024-09-25,201.23,201.53,196.50,197.25,7865574,EQ,62924592,25,157311
2024-09-26,196.35,199.62,189.51,198.98,10282450,EQ,82259600,25,205649
2024-09-27,197.82,201.48,197.48,197.95,3891811,EQ,31134488,25,77836
2024-09-30,199.13,199.48,195.70,196.69,2852007,EQ,22816056,25,57040
2024-10-01,192.35,194.00,189.91,192.90,11790409,EQ,94323272,25,235808
2024-10-03,190.55,191.90,185.86,186.81,9103251,EQ,72826008,25,182065
2024-10-04,187.06,190.01,184.04,184.92,8164830,EQ,65318640,25,163296
2024-10-07,185.47,187.54,177.50,178.52,6503254,EQ,52026032,25,130065
2024-10-08,178.77,179.83,176.91,178.69,6625092,EQ,53000736,25,132501
2024-10-09,180.57,187.90,179.74,186.68,7492532,EQ,59940256,25,149850
2024-10-10,187.56,188.53,183.90,184.31,2372996,EQ,18983968,25,47459
2024-10-11,184.63,188.24,181.20,181.74,2647525,EQ,21180200,25,52950
2024-10-14,181.76,183.08,179.30,179.79,3613451,EQ,28907608,25,72269
2024-10-15,180.33,182.62,177.30,178.96,4814863,EQ,38518904,25,96297
2024-10-16,178.77,179.51,174.67,175.94,5299423,EQ,42395384,25,105988
2024-10-17,177.30,178.03,172.67,173.23,3637934,EQ,29103472,25,72758
2024-10-18,155.90,155.90,142.06,149.72,80781248,EQ,646249984,25,1615624
2024-10-21,151.41,151.84,142.13,143.50,30509998,EQ,244079984,25,610199
