date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,646.14,651.68,632.12,634.48,7817523,EQ,62540184,25,156350
2024-09-02,635.31,642.81,630.90,638.20,1586559,EQ,12692472,25,31731
2024-09-03,632.32,640.46,626.93,627.52,2470124,EQ,19760992,25,49402
2024-09-04,622.56,634.97,620.60,632.96,2925734,EQ,23405872,25,58514
2024-09-05,627.56,634.33,624.43,631.29,2658323,EQ,21266584,25,53166
2024-09-06,635.31,660.75,635.26,652.22,6822379,EQ,54579032,25,136447
2024-09-09,651.98,665.02,647.56,662.76,4064358,EQ,32514864,25,81287
2024-09-10,666.88,671.09,662.07,666.68,1942309,EQ,15538472,25,38846
2024-09-11,664.72,676.49,663.06,667.12,3149673,EQ,25197384,25,62993
2024-09-12,670.07,674.43,667.22,672.66,1231420,EQ,9851360,25,24628
2024-09-13,674.53,676.68,664.48,668.59,1550794,EQ,12406352,25,31015
2024-09-16,669.67,683.74,662.32,681.59,1850346,EQ,14802768,25,37006
2024-09-17,684.04,691.19,675.80,678.45,1738717,EQ,13909736,25,34774
2024-09-18,679.43,682.66,673.10,681.68,972495,EQ,7779960,25,19449
2024-09-19,682.37,688.74,676.63,683.35,1715999,EQ,13727992,25,34319
2024-09-20,686.29,696.59,683.84,695.12,2799627,EQ,22397016,25,55992
2024-09-23,695.16,696.10,683.20,688.74,1228223,EQ,9825784,25,24564
2024-09-24,685.31,695.80,682.03,691.29,1692449,EQ,13539592,25,33848
2024-09-25,693.74,693.74,668.20,675.70,1373871,EQ,10990968,25,27477
2024-09-26,677.47,687.17,669.87,680.02,3431866,EQ,27454928,25,68637
2024-09-27,681.44,699.53,674.53,678.89,14237170,EQ,113897360,25,284743
2024-09-30,667.17,691.19,667.17,681.78,2531313,EQ,20250504,25,50626
2024-10-01,680.41,685.75,671.59,680.07,1856288,EQ,14850304,25,37125
2024-10-03,680.41,705.75,676.83,685.36,4581037,EQ,36648296,25,91620
2024-10-04,686.00,690.16,671.00,676.68,2050300,EQ,16402400,25,41006
2024-10-07,672.81,680.60,660.60,665.51,1932861,EQ,15462888,25,38657
2024-10-08,663.84,685.90,662.12,684.23,2796644,EQ,22373152,25,55932
2024-10-09,686.29,689.38,678.69,684.53,1272191,EQ,10177528,25,25443
2024-10-10,685.31,690.85,669.97,671.68,500562,EQ,4004496,25,10011
2024-10-11,671.68,679.87,667.96,672.08,503183,EQ,4025464,25,10063
2024-10-14,672.08,676.98,660.85,675.85,578035,EQ,4624280,25,11560
2024-10-15,674.53,678.94,667.42,672.27,1634535,EQ,13076280,25,32690
2024-10-16,675.31,675.31,663.84,666.24,3308928,EQ,26471424,25,66178
