date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,12204.02,12311.76,12063.17,12148.19,2271179,EQ,18169432,25,45423
2024-09-02,12118.81,12267.68,12096.67,12172.09,331514,EQ,2652112,25,6630
2024-09-03,12217.73,12218.03,12105.98,12142.41,445514,EQ,3564112,25,8910
2024-09-04,12071.84,12143.29,11982.76,12082.81,735076,EQ,5880608,25,14701
2024-09-05,12083.55,12115.87,11978.74,12045.93,595865,EQ,4766920,25,11917
2024-09-06,11998.33,12052.06,11846.22,11935.80,733354,EQ,5866832,25,14667
2024-09-09,11946.91,11968.80,11853.37,11896.22,415790,EQ,3326320,25,8315
2024-09-10,11900.48,12035.60,11849.46,12011.46,285122,EQ,2280976,25,5702
2024-09-11,12008.13,12080.61,11915.08,11991.08,349799,EQ,2798392,25,6995
2024-09-12,12010.18,12171.70,11901.71,12146.08,547830,EQ,4382640,25,10956
2024-09-13,12110.97,12140.35,12038.54,12063.03,361093,EQ,2888744,25,7221
2024-09-16,12068.81,12109.99,12004.21,12036.53,170114,EQ,1360912,25,3402
2024-09-17,12032.61,12032.61,11902.00,11994.17,568161,EQ,4545288,25,11363
2024-09-18,11988.59,12084.48,11919.98,11953.38,182282,EQ,1458256,25,3645
2024-09-19,12008.08,12155.05,11955.63,12097.75,465608,EQ,3724864,25,9312
2024-09-20,12106.47,12444.13,12106.12,12355.34,875654,EQ,7005232,25,17513
2024-09-23,12365.63,12487.08,12365.63,12422.54,235586,EQ,1884688,25,4711
2024-09-24,12324.59,12516.42,12324.59,12476.90,425916,EQ,3407328,25,8518
2024-09-25,12465.78,12552.90,12351.92,12522.64,341172,EQ,2729376,25,6823
2024-09-26,12571.32,13135.48,12566.42,13108.84,1471069,EQ,11768552,25,29421
2024-09-27,13108.06,13263.45,13001.74,13218.34,865698,EQ,6925584,25,17313
2024-09-30,13069.42,13222.65,12937.34,12966.04,415743,EQ,3325944,25,8314
2024-10-01,12966.04,13027.20,12732.97,12895.51,388888,EQ,3111104,25,7777
2024-10-03,12675.19,12877.88,12333.60,12387.52,863520,EQ,6908160,25,17270
2024-10-04,12429.20,12613.28,12255.44,12346.77,679362,EQ,5434896,25,13587
2024-10-07,12366.66,12388.16,12123.70,12270.13,465500,EQ,3724000,25,9310
2024-10-08,12245.40,12370.62,12206.03,12274.49,387060,EQ,3096480,25,7741
2024-10-09,12297.02,12586.01,12282.87,12498.54,465231,EQ,3721848,25,9304
2024-10-10,12535.96,12698.64,12450.35,12678.17,492698,EQ,3941584,25,9853
2024-10-11,12678.17,12713.34,12463.57,12514.16,274243,EQ,2193944,25,5484
