date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,2082.53,2168.43,2050.11,2083.24,6927906,EQ,55423248,25,138558
2024-09-02,2087.44,2119.71,2054.36,2062.78,2404850,EQ,19238800,25,48097
2024-09-03,2123.24,2240.26,2122.92,2187.88,15750474,EQ,126003792,25,315009
2024-09-04,2190.58,2367.96,2186.65,2345.20,15938894,EQ,127511152,25,318777
2024-09-05,2368.38,2418.97,2228.60,2249.08,9534632,EQ,76277056,25,190692
2024-09-06,2249.52,2260.45,2146.40,2161.31,5560008,EQ,44480064,25,111200
2024-09-09,2205.32,2231.84,2112.24,2137.12,5987892,EQ,47903136,25,119757
2024-09-10,2147.38,2188.62,2136.55,2157.53,2992310,EQ,23938480,25,59846
2024-09-11,2161.11,2161.11,2112.85,2118.65,1646610,EQ,13172880,25,32932
2024-09-12,2126.73,2136.48,2097.26,2119.39,1967974,EQ,15743792,25,39359
2024-09-13,2126.66,2166.02,2109.79,2118.28,1938158,EQ,15505264,25,38763
2024-09-16,2118.28,2131.08,2082.60,2087.71,1468788,EQ,11750304,25,29375
2024-09-17,2094.04,2114.89,2053.06,2059.59,1830148,EQ,14641184,25,36602
2024-09-18,2060.08,2094.80,2048.14,2052.07,1867618,EQ,14940944,25,37352
2024-09-19,2073.80,2095.97,1955.58,1999.74,3453650,EQ,27629200,25,69073
2024-09-20,2010.41,2178.72,1976.34,2154.64,12056360,EQ,96450880,25,241127
2024-09-23,2163.45,2179.71,2123.06,2127.08,3027566,EQ,24220528,25,60551
2024-09-24,2127.99,2127.99,2074.44,2080.01,1789054,EQ,14312432,25,35781
2024-09-25,2097.52,2142.76,2081.68,2093.95,3471984,EQ,27775872,25,69439
2024-09-26,2094.74,2108.43,2068.88,2086.09,1728026,EQ,13824208,25,34560
2024-09-27,2094.00,2102.74,2059.02,2066.81,1519294,EQ,12154352,25,30385
2024-09-30,2066.41,2100.89,2031.93,2083.70,2016994,EQ,16135952,25,40339
2024-10-01,2083.65,2091.93,2061.88,2068.51,907014,EQ,7256112,25,18140
2024-10-03,2039.79,2058.73,2000.41,2008.24,1577378,EQ,12619024,25,31547
2024-10-04,2008.24,2042.77,1958.07,2007.47,2615202,EQ,20921616,25,52304
2024-10-07,2017.52,2022.99,1917.77,1930.63,2126728,EQ,17013824,25,42534
2024-10-08,1915.68,2019.12,1897.73,2010.18,3524142,EQ,28193136,25,70482
2024-10-09,2012.25,2054.54,2004.86,2013.19,1803356,EQ,14426848,25,36067
2024-10-10,2046.68,2221.58,2044.25,2181.36,14927676,EQ,119421408,25,298553
2024-10-11,2196.95,2206.50,2142.86,2159.98,4992634,EQ,39941072,25,99852
2024-10-14,2166.90,2179.22,2102.37,2107.10,2815284,EQ,22522272,25,56305
2024-10-15,2112.96,2265.91,2095.01,2168.95,10001486,EQ,80011888,25,200029
2024-10-16,2167.39,2204.34,2113.21,2130.67,3551976,EQ,28415808,25,71039
2024-10-17,2137.32,2156.56,2078.73,2087.50,1989712,EQ,15917696,25,39794
