date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-09-02,1485.00,1495.95,1474.60,1484.85,817883,EQ,6543064,25,16357
2024-09-03,1490.00,1503.15,1475.00,1478.90,702946,EQ,5623568,25,14058
2024-09-04,1475.00,1507.00,1465.30,1499.35,590555,EQ,4724440,25,11811
2024-09-05,1514.00,1514.00,1481.75,1485.00,689394,EQ,5515152,25,13787
2024-09-06,1482.05,1489.90,1453.45,1461.70,712351,EQ,5698808,25,14247
2024-09-09,1463.65,1506.90,1463.65,1504.05,1791287,EQ,14330296,25,35825
2024-09-10,1518.55,1519.75,1500.10,1508.20,591925,EQ,4735400,25,11838
2024-09-11,1512.05,1531.25,1505.85,1523.30,622732,EQ,4981856,25,12454
2024-09-12,1528.35,1536.95,1519.70,1529.20,475277,EQ,3802216,25,9505
2024-09-13,1529.20,1543.00,1515.60,1523.35,551554,EQ,4412432,25,11031
2024-09-16,1533.90,1552.90,1525.40,1547.25,516123,EQ,4128984,25,10322
2024-09-17,1547.00,1559.25,1540.80,1555.75,1224149,EQ,9793192,25,24482
2024-09-18,1560.50,1561.95,1525.05,1537.75,320652,EQ,2565216,25,6413
2024-09-19,1564.00,1570.00,1522.30,1529.75,1528204,EQ,12225632,25,30564
2024-09-20,1544.00,1582.00,1532.15,1574.15,1821157,EQ,14569256,25,36423
2024-09-23,1585.00,1637.00,1561.15,1628.25,670632,EQ,5365056,25,13412
2024-09-24,1635.20,1644.55,1612.30,1635.55,964946,EQ,7719568,25,19298
2024-09-25,1635.55,1638.45,1607.65,1626.60,898849,EQ,7190792,25,17976
2024-09-26,1631.00,1647.50,1607.00,1644.60,774246,EQ,6193968,25,15484
2024-09-27,1611.00,1611.00,1574.00,1596.60,2273207,EQ,18185656,25,45464
2024-09-30,1596.10,1610.75,1575.10,1589.90,668068,EQ,5344544,25,13361
2024-10-01,1589.90,1614.20,1585.55,1610.95,473000,EQ,3784000,25,9460
2024-10-03,1595.00,1595.10,1543.55,1564.10,658824,EQ,5270592,25,13176
2024-10-04,1565.00,1571.90,1527.25,1531.35,1019377,EQ,8155016,25,20387
2024-10-07,1531.35,1550.00,1497.05,1506.30,755578,EQ,6044624,25,15111
2024-10-08,1495.10,1531.00,1491.75,1519.00,1607560,EQ,12860480,25,32151
2024-10-09,1527.00,1538.00,1513.75,1523.45,336186,EQ,2689488,25,6723
2024-10-10,1526.00,1546.95,1502.35,1507.80,369677,EQ,2957416,25,7393
2024-10-11,1515.35,1522.00,1491.10,1519.55,316816,EQ,2534528,25,6336
2024-10-14,1540.00,1546.20,1519.90,1540.45,426793,EQ,3414344,25,8535
2024-10-15,1539.60,1552.30,1521.35,1547.80,441089,EQ,3528712,25,8821
2024-10-16,1550.00,1561.00,1537.05,1553.30,546976,EQ,4375808,25,10939
2024-10-17,1552.90,1553.00,1520.80,1528.15,537173,EQ,4297384,25,10743
2024-10-18,1525.00,1526.95,1502.00,1519.25,709462,EQ,5675696,25,14189
2024-10-21,1517.05,1532.85,1490.90,1495.20,272480,EQ,2179840,25,5449
2024-10-22,1493.70,1497.20,1468.75,1473.00,741250,EQ,5930000,25,14825
2024-10-23,1465.00,1484.85,1455.00,1466.35,1172365,EQ,9378920,25,23447
2024-10-24,1475.00,1493.00,1440.00,1459.70,1227944,EQ,9823552,25,24558
